logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000176165.10	2.97816690394868	-3.83295569633761	10.3839350154399	1.58170756780464e-18	3.35132199466447e-14	26.3397081661137
ENSG00000245694.9	1.02338086093622	1.64607535883501	8.73992788164721	1.42393138906158e-14	1.50851291357183e-10	22.3656357443185
ENSG00000072041.16	2.3601786448584	-0.351419559503255	8.11611652606383	4.21803075687827e-13	2.9790545225579e-09	18.7867921236878
ENSG00000181690.7	1.57359036338221	2.4819905950272	7.80640425007228	2.19904809322816e-12	9.31868619986364e-09	17.7568025270254
ENSG00000228784.7	1.66750226032247	0.957793440684166	7.70052848022943	3.82459305117213e-12	1.35059129280392e-08	17.0285067916459
ENSG00000100987.14	2.70955803016654	-2.05083828735157	7.8088826127485	2.15998041683863e-12	9.31868619986364e-09	16.5808254718825
ENSG00000112218.8	0.974414279621338	1.41069752624787	7.23027497348606	4.4580632722099e-11	1.18071805764479e-07	14.7497129623158
ENSG00000168785.7	-1.20718625909045	5.68342549751845	-7.1670315322752	6.22060073629946e-11	1.31802088400713e-07	14.5438762516147
ENSG00000102683.7	1.84750197609989	-1.635696204703	7.34863125329937	2.41385458932712e-11	7.30639300552329e-08	14.503914847613
ENSG00000171033.12	1.35153669279001	1.44223157206808	7.11680153858964	7.99984939958591e-11	1.54091644616751e-07	14.2278023330619
ENSG00000079931.14	-1.57547564694651	6.1967505276677	-7.07657607839258	9.89894692207753e-11	1.74782406154149e-07	14.0874227694608
ENSG00000226074.4	1.56299591557224	-1.22550297828099	7.1909005499055	5.46299093906453e-11	1.28610946685444e-07	13.9338307291563
ENSG00000141540.10	0.796027672229284	4.07380095297614	6.8884357892507	2.56680323835129e-10	3.62569513427915e-07	13.1849698946914
ENSG00000111799.20	-1.1088033920768	8.64027213317218	-6.78475628329466	4.36072859418409e-10	5.43500690903367e-07	12.6637609838426
ENSG00000226981.2	1.88438992972882	-2.26667588545117	6.9311056560451	2.06674651125287e-10	3.12787322003042e-07	12.3069856127114
ENSG00000176720.4	-1.11452302620649	5.67309164804789	-6.70762004729558	6.42561967358172e-10	7.23162533029035e-07	12.278015347126
ENSG00000163171.7	-1.02601575426263	7.24404376793384	-6.68584622587031	7.16622895621968e-10	7.59190295621913e-07	12.1563922863282
ENSG00000083857.13	-1.15666941460414	6.18005709963202	-6.65897412558638	8.19725536147075e-10	8.18323206832466e-07	12.0282756862398
ENSG00000091536.16	1.17214119016765	3.11048836531874	6.63098527404536	9.41826917413125e-10	8.67627335919535e-07	11.9564355953468
ENSG00000132164.9	2.73405401870779	-1.09627827422539	6.70578991523255	6.48484431166305e-10	7.23162533029035e-07	11.9081320862489
ENSG00000148734.7	2.32651092791524	-2.72225380265342	6.84445315708592	3.20734555844359e-10	4.24732735576892e-07	11.8032717882385
ENSG00000121207.11	1.92515943788628	-1.46034839457058	6.65070870204095	8.49684281211736e-10	8.18323206832466e-07	11.4655316409394
ENSG00000261603.1	1.38304744498955	-1.30430983085939	6.62040088755299	9.88499669028085e-10	8.72680457806961e-07	11.3010866329442
ENSG00000075223.13	-1.36214575319531	5.74116673138337	-6.43508070475724	2.48911108931583e-09	2.10957143041695e-06	10.9716538021744
ENSG00000204071.10	1.65666717363671	2.05427037405312	6.33536552566536	4.05958439063204e-09	3.18572126180414e-06	10.5622505795047
ENSG00000152669.8	2.01838569678437	-1.36884900611652	6.41305437100055	2.76618893263637e-09	2.2542311963346e-06	10.4620254557942
ENSG00000169564.6	-0.571073567303236	6.5212708229072	-6.31705951928845	4.41902322358832e-09	3.34393800219247e-06	10.3865382348743
