logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000103034.14	-1.38770847904361	4.30639250437642	-6.2704764421832	1.47320548488332e-09	1.45299274423411e-05	11.4568981479452
ENSG00000048540.14	0.980974343958478	5.64338023480593	6.22847056120919	1.86171409679065e-09	1.45299274423411e-05	11.2343957674196
ENSG00000181938.13	-0.645943456388205	2.44885545076474	-6.21431855177651	2.01143382063695e-09	1.45299274423411e-05	11.071826261964
ENSG00000004455.16	-0.501449325318608	6.57748430462582	-5.87564413881409	1.27114887044698e-08	4.94373418317048e-05	9.40855932806653
ENSG00000013375.15	-0.827578185268619	5.63871563903127	-5.8651161820996	1.34591707549539e-08	4.94373418317048e-05	9.35118439639148
ENSG00000185043.10	-0.3886274061003	5.54675924132184	-5.68332991641543	3.50360391836752e-08	9.49082506436781e-05	8.44096155678185
ENSG00000172425.10	-1.53113432646399	-1.05938766447508	-5.79243942764624	1.97766405189158e-08	6.12256538122036e-05	8.34920055338343
ENSG00000144031.11	-1.02167454882194	2.89993120785082	-5.65037655637365	4.1618417822024e-08	9.79270483538816e-05	8.29108494004815
ENSG00000142208.15	-0.436292071283258	6.65587503217475	-5.63432061419497	4.51880616279275e-08	9.79270483538816e-05	8.20599821717271
ENSG00000175198.15	-0.538397198067524	4.82018144592874	-5.4896097672075	9.48918359927081e-08	0.00018694554343618	7.49934100936323
ENSG00000131828.13	-0.526153367188209	6.11500092849564	-5.45937878417572	1.10601222990928e-07	0.000199428379338741	7.35433056436278
ENSG00000136383.6	-1.0066970587889	4.90511321721598	-5.44399519818888	1.19633100983048e-07	0.000199428379338741	7.27780086681324
ENSG00000133028.10	-0.455278053668373	5.1145375119157	-5.41846298279324	1.35948077359462e-07	0.000203425384384537	7.15654156675803
ENSG00000140505.6	-1.84807843165678	-4.06033524837124	-5.86176478412084	1.36876032942748e-08	4.94373418317048e-05	7.05081545071216
ENSG00000140905.10	-0.634824961260092	3.29416766785891	-5.3690982273459	1.74110757981986e-07	0.000209619679790423	6.95144606797673
