logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000185633.10	1.37407218671745	6.37351386445757	6.93629193164521	2.35968481953756e-11	2.49784436572148e-07	15.3967286996304
ENSG00000244694.7	1.33434898914497	-0.159830003207709	7.19163098456741	4.83493209186355e-12	1.02360347316843e-07	15.1490899045904
ENSG00000081803.15	0.449181688498513	4.31297362527227	6.46924747983621	3.8403235184574e-10	2.71011630697539e-06	12.7277371405127
ENSG00000174307.6	0.468768784068584	5.93492446246401	5.906290990195	9.20162488011331e-09	4.33293682417345e-05	9.66816020140629
ENSG00000172667.10	0.506730118707936	5.32937975963845	5.8592490627609	1.18827964570877e-08	4.33293682417345e-05	9.43261201804085
ENSG00000185567.6	0.759616627392208	5.67402174221797	5.71808143845997	2.53870049581102e-08	6.7183535246019e-05	8.70485761987514
ENSG00000170381.12	1.66102967133195	0.41676206044377	5.8532601303582	1.22798266237026e-08	4.33293682417345e-05	8.66093154874057
ENSG00000181104.6	0.829124665713949	5.99008188306214	5.67791887685027	3.14169413707315e-08	7.39031184177507e-05	8.4973668427732
ENSG00000234546.3	1.04543096156116	-1.06802088076895	5.80581826717748	1.58579488452511e-08	4.79612335718302e-05	7.97183944132948
ENSG00000184226.14	0.906719475929061	3.01882373191951	5.48905518187867	8.42365699732217e-08	0.000162124765718462	7.60084030888467
ENSG00000120658.13	-0.919575131913483	0.4551304274487	-5.41147114883661	1.25371402457308e-07	0.000221186496785305	7.12347777542638
ENSG00000124813.20	0.822056159532392	1.94716547465399	5.26784706351041	2.58927073630804e-07	0.000391553219702697	6.49266545987027
ENSG00000048540.14	0.778600924274344	4.89521658603721	5.16826708693565	4.24634036461782e-07	0.000561870449120774	6.05812764473639
ENSG00000130413.15	-1.1296606601826	-0.8324673510195	-5.20897437202063	3.4705137104497e-07	0.000489828305092871	6.02891217233678
ENSG00000143318.12	-0.838962320334227	1.70653260531289	-5.15025586635835	4.63677234833766e-07	0.000577441808156803	6.02515800125806
ENSG00000186340.14	1.14779940687297	8.71815542547229	5.10628215731302	5.75346128536295e-07	0.000647717376520358	5.76756822776141
ENSG00000119630.13	1.16330843592953	5.00083549437585	5.09364345884023	6.11891149705123e-07	0.000647717376520358	5.72086983727657
ENSG00000160194.17	-0.270587079165471	4.94746789525735	-5.04580219965418	7.71190074180615e-07	0.000777469764784657	5.4546545558903
ENSG00000080224.17	1.60340831520445	-1.92584167176677	5.31241946260221	2.07074522624212e-07	0.000337228824498246	5.35310578122937
ENSG00000009709.11	-1.28123996229666	-5.85617093299178	-5.51466008094607	7.37707547386091e-08	0.000156180064857109	5.25961565740604
ENSG00000118160.13	-0.906198008054708	0.142422837581065	-4.98552568369836	1.0305643363129e-06	0.000991730798367287	5.19342206870527
ENSG00000177981.10	-0.298210701329247	4.83980357125085	-4.96500685457118	1.13675510623278e-06	0.00104635836321975	5.08948863890949
ENSG00000106536.19	1.68506456503224	-1.0095998823177	5.09901956835569	5.95721804023525e-07	0.000647717376520358	4.87653658808263
ENSG00000153253.16	1.04754818235426	2.02823454291549	4.87019934903068	1.78162607228646e-06	0.00151218781983031	4.73859285018722
ENSG00000163531.15	0.851405601360459	5.7826007706921	4.86141250644468	1.85711035452213e-06	0.00151218781983031	4.62396927908374
ENSG00000165084.15	1.28370669120103	1.46965003092317	4.85042049689118	1.9551354288466e-06	0.00153304341348561	4.58560815780529
ENSG00000143149.12	-0.298803571024007	5.67319265899774	-4.80961160895932	2.36447481394226e-06	0.00176315298582114	4.38559338722627
ENSG00000136205.16	0.505760647345642	7.23930818006317	4.80507427667486	2.41516397849951e-06	0.00176315298582114	4.38212672954429
ENSG00000187068.2	-0.540030805925768	4.7829250531342	-4.76840835620824	2.86355622671972e-06	0.00195562415728656	4.21307909888888
ENSG00000147889.17	1.21443516424438	0.251998537358173	4.77767602716211	2.7423387523409e-06	0.00193526845752697	4.10437206914803
ENSG00000136068.14	-0.391670812141076	7.43824372325615	-4.73213590020207	3.38320778705501e-06	0.00223830912686692	4.09082153266614
ENSG00000118407.14	-0.478544613819286	5.70287456807512	-4.72323853427869	3.52500315347514e-06	0.00226144975037037	4.00955274610428
ENSG00000108387.14	0.40245057265729	5.70055056270741	4.69437188300559	4.02202280421802e-06	0.0024733519742783	3.88705425596008
ENSG00000115718.17	1.16220417725812	-1.72712938198679	4.86217899255572	1.8493944166946e-06	0.00151218781983031	3.87315048337999
ENSG00000116688.16	-0.30990347306969	6.74164027312278	-4.68697443980654	4.1600908270746e-06	0.0024733519742783	3.87178304132224
ENSG00000105953.14	-0.316337330973545	7.06024929957338	-4.68457823112266	4.20578485069287e-06	0.0024733519742783	3.87145527162231
ENSG00000157823.16	-0.214157691718359	5.46882137330858	-4.6603820075889	4.69510379886212e-06	0.00268648763583	3.73800625362223
ENSG00000166847.9	-0.223270642218631	5.76446600664356	-4.65446020440945	4.82295760303576e-06	0.00268702198457553	3.71237039057214
ENSG00000124641.15	-0.236180617928357	3.35226433407328	-4.62183815872253	5.58959456368291e-06	0.00303428991045464	3.68178366786846
ENSG00000228526.6	0.738853750370074	3.71796140758987	4.61447592864163	5.78072558508677e-06	0.0030595935340468	3.67591663916422
ENSG00000149380.11	1.05189663708663	2.09212357288429	4.58206539475581	6.68597251358658e-06	0.00307944625035506	3.55412163527264
