logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000215105.4	-1.07491586873398	2.6560807859	-8.97273610041235	2.16678158471835e-17	4.91404395598274e-13	28.7402146878815
ENSG00000132470.13	2.13954044245487	5.24797767097576	7.6150261110662	2.76402972376834e-13	2.36156213597997e-09	19.6436778762677
ENSG00000226752.9	1.22585968345492	4.14483977977188	7.596395342898	3.12389717709772e-13	2.36156213597997e-09	19.5047060363082
ENSG00000182484.15	0.947277821712894	3.0338291421829	7.29449634618358	2.21581355806579e-12	1.25631089208435e-08	17.5487036673575
ENSG00000174780.15	-0.474489473600278	5.3280656920302	-7.14484839609476	5.73582373474764e-12	2.60165492960684e-08	16.7533745759048
ENSG00000249506.3	-1.81675991346614	-3.53264110126203	-6.92121758359774	2.31559283735684e-11	8.7525549930693e-08	14.2363898161893
ENSG00000149531.15	-1.0348698262716	2.25174982280433	-6.66985976380935	1.07030155644474e-10	3.46762414265861e-07	13.9377833018837
ENSG00000198890.7	-0.550956064745953	3.32917892882004	-6.54709709967185	2.22659144263154e-10	6.1870656350879e-07	13.2436393274358
ENSG00000123545.5	-0.767425113824125	4.38098262450014	-6.53060314389066	2.45529303389881e-10	6.1870656350879e-07	13.1423674811526
ENSG00000115137.11	-0.535521298473471	4.04416440975435	-6.48110645448503	3.28781785754653e-10	7.06260860618855e-07	12.8643973464866
ENSG00000125520.13	0.78242330676999	4.40533106092129	6.45028836711395	3.94034047733464e-10	7.06260860618855e-07	12.6980763227765
ENSG00000182150.15	-0.450938120911142	3.27705482815774	-6.44566979383147	4.04841094759254e-10	7.06260860618855e-07	12.6728794730185
ENSG00000282826.1	-0.917461808430623	1.57874773658341	-6.45009061619048	3.9448582428753e-10	7.06260860618855e-07	12.6660928494685
ENSG00000107371.12	-0.339779315820273	2.76673061055971	-6.42639018073375	4.53212544904828e-10	7.34171950421185e-07	12.5629185123382
ENSG00000109270.12	-0.479070262851601	5.04195328127777	-6.23927378441721	1.33778631472967e-09	1.88769425850696e-06	11.5169697709847
ENSG00000196312.12	-0.670768271503052	3.03988050797453	-6.22946001238991	1.4150007669923e-09	1.88769425850696e-06	11.4784587932684
ENSG00000250535.1	-1.85768518517789	-3.56116264001132	-6.32413377372639	8.2125522315835e-10	1.24168314706721e-06	11.1444782321059
ENSG00000119185.12	-0.592043961805573	5.91694756683444	-6.1672890432324	2.01593462766527e-09	2.53996563449004e-06	11.1311552372632
ENSG00000240024.5	-0.461510651424387	3.62749396266693	-6.15599240651536	2.14923537791282e-09	2.56539521766763e-06	11.0730694214826
ENSG00000242258.1	-2.2319387446386	-2.94099149682523	-6.10354796961466	2.89111075880783e-09	3.27837504495014e-06	10.3292044088475
ENSG00000126456.15	0.387004561788991	4.61785273092039	6.01185991836971	4.82737841584214e-09	5.21333881394685e-06	10.2948127008947
ENSG00000136159.3	-0.365499709744587	3.34708440570202	-5.96641925173354	6.21159143040302e-09	6.03712453614695e-06	10.0680158323481
