logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000102921.7	-0.190982424399136	5.82314154942577	-3.69808815350112	0.00030409402938441	0.990838477698815	-0.980991609553844
ENSG00000143512.12	-1.350372683547	1.66878215298667	-4.43851225302842	1.7481534946486e-05	0.238873473293722	-1.11345226925072
ENSG00000185436.11	-0.348859784262609	3.67733636503277	-3.79247081511245	0.000215664618290312	0.990838477698815	-1.34801012132932
ENSG00000172667.10	0.350832458306243	4.77486590893356	3.49958133742064	0.000613650037290122	0.990838477698815	-1.64367527865706
ENSG00000137275.13	-0.266712531812954	5.69591776960411	-3.29438956931425	0.00123055118746651	0.999431328500298	-1.7939639643494
ENSG00000105085.10	-0.250289410485159	3.17191570896213	-3.68556549670655	0.000318128882570325	0.990838477698815	-1.83586260001247
ENSG00000181690.7	-0.535148280015113	3.10976931017404	-3.62061814296123	0.000401289257666739	0.990838477698815	-1.85873133564689
ENSG00000007314.12	-0.445510109140648	5.00666609416254	-3.161301797634	0.00190097599049406	0.999431328500298	-2.08566860968928
ENSG00000143028.8	0.347691620659825	4.7042406804943	3.1328560489866	0.00208205053960768	0.999431328500298	-2.30201913211594
ENSG00000125637.15	-0.258500086529536	6.82205079343835	-3.01818109450324	0.00298862145558401	0.999431328500298	-2.31987731657023
ENSG00000174032.16	0.334746639435141	4.13090790362039	3.18564051552866	0.00175707141066643	0.999431328500298	-2.40017984851914
ENSG00000147099.19	-0.160102925532305	4.07579946494985	-3.10332381702308	0.00228733747298055	0.999431328500298	-2.41624165080831
ENSG00000119599.16	-0.187339591200954	4.79740252941008	-2.98522393031383	0.00330968110923855	0.999431328500298	-2.44828025206089
ENSG00000157600.11	-0.239817059621144	5.76544516584052	-2.92011426189581	0.00403903896325626	0.999431328500298	-2.474594373313
ENSG00000066117.14	-0.125145390353812	6.34353344248826	-2.91795494129981	0.00406557882254163	0.999431328500298	-2.47678161914888
ENSG00000101098.12	-0.574672241652276	3.5729203467407	-3.06648774494804	0.0025705146795491	0.999431328500298	-2.5307412569528
ENSG00000162522.10	-0.29548203698008	7.45157469588262	-2.90581917658925	0.00421773454813311	0.999431328500298	-2.54801648249557
ENSG00000006715.15	0.153212090242452	5.64296914197839	2.85096052667421	0.00497277024739097	0.999431328500298	-2.61130361583924
ENSG00000166225.8	-0.174015485678029	4.76845735836571	-2.87836169020636	0.00458142978460117	0.999431328500298	-2.62831834420494
ENSG00000175505.10	-0.443357125183995	3.72844263592358	-2.9867999021082	0.00329371266057854	0.999431328500298	-2.63158527697927
ENSG00000187513.8	-0.507907833581073	5.56726663669376	-2.8049633583941	0.00570118989634009	0.999431328500298	-2.67143053961241
ENSG00000197170.9	-0.226831898556087	5.05666086644812	-2.81325145715622	0.00556130078994293	0.999431328500298	-2.69604461640676
ENSG00000159212.12	0.490674214547262	4.86906093826007	2.87930803738325	0.00456978901974655	0.999431328500298	-2.70388520876458
ENSG00000081721.11	0.139925400667311	3.95676927679705	2.97659176300124	0.00339886505609414	0.999431328500298	-2.71335892937004
ENSG00000186998.15	-0.459221797444739	4.41769228588249	-2.83147537774155	0.00527068869015104	0.999431328500298	-2.72853784091241
ENSG00000124789.11	-0.198455543943518	5.82165838093394	-2.75864612081689	0.00652642211769416	0.999431328500298	-2.74699749004812
ENSG00000166471.10	-0.22745945027521	5.58581149518411	-2.75807640088535	0.00653724835273156	0.999431328500298	-2.75354563586704
ENSG00000166224.16	-0.194298469261162	6.2745771464422	-2.74145387837245	0.0068603919294861	0.999431328500298	-2.77426444202918
ENSG00000137656.11	-0.130917646241264	4.47150633771625	-2.81492110280873	0.00553395437692961	0.999431328500298	-2.78208529195926
ENSG00000117643.14	0.335815568875342	5.89370143068571	2.71523871579066	0.00739971262036218	0.999431328500298	-2.82900394820302
ENSG00000004487.15	-0.120377491423939	6.08619185648639	-2.70680332112729	0.00758104339808232	0.999431328500298	-2.82965849539096
ENSG00000163331.11	0.888648547295727	2.68384721449764	3.37878401801877	0.000928051710767451	0.999431328500298	-2.86346723736839
