logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000135525.18	-0.841094452274821	1.27817614061909	-5.79415651618095	5.98950552175413e-08	0.000744871074748953	7.88816702664679
ENSG00000164694.16	-1.52628600565082	2.09162293063684	-5.64860699508618	1.17289953678696e-07	0.000820716902541062	7.37242244635095
ENSG00000171954.12	-2.04954844445987	-2.39040727704303	-5.75738325974035	7.09671374570267e-08	0.000744871074748953	6.85585735772181
ENSG00000100385.13	-1.06837980851156	1.43748725438605	-5.29920566705534	5.6006345240422e-07	0.00293921299821735	5.87780674376269
ENSG00000272398.5	-2.10341835975813	3.56532160832598	-5.17660602293492	9.60950012874016e-07	0.00336204377837523	5.36591247693586
ENSG00000174938.14	-1.92730554854291	2.9983314729397	-5.04851819352567	1.67085467905382e-06	0.0034952397302807	4.87129554138885
ENSG00000156486.7	-1.70108446610061	-1.06800966558725	-5.10931186976961	1.28412281942238e-06	0.00336953827816433	4.84395655982279
ENSG00000111199.10	-1.19453089114328	0.0467190085203778	-5.04249328821267	1.70999815438981e-06	0.0034952397302807	4.74285443255349
ENSG00000108187.15	-0.695264738790995	2.79228540113345	-5.00610110254015	1.99804100435254e-06	0.0034952397302807	4.73381779077187
ENSG00000165646.11	-1.22438149783411	0.53846941028333	-5.0182912485292	1.89685806849664e-06	0.0034952397302807	4.70823563767016
ENSG00000219435.5	-1.44563402239723	-2.02399701922598	-5.13210727304456	1.16230157729742e-06	0.00336953827816433	4.59018893663755
ENSG00000107099.15	-0.655315655348455	3.58844904116666	-4.95689247537432	2.46360784605195e-06	0.00369400399316589	4.50824126188182
ENSG00000131401.11	-1.73334650549253	-0.486555008974612	-4.98754887786441	2.16724666826996e-06	0.00349960323540946	4.50151998600909
ENSG00000111679.16	-0.695580099979191	2.91544036990264	-4.92225531844599	2.85290550715795e-06	0.00399254616041731	4.39889816382659
ENSG00000122133.16	-3.57771496259653	-4.51941834659212	-5.24479702741878	7.13551442017914e-07	0.00299577437416801	4.34654189671116
ENSG00000182578.13	-1.01033327491221	4.08618889857553	-4.86943004838926	3.57259850124338e-06	0.00442071621366461	4.11837318954768
ENSG00000105696.8	-1.53966058649079	0.686659310118195	-4.85052696798283	3.86734193061169e-06	0.00442071621366461	4.09204785376546
ENSG00000131080.14	1.16300892482688	3.73177758991075	4.81671024210007	4.45357825057973e-06	0.00442071621366461	3.99398059892171
ENSG00000177614.10	-1.68135534370689	1.52215015265019	-4.7966144843019	4.84358197952963e-06	0.00442071621366461	3.91859218477629
ENSG00000168621.14	-1.37363624757365	0.512567665678386	-4.79873448933077	4.79806055078625e-06	0.00442071621366461	3.88312038984807
ENSG00000163751.3	-1.19859982582569	3.89784574078973	-4.80662424604442	4.64586033580753e-06	0.00442071621366461	3.87613603325131
ENSG00000197253.13	-1.26550988394279	4.29312907836099	-4.80625383818186	4.6530353717977e-06	0.00442071621366461	3.85265663704677
ENSG00000226816.2	-1.04788708943557	0.149016320667645	-4.77638712176403	5.25666614874633e-06	0.00459783065810345	3.75408222562539
ENSG00000205363.5	-0.989321341777271	2.54880944430725	-4.73517285975494	6.24214757091207e-06	0.00512460865990296	3.67733049080532
ENSG00000182450.12	-1.25486555308298	-2.16696603438065	-4.85800099920005	3.7392816599547e-06	0.00442071621366461	3.54361768341806
ENSG00000100276.9	-0.784916686034051	-0.515144797274644	-4.73085613908045	6.34717154904139e-06	0.00512460865990296	3.48160805623045
ENSG00000276231.4	-0.885522150396264	1.17649409556272	-4.62356992849981	9.85391049407448e-06	0.00708072283782463	3.25471133712826
ENSG00000065989.15	-0.820265851752078	4.96970807551844	-4.64321564582045	9.11389566522132e-06	0.00708072283782463	3.1980572691632
ENSG00000146555.18	-0.765361466988322	3.91594672278521	-4.61967074993612	1.00245819820643e-05	0.00708072283782463	3.16414234573977
ENSG00000215114.8	0.406238995904544	4.55163444284516	4.61704225481906	1.01191732628972e-05	0.00708072283782463	3.16144179958131
ENSG00000112242.14	-0.75408690073139	3.2309227699481	-4.59133957909882	1.123452609972e-05	0.00760758618984911	3.1064563276253
ENSG00000196109.6	0.678921303721596	1.78222470848057	4.57272702510728	1.21115167208375e-05	0.0079451549688694	3.05349054337429
ENSG00000102032.12	-0.574722386204639	2.01525567716082	-4.51959652588891	1.5002527946937e-05	0.00874814074061392	2.88364521409672
ENSG00000184515.10	1.36441350468767	1.35756087623104	4.53330319712435	1.42066760193053e-05	0.00874814074061392	2.84820738785169
ENSG00000162745.10	-0.980203024395502	4.48011032242581	-4.54123817929409	1.37781096283962e-05	0.00874814074061392	2.82400074886631
ENSG00000128340.14	-0.691541749007789	2.86938072485518	-4.50691362455693	1.57854414506731e-05	0.008955891538717	2.8117223480825
ENSG00000141425.17	0.239590356775495	6.09544719359641	4.52423102536677	1.47259051887528e-05	0.00874814074061392	2.73500547800553
ENSG00000011201.11	-1.08329457518372	-0.0496351330337008	-4.42612987670868	2.178015811233e-05	0.0113949261501018	2.4862206320916
ENSG00000185905.3	-0.931408648168783	-0.985690996325377	-4.45045583206885	1.97755857366036e-05	0.0108337181900281	2.44157156879745
ENSG00000122025.14	-1.54844791234398	-1.55331511547483	-4.44610989168805	2.01274299452694e-05	0.0108337181900281	2.38332951094364
ENSG00000148690.11	0.366485653268575	5.29555417528587	4.42067640875906	2.22557151369175e-05	0.0113949261501018	2.36985662493585
ENSG00000104814.12	-0.55320747724326	1.13833124567763	-4.37343982816004	2.68155997023632e-05	0.0130479755655814	2.34862443670456
ENSG00000134574.11	0.477832246901296	5.1071296281956	4.40802351429509	2.33979469743179e-05	0.0116945167353543	2.33859788275551
ENSG00000196358.10	-0.645772221372611	0.721539338911753	-4.36270757250619	2.79706031083824e-05	0.0130479755655814	2.29885823158551
ENSG00000012779.10	-0.69203490958725	3.56967976728697	-4.36409621687271	2.7830618165995e-05	0.0130479755655814	2.23812233571787
ENSG00000110057.7	-0.414730232984826	3.71086886417108	-4.34860212286867	2.95616695570505e-05	0.0132033737732256	2.18289953301579
ENSG00000010610.9	-0.722618004976595	3.18372048581577	-4.33025962998129	3.17669394790937e-05	0.0138927415321903	2.14291431016003
ENSG00000151338.18	0.352489126646192	3.32232432884048	4.31704570805335	3.34427902506356e-05	0.014203483724693	2.12891100704644
ENSG00000166446.14	-1.14278090078237	3.25128530756233	-4.30940717091969	3.45073204058376e-05	0.014203483724693	2.04416292738825
ENSG00000078725.12	-1.92288751177818	-2.21097007328233	-4.3517643714092	2.92272470403174e-05	0.0132033737732256	1.96986550724338
ENSG00000122390.17	-0.269141496579534	5.73645765088097	-4.31085520809663	3.42596527819721e-05	0.014203483724693	1.93920883289683
ENSG00000197471.11	-0.71445209511887	0.929710726616163	-4.2517609618183	4.3086731281437e-05	0.0161949262014014	1.92283445793742
ENSG00000147231.13	0.975442466288395	2.81517700499385	4.24645042778148	4.39991928810363e-05	0.0161949262014014	1.90770301778162
ENSG00000172236.16	-1.05728447652328	4.30608994734345	-4.28258338589869	3.82990745359825e-05	0.0154610417819105	1.87055595519171
ENSG00000147119.3	-0.591693481721405	3.21668217839801	-4.24419228677361	4.4364059881207e-05	0.0161949262014014	1.83666068481073
ENSG00000174939.10	-1.05636697405038	0.792531927768565	-4.21245750444342	5.01462558637142e-05	0.0161949262014014	1.78870247301153
ENSG00000165025.14	-0.702919161118443	2.4078086664582	-4.21438159678675	4.97579613198083e-05	0.0161949262014014	1.77616606284591
ENSG00000171033.12	1.2163267066346	0.867688508391875	4.22160394844709	4.83961215830971e-05	0.0161949262014014	1.74810901714798
ENSG00000265206.5	-1.12772553280183	-1.56230604388899	-4.2537492807437	4.27570783469813e-05	0.0161949262014014	1.70307280380811
ENSG00000176399.3	1.03493885613315	-0.346803960931741	4.25230889984957	4.29956430503599e-05	0.0161949262014014	1.68018149170879
ENSG00000146281.5	0.475463898717206	5.18912754857603	4.22937943717307	4.69700074896173e-05	0.0161949262014014	1.67917914683339
ENSG00000142408.4	-0.897404487635167	-1.02839544850853	-4.2174158625402	4.91814001139836e-05	0.0161949262014014	1.66614425729166
ENSG00000178814.16	-0.708467905706832	3.45672847096841	-4.20296375452392	5.2011961202435e-05	0.0165429559024472	1.6657833886176
ENSG00000146216.11	-0.978407565088905	-1.9575771640196	-4.23152915936875	4.65829007111889e-05	0.0161949262014014	1.5378515592622
ENSG00000125744.11	-1.01010243934781	3.07748890753736	-4.16131416893013	6.10390472701742e-05	0.0183047382899357	1.53383092636792
ENSG00000186810.7	-1.44142429012631	-2.45965741723308	-4.24187565485243	4.4762244560593e-05	0.0161949262014014	1.5151131855994
ENSG00000184305.14	0.769456722068879	0.497015885099953	4.13890858224866	6.63748900987452e-05	0.0188328482647286	1.4723003237235
