logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000254087.7	-0.695861325028824	3.84794895172768	-4.02169126278278	0.000103759989531137	0.752709550722047	-1.77364302814392
ENSG00000175040.5	-0.941094829342182	4.54807822110612	-3.55144269645708	0.00055681496018885	0.990078833189625	-2.14704917587011
ENSG00000182154.7	-0.412535813629077	5.24163172619345	-3.41684484182706	0.000876891679177806	0.990078833189625	-2.27848799995227
ENSG00000116685.15	-0.252806751848267	5.70982037542711	-3.35264553612819	0.00108446905418166	0.990078833189625	-2.34076907399041
ENSG00000144136.10	-0.524795151657068	5.15342029457749	-3.35130967512703	0.00108924163987512	0.990078833189625	-2.37417407095559
ENSG00000173334.3	-0.786179686370913	3.70283102659136	-3.59068061603712	0.000486552445062937	0.990078833189625	-2.38219051942937
ENSG00000270170.1	-0.470602126287954	3.41920492038663	-3.72590006827661	0.000303436061783146	0.990078833189625	-2.44232027414509
ENSG00000188486.3	-0.672905683209955	4.30946181033629	-3.40171854302871	0.000922241694829165	0.990078833189625	-2.44603556572977
ENSG00000170604.4	-0.308826839104572	4.54577640764005	-3.35422332091746	0.00107885739388081	0.990078833189625	-2.50909238437486
ENSG00000160888.6	-0.569580095567997	5.88311050815389	-3.22088515522116	0.00166259801394614	0.990078833189625	-2.51964615996529
ENSG00000168502.17	-0.6275936818213	4.57694823852076	-3.30282109436241	0.001276507765674	0.990078833189625	-2.52587775263777
ENSG00000130748.6	-0.757156346906746	2.19579239984365	-4.14152976950212	6.6155815711939e-05	0.752709550722047	-2.52946713410772
ENSG00000136816.15	-0.242741674590568	4.30000761318602	-3.37907499973871	0.000993981061783711	0.990078833189625	-2.56509727376157
ENSG00000140406.3	-0.46568476613712	4.44880424801146	-3.22805057170899	0.00162481030656155	0.990078833189625	-2.67356219186472
ENSG00000114383.9	-0.277335246537766	4.29304637246487	-3.21562228049555	0.00169068264884014	0.990078833189625	-2.76286634627065
ENSG00000126461.14	-0.167599695047801	6.36205305255156	-3.02099626190136	0.00310607815600181	0.990078833189625	-2.79271329165806
ENSG00000148690.11	0.302238539934119	5.02951241927252	3.10180154193771	0.00242074514372995	0.990078833189625	-2.8230024483986
ENSG00000107984.9	-1.28928295187842	3.2102922466201	-3.23826086427194	0.00157314260015807	0.990078833189625	-2.87550120805457
ENSG00000130726.11	-0.23510078653392	7.67071194566864	-2.9809025057733	0.00350898048840326	0.990078833189625	-2.89323039156923
ENSG00000134202.10	0.589409739746135	5.90301067719674	2.935073199716	0.00402875020507694	0.990078833189625	-2.94219498998229
ENSG00000181588.16	-0.298166632933796	4.25803589402643	-2.9838846693229	0.00347742967181241	0.990078833189625	-3.04454580132698
ENSG00000160113.5	-0.450354556666076	5.34440219905314	-2.83270599689359	0.00545261546595118	0.990078833189625	-3.05687798756023
ENSG00000169016.16	-0.275866116961042	3.56009759763248	-3.16557599534114	0.00198193701784797	0.990078833189625	-3.05987726068238
ENSG00000125901.5	-0.236787874222809	4.93575017945639	-2.86406256999697	0.00497368283243668	0.990078833189625	-3.06936953306588
ENSG00000186283.13	-0.232445786591501	4.81434221049664	-2.86814648434796	0.00491422590855664	0.990078833189625	-3.08153708821642
ENSG00000168061.14	-0.509629615775215	2.56543378001489	-3.45766259173533	0.000764982308032395	0.990078833189625	-3.08248420814436
ENSG00000132661.3	-0.326432261348322	3.70693165059387	-3.05790858717335	0.00277336273722996	0.990078833189625	-3.10824347113697
ENSG00000120875.8	-1.14858443044304	2.57009363596094	-3.22661719344171	0.0016325776822184	0.990078833189625	-3.13108343616818
ENSG00000179588.8	-0.353278094109803	2.7316975143707	-3.37944167749689	0.000992776955746003	0.990078833189625	-3.13310400417623
ENSG00000149658.17	-0.174420796842217	5.52182935300349	-2.76391342097363	0.00665437016213055	0.990078833189625	-3.14219624106664
