logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000048540.14	1.28547640673098	5.82193024928296	8.25559436824822	5.12015102547388e-14	1.1014980901102e-09	21.393014065383
ENSG00000013375.15	-0.946156908613821	5.62651665922079	-6.85981803489656	1.3964810155117e-10	1.50212480433516e-06	13.7289765781747
ENSG00000100344.10	-1.98321535241674	1.19318786956806	-6.66766917888809	3.92575885887091e-10	2.57871723558934e-06	12.697111535793
ENSG00000185924.6	-1.3512504215017	2.97804387396178	-6.6178312793323	5.11986167880058e-10	2.57871723558934e-06	12.5075773665519
ENSG00000181938.13	-0.76971528725016	2.40940968918926	-6.56970320128709	6.58802457179735e-10	2.57871723558934e-06	12.250401685917
ENSG00000144031.11	-1.25270393447109	2.82180920345999	-6.55375952922628	7.19207149794824e-10	2.57871723558934e-06	12.1828804744695
ENSG00000112319.17	1.25401478836961	0.809089502042031	6.46676040210371	1.13410884989491e-09	3.48544052682703e-06	11.3141785317692
ENSG00000174145.7	-2.62869869314851	1.36501534394102	-6.38057258730493	1.78606912606583e-09	4.26930056767269e-06	11.3002574320836
ENSG00000140905.10	-0.814564492454278	3.21840183727369	-6.35178006150155	2.06881360425237e-09	4.45063870682812e-06	11.1718000799817
ENSG00000163564.14	1.46114534197995	1.55223217712618	6.39603694387182	1.64263375927596e-09	4.26930056767269e-06	11.1284818201107
ENSG00000172425.10	-1.6381613699709	-0.997027108246647	-6.28038027857929	2.99653705022026e-09	5.8604092328535e-06	10.3912220882737
ENSG00000176014.12	-1.13575187068102	7.4484532660489	-6.17902030217801	5.06069046926012e-09	8.56910770546676e-06	10.2932463690601
ENSG00000114646.9	-1.15766542020204	-0.324125887072616	-6.17400996442658	5.17818993962106e-09	8.56910770546676e-06	10.0160723776569
ENSG00000053438.8	-1.68609663105372	3.42512266910554	-6.03791147656736	1.03736038289491e-08	1.53255681378775e-05	9.61065310263275
ENSG00000137880.5	-0.968625482847452	0.750458464514583	-6.00673716708724	1.21105684164885e-08	1.53255681378775e-05	9.39818754055357
ENSG00000196208.13	-1.2201812870283	2.10137359409599	-5.95093358893663	1.60615471733227e-08	1.82316978001629e-05	9.22651075705789
ENSG00000270823.1	-1.78666680172676	-0.934740873110771	-6.01207562293521	1.18093340111329e-08	1.53255681378775e-05	9.19928965920715
ENSG00000145246.13	0.427675867213276	4.79333273230402	5.91919955266043	1.87885881273874e-08	1.82316978001629e-05	9.02717457114744
ENSG00000140374.15	-0.612528642743372	6.50082721657128	-5.91456488432297	1.92285299294938e-08	1.82316978001629e-05	8.98752395350382
ENSG00000155324.9	0.618853008411377	4.52925754393417	5.90579865214922	2.00884298414922e-08	1.82316978001629e-05	8.98089897183713
ENSG00000139641.12	-0.961540084809772	8.08706104913738	-5.89716175944221	2.10088240211628e-08	1.82316978001629e-05	8.93820470532522
ENSG00000267069.1	-1.6848331577097	-1.82861838033923	-6.00956670893756	1.19391100414941e-08	1.53255681378775e-05	8.90661312637968
ENSG00000004455.16	-0.536508045147847	6.60508354184023	-5.88951918979614	2.17864032958791e-08	1.82316978001629e-05	8.86855443866523
ENSG00000105357.15	-1.45318088148156	3.95127011787455	-5.88027820224827	2.28641664131381e-08	1.82316978001629e-05	8.83574786746767
ENSG00000174332.5	-1.05736143551379	0.736219133632454	-5.88088447552183	2.27432873350507e-08	1.82316978001629e-05	8.8203982145648
ENSG00000006625.17	-1.26797871132733	5.32579404007828	-5.8776289836748	2.31674192009202e-08	1.82316978001629e-05	8.80081721956688
ENSG00000168944.15	0.445965956881189	4.78517969418573	5.86794864339759	2.42543175403529e-08	1.82316978001629e-05	8.78295786881606
ENSG00000007174.17	-1.23159517415499	0.83562687930621	-5.86013885717096	2.5223717836739e-08	1.82316978001629e-05	8.74237393916934
ENSG00000165376.10	-1.40091146029454	-0.810822079783818	-5.90929346706315	1.97411908981122e-08	1.82316978001629e-05	8.72822878963997
ENSG00000165629.19	-0.371663824930471	6.57163731194137	-5.8584644746293	2.54242055503597e-08	1.82316978001629e-05	8.71766719331042
ENSG00000147231.13	0.77497586941999	1.19627711608744	5.84427674529813	2.72781404441368e-08	1.86591956856354e-05	8.58342459514604
ENSG00000198380.12	-0.663715415407531	6.74515383102516	-5.82451746984501	3.00823538368943e-08	1.96109599422154e-05	8.56299414422726
ENSG00000131080.14	1.39216655205033	1.98084518663444	5.81263448129597	3.19348268047305e-08	2.02062920308873e-05	8.48615351642423
ENSG00000133028.10	-0.530115330611334	5.10775092355408	-5.80345289329036	3.33826475403296e-08	2.0518882758146e-05	8.44840065969587
ENSG00000103034.14	-1.45122483729837	4.38259263271973	-5.79731439440807	3.44843186272282e-08	2.06072540729878e-05	8.42829506987064
ENSG00000172667.10	0.552637013352629	4.53879775340446	5.77962668048389	3.75437398586785e-08	2.18291479886419e-05	8.38036443709881
ENSG00000139197.10	-0.632573362196686	6.00356004917364	-5.76616906199256	4.01223147941654e-08	2.27145094254442e-05	8.27307216624084
ENSG00000259494.1	-0.657866895670825	3.95100020494186	-5.75105094650288	4.32072057263481e-08	2.38337594048955e-05	8.23989416866046
ENSG00000062485.18	-0.728233023479836	7.65349412393572	-5.72010244788363	5.02941549833438e-08	2.6703287551713e-05	8.09071292532462
ENSG00000185043.10	-0.409085637572905	5.57624007940787	-5.7176487410357	5.08917765825423e-08	2.6703287551713e-05	8.04001511396033
ENSG00000070159.13	-0.802469714821186	3.8839850681607	-5.6843733558768	5.99588482430232e-08	2.97719135948583e-05	7.92644508237503
ENSG00000101220.17	-0.769429442375977	5.60992001452487	-5.68555396946798	5.96347030053631e-08	2.97719135948583e-05	7.88989727662489
ENSG00000179604.9	-0.92928574356388	7.30735679970715	-5.67262835864925	6.35247235155312e-08	2.97719135948583e-05	7.86244092138617
ENSG00000177822.7	-1.2586262238719	1.56426506271932	-5.65854730073395	6.79935821785804e-08	3.04738736126625e-05	7.86008309163269
ENSG00000175198.15	-0.633482541780927	4.806966748402	-5.67295702015251	6.33155904178528e-08	2.97719135948583e-05	7.83924753524725
ENSG00000013392.7	-0.492795722472458	3.0489013941441	-5.642176255643	7.35096541055614e-08	3.16282637754589e-05	7.78040928878629
ENSG00000106853.18	-0.531057361531523	5.09754993321123	-5.649079825284	7.10871198571052e-08	3.12101471323654e-05	7.72275970690294
ENSG00000237984.3	-0.762349136859246	-0.4025517346493	-5.67177797731836	6.36595558668472e-08	2.97719135948583e-05	7.70071441497273
ENSG00000131115.15	0.479530352805518	2.97330978396807	5.61224166877591	8.49811277224126e-08	3.44943207677785e-05	7.6556805664263
ENSG00000169047.5	-0.592758224400814	5.29485217824632	-5.63056527132815	7.77672616367601e-08	3.2684759343934e-05	7.63413244875759
ENSG00000128311.13	-1.08457408411165	4.83302109132813	-5.62771519213535	7.90037412673531e-08	3.2684759343934e-05	7.62422750875303
ENSG00000234546.3	1.10608581043832	-1.51699657376771	5.84077987218765	2.77550440171215e-08	1.86591956856354e-05	7.61961013746293
ENSG00000142208.15	-0.470566971079404	6.6782121408084	-5.60217024034846	8.92205150906067e-08	3.55444618730412e-05	7.51641079527635
ENSG00000182054.9	-0.678555206660508	5.08343111083617	-5.58075331000694	9.90421520608875e-08	3.80481038801049e-05	7.40429134135738
ENSG00000173171.14	-0.462436865309026	3.11646928357563	-5.55456177905101	1.12224132358838e-07	4.02379626572613e-05	7.37728464571107
ENSG00000127418.14	-1.08676521865193	5.86595698956377	-5.57340086067163	1.02696056440191e-07	3.8759653722769e-05	7.37464432887455
ENSG00000134072.10	-0.588778133057972	5.34253421397355	-5.56097454588326	1.08823966575658e-07	4.02379626572613e-05	7.3114884732016
ENSG00000166347.18	-0.955837357695259	6.67786718761344	-5.55631183613116	1.11493693287128e-07	4.02379626572613e-05	7.30988801960723
ENSG00000182890.4	-0.687898754158117	0.97666876426917	-5.53605700533143	1.22649207424745e-07	4.20226053541982e-05	7.26931841941153
ENSG00000110955.8	-0.569499505745688	8.84617202335398	-5.52957261172368	1.26521484467174e-07	4.20226053541982e-05	7.23439785444995
ENSG00000084754.10	-0.360713202054265	7.82770763394965	-5.53421423720281	1.23737722627211e-07	4.20226053541982e-05	7.2285347043012
ENSG00000119139.17	-0.540571442744783	7.38302254338898	-5.52883687153528	1.26968314415604e-07	4.20226053541982e-05	7.1957971421409
ENSG00000135144.7	-0.918112410042009	5.45723528560815	-5.53348990626999	1.24398582378058e-07	4.20226053541982e-05	7.18486758986407
ENSG00000134160.13	-1.52195639892109	-2.53729044864474	-5.66645650893155	6.53296798770971e-08	2.99029234722551e-05	7.1541053227257
ENSG00000164318.17	-0.993818284786039	5.18669754353328	-5.52013335939849	1.32616079647978e-07	4.26551777755899e-05	7.12396001130167
ENSG00000131828.13	-0.602326500799392	6.11101254011388	-5.51813029753173	1.33664559122049e-07	4.26551777755899e-05	7.11976443198935
ENSG00000008323.15	-1.4492798216557	3.93781646963254	-5.51219217946274	1.37750569109846e-07	4.26551777755899e-05	7.11622716496485
ENSG00000157873.17	0.514915221848999	6.24903671434347	5.51499263401344	1.35669249635734e-07	4.26551777755899e-05	7.09959579774767
ENSG00000140740.10	-0.411443582000932	7.22459471910421	-5.50769659585663	1.40486223444117e-07	4.26551777755899e-05	7.09334469272938
ENSG00000154518.9	-0.623928614594006	6.78064341850425	-5.49278362595526	1.50857051938724e-07	4.4457366552846e-05	7.01781560860002
ENSG00000278530.4	1.19055498324935	-0.417116006871821	5.58302638702171	9.78559193067313e-08	3.80481038801049e-05	6.9967389538501
ENSG00000132305.20	-0.363875094007431	6.23800594815541	-5.48813897391484	1.54237011450575e-07	4.48381200895491e-05	6.98198491782123
ENSG00000185721.12	-0.334921721969174	5.29981898281893	-5.48532912355121	1.56317529248184e-07	4.48381200895491e-05	6.96516637311413
ENSG00000131844.15	-0.76153653920291	5.74852490449484	-5.4770398032446	1.62907382759153e-07	4.61135069118113e-05	6.92714930212262
ENSG00000108559.11	-0.338887852694834	4.80168512477166	-5.46537094245173	1.71904088737031e-07	4.80282163766201e-05	6.8862320631626
ENSG00000135900.3	-0.408597040435175	4.14503231555981	-5.45351104547897	1.81873946224452e-07	4.83970422303793e-05	6.86237850617442
ENSG00000106484.14	-1.4224565354373	6.5544509617939	-5.45709487875955	1.7911947074079e-07	4.83970422303793e-05	6.86062081475714
ENSG00000180921.6	-1.13179787940633	2.36155400022288	-5.43492857290077	1.9898593167097e-07	4.93842018318309e-05	6.8495707669979
ENSG00000170262.12	-1.59638405154593	0.792713329876618	-5.43415893043582	1.99712990255626e-07	4.93842018318309e-05	6.83624803360092
ENSG00000138029.13	-0.380060523005216	7.1866835240529	-5.44831237190523	1.86419935574853e-07	4.83970422303793e-05	6.82140951981201
ENSG00000167315.17	-0.865997844926414	6.87271073078437	-5.44834128751222	1.86722191471273e-07	4.83970422303793e-05	6.81966826961971
ENSG00000131748.15	0.276162310866962	5.81480624664561	5.4509509443397	1.84098948808444e-07	4.83970422303793e-05	6.80679989550424
ENSG00000137547.8	-0.480031984365996	4.53588637321842	-5.44135458784634	1.92678000408541e-07	4.93462121760588e-05	6.78488065479207
ENSG00000178127.12	-0.376118843870247	5.84943868040569	-5.43852589731087	1.95280401770016e-07	4.93842018318309e-05	6.751082104568
ENSG00000130707.17	-0.865337425732262	7.58477252157123	-5.42717781306014	2.06398232306256e-07	5.04573314955054e-05	6.74162917991353
ENSG00000171551.11	-1.31153013569457	0.650211687623049	-5.41039165115084	2.23373167623567e-07	5.23800939118621e-05	6.71666443882815
ENSG00000117592.8	-0.847671951350065	8.64328618984291	-5.40546507078262	2.28553822392172e-07	5.23800939118621e-05	6.67060147551161
ENSG00000091483.6	-0.497564033231001	5.58009307202608	-5.4207231114323	2.12463701257674e-07	5.08427378160711e-05	6.66959933724858
ENSG00000178821.12	-1.11316189525906	-0.270739845193196	-5.42048677034071	2.12701455094426e-07	5.08427378160711e-05	6.66712769566579
ENSG00000185158.12	0.576016132992213	3.14377883072287	5.38497626888273	2.51534270025083e-07	5.46912964609271e-05	6.63359453527265
ENSG00000183048.11	-1.21396607314065	4.16787630889009	-5.40432424639174	2.29983759278836e-07	5.23800939118621e-05	6.61905690727501
