logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000171557.16	-4.1632936893169	1.84380471410571	-5.8311692871326	4.99815843497035e-07	0.0096924288370945	5.37528132718265
ENSG00000177363.4	-1.22651741567329	3.09119232831751	-5.25690315415167	3.58592725678796e-06	0.017384575340908	3.82814873556026
ENSG00000124762.13	1.62796745525083	6.62647443995898	5.1709623795643	4.81554127106545e-06	0.0186765952657003	3.81721434722729
ENSG00000178075.19	-1.45115536429681	1.90837914899186	-5.39925751212389	2.20174073938455e-06	0.0142320521393818	3.77357067590751
ENSG00000141485.16	-2.65088614041072	0.927390991674709	-5.44501079675184	1.89042833557802e-06	0.0142320521393818	3.7293819031352
ENSG00000178538.9	-1.70480750456446	0.803721945448809	-4.85761070673997	1.38206776029203e-05	0.0382872257251186	1.95923846751543
ENSG00000170915.8	-1.14754360004461	3.5233329530584	-4.2301846679285	0.000108465167503899	0.262919566029452	1.07102949993012
ENSG00000236780.5	-0.946538968532432	2.07974073976947	-4.12779178480935	0.000149948670398652	0.290780461637066	0.532619892929524
ENSG00000180767.9	-1.43623177828571	-1.626310941209	-4.8714660292441	1.31588016732559e-05	0.0382872257251186	0.386827692065534
ENSG00000177410.12	0.613297396975954	3.83600187816577	3.97804776148148	0.000240568767124661	0.388759127673452	0.315415478352825
ENSG00000076944.15	-0.592980777826745	4.61459577461153	-3.88606964350718	0.00032051121139584	0.405606641360138	0.199408547603463
ENSG00000256073.3	-0.56360654432172	2.40013485171065	-3.93026978829133	0.000279326329691921	0.400841448882445	0.0640970286153886
ENSG00000166347.18	-1.25319795460688	5.00408845908332	-3.81758123125589	0.000397040004141378	0.405606641360138	0.0218221583274962
ENSG00000146700.8	-0.723145590784049	0.428201027768641	-4.1510900139591	0.000139233110208595	0.290780461637066	0.0101514043228672
ENSG00000181026.14	1.06300802311094	4.49640926724777	3.83749588597179	0.000373395708190289	0.405606641360138	0.00232128418588751
ENSG00000187815.9	-0.704192017435569	1.01270322695312	-4.02561059796359	0.000207181203421419	0.365241626977105	-0.048491725112016
ENSG00000174307.6	0.629438647273351	4.93022027811765	3.72739696356282	0.00052231046688935	0.451581811456377	-0.22818107282638
ENSG00000139132.14	-0.670369865505201	3.91123912159845	-3.70248307118769	0.000563486533841086	0.451581811456377	-0.300826252302275
ENSG00000171759.9	-1.62020599709909	2.30694903632901	-3.73252325286006	0.000515298136808318	0.451581811456377	-0.320994599283494
ENSG00000157827.19	0.390809360033594	6.31997593089803	3.68318612465815	0.000597505516787187	0.451581811456377	-0.327736427520806
ENSG00000165996.13	-1.10570135024849	2.16535168827906	-3.75141355552363	0.000485957370289363	0.451581811456377	-0.338657786061864
ENSG00000125744.11	-0.760613501445804	2.99972588088189	-3.66998698754838	0.000621901604471483	0.451581811456377	-0.445588886222311
ENSG00000196372.12	-0.417542709666509	5.68199104541661	-3.62339708006471	0.000715889334943323	0.466183353768788	-0.482621935623899
ENSG00000135679.22	0.491884871958726	5.98390647986515	3.62094333602257	0.000721199495310624	0.466183353768788	-0.489037126106945
ENSG00000224945.1	0.848433977543368	4.19547384966755	3.64565209625546	0.000670153689702321	0.46412929823955	-0.492330031439963
ENSG00000117791.15	-0.503005453811275	4.62818806895609	-3.56190329544923	0.000860959689589128	0.522240655785398	-0.643701165883928
ENSG00000095203.14	-0.768790298020491	4.69737277550608	-3.52353381131042	0.00096702019028627	0.522240655785398	-0.741055637824124
ENSG00000160229.11	-0.726203730362443	-0.04094234461032	-3.83743384162668	0.000372603080485322	0.405606641360138	-0.788300547045105
ENSG00000105248.15	-0.30437695788998	3.99448372103336	-3.49902649849569	0.0010381713858139	0.522240655785398	-0.816360148707853
ENSG00000213801.4	-0.516643274213634	0.955832382101488	-3.67827749658352	0.000606468849419107	0.451581811456377	-0.844054577992793
ENSG00000124006.14	-0.395208209138634	7.82463045496477	-3.47725855573605	0.00110726881064799	0.522240655785398	-0.864109606977692
ENSG00000278952.1	-1.32975548208599	2.12037881724905	-3.52309362000914	0.000968286289148037	0.522240655785398	-0.866840733991894
ENSG00000100243.20	-0.592876668628751	8.49647676993476	-3.46508024517947	0.00114781851740401	0.522240655785398	-0.904401218288554
ENSG00000237575.4	-0.957616101748244	3.78614005798363	-3.45399596489776	0.00118792788859302	0.522240655785398	-0.924452199509956
ENSG00000005187.11	-1.2459562275907	3.13492816781968	-3.45131177613244	0.00119735358709893	0.522240655785398	-0.948982451546821
ENSG00000166199.12	-0.308258000540105	3.52390010953594	-3.39980930120958	0.00139042312058067	0.556053987562793	-1.07889780877085
ENSG00000174276.6	-0.635805216288572	3.94257000985383	-3.38394003697558	0.00145660724660183	0.564930554522054	-1.09516774605834
ENSG00000231770.5	-0.703814457164261	1.44686776877478	-3.48759474826602	0.00107392873188743	0.522240655785398	-1.11324255360519
ENSG00000134602.15	-0.794853825186558	0.734539102945737	-3.53963711575681	0.000920120461836839	0.522240655785398	-1.13890107360042
ENSG00000253305.2	-0.868633127904768	2.37526346046111	-3.39635299536282	0.00140504565751737	0.556053987562793	-1.15384707274617
ENSG00000244476.2	-1.63454910706879	-0.670620224715135	-3.66674523993581	0.000628749428079733	0.451581811456377	-1.15647394557832
ENSG00000165495.15	-1.25922970388366	2.76955738028252	-3.35135909024132	0.00160370298277869	0.566602969375799	-1.20718885306775
ENSG00000011198.7	-0.757850104279118	3.52550630182736	-3.33281512207888	0.00169117170725767	0.566602969375799	-1.22775892060009
ENSG00000131791.7	-0.552137617960738	5.30482911812593	-3.31559295041685	0.00177609480473593	0.566602969375799	-1.25885200529084
ENSG00000152465.17	-0.400412210663006	2.87535835118382	-3.32390759399498	0.00173388852072111	0.566602969375799	-1.29767893891085
ENSG00000134463.14	-0.970917842049458	4.74626255225756	-3.29691035180266	0.00187711029173914	0.587111657700088	-1.30498684330828
ENSG00000276900.1	-0.623338175251719	0.649409275229594	-3.44665190534208	0.00121188270989805	0.522240655785398	-1.37142706176302
ENSG00000269556.7	-0.36518786727376	3.67718316929896	-3.266344708562	0.00204654490632886	0.587516481939711	-1.38598641036485
ENSG00000162542.13	-0.274646983341849	4.83915330727164	-3.25719271453568	0.00210092788735032	0.587516481939711	-1.40001783414429
ENSG00000132541.10	-0.484222500804007	4.81373006178456	-3.25584645955743	0.00210904209183825	0.587516481939711	-1.40357201467512
ENSG00000266094.7	0.512751107261177	5.37935022527366	3.25177429282938	0.00213376695925206	0.587516481939711	-1.41319902923388
ENSG00000113389.15	-1.02133321550663	3.42356778441777	-3.24942876810524	0.00215107622822398	0.587516481939711	-1.42341969308043
ENSG00000149043.16	-1.84331541276549	-1.97577609462692	-3.81654128011274	0.000397407497207231	0.405606641360138	-1.46370861812718
ENSG00000146373.16	0.514743993712498	4.50135533019531	3.23041447852876	0.00226801270140031	0.610851420910484	-1.46537524993613
ENSG00000213512.1	-1.63236212911483	-0.578347266981771	-3.4819611257754	0.00109371891498169	0.522240655785398	-1.48579075747166
ENSG00000162409.10	0.750286885679257	2.16512105630323	3.31437606087009	0.00178232163427824	0.566602969375799	-1.50582476045014
