logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000135835.11	-1.71643798808529	0.262638536424558	-6.23107710352017	5.14399886620754e-09	7.43220067220813e-05	10.1797959132774
ENSG00000163155.11	-1.11285632349163	1.70116912829648	-6.15813638380021	7.39559248938567e-09	7.43220067220813e-05	9.93684905464824
ENSG00000185112.5	-1.02334104632748	1.90100948270686	-5.56738971951086	1.28303972132541e-07	0.000492526393916207	7.2759436025574
ENSG00000168612.4	-0.844993440716303	2.70612516452971	-5.50883787128518	1.68729729634782e-07	0.000492526393916207	7.02399075808859
ENSG00000108798.8	1.04437600413313	5.55473984307129	5.51004775570048	1.67780352014854e-07	0.000492526393916207	7.0123508495976
ENSG00000111653.19	-0.668666936189422	4.20114310732345	-5.50530115289618	1.71535138932954e-07	0.000492526393916207	6.99434821674659
ENSG00000243155.1	-1.81751522321684	-0.98535903615978	-5.53518377571802	1.49196694885107e-07	0.000492526393916207	6.98306598568067
ENSG00000261455.1	-0.763793549119882	1.52715217749142	-5.46344967592096	2.08397529977316e-07	0.000523572744376759	6.81047721758391
ENSG00000260822.1	-1.10300733275005	4.259819292435	-5.43077618418095	2.42453096906063e-07	0.000541451643857219	6.6655990816391
ENSG00000174151.14	-1.122170236315	4.01137036392363	-5.38312875895867	3.02042846088907e-07	0.000574573821728157	6.45947068764472
ENSG00000235314.1	-1.02970404206508	1.69771245197343	-5.35632857619694	3.41609751236487e-07	0.000574573821728157	6.35980254927539
ENSG00000187049.9	-0.799729821089825	3.17461681890664	-5.35541361264149	3.43046214276227e-07	0.000574573821728157	6.35218163030502
ENSG00000168003.16	1.19589994835579	6.83567030355827	5.31199607068672	4.1842144223104e-07	0.000600703754814405	6.14836641756548
ENSG00000129993.14	-0.680327638233536	4.60117168682822	-5.29283642203806	4.56609894671045e-07	0.000611826818199556	6.06486386999601
ENSG00000173114.12	-2.22928941536257	-1.69781299507071	-5.31844463850857	4.06283095216884e-07	0.000600703754814405	6.03607186864808
ENSG00000272825.1	-1.2662864036873	0.734049695321152	-5.25363436589889	5.45628175533363e-07	0.000616590586285126	5.9033436704781
ENSG00000197013.9	-1.1467023071996	2.14845300187936	-5.23396052246338	5.96464176244556e-07	0.000616590586285126	5.84275174835829
ENSG00000164576.11	-1.27142242261743	4.18845541924832	-5.23693280696855	5.88498278400184e-07	0.000616590586285126	5.82750662770753
ENSG00000125170.10	-1.0777120730195	1.52330518142533	-5.22534718675273	6.20146320581312e-07	0.000616590586285126	5.8040941529853
ENSG00000101190.12	-0.924307311548331	1.89892345372366	-5.22104611553133	6.32312431011475e-07	0.000616590586285126	5.78883889490883
ENSG00000168209.4	2.02602408862103	6.71985340913826	5.20817754175352	6.72002872982264e-07	0.000616590586285126	5.69938104207575
ENSG00000175938.6	-0.71091354842725	4.78824409627116	-5.16440302919101	8.1592945941789e-07	0.000655974648193607	5.51542941526788
ENSG00000110881.11	-1.22550744008498	-1.98538251139636	-5.20567685116645	6.77715428051616e-07	0.000616590586285126	5.48072010561359
ENSG00000204947.8	-1.27601150370106	-0.532686511756375	-5.1664669318621	8.08409315564743e-07	0.000655974648193607	5.47589411350541
