logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000185633.10	2.10841863721416	6.85455764106563	10.841687011815	1.29796342206966e-21	2.68211161536475e-17	38.4768368617393
ENSG00000172667.10	0.681151309926379	5.44458461184344	8.3500573834169	1.40370274135955e-14	9.66870448248461e-11	22.5842097003921
ENSG00000244694.7	1.73051757499057	0.0762020417718374	8.37593756034518	1.19577340080801e-14	9.66870448248461e-11	21.8873403163474
ENSG00000234546.3	1.32439890585601	-0.909824695300207	8.29731703754987	1.94478880562096e-14	1.00467789698379e-10	21.0319812550318
ENSG00000163531.15	1.28398723295034	6.07358980832116	8.00229954982152	1.19447483357017e-13	4.54153095892691e-10	20.4858203861366
ENSG00000081803.15	0.567635864862939	4.38678334020413	7.98459645069218	1.31867914022268e-13	4.54153095892691e-10	20.429663541976
ENSG00000261625.1	-1.04210910807865	1.96601782733835	-7.7234792141356	6.34909923851224e-13	1.87425409520881e-09	18.9250683518266
ENSG00000170581.13	0.443661258057593	6.98391411705471	7.59950407793796	1.32708455322043e-12	2.9477740467191e-09	18.1332611857199
ENSG00000048540.14	1.17200394727305	5.15541152119364	7.58851023420237	1.42652634858648e-12	2.9477740467191e-09	18.0919095041413
ENSG00000151575.14	1.12336347565312	0.791404867834748	7.59035146511507	1.40098745969023e-12	2.9477740467191e-09	17.8835168702263
ENSG00000184226.14	1.18077353595146	3.18471145999311	7.30166671315185	7.61744912683434e-12	1.21082283659157e-08	16.529344008523
ENSG00000118160.13	-1.31752883947174	-0.112488575047246	-7.31189195817039	7.17008855552822e-12	1.21082283659157e-08	16.4464837190677
ENSG00000170615.14	1.4010469502216	-1.70209672571298	7.50149693277092	2.36687493702489e-12	4.44628215442566e-09	16.3508270241481
ENSG00000228526.6	0.959974502117658	3.85121105081237	7.15892463971953	1.73589122449312e-11	2.39136375086172e-08	15.7215279177789
ENSG00000170381.12	2.09175103055614	0.637746668787083	7.18791435038551	1.47107048470084e-11	2.17130003541844e-08	15.4993574485394
ENSG00000120658.13	-1.34054054835911	0.223227762962451	-7.10089333374301	2.41825252129997e-11	3.12317313125891e-08	15.3388545217367
ENSG00000146350.13	0.665639663589196	1.75741945888947	7.08602622612782	2.63262144586229e-11	3.20002879748814e-08	15.294745096326
ENSG00000197321.14	-0.678748371725445	8.88368881138246	-6.96920580269927	5.11390217987216e-11	5.56177234973044e-08	14.6462101306819
ENSG00000181104.6	1.13342149619176	6.17823592623379	6.98260960571767	4.76605438461786e-11	5.47143043354131e-08	14.6310768358682
ENSG00000131080.14	1.13361035342116	3.29584677105261	6.94615846956213	5.83718023366082e-11	6.03097461741836e-08	14.570162472957
ENSG00000152990.13	-0.532708368451536	4.58025161787136	-6.89720127482872	7.67652514001746e-11	7.55370073777718e-08	14.1800304582761
ENSG00000143149.12	-0.450642522241297	5.59569170557797	-6.88297576680798	8.31564587868003e-11	7.810659383502e-08	14.082817662393
ENSG00000141219.15	-0.36218031397588	4.14009627801922	-6.81629201877585	1.20826806080855e-10	1.08555005254556e-07	13.7673695414971
ENSG00000186340.14	1.51358105130133	8.91997741369798	6.80329425350956	1.30571342070559e-10	1.12421925522751e-07	13.6996367046503
ENSG00000153253.16	1.50079104951148	2.30653050895287	6.77934291823944	1.48939257854728e-10	1.18372339396543e-07	13.6505924659788
ENSG00000187068.2	-0.838078017086313	4.60977996322376	-6.78977530080969	1.40624058439039e-10	1.16234221743372e-07	13.5851994172803
ENSG00000100104.13	-0.296557386456114	3.33727625336678	-6.75129484754194	1.73564708924728e-10	1.27441002903914e-07	13.476413064741
ENSG00000105953.14	-0.489416163686818	6.9702464924039	-6.75985272348738	1.65500742536936e-10	1.26663234954935e-07	13.4402464497571
ENSG00000118564.14	-0.418635663983527	6.77252698830183	-6.74589412752349	1.78851581698292e-10	1.27441002903914e-07	13.3574309109568
ENSG00000165084.15	1.73522190703526	1.75488264164197	6.69384511678243	2.39406834389221e-10	1.64903427527295e-07	13.1498867137209
ENSG00000115339.13	1.23090599734718	0.914140145372617	6.6444434427385	3.13446360854192e-10	2.02407987521595e-07	12.8405079582767
ENSG00000143013.12	-0.5387213775933	6.00884377668147	-6.6519630015441	3.00729282262126e-10	2.0046031898918e-07	12.8350907077263
ENSG00000124641.15	-0.382615800994439	3.27269400206026	-6.61092073760389	3.76884665083641e-10	2.29057197626128e-07	12.7274786097342
ENSG00000124813.20	1.16418438762661	2.18070069359952	6.59611008900642	4.08787713301895e-10	2.37887177922057e-07	12.6955688284681
ENSG00000269958.1	0.49057477874208	3.63610354115413	6.58727637921705	4.29065759035528e-10	2.39627428235409e-07	12.6136130896359
ENSG00000185008.17	2.58198814581022	1.83447272824519	6.59442247800239	4.14437592198705e-10	2.37887177922057e-07	12.5839712850326
ENSG00000138650.8	1.8405602559467	5.1204284654351	6.5740779191066	4.63266480031926e-10	2.51919435352098e-07	12.5014967886088
ENSG00000112276.13	-0.683727209816346	4.47444120600708	-6.56711826917642	4.79426726011227e-10	2.54022406828102e-07	12.3991531194382
ENSG00000176049.15	2.02533459058041	-0.0922143746395567	6.61385816156844	3.71065198667924e-10	2.29057197626128e-07	12.3584999804535
ENSG00000235109.7	-0.616092313357586	2.58100006947305	-6.52073640024146	6.17119403414222e-10	3.1856213058248e-07	12.2875091486609
ENSG00000126215.13	0.628907304835288	4.35887196528466	6.51634056679418	6.32067719409683e-10	3.1856213058248e-07	12.1895303629787
ENSG00000178163.7	-0.589141099699683	3.51192935674639	-6.49268442279467	7.1883573589352e-10	3.45442363872179e-07	12.0752747172599
ENSG00000172935.8	-0.733730154851922	6.36281752608097	-6.50017129909959	6.9158371083372e-10	3.4025918573019e-07	12.0360509628635
ENSG00000154040.20	0.80175114529771	0.813931018679865	6.47996532337016	7.70223951490527e-10	3.47201947072817e-07	12.0204708220671
ENSG00000256537.4	-0.430022906523075	4.52766407355877	-6.48351743182728	7.55519819889483e-10	3.47201947072817e-07	11.9598928162093
ENSG00000166501.12	-1.10455220843827	3.00775736866959	-6.45795478345003	8.71438953130581e-10	3.67498255663068e-07	11.9096853259854
ENSG00000108387.14	0.604168071242969	5.84416543414236	6.47126844945856	8.07423110277169e-10	3.54991301080158e-07	11.8723113299422
ENSG00000138834.12	0.46677020850192	6.69877206127716	6.46524049856706	8.34237047686504e-10	3.5913904902904e-07	11.84438514493
ENSG00000205129.8	1.25680981261299	-0.69713718711918	6.47932507277349	7.72904063363801e-10	3.47201947072817e-07	11.6573925633332
ENSG00000136485.14	-0.332991569278936	5.88649323165329	-6.40485256164114	1.15608790447831e-09	4.75349461764102e-07	11.5213698414505
ENSG00000145391.13	-0.44253935257605	7.19314204488732	-6.32372731337979	1.7868595493163e-09	7.10070494751384e-07	11.1348078471958
ENSG00000188338.14	-1.1234805802786	-0.605535069197857	-6.29359220548193	2.09875310344707e-09	8.18276115653401e-07	11.0497164375776
ENSG00000143318.12	-1.04254872689384	1.65196542828962	-6.25069590984703	2.63674742454949e-09	1.00899534779427e-06	10.9220257270956
ENSG00000080224.17	1.98026238500173	-1.72966843938636	6.40212649946958	1.1731911803121e-09	4.75349461764102e-07	10.7785823015869
ENSG00000072062.13	-0.33028947478314	6.93644586150743	-6.24186103647347	2.76330586678829e-09	1.01965986484488e-06	10.7003089836839
ENSG00000116128.10	-0.440586794327718	4.86001720907641	-6.24310325862985	2.7451574631024e-09	1.01965986484488e-06	10.6918193146835
ENSG00000163462.17	1.48308177005773	1.52540160469986	6.20774213729093	3.31502243171378e-09	1.18106247463678e-06	10.6764300828771
ENSG00000170677.5	-0.381670342757196	4.29488147139206	-6.21899507999026	3.11919531316923e-09	1.13079038511104e-06	10.5992551966938
ENSG00000177981.10	-0.42095709721376	4.78081008116395	-6.18979298779539	3.63967256593041e-09	1.25350323170643e-06	10.4212366022594
ENSG00000147889.17	1.62451307757754	0.495607752971325	6.16094874309522	4.23774252095281e-09	1.34721094543029e-06	10.3300334367324
ENSG00000121022.13	-0.286824970170021	5.0860919101293	-6.17339580957752	3.96834031850764e-09	1.33549731921537e-06	10.3292165820889
ENSG00000250241.5	2.13291255674983	-0.127164590774035	6.20176275018862	3.42362790491977e-09	1.19908215300444e-06	10.3155897021995
ENSG00000185567.6	0.954805589869828	5.7818807072478	6.165452263025	4.15258876100539e-09	1.34721094543029e-06	10.2896595269979
ENSG00000143799.12	-0.359133356919732	5.84777293055077	-6.1634433909372	4.18184647069846e-09	1.34721094543029e-06	10.2722285384445
ENSG00000119630.13	1.48843742006564	5.18548575424438	6.13703794268282	4.82125432506816e-09	1.50949089959407e-06	10.2014045044895
ENSG00000172113.8	-0.318726369580162	2.85690046495161	-6.10283002637362	5.74758528508701e-09	1.67279017367659e-06	10.1327374440036
ENSG00000006695.10	-0.437795701770994	3.23715863002415	-6.10777459527903	5.60080295294112e-09	1.65335703170822e-06	10.119736316994
ENSG00000144635.8	-0.289576341026751	5.31268894720308	-6.1307935896771	4.96445391628303e-09	1.52043959969844e-06	10.1069444055173
ENSG00000132274.15	0.616359516599335	6.02708692671086	6.12937749338762	5.0033823451168e-09	1.52043959969844e-06	10.098518888655
ENSG00000117477.12	0.855276779504651	0.291903241486193	6.09857954090852	5.87677284371842e-09	1.68663380614719e-06	10.0658897244887
ENSG00000153246.12	0.675263681717572	6.06549696499757	6.1202020576587	5.2576648752533e-09	1.57455633307586e-06	10.050686145704
ENSG00000203808.10	-0.661370445375806	-0.044904109592402	-6.07836965285546	6.53101948661468e-09	1.79604558678958e-06	10.0228961783976
ENSG00000147124.12	-0.347533891653409	3.1349893687672	-6.07653484166924	6.59383633012534e-09	1.79604558678958e-06	9.97651810545149
ENSG00000214193.10	0.989027130757853	1.91960475408407	6.05438122770528	7.40065370155802e-09	1.98606633881812e-06	9.945967163834
ENSG00000120675.5	-0.436006632105027	5.00965308129156	-6.09174651347733	6.09044332852244e-09	1.72401261562449e-06	9.9138998816089
ENSG00000196208.13	-1.51136218216545	0.244263634053961	-6.02076054926427	8.83494943487466e-09	2.19958307376205e-06	9.77417340110078
ENSG00000132825.6	-0.400111027925281	2.91855893945353	-6.02662726406949	8.5489478496144e-09	2.18093158474607e-06	9.74181164550053
ENSG00000128655.16	1.4355454652665	0.144105064781948	6.02714358073739	8.52607131019638e-09	2.18093158474607e-06	9.65220691626625
ENSG00000166847.9	-0.34769890549771	5.7034226607771	-6.03856136133371	8.03523896514091e-09	2.12872023045733e-06	9.63756751852659
ENSG00000239789.5	-0.427387407660178	3.20523561758133	-6.0056459956881	9.5312168047314e-09	2.27260325751575e-06	9.61127406844381
ENSG00000132305.20	-0.287216328882259	6.1965675614762	-6.01749953596223	8.96344457546738e-09	2.20246522447105e-06	9.53711029230434
