logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000123545.5	-0.896985073125688	4.22136893077886	-9.89245903013263	6.69384144808297e-21	1.55310509278421e-16	36.7091747507507
ENSG00000132470.13	2.46791415666224	5.55081458220544	9.52606784495025	1.26885498065501e-19	1.47199866305787e-15	33.7772688125319
ENSG00000100916.13	-0.650083601798769	3.73066724305343	-9.11425224247668	3.17607018607183e-18	2.1182708768397e-14	30.700153493758
ENSG00000145545.11	-0.876130611725156	4.29363003320603	-9.02902942001531	6.11572723224659e-18	2.83794206485171e-14	30.0686487850659
ENSG00000242258.1	-3.01875981673777	-3.73631174032814	-9.09625711515527	3.65187635003828e-18	2.1182708768397e-14	29.2771345000002
ENSG00000164024.11	-0.459139249184343	4.02777491694461	-8.90863460167854	1.53254544299192e-17	5.92635322804977e-14	29.1715427649686
ENSG00000215105.4	-1.08783848281201	2.59832737115801	-8.8201148116698	2.9960381288123e-17	9.93058238067187e-14	28.4973556192283
ENSG00000174780.15	-0.541628472060991	5.22410966296281	-8.62774487129375	1.26583379729043e-16	3.26331952941472e-13	27.1201796792774
ENSG00000115762.16	-0.627651183391877	7.09127778045701	-8.56137530277987	2.07084072015736e-16	4.36796785355374e-13	26.6301576961529
ENSG00000113966.9	-0.819596905526023	3.26025004348314	-8.48765474195211	3.56677538922013e-16	6.39624724263835e-13	26.1075845775218
ENSG00000149531.15	-1.17298161725438	2.07626948051066	-8.48701980526893	3.58379511052058e-16	6.39624724263835e-13	26.0689701639004
ENSG00000144820.7	-2.22628894946475	-6.45588364546256	-8.73922852264177	5.50545280625432e-17	1.59671895013391e-13	24.9520014538971
ENSG00000242142.1	3.91651914588195	-1.05542901742945	8.58000920035885	1.80529008361723e-16	4.1886340520087e-13	23.880071604818
ENSG00000198890.7	-0.696622407419746	3.1508177754048	-8.16270599412205	3.76938459328281e-15	6.24694723809627e-12	23.8183038234176
ENSG00000137168.7	-0.58956161221147	4.14512481090513	-8.13106911139154	4.72582057453011e-15	7.30989926468318e-12	23.6024087883997
ENSG00000150768.15	-0.564755753180862	4.56392783916793	-8.09895709970748	5.94134576274649e-15	8.45309291164458e-12	23.3798299246422
ENSG00000115137.11	-0.585495621825593	3.95464601819637	-8.09311533341111	6.19354277639677e-15	8.45309291164458e-12	23.339977873547
ENSG00000132313.14	-0.4757897259616	5.16643948627183	-8.02367411613181	1.01355381985576e-14	1.29836966753485e-11	22.8613168720448
ENSG00000035141.7	-0.556430087862282	3.81343228502094	-8.01690572889804	1.06322832872865e-14	1.29836966753485e-11	22.815742400321
ENSG00000138442.9	-0.556155831039747	3.82918970834628	-7.99529431212021	1.23849109890015e-14	1.43677352383406e-11	22.6676988402943
ENSG00000107371.12	-0.353250061321457	2.72114213097806	-7.97152335199637	1.46431462917971e-14	1.61785847743941e-11	22.4854382828484
ENSG00000119185.12	-0.738784729445716	5.73789353059355	-7.86202527706498	3.15294069446692e-14	3.3252059087737e-11	21.761355813142
ENSG00000156170.12	-0.373260051176243	3.54889086434811	-7.77384462686922	5.81502716491517e-14	5.86609827305921e-11	21.1694312518465
ENSG00000154518.9	-0.651050687287788	6.43935382039197	-7.75658131572256	6.55152620795322e-14	6.33368796153877e-11	21.0536622509331
ENSG00000109270.12	-0.514858028304936	4.96943195842415	-7.72212457316759	8.30741455348314e-14	7.70994529879663e-11	20.8194921524808
ENSG00000136143.14	-0.695373919065447	5.39384198112625	-7.6450675481926	1.40890526579175e-13	1.25728538372693e-10	20.3088096417464
ENSG00000110435.11	-0.511882111234144	4.64889236016466	-7.56300903900034	2.46233940355752e-13	2.1159703274571e-10	19.7655848957268
ENSG00000146223.14	-0.413282745436219	5.97132267929252	-7.53967932789532	2.88359161535787e-13	2.34389774275012e-10	19.6160099056247
ENSG00000197223.11	-0.529517494032837	3.38092721045941	-7.53297951381184	3.0171823492118e-13	2.34389774275012e-10	19.576486801326
ENSG00000163444.11	-0.738609944604368	4.97352255254602	-7.52387146755358	3.20868510372942e-13	2.34389774275012e-10	19.5097652463771
ENSG00000135070.14	-0.52786464892246	5.32334772943986	-7.5227647208183	3.23268372416188e-13	2.34389774275012e-10	19.5029836395033
ENSG00000125520.13	0.826967941297403	4.43409886956267	7.50418656157965	3.66430394797515e-13	2.53033284260176e-10	19.3892886469912
ENSG00000065548.17	-0.535604550462465	5.38371554110935	-7.5024260589472	3.70792675840271e-13	2.53033284260176e-10	19.3703276356216
ENSG00000108010.11	-0.335170191795985	4.52860280049464	-7.48576600696827	4.14798369921851e-13	2.74975765112194e-10	19.2606042315647
ENSG00000260917.1	-0.607146546208459	3.90311171714057	-7.47736960568673	4.38888213281771e-13	2.76811890475785e-10	19.2085774417578
ENSG00000157014.10	-0.416687864114868	5.5872785973518	-7.47651058943999	4.41429184880789e-13	2.76811890475785e-10	19.2017428435391
ENSG00000144227.4	-2.63290441437196	-3.22383962169019	-7.53228419004111	3.0332125085795e-13	2.34389774275012e-10	18.9865478543499
ENSG00000114062.18	-0.407602134061267	5.65318763204493	-7.43972361437146	5.649744267193e-13	3.44961490756347e-10	18.9629795970572
ENSG00000126581.12	-0.523445728635085	4.29689391651845	-7.40550812181711	7.10159400559614e-13	4.22490215686774e-10	18.7400467893246
ENSG00000143727.15	-0.50426764404432	5.37366004724913	-7.39664142801775	7.53426034153833e-13	4.37024771110931e-10	18.6832682665112
ENSG00000120896.13	0.768401471047591	6.14352059317207	7.38670751131048	8.05009678711463e-13	4.55556940621058e-10	18.6176888442921
ENSG00000136159.3	-0.424641696161612	3.25699847992077	-7.36780480936899	9.12885965800039e-13	5.03918287769497e-10	18.507981045566
ENSG00000071994.10	-0.290951677364344	4.34651171959053	-7.36091991056472	9.55624716052834e-13	5.03918287769497e-10	18.4534328241856
ENSG00000131095.12	2.0511848881276	12.2785816333821	7.36186547589358	9.50165472814753e-13	5.03918287769497e-10	18.4488456538213
ENSG00000105983.20	-0.474868430591328	5.08109555210831	-7.34685849807893	1.0491268288884e-12	5.40929792974857e-10	18.3613361589435
ENSG00000162377.5	-0.620818410044279	3.58115060801226	-7.34048823365188	1.09439798522093e-12	5.52004827241218e-10	18.3273413313801
ENSG00000102893.15	-0.349137530611994	5.38185827113357	-7.321549111629	1.24066080264554e-12	6.1246408389323e-10	18.1995724408892
ENSG00000164347.17	-0.509179831599741	3.96773135146154	-7.30462339226614	1.38755756862317e-12	6.70710639733224e-10	18.0942091755839
ENSG00000196312.12	-0.820832223310431	2.86536833885512	-7.29776936517699	1.45182635784143e-12	6.73705503092735e-10	18.0602986282891
ENSG00000186479.4	-1.62554584820647	2.77760818211616	-7.29870116146033	1.44367090053668e-12	6.73705503092735e-10	18.0594130806116
ENSG00000181991.15	-0.424223068248006	3.69087313245757	-7.28936989417774	1.53453235068619e-12	6.98121952953354e-10	18.0013697446036
ENSG00000273611.4	-0.399744523890453	4.41142107505716	-7.27367968518996	1.70169633401759e-12	7.59283814266847e-10	17.8935433192762
ENSG00000111647.12	-0.556375542408185	4.5297620368521	-7.2703343846733	1.7395909602099e-12	7.61546970920566e-10	17.8712752782688
ENSG00000130638.16	-0.596493431770835	6.28495429798011	-7.26690927613634	1.77925019159674e-12	7.644844989894e-10	17.8573680140775
ENSG00000176273.14	-0.775637989840182	1.64732396140589	-7.24466237279798	2.05940152858609e-12	8.68767895750083e-10	17.6987771036358
ENSG00000119682.16	-0.460022507816069	4.94129309454704	-7.22748275005886	2.30505421031863e-12	9.38278382242332e-10	17.5986557621889
ENSG00000268182.5	-1.43937025034316	0.41693255610334	-7.23033550594583	2.26264459068917e-12	9.37462139163752e-10	17.5652588029422
ENSG00000124762.13	2.45546866555449	4.73543299313166	7.22070291106989	2.41098794121178e-12	9.64478313999926e-10	17.5580623367964
ENSG00000137727.12	-1.13626100601527	2.88560341224502	-7.21259625122542	2.54218974080475e-12	9.99726887561895e-10	17.5160398942749
ENSG00000114405.10	-0.674375889869516	4.60598355237082	-7.19547924205878	2.841982303438e-12	1.09899455673947e-09	17.3959565555526
ENSG00000138660.11	-0.653372497064809	4.12353979445983	-7.19163355217092	2.91424788288057e-12	1.10846523571467e-09	17.3734282348621
ENSG00000178878.12	1.67837334540389	6.11814529289425	7.18787644239257	2.98812274930937e-12	1.11823264563671e-09	17.3498272237148
