logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244694.7	3.12673815284565	-1.28174788612633	8.31010840183837	2.6612364493801e-13	5.63436981062754e-09	18.4551130906866
ENSG00000131969.14	-2.11280453393802	-0.812659987295279	-6.90845566141589	3.26524011838596e-10	2.60752611909315e-06	12.9253365093442
ENSG00000131080.14	1.12024725332567	1.88894812636306	6.88277877546664	3.69477534351004e-10	2.60752611909315e-06	12.8688668490665
ENSG00000113810.15	-0.627208286891022	4.27968363588927	-6.67379181089508	1.02657257366729e-09	4.53566028586298e-06	11.7182852276513
ENSG00000112319.17	1.95418789601298	-0.0368488486878683	6.66504600098966	1.07114592052309e-09	4.53566028586298e-06	11.6696640987169
ENSG00000156284.5	-4.75665848707592	-1.93994949387251	-6.4983920287549	2.40755008609292e-09	7.93493989095285e-06	11.0063308649633
ENSG00000137547.8	-0.58336446097413	4.65153104537278	-6.47486112653862	2.68460156058435e-09	7.93493989095285e-06	10.7533467318336
ENSG00000188211.8	-1.40335013506766	2.01236524212456	-6.3729041925566	4.38467496739686e-09	9.19773452606177e-06	10.4645101204246
ENSG00000276672.1	-1.17186936241994	-0.449209751769095	-6.34205423682085	5.06664103107186e-09	9.19773452606177e-06	10.3464842797011
ENSG00000205683.11	-1.47135490261911	1.54236303457348	-6.33159211922168	5.33753376787726e-09	9.19773452606177e-06	10.2957758608276
ENSG00000162639.15	-0.801560649303934	1.93923271973845	-6.3306038935916	5.35044749044166e-09	9.19773452606177e-06	10.2891225193303
ENSG00000011426.10	-1.15856803627683	1.72245557788644	-6.31924051322927	5.64757929523914e-09	9.19773452606177e-06	10.2389272846821
ENSG00000125571.9	-2.56540249696908	-4.70049214566347	-6.45183644537728	2.99827692837818e-09	7.93493989095285e-06	10.0822456195424
ENSG00000163794.6	1.00314124155992	0.0226197749665049	6.28743697480119	6.56840675700554e-09	9.93330770423724e-06	10.066037422372
ENSG00000278991.1	-1.47118596128858	-1.49413178775029	-6.23440548123766	8.44354716611864e-09	1.08846361678268e-05	9.79351603985862
ENSG00000168496.3	-0.879111348298516	3.02382694968654	-6.23552094906179	8.39914310932333e-09	1.08846361678268e-05	9.7770125669394
ENSG00000247626.4	-1.30618247216139	2.11151831398497	-6.21832484415552	9.1280988561832e-09	1.08846361678268e-05	9.75465131740402
ENSG00000173080.5	-3.10411290702997	-2.95495635268541	-6.2157731948177	9.25389434256958e-09	1.08846361678268e-05	9.5924325789403
ENSG00000253710.2	-0.601338123199051	1.96323629744197	-6.16146609429574	1.19089204967882e-08	1.26067832379e-05	9.52294862224336
ENSG00000182481.8	-0.891528088262858	4.30365340801663	-6.19018882701113	1.04258543837824e-08	1.16176941586022e-05	9.44821893308191
ENSG00000183778.17	-2.39657433028336	2.98494782655338	-6.14365193901501	1.29941439837697e-08	1.31005722106843e-05	9.3106246761482
ENSG00000198890.7	-0.565302219021021	3.36032162787774	-6.11261948160353	1.49779571964423e-08	1.44142413528671e-05	9.19866979208903
ENSG00000186603.5	-2.41974958045886	-0.512023990844519	-6.08022279129299	1.74891746437216e-08	1.52340901459634e-05	9.18676251815425
ENSG00000131096.10	-4.39468926753226	-0.55393461697701	-6.07419720663787	1.79884873251977e-08	1.52340901459634e-05	9.16269966962114
ENSG00000111247.14	-1.39776239992919	0.347239222999812	-6.04706914849552	2.03547007231411e-08	1.59744468480855e-05	9.04426353932557
ENSG00000016490.15	-4.95440365988838	2.74183178877382	-6.04701862564866	2.04206250599876e-08	1.59744468480855e-05	8.88220851137061
ENSG00000132603.13	-0.691136282586342	3.53411413041864	-6.03674683666468	2.13510786636908e-08	1.59744468480855e-05	8.83258911889811
ENSG00000269343.6	-0.724534854779952	2.81298519608749	-6.01107071275742	2.40616469417578e-08	1.69811063016965e-05	8.78400910951991
ENSG00000242515.5	-4.7448189457822	-2.50403793530347	-5.99238586051759	2.6329011786316e-08	1.79144729175225e-05	8.73452519136918
