logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	1.88847782738889	0.3373084203194	6.83267351042834	1.01762039995422e-10	2.18157461342185e-06	12.9574028835163
ENSG00000266028.7	0.347565372361475	5.37018094202494	6.16408981614758	3.93945326139984e-09	2.11134997544725e-05	10.5348007396939
ENSG00000206195.10	1.73059023227933	-2.1446050692005	6.61863544340338	3.3618751683991e-10	3.603593993007e-06	10.5229242397271
ENSG00000234840.1	1.23648636171682	0.189443612147527	6.07844850269237	6.18733740205384e-09	2.65288278450461e-05	9.50804928510753
ENSG00000077380.15	-0.392959931332226	6.37529881637707	-5.93229959666544	1.32447322048041e-08	4.73234281677652e-05	9.37376436273326
ENSG00000280287.1	0.788365077824174	1.20420038526169	5.80632103447551	2.52798782798492e-08	7.74214329376297e-05	8.5526158262861
ENSG00000004846.16	2.35637742002005	-3.12100329343471	6.34811214302232	1.47345849105411e-09	1.05293343770727e-05	8.45843812595869
ENSG00000121774.17	-0.316384196803141	6.58867132496769	-5.7389227123962	3.5591203701054e-08	9.53755281178995e-05	8.4319029981789
ENSG00000090612.20	-0.305768554522213	3.86436231995539	-5.67933001261544	4.80560864158834e-08	0.000114469597842634	8.17298108926733
ENSG00000138663.8	-0.359775031581896	4.81585265025795	-5.60659790526616	6.91318188968891e-08	0.000148204793351151	7.80647460903284
ENSG00000181472.4	-0.288233236825994	3.52665890089934	-5.5518949624372	9.06901609360806e-08	0.000176746879104336	7.57841608352991
ENSG00000269343.6	-0.458080193855801	2.64858172827665	-5.46967364059333	1.35917355982084e-07	0.000188203178654451	7.19460139429403
ENSG00000171103.10	-0.377655601344638	2.69030278452462	-5.46544408331401	1.38760495666746e-07	0.000188203178654451	7.17524795804405
ENSG00000131845.14	-0.375523906649955	3.70383580253747	-5.43883788500327	1.58021140767801e-07	0.000188203178654451	7.0514738367256
ENSG00000204519.10	-0.337168459124986	2.77635201326445	-5.40956882276542	1.82220588420668e-07	0.000205602367082225	6.92272581193479
ENSG00000119471.14	-0.34976387669409	5.33907239627555	-5.39746556900561	1.93250308061904e-07	0.000207145005211555	6.82077272299814
ENSG00000269958.1	0.443872930110556	3.5454828310064	5.33029469734239	2.67334234089424e-07	0.000241506244138148	6.56668630796613
ENSG00000175198.15	-0.447646028089512	4.2496546774902	-5.319775584195	2.81200063286465e-07	0.000241506244138148	6.48981144455423
ENSG00000226396.1	1.22501615694706	0.244208545724161	5.38328676724793	2.06999857821632e-07	0.000211317283427626	6.46207395480684
ENSG00000123444.13	-0.504040734608316	2.13961980733365	-5.31009608142251	2.9457575761812e-07	0.000242889041992972	6.46123646512408
ENSG00000181191.11	-0.32065202509229	4.26717041950988	-5.29564137887874	3.15709488733947e-07	0.000250673334054754	6.38159011658815
ENSG00000189269.12	1.007219969986	-1.34082780153219	5.46827733375287	1.36849627687358e-07	0.000188203178654451	6.36302211407265
ENSG00000244694.7	1.4873650867948	-1.6196296447716	5.51146180328474	1.10711086365518e-07	0.000188203178654451	6.30387325031073
ENSG00000058729.10	-0.295336400415416	3.83678481753153	-5.27246484536384	3.52708949100804e-07	0.000252045815027435	6.2920806778295
ENSG00000198824.5	-0.448554460429784	3.85675400356952	-5.25837722756495	3.77224402547171e-07	0.00026086892715504	6.22551976184324
ENSG00000141446.10	-0.259186582326686	4.00441091129288	-5.23628788311741	4.19034924334839e-07	0.000280727209621571	6.12446181474679
ENSG00000215251.3	-0.428846744297328	3.7895553604062	-5.20827338284577	4.78579270526118e-07	0.000284983278933885	6.00392448492602
ENSG00000227888.4	-1.38590237726192	-3.20183756094211	-5.44315984648801	1.54724182971757e-07	0.000188203178654451	5.99875320182925
ENSG00000167447.12	-0.497157105894281	3.41198433031316	-5.20224583595609	4.92426219441155e-07	0.000284983278933885	5.98807291677975
ENSG00000189171.14	0.38213887355229	5.50789623797474	5.20605063336586	4.83640926071887e-07	0.000284983278933885	5.95313051747423
ENSG00000137210.13	-0.242908345807946	4.80346207300478	-5.20119415741655	4.94881779516954e-07	0.000284983278933885	5.94010127816856
ENSG00000172340.14	-0.357522032902896	5.59792363203408	-5.20382630987744	4.88758229139694e-07	0.000284983278933885	5.93754158372445
ENSG00000141367.11	-0.425232789338996	7.73515722516502	-5.19373333073297	5.12646884639751e-07	0.000284983278933885	5.91152877911193
ENSG00000118564.14	-0.360277042000304	6.45113070117632	-5.18878516640172	5.24769174765781e-07	0.000284983278933885	5.87254526921122
ENSG00000278318.4	-0.519891692560222	2.20296573812444	-5.17065348532581	5.71614935822235e-07	0.000284983278933885	5.85161896513664
ENSG00000179542.15	1.09773236751547	-0.571427595300928	5.28427460183656	3.33357570017624e-07	0.000252045815027435	5.84985978980792
ENSG00000155256.17	0.290467491593663	4.96956022139269	5.1772460601542	5.54130286536547e-07	0.000284983278933885	5.83632303959107
ENSG00000170881.4	-0.359337040996318	4.74762296957228	-5.17779230986887	5.52705074407194e-07	0.000284983278933885	5.8355640681403
ENSG00000131966.13	-0.237644226152799	5.53483786117395	-5.17186004802029	5.68375354552694e-07	0.000284983278933885	5.79509183064204
ENSG00000244306.10	1.51296189477557	-2.43603924905734	5.46047645975925	1.421738326124e-07	0.000188203178654451	5.75517728103889
ENSG00000213762.11	-0.359833843665182	4.23716389529959	-5.15101012171508	6.26949399072684e-07	0.000303677683648511	5.73394490518692
ENSG00000269482.1	0.902332693836304	-2.01659243471684	5.36754829054257	2.23378026767593e-07	0.000217671733538348	5.71668606629875
ENSG00000275152.4	1.3575892183237	-1.37110227559226	5.31945506016985	2.81633366146735e-07	0.000241506244138148	5.6893724357643
ENSG00000126803.9	-0.776185366765568	6.72774517448154	-5.14408547166938	6.48022391657479e-07	0.000303677683648511	5.67846668176032
ENSG00000169021.5	-0.420441577811553	5.92273671145462	-5.14279345897228	6.51608053355327e-07	0.000303677683648511	5.66439971283821
ENSG00000183281.14	0.912710807163189	-1.1725395059807	5.27360122363815	3.50800378896717e-07	0.000252045815027435	5.6591690410021
