logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	1.57616369814844	1.07174776339275	6.16815627910592	9.49180270723057e-09	0.000181540218578492	8.47074838782744
ENSG00000228526.6	1.04926449164505	1.58540170932988	5.67133930951026	9.85501661096382e-08	0.000628290159004314	6.9608743313845
ENSG00000244694.7	2.1036568612351	-1.53100864562218	5.90881438478992	3.25990158786881e-08	0.000311744388847895	4.99516151780799
ENSG00000163071.10	1.2987998606565	1.23119463859642	4.7741376093369	5.11207636379983e-06	0.0244433931335089	3.47753861895675
ENSG00000196109.6	0.796860595624565	0.754715970017413	4.55003220244752	1.28609381721872e-05	0.0409963839135422	2.69263477553839
ENSG00000185875.12	-0.701370281685988	1.56907686825974	-4.34200335064383	2.95305395679469e-05	0.0602723132738366	2.24367666220431
ENSG00000232677.6	-0.355296217053157	2.83433446911998	-4.32547162095596	3.15132872915595e-05	0.0602723132738366	2.20777139293384
ENSG00000168395.15	0.358559273585762	4.63107071084553	4.25007628488031	4.22978958041452e-05	0.0685558861662342	1.92750878900436
ENSG00000099284.13	-0.55199970608859	3.1134475812857	-4.24575431999894	4.30132089299807e-05	0.0685558861662342	1.92167710842038
ENSG00000108468.14	-0.410626122922596	4.70459726255897	-4.10731003332124	7.31673924103771e-05	0.0986100046275398	1.42896918033278
ENSG00000048540.14	1.72328931645391	2.14894300038236	4.12153883334102	6.93396551901441e-05	0.0986100046275398	1.40190818520447
ENSG00000134574.11	0.526792096303816	3.01236275754619	3.98587590707138	0.000115477177954493	0.11501769600803	1.04446745063095
ENSG00000125375.14	-0.437460177664167	3.43247030453513	-3.97949817790611	0.000118248193621682	0.11501769600803	0.999796484403809
ENSG00000213025.2	-1.75459209914594	-2.18030844657604	-4.0927449024921	7.7337136328197e-05	0.0986100046275398	0.95758257760059
ENSG00000174307.6	0.530531970074727	4.55293144008037	3.95837575620316	0.000127885874543707	0.11501769600803	0.921732305418603
