logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000274750.2	-1.88388080343636	0.513815760216633	-8.59928039456674	5.56640744976088e-14	1.00278830207442e-09	20.808637823963
ENSG00000148468.16	-1.11075040570683	2.39217548477355	-8.09489470939435	7.6699582102676e-13	6.90871485789854e-09	18.6640435276955
ENSG00000159212.12	-2.07717909282337	0.600308408794004	-7.50964060697174	1.59939669863033e-11	9.60437717527514e-08	15.6188527573163
ENSG00000270765.5	-3.16807964167784	-1.53147771601642	-6.406168417693	3.75168311431793e-09	1.68966428261094e-05	10.1895780746922
ENSG00000134780.9	-1.36072966139298	2.08977147913841	-6.26319048108864	7.2742060841577e-09	2.62089645212202e-05	10.0041706401525
ENSG00000124635.8	-1.49944875987089	-0.63973268770343	-5.90269488032227	3.89240890322604e-08	0.000116869577319362	8.18460306273791
ENSG00000102098.17	-0.959738327847057	-0.414661687723888	-5.80366757049734	6.14066538006584e-08	0.000158034409745552	7.76989270846441
ENSG00000166582.9	-0.713129916927313	3.1881682092367	-5.70764432189877	9.5201711527806e-08	0.000190562092574825	7.58400683492617
ENSG00000243429.1	-2.83023191127014	-1.20613514678804	-5.67462620236215	1.13067239925272e-07	0.000203690632725378	7.20298272578025
ENSG00000167434.9	-0.931331518569977	1.47584719456433	-5.61607929213825	1.44131378798071e-07	0.00023490038149145	7.18014550483275
ENSG00000127989.13	-0.660743994583107	1.76325031249249	-5.56357250650095	1.82548173237874e-07	0.00023490038149145	6.96400768093828
ENSG00000130997.16	0.895458434488887	-0.174575654896484	5.56569002997315	1.8082085865999e-07	0.00023490038149145	6.60090588085708
ENSG00000085760.14	-0.567687908381892	5.00168717271276	-5.47816002087145	2.67453371691569e-07	0.000321211499401574	6.59822087270955
ENSG00000188010.12	-0.650418414657383	2.04008596856442	-5.40866117406103	3.64105297127858e-07	0.000385844525162256	6.32443520836508
ENSG00000129204.16	2.04026456091842	5.66541629393128	5.38297550367484	4.15492342671933e-07	0.000394490069873333	6.18758702883135
ENSG00000056487.15	1.99073220078542	-1.82164033104954	5.7294172159682	8.62189686024204e-08	0.000190562092574825	6.07536225625818
ENSG00000269918.1	-0.983518265847572	-1.6264077630186	-5.45280374654021	2.9938725092529e-07	0.000337091332838694	6.0529772883153
ENSG00000133134.11	1.99947756267781	1.0568759109217	5.3811184025403	4.16059468642428e-07	0.000394490069873333	6.00104489166062
ENSG00000164687.10	-0.725206537194655	2.9702098103241	-5.32724700276541	5.2122313587693e-07	0.000463575320623029	5.98249013158634
ENSG00000082397.17	0.910986193226081	3.68515019452395	5.31919651508939	5.4038755110095e-07	0.000463575320623029	5.95197754828383
ENSG00000110697.12	-0.941648596469196	3.21676565827323	-5.30582508644988	5.74887712028929e-07	0.000466320053303234	5.88487723735492
ENSG00000147231.13	1.19868111434998	1.3833674112574	5.29689760223076	5.95357270384367e-07	0.000466320053303234	5.7932374890621
ENSG00000264247.1	-0.398319158242911	2.98611609854053	-5.248223865355	7.36257788059294e-07	0.000552653502162008	5.65998260334571
ENSG00000197780.9	-0.56173699711767	4.39913313207112	-5.21868415212545	8.37126643823648e-07	0.000597927683999852	5.5181198949157
ENSG00000113161.15	-0.457043278227346	2.77191929462312	-5.21069147233564	8.66660801446651e-07	0.000597927683999852	5.50976625821533
ENSG00000173253.15	-0.904335216431216	0.40742085461375	-5.20297320522832	8.96144738717514e-07	0.000597927683999852	5.44494916330921
ENSG00000167920.8	-0.616990011681081	2.10309748616367	-5.1625782228303	1.06714917105663e-06	0.000670765562435866	5.32139509089501
ENSG00000164209.16	-0.58634293570842	6.02338464717717	-5.15985079670519	1.07977803556148e-06	0.000670765562435866	5.28770102920606
ENSG00000114982.17	-0.401747669463109	6.57138457385893	-5.13737969288014	1.18952422565093e-06	0.000674866005504236	5.20159228085661
ENSG00000100522.8	-0.681138230658521	2.40738613680308	-5.12597566306712	1.24930632116744e-06	0.000682007678055497	5.17087980836653
ENSG00000000457.13	-0.44453191624093	3.14590089457082	-5.10625668643113	1.35965768697994e-06	0.000699835235169815	5.0800828061571
ENSG00000242689.2	-1.08686154689779	0.711790137487442	-5.09814980196684	1.40773117185693e-06	0.000704452140583403	5.05034577933236
ENSG00000141750.6	-1.4302587925232	-1.56120975615339	-5.15117099297956	1.12094589860842e-06	0.000673128012114356	5.00468930726027
