logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000259867.5	-2.29163544947461	-2.74956504087447	-7.51244657944508	4.74548745913161e-11	9.83359911281252e-07	11.4240445757969
ENSG00000131080.14	1.13068061617417	3.18447818120585	6.39465699007095	7.71727361435188e-09	7.99586719182999e-05	9.7340316861234
ENSG00000117016.9	-1.02827502427649	3.69134891001415	-6.03936264609718	3.70192706029123e-08	0.000255704441811183	8.50750780874369
ENSG00000169083.16	-0.939153914222787	4.38862678794665	-5.77780200162289	1.15157474593607e-07	0.000477258637705744	7.43687361538747
ENSG00000236028.1	-2.15018643589524	-1.73557919681558	-5.90727078482357	6.57010607112687e-08	0.000340364345014727	6.84556057719362
ENSG00000074590.13	-0.699370822619701	6.02188223059972	-5.62598957834673	2.19631657062104e-07	0.000758534532940152	6.81537394985042
ENSG00000147231.13	0.718584670937362	3.4833640979349	5.53104431475115	3.28283793066998e-07	0.00097181382284776	6.404690855412
ENSG00000198910.12	0.926336159238351	7.78618448457797	5.30575754116376	8.44995203680216e-07	0.00184585589900487	5.54355698354228
ENSG00000108001.13	-0.683788219934299	5.068461880958	-5.29213272712409	8.90771112346718e-07	0.00184585589900487	5.48999540076825
ENSG00000087266.15	0.608853859813263	7.35317787401595	5.25995663622014	1.01741125110525e-06	0.00191661781321846	5.36452072493695
ENSG00000237125.8	2.17189548986579	1.77215246767675	5.38439744089633	6.10426486749913e-07	0.00158115720730396	5.29156789485944
ENSG00000138758.11	-0.393711722833423	6.73310683910294	-5.17959696573679	1.41569430693496e-06	0.00225661672525433	5.05273035809792
ENSG00000162433.14	-0.66599675832951	4.32391618342986	-5.09351379905808	2.01146043620909e-06	0.00284680978805973	4.73875844877846
ENSG00000108091.10	-0.313796373786697	5.44510057347325	-5.0875593779976	2.06071551109429e-06	0.00284680978805973	4.69354160001372
ENSG00000184144.11	1.69114560792814	5.0105146264257	4.97420580541685	3.27407557726426e-06	0.00376210110673524	4.30770412879086
ENSG00000179698.13	0.798600599809107	2.6917894263614	4.95995016211726	3.44947017797363e-06	0.00376210110673524	4.20045061889241
ENSG00000179909.15	-0.791020486117954	1.38444033534012	-4.93021013794071	3.88592590027809e-06	0.00402620782527813	4.07598575010958
ENSG00000135643.4	0.863504745190403	6.73789869266504	4.91450316059104	4.15783963537851e-06	0.00410279775830064	4.02797835873021
ENSG00000147889.17	1.97659586474255	0.997999719779703	5.04949912075053	2.40566443163432e-06	0.00293236343248979	3.92380910581693
ENSG00000178163.7	-0.516059519942778	3.48902905787288	-4.81692110009586	6.09771956501593e-06	0.00549378020983739	3.7283946860659
ENSG00000150540.13	-0.608204837504951	3.90916839754234	-4.79053503531745	6.76722130592745e-06	0.00584293166255953	3.61627044429919
ENSG00000164107.8	1.75735256318295	1.37632734032147	4.86940888423523	4.95786922025583e-06	0.00466986209009733	3.54280851287607
ENSG00000204529.4	-2.05370573087271	-3.27401229067223	-5.19344798411433	1.33755953701096e-06	0.00225661672525433	3.52423189325497
ENSG00000162630.5	-1.17703890444938	2.72859755708559	-4.73530449836654	8.44432420920721e-06	0.00658420749808355	3.43399182674227
ENSG00000228526.6	0.758446962530387	4.43436719663537	4.73257753185794	8.49843056437424e-06	0.00658420749808355	3.41994534126801
ENSG00000172935.8	-0.777139206377968	5.01562205106346	-4.72612742714382	8.74114892714658e-06	0.00658420749808355	3.3328786508173
ENSG00000171551.11	-1.29609264740217	1.20001664303124	-4.71248708755151	9.21445890572449e-06	0.00658420749808355	3.31916573987003
ENSG00000138615.5	-1.32480418880175	5.37333985112029	-4.71942165302907	8.98574973557274e-06	0.00658420749808355	3.30298591095447
ENSG00000155011.8	-1.06939892675999	3.27524742767204	-4.70028889404681	9.68286205455632e-06	0.00668827558315054	3.29574469492632
ENSG00000082781.11	-0.524047909531722	7.00287504783404	-4.68912271373314	1.00716889348041e-05	0.00673243671312936	3.20878000644196
ENSG00000176871.8	-0.376055393545357	5.45252830178183	-4.68013631562555	1.04306688762226e-05	0.00675451001415891	3.16200030897206
ENSG00000197702.11	-0.401765872747134	7.03422355663895	-4.64504645082014	1.1955185644163e-05	0.00750713202782864	3.0463274835758
ENSG00000102935.11	-0.772275123713529	4.06587844398688	-4.60793626446492	1.38184374122101e-05	0.00835726182481551	2.93820822801715
ENSG00000118407.14	-0.767241200133418	4.24509832520181	-4.58440112087207	1.51345003496667e-05	0.00841577596614649	2.84556590839789
ENSG00000122786.19	-0.466169607826243	9.33395785786248	-4.5707917577043	1.59273666988309e-05	0.00846274083931217	2.8303797876849
