logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000181690.7	2.21210326787668	3.67493776425814	10.7911471752818	1.43713821933557e-16	3.01655312238536e-12	27.3609294282766
ENSG00000137672.12	-2.10855064206199	1.56941373187586	-9.9010917930681	5.72015492762508e-15	6.00330259654252e-11	23.742871088817
ENSG00000128573.24	1.44289820753145	4.2525526271268	9.68491651755674	1.41361036185311e-14	9.89056049843226e-11	22.8032047004116
ENSG00000108375.12	1.93164647586743	0.943719713281708	9.4880089498173	3.23203980666968e-14	1.69601288854992e-10	21.9238945524272
ENSG00000277494.1	-2.37281693743594	2.8175797095969	-9.19076719521692	1.19934638895986e-13	5.03485614085349e-10	20.7135521624589
ENSG00000154655.15	0.902960345725401	4.03104361717658	8.94411902434119	3.21111707483289e-13	9.62876391439177e-10	19.7108738164811
ENSG00000187605.15	-0.758578955590106	3.8650094963713	-8.88961933401563	4.04500394868864e-13	1.06130791103718e-09	19.4427418259569
ENSG00000224661.1	-3.07413050002715	-4.55698569871515	-9.09964878775529	1.66276971172037e-13	5.81692270816844e-10	18.8576307022255
ENSG00000115361.7	1.98466127968016	4.54637183198866	8.57974614267765	1.58215228500621e-12	3.68993071803115e-09	18.1403915193299
ENSG00000076641.4	-1.79416242522575	3.01167948065081	-8.32923904145035	4.4880627042517e-12	8.56403965111301e-09	17.1278265535968
ENSG00000214866.8	-2.87363875431044	-2.30219995256616	-8.36793140787172	3.70424420987735e-12	7.77520859653255e-09	17.0845045917345
ENSG00000228784.7	2.35574854499861	1.75325992985305	8.28417157689666	5.28856106885922e-12	9.25057473627958e-09	17.0685095760602
ENSG00000142549.9	-2.40873914569934	0.420957025803352	-8.12375386227307	1.05349162623156e-11	1.70098378727696e-08	16.4058104870701
ENSG00000111087.9	-3.02713655893946	0.598367586855469	-8.10026674318869	1.20795804184619e-11	1.81107423559653e-08	16.2751472566637
ENSG00000048540.14	3.51826989837713	2.48234721745254	8.02778227135973	1.65383849038084e-11	2.31427132753959e-08	15.9701236413949
ENSG00000243444.7	-2.50567735938843	-1.39378339475899	-7.87120550850495	3.06046220880546e-11	3.77877069193098e-08	15.2652880700521
ENSG00000250510.7	-1.30011334081616	2.99774382616401	-7.83878726773383	3.51243083225915e-11	4.09588462050664e-08	15.1069763868544
ENSG00000171126.7	-1.40085654131023	-0.732854427713674	-7.78524502577956	4.40947748269228e-11	4.87131222956373e-08	14.9708414832264
ENSG00000055732.12	1.95759285252043	3.07394317845057	7.73927949179601	5.43826481657648e-11	5.18859902272456e-08	14.7717698823179
ENSG00000214575.9	1.17040518950932	4.36443233539282	7.69494575707035	6.47005601193233e-11	5.7513100675516e-08	14.4440669402902
ENSG00000250584.2	-4.6525746550903	-4.87372070500355	-7.87202627059958	3.04980709807707e-11	3.77877069193098e-08	14.3511228297301
ENSG00000276747.1	-7.01578040822071	-4.24031116051454	-7.7720193627307	4.88375116053766e-11	5.0864002904277e-08	14.2161988788438
ENSG00000207870.1	-2.88826509639063	-3.97324591124055	-7.75150553766441	5.08882353973234e-11	5.0864002904277e-08	14.1545763485421
ENSG00000158457.5	-1.55920821880406	1.65876938468708	-7.58283407134888	1.04111750993892e-10	8.74122261344719e-08	14.1458223763602
ENSG00000128578.9	-1.39999078304769	1.43446013887671	-7.54818370865237	1.2058974978875e-10	9.03992445737805e-08	14.0169648686726
