logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000158480.10	-0.33950079910338	3.81688271891199	-6.28004719164021	1.44644307625529e-09	3.17349610930411e-05	11.3586325925102
ENSG00000161091.12	-0.423284311231612	5.02191272571193	-5.76067391534696	2.40070622817366e-08	0.000131678736615325	8.80937988435177
ENSG00000179886.5	-0.501757711731389	3.45975403911026	-5.77275583227783	2.25324145423136e-08	0.000131678736615325	8.78766949545756
ENSG00000101152.10	-0.378479117579675	6.44850930200124	-5.66774414181891	3.89682667637683e-08	0.000155863406817914	8.35767280997854
ENSG00000006831.9	-0.287272807312203	6.47363657268793	-5.62505287244263	4.85876114425317e-08	0.000155863406817914	8.15006525173316
ENSG00000111371.15	-0.513526696441409	6.91769221080975	-5.62054795353394	4.97285254204832e-08	0.000155863406817914	8.12820294350178
ENSG00000115902.10	-0.626418912830848	4.54328740429454	-5.53770872089144	7.6017933098561e-08	0.000208479181522803	7.72569938688899
ENSG00000244306.10	2.26177963278301	-2.03699675709249	6.04320026443486	5.31909886185523e-09	5.83505145145519e-05	7.07871804037978
ENSG00000111412.5	-0.47490737125618	4.67556204633592	-5.34010862653993	2.05327474532529e-07	0.000500542754582632	6.79851126208498
ENSG00000182179.12	0.586185500394225	4.90915698081813	5.22096367403311	3.69004454413858e-07	0.000617365595683908	6.24965324470911
ENSG00000176095.11	-0.368536616385891	5.88576551904627	-5.20692602955128	3.95134766761822e-07	0.000617365595683908	6.18312973343197
ENSG00000100811.12	-0.290480614628942	6.71319186795444	-5.19719363946257	4.14296136948399e-07	0.000617365595683908	6.13730058223435
ENSG00000101126.15	-0.232278483493172	6.67849677773496	-5.19565183357658	4.17413278393623e-07	0.000617365595683908	6.13031811405848
ENSG00000179241.12	-0.325699304546357	5.12010388857726	-5.13247051409312	5.66691084160556e-07	0.000777075149155162	5.85032213937323
ENSG00000225670.4	1.34906978947076	1.61870613404423	5.21642781937939	3.77258662386831e-07	0.000617365595683908	5.64985102268002
ENSG00000178718.6	-0.504191519647997	3.49263547312059	-5.06588538619443	7.79759984919247e-07	0.0010063490628899	5.53739298380755
ENSG00000259956.1	-0.452197075543301	5.94086339167879	-5.03485501763081	9.03844737891165e-07	0.00109622561774133	5.40851709834946
ENSG00000166860.2	-0.454150545281111	3.36548416464816	-5.0245060174654	9.49329386375807e-07	0.00109622561774133	5.34842789926977
ENSG00000129911.8	-0.47079551302027	4.10196460656727	-4.99173113097349	1.10848020812932e-06	0.00115809789363606	5.23016458785917
ENSG00000118900.14	-0.228460312887607	6.17086680134439	-4.96287206313526	1.26975919311405e-06	0.00117647649709831	5.09037530248339
ENSG00000087152.15	-0.246528893595327	6.16232316884864	-4.96278411232847	1.27028379774783e-06	0.00117647649709831	5.08998341118821
ENSG00000159363.17	-0.376722182984472	5.18890262102592	-4.95315096896815	1.32903032451804e-06	0.00117647649709831	5.05460252087946
ENSG00000108861.8	-0.233454617359683	5.86831593702018	-4.95130862506375	1.34056118630163e-06	0.00117647649709831	5.04120924021894
ENSG00000162413.16	-0.538143377166948	6.69500994439058	-4.87623749101202	1.90222104490237e-06	0.0015457307305614	4.71153949123708
ENSG00000268798.1	-0.651417674689028	-0.944182088301196	-5.00745028780236	1.02916826257822e-06	0.00112899758404831	4.46711343647548
ENSG00000085644.13	-0.276362131838831	4.48359441298862	-4.80790129516105	2.60654372778722e-06	0.00181443424644023	4.43907576865847
ENSG00000260804.3	-0.6626216554951	2.23093822397244	-4.82592616360938	2.39951406283021e-06	0.00175484461794983	4.41725065824729
ENSG00000082701.14	-0.245401463748162	6.05374743498082	-4.80459101722601	2.64639452534583e-06	0.00181443424644023	4.40558105106837
ENSG00000112852.6	0.733794108416593	0.668261220738646	4.92033252608926	1.54955884900522e-06	0.00130758927489133	4.3434745576405
ENSG00000167969.12	-0.263636643629085	4.94342967378639	-4.77410524148914	3.04213146030255e-06	0.00197175326801774	4.28898323044866
ENSG00000169926.10	-0.670027400530818	7.09608828912025	-4.77316367037339	3.05558847368291e-06	0.00197175326801774	4.26946365345972
ENSG00000206195.10	1.99531765511362	-1.62897910458271	5.19336324943871	4.22082221297111e-07	0.000617365595683908	4.26492170205439
ENSG00000091542.8	-0.234789485365388	5.96750712704875	-4.75058758337942	3.38584019063301e-06	0.00212243810807109	4.17658742426445
ENSG00000140992.18	-0.226396494516859	5.34344408736214	-4.73864857164756	3.57437153887381e-06	0.00217838087674698	4.13306137287476
ENSG00000188786.9	-0.351671668963579	4.64693324433651	-4.7300087151337	3.71707771015525e-06	0.00220412662056233	4.10761833628506
ENSG00000148158.16	-0.276273190388305	4.70358308746843	-4.71422569751583	3.99207720118242e-06	0.00221006890006867	4.04133438137742
