logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000181652.19	-1.35445268014565	0.559377447315424	-6.29201237923708	6.72898596999212e-07	0.0117297525811914	5.38683422556791
ENSG00000197961.11	-0.545885841339906	4.90937137332624	-5.84178854321702	2.33193950442666e-06	0.0117297525811914	4.8450509945095
ENSG00000095002.13	-0.785781667253637	4.0875475530348	-5.68946822969077	3.56131216867534e-06	0.0117297525811914	4.4419900711468
ENSG00000255717.6	-0.824268717628437	5.71387843740149	-5.68373483124831	3.61861195229439e-06	0.0117297525811914	4.42790899036475
ENSG00000076003.4	-0.997701935473528	4.82043822218933	-5.55604163440965	5.16805887875841e-06	0.0117297525811914	4.09305425254864
ENSG00000148019.12	-0.72184833133913	3.67504547233139	-5.51650757728837	5.76774417772025e-06	0.0117297525811914	3.98386703476039
ENSG00000176208.8	-0.962335781819343	2.70521519056118	-5.51498752056179	5.79226694424862e-06	0.0117297525811914	3.92692707311922
ENSG00000132436.11	-0.945271328623073	3.18563680654962	-5.49902487000779	6.0562011195849e-06	0.0117297525811914	3.92074743487633
ENSG00000111364.15	-0.508635326728917	4.28863062433681	-5.48869643765884	6.23338030696689e-06	0.0117297525811914	3.91830436458381
ENSG00000054793.13	1.12258210263572	6.09457857415048	5.48541385518166	6.32021936777398e-06	0.0117297525811914	3.89941608276062
ENSG00000180385.8	-1.01728510907843	1.62366321818957	-5.38437688924834	8.34244966801711e-06	0.0141925924977141	3.47818545717951
ENSG00000198554.11	-1.02950597102352	2.19097395312981	-5.34612393496315	9.28405834289984e-06	0.0145795423900231	3.45597176317114
ENSG00000167996.15	1.07567119014998	8.95486964606507	5.26660706183356	1.15972170229565e-05	0.0169112275374041	3.33136585124152
ENSG00000181544.13	-1.2685537097873	-0.678898400413182	-5.53705949457454	5.44624274749645e-06	0.0117297525811914	3.28393765670638
ENSG00000119969.14	-1.38575849958937	3.27464661661277	-5.19478104358899	1.423680745361e-05	0.0176637636466179	3.14153822803958
ENSG00000125648.14	1.11866955258431	6.20470892339548	5.15804078229492	1.57774183311228e-05	0.0176637636466179	3.03103871499242
ENSG00000184445.11	-1.00770773738118	4.92869684920846	-5.14862104082957	1.61867224499667e-05	0.0176637636466179	3.01286904564269
ENSG00000174442.11	-0.749500146845676	2.87062274086488	-5.13055582217855	1.69695996279181e-05	0.0176637636466179	2.96022250242208
ENSG00000127586.16	-0.862334463213087	4.28335263743247	-5.08442146693955	1.93085967567146e-05	0.0176637636466179	2.85572103358526
ENSG00000167747.13	-0.908234006422575	4.4463455689327	-5.07711558243005	1.97074968272767e-05	0.0176637636466179	2.83376069563185
ENSG00000186871.6	-1.49483432833208	0.525927676572392	-5.17642508917808	1.49251133338938e-05	0.0176637636466179	2.8252732558384
ENSG00000198668.10	0.915863752059313	9.06804850069417	5.07353986271742	1.99057230751623e-05	0.0176637636466179	2.82272191787888
ENSG00000133119.12	-0.909489551003328	2.99427681681945	-5.06528325310992	2.03710910815947e-05	0.0176637636466179	2.80161030772126
