logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000125744.11	-2.29675515429835	2.61636104259511	-13.1657238048709	5.28919451434501e-18	8.47898702858645e-14	30.498241118796
ENSG00000166446.14	-3.06387698826973	2.46238770629221	-13.0276346282185	8.37224095639244e-18	8.47898702858645e-14	30.0151374052814
ENSG00000065989.15	-1.64696649783429	4.73495629932931	-12.0968415758337	1.4237133013169e-16	7.20932822954347e-13	27.520017942849
ENSG00000072041.16	4.81115064199755	-0.527790798610557	12.1518436544273	1.18425705940026e-16	7.20932822954347e-13	24.1818033937822
ENSG00000171033.12	2.57590079805172	1.41604246838371	10.8268537175367	8.39977328601475e-15	3.40274815816458e-11	22.9864966508772
ENSG00000185272.13	1.83414953585746	1.25948000701421	10.5862207262681	1.86542921211553e-14	6.29737811523336e-11	22.2803044825826
ENSG00000161249.20	2.47755584998395	3.90577713583321	10.4011597785259	3.6704222389528e-14	1.0620628921427e-10	22.0387331528918
ENSG00000174938.14	-4.56170741217994	1.95973051317587	-10.3095654992692	4.98759196134362e-14	1.26279593971269e-10	21.5818588172868
ENSG00000083857.13	-1.7889849977072	6.08362168930075	-9.86587073537602	2.23454062635344e-13	4.5158806105547e-10	20.2352932876521
ENSG00000184515.10	2.31390453372894	1.63300438416287	9.8855360454601	1.98258590480276e-13	4.46191972241998e-10	20.135342732729
ENSG00000181690.7	2.49841110781452	2.66411724058133	9.83086924513228	2.45246540193047e-13	4.5158806105547e-10	20.1042397160533
ENSG00000125746.16	-0.908471875387658	4.14572502350914	-9.69052654967316	3.86698025257489e-13	5.59469178685031e-10	19.7319307925158
ENSG00000162669.15	1.58069342223736	2.36113361347978	9.69452338356805	3.81422697741059e-13	5.59469178685031e-10	19.6725959656003
ENSG00000177614.10	-3.84610989364989	0.732314458083784	-9.7449773395499	3.37584739351934e-13	5.59469178685031e-10	19.4907885023252
ENSG00000245694.9	1.67746521313406	1.74652639887413	9.42642874924049	9.62175776112059e-13	1.21805439657186e-09	18.7037653191869
ENSG00000138639.17	-1.35768560101983	3.75468462999753	-9.30476253051283	1.46804330577504e-12	1.57137709142355e-09	18.4314586997747
ENSG00000116685.15	-0.686312758998274	5.87645270726864	-9.32572690296182	1.36481526813115e-12	1.57137709142355e-09	18.4295988778877
ENSG00000064763.10	-1.03038321835542	2.73119569910958	-9.27936773672445	1.60369784203871e-12	1.57137709142355e-09	18.3438364137836
ENSG00000113140.10	-1.38400487206036	10.0244221409494	-9.27484115011445	1.62917397777806e-12	1.57137709142355e-09	18.3256459960675
ENSG00000205363.5	-2.3454340952213	2.05777790198435	-9.23715763890596	1.91026562343102e-12	1.75874682739069e-09	18.1414603023469
ENSG00000196277.15	-3.96495466553197	-0.958433297016614	-9.5416082412438	6.5615545446017e-13	8.8602858200605e-10	18.1063284315638
ENSG00000186591.11	-0.847381677068168	7.18374711720666	-9.13519840911233	2.65205354679079e-12	2.33553672131511e-09	17.784675159097
ENSG00000204071.10	3.22733791234617	1.95011659944302	9.06370697737022	3.55884802997963e-12	2.8833786738895e-09	17.4129623307161
ENSG00000250056.5	2.61467495981806	-0.348478503662532	9.28991345045196	1.54589274957727e-12	1.57137709142355e-09	17.4065975704473
ENSG00000181284.2	-1.93124562658982	0.435423280042211	-9.0527040069728	3.53997056824173e-12	2.8833786738895e-09	17.3044787491338
ENSG00000126803.9	-2.4619948393007	5.21089839941799	-8.94202378762642	5.44791988024108e-12	3.80509024738907e-09	17.0948727080812
ENSG00000259426.5	-3.39418615787335	0.124823684159268	-9.01530413987014	4.15867603924684e-12	3.04001750149762e-09	16.9957538202634
ENSG00000137807.13	-1.64692577612748	1.87798460425315	-8.85501915947592	7.09130641070997e-12	4.78781371163101e-09	16.863534554626
ENSG00000169604.19	-1.19415997538823	7.85484664075382	-8.78204595657741	9.17305854526087e-12	5.80625940107059e-09	16.5729668501967
ENSG00000234546.3	1.79141513502643	-0.914012573016795	9.00379100673299	4.20244334939193e-12	3.04001750149762e-09	16.3632162659377
ENSG00000112039.3	0.854568557536821	3.56455774271339	8.69588232491625	1.24389147894074e-11	7.63485512301352e-09	16.3471416097586
ENSG00000226074.4	2.42751536856214	-1.00187086330697	9.02407183199948	3.91379900650593e-12	3.04001750149762e-09	16.2352741239474
ENSG00000185015.7	1.4369523086155	1.67016247165672	8.67850105051347	1.3228161040894e-11	7.88048240833257e-09	16.2105433307745
ENSG00000082641.15	-0.729509456222414	8.68657876243997	-8.64100506824083	1.51068783899058e-11	8.49971727187615e-09	16.0990175163058
ENSG00000076043.9	-0.830057046845861	5.91722384764614	-8.65365733798399	1.44446603444988e-11	8.35933129365209e-09	16.0895355061572
ENSG00000153904.18	-1.52533650100044	4.5093450699879	-8.64161625566	1.56303878452227e-11	8.55658123797258e-09	16.0683362744029
ENSG00000128536.15	1.17741266839352	1.62657495338671	8.62229061818513	1.61428754192377e-11	8.60457741096471e-09	16.0227748909428
