logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000270170.1	-0.783693114253201	3.33050659789107	-6.30663037928735	4.04580535398526e-08	0.000488951759794817	8.49953575249307
ENSG00000177614.10	-2.05465253238408	2.219624099577	-6.27496696743331	4.56985615958519e-08	0.000488951759794817	8.35523296140663
ENSG00000116685.15	-0.436204491024151	5.69002295011817	-5.86924577292976	2.15575502853974e-07	0.00144080530451197	6.85468641517767
ENSG00000129911.8	-1.04063870961493	3.11150387560124	-5.81058476608576	2.69321987852137e-07	0.00144080530451197	6.70572597365153
ENSG00000168061.14	-0.854553096278604	2.459049519199	-5.67209854188628	4.54598754322807e-07	0.00194559174875075	6.19804052453335
ENSG00000167136.6	-1.02863227004783	1.64731936994441	-5.49623562549393	8.79870103831572e-07	0.0031380567253153	5.54554462228737
ENSG00000233006.6	0.888436296490331	1.47225854280905	5.41733201335647	1.18119527732841e-06	0.00361091396279296	5.1855320208757
ENSG00000166189.7	-1.01318718692563	3.29183246879505	-5.21838181619472	2.46875689903402e-06	0.00494513914798298	4.61080450284693
ENSG00000188486.3	-1.07999591794799	4.1842706921875	-5.22928598795336	2.37149910169541e-06	0.00494513914798298	4.6000760807895
ENSG00000021826.14	1.12444583366986	1.48634507591966	5.21044427207553	2.54201274021275e-06	0.00494513914798298	4.49192812468794
ENSG00000010438.16	-4.0080316592432	1.40608920256663	-5.14213521184417	3.26848672065196e-06	0.00538018056424856	4.36449133626399
ENSG00000169258.6	-1.42281216912839	-0.982798854699608	-5.16675197517234	2.98520928272673e-06	0.00532337445342244	4.12537269748299
ENSG00000171222.10	-0.411872693782766	4.97966482468962	-5.09986033320974	3.81481156840237e-06	0.00583093948230303	4.11404347123573
ENSG00000182481.8	-1.43187415072109	4.3212069271951	-5.03619771874595	4.81296894076965e-06	0.00596241946228978	3.9128030210934
ENSG00000125817.7	-0.437021822700953	6.18876554023443	-5.01855025743724	5.13239134455135e-06	0.00596241946228978	3.80209707424557
ENSG00000263142.5	0.68755707013939	2.78963833068027	4.96617596314582	6.20793512719001e-06	0.00596241946228978	3.76766056060079
ENSG00000168502.17	-1.0545798216093	4.4212785194715	-4.98284490954982	5.84361442709791e-06	0.00596241946228978	3.72641120290781
ENSG00000188763.4	-1.0005703259249	-1.20429164385143	-5.05523520329125	4.49026377579825e-06	0.00596241946228978	3.68710544897136
