logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000172667.10	0.296545755949718	4.6962963340256	7.83858601387724	1.5539061799047e-14	3.66007061614753e-10	22.4182468861385
ENSG00000154856.12	-0.66124762707762	5.97305169598155	-7.64180076250576	6.52038982899718e-14	7.67906310160998e-10	21.0224693494038
ENSG00000154655.15	0.246054449122321	2.80650498045022	7.41827997114113	3.20257412222857e-13	2.51444769583239e-09	19.4384910974072
ENSG00000158292.6	-0.443162681904246	5.09175083240312	-7.30545703207276	7.04938726984718e-13	3.712393286174e-09	18.7223077838395
ENSG00000160685.13	-0.322250069595143	5.8763035734519	-7.26301773701826	9.4567206067097e-13	3.712393286174e-09	18.4299685222636
ENSG00000163564.14	0.522470842503213	1.60122933061796	7.28459398968068	8.1444889736617e-13	3.712393286174e-09	18.3939575678623
ENSG00000181234.9	-0.604707422485974	5.49291379193361	-7.21963088274873	1.27574485725186e-12	3.92843213971789e-09	18.1439301857356
ENSG00000151746.13	0.276931534925469	3.78084991888704	7.21305990220525	1.33427261262389e-12	3.92843213971789e-09	18.1172382525982
ENSG00000083720.12	-0.36053821021191	5.35662033281427	-7.09139929431626	3.06109554210333e-12	6.02112586471527e-09	17.2976154290615
ENSG00000186350.9	-0.312144920919086	7.21703602566468	-7.09105528274255	3.06756858183677e-12	6.02112586471527e-09	17.2943852028995
ENSG00000189134.3	-0.364463825401163	0.650714446686964	-7.12015960555804	2.51776667100795e-12	5.93034761689212e-09	17.0867824198777
ENSG00000178821.12	-0.596773234762212	-0.359347476625315	-7.13758654398072	2.23620891150618e-12	5.85240718906852e-09	16.8273631292238
ENSG00000105429.12	-0.240524583138319	5.89350086411169	-7.01742671053844	5.0405939443103e-12	8.48043926887748e-09	16.8100035996056
ENSG00000230733.2	-0.329751382491364	2.14255657207634	-7.02662830686701	4.73838083196456e-12	8.48043926887748e-09	16.7903220292697
ENSG00000119711.12	-0.401967279045941	5.25386155064443	-6.95200195681989	7.81030714721407e-12	1.22642649696987e-08	16.393879149711
ENSG00000129473.9	-0.162209975838855	6.41572062387249	-6.91144875666525	1.02236809571111e-11	1.50505363289872e-08	16.1258822515887
ENSG00000132846.5	-0.439627484102295	4.76254521556314	-6.89793501730933	1.11841660506129e-11	1.5075565714894e-08	16.0577561726549
ENSG00000075234.16	-0.314653177878494	5.31760073983042	-6.89342766312925	1.15207685687396e-11	1.5075565714894e-08	16.0167388509757
ENSG00000139197.10	-0.278225770904138	5.96449732844092	-6.85442155152675	1.49019179056122e-11	1.75499887174395e-08	15.7616099994483
ENSG00000197989.13	0.30116684264562	3.79207590557738	6.83293803429279	1.71628956047096e-11	1.83752201396968e-08	15.6617082186599
ENSG00000122756.14	-0.487405064216684	5.79740567067948	-6.83672392347108	1.67457237613078e-11	1.83752201396968e-08	15.6503861427046
ENSG00000189077.10	-0.32547742486609	5.70513432963553	-6.81784513859169	1.89517618723341e-11	1.94082521365634e-08	15.5309696617894
ENSG00000267041.5	0.229009616497262	1.96764302802096	6.80998541026212	1.99505271931808e-11	1.95797798961741e-08	15.4281903706687
ENSG00000105607.12	-0.358315468779361	4.139243820871	-6.78647290132549	2.32682430279412e-11	2.10792383184664e-08	15.3661521349093
