logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000057657.15	0.675471089162777	1.61293011604302	4.89041019180195	2.62085846253043e-06	0.0382491073318157	4.32870561140906
ENSG00000066654.13	-0.259514343184312	5.53414009073107	-4.81105856315372	3.69878225817771e-06	0.0382491073318157	4.1263884318873
ENSG00000170231.15	0.634480518929857	2.14740918837851	4.31529251992592	2.92097556063716e-05	0.0847138918221867	2.24651110288981
ENSG00000180787.5	-0.319558282115551	3.08816566214612	-4.1716225615367	5.16432227327995e-05	0.0847138918221867	1.75226487134488
ENSG00000150455.13	-0.308296027670685	2.00888629111315	-4.17453408320843	5.10569410627444e-05	0.0847138918221867	1.72949345131976
ENSG00000232040.2	-0.488442054029197	0.826422828761841	-4.20516581317725	4.52627310566841e-05	0.0847138918221867	1.71550957441286
ENSG00000128342.4	0.951395335277586	2.63488557227218	4.15127790438161	5.59514500742437e-05	0.0847138918221867	1.68050610231212
ENSG00000005889.15	-0.215293386109625	4.39120301713593	-4.13374377687899	5.98830177060233e-05	0.0847138918221867	1.5782372768664
ENSG00000074527.11	-0.548940065811919	5.09875275524522	-4.13449102344897	5.97383393258266e-05	0.0847138918221867	1.55775516541779
ENSG00000276517.1	0.67566169862351	0.517116516513788	4.12719008878022	6.14306962697858e-05	0.0847138918221867	1.47659450643194
ENSG00000075213.10	0.845158538700522	-0.151876942716058	4.1310676027621	6.05172553572345e-05	0.0847138918221867	1.40473032303028
ENSG00000197128.11	-0.391913408555912	3.18475485473543	-4.05836807374739	8.01701819692585e-05	0.0847138918221867	1.35820960153524
ENSG00000067646.11	-0.283907090278432	3.27366178137644	-4.03154417035254	8.88605868769139e-05	0.0847138918221867	1.2640110864709
ENSG00000075539.13	-0.266494617440055	5.35063683342411	-4.01435525593471	9.4894494240183e-05	0.0847138918221867	1.11952462700208
ENSG00000180543.4	-0.324907396852594	4.21594933950693	-3.99608444594855	0.00010173592994762	0.0847138918221867	1.10490197574026
ENSG00000110848.8	0.842742979120129	0.195166488507997	4.00455164482006	9.85273179432271e-05	0.0847138918221867	1.04991186128933
ENSG00000163320.10	-0.191625197149522	6.10374979496815	-3.94883180508447	0.000121678080020253	0.0847138918221867	0.882979473148728
ENSG00000125520.13	0.357003440199963	5.72751622543145	3.94012447152915	0.000125748873945184	0.0847138918221867	0.852778181116357
