logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000177606.6	1.77339128596631	5.61858038378658	7.83051738182744	2.47274706113478e-14	3.97794096651171e-10	21.9608641134619
ENSG00000147872.9	1.50197812903153	7.79021508735064	7.77744905308581	3.60582031047109e-14	3.97794096651171e-10	21.5998865325153
ENSG00000065989.15	0.75687361786444	4.64878966986438	7.68778085306157	6.79693079522418e-14	4.99891603552754e-10	20.9809751012292
ENSG00000102119.10	0.842609433035544	5.80349493512762	7.60207319189773	1.24207146575846e-13	5.86184417704314e-10	20.3891611763103
ENSG00000165527.6	0.315299884326761	6.73840235561797	7.55849384817772	1.68419931794207e-13	5.86184417704314e-10	20.0946354581223
ENSG00000169429.10	2.88871307043766	3.7694476526059	7.54467951176173	1.86246476071285e-13	5.86184417704314e-10	20.0152855595977
ENSG00000103472.9	0.893659843043241	1.50930274019706	7.52327677807769	2.15195707827739e-13	5.86184417704314e-10	19.8747807360812
ENSG00000186652.9	2.24188314684183	2.88329042784671	7.50741045688045	2.41280501340359e-13	5.86184417704314e-10	19.7753303069724
ENSG00000186666.5	-0.806505947139728	0.554285418139135	-7.47928380471209	2.91911108483236e-13	5.86184417704314e-10	19.5045341367277
ENSG00000261485.1	-0.918877772605263	-0.266389474909338	-7.48604017585963	2.78582492093559e-13	5.86184417704314e-10	19.469232843186
ENSG00000282977.1	1.12022349462519	-2.9209521668784	7.4791199410729	2.9224205016078e-13	5.86184417704314e-10	19.1799975120465
ENSG00000168209.4	1.35719994225928	6.76454259391306	7.3896134829433	5.42274498961763e-13	9.31785376200612e-10	18.9600884100825
ENSG00000044574.7	0.721426253794364	8.57192079636396	7.37668933847781	5.91129293183003e-13	9.31785376200612e-10	18.8863721559415
ENSG00000204388.6	1.71008826058602	6.17658513873574	7.37719330237372	5.91234375761809e-13	9.31785376200612e-10	18.874753464616
ENSG00000203814.6	1.97323748713767	3.88675270382928	7.36698480470662	6.34208160835852e-13	9.32877924045482e-10	18.8227720893808
ENSG00000241112.1	1.61566104592186	-1.45622725924617	7.2306348995953	1.59275649379724e-12	2.1964112049464e-09	17.7695204870505
ENSG00000151929.9	1.48988427253305	3.36203794732804	7.20224771275994	1.93233791730695e-12	2.46930176007923e-09	17.753574069699
ENSG00000113070.7	1.46336868469431	2.29962980598131	7.19587837148865	2.01447750550336e-12	2.46930176007923e-09	17.7310700892557
ENSG00000168003.16	0.696381381786186	6.83004835366496	7.17181879331592	2.36357144304093e-12	2.7432972414804e-09	17.5298271100464
ENSG00000120925.15	-0.605539392463334	2.29896992850805	-7.16422535665187	2.48667262643256e-12	2.7432972414804e-09	17.5292960896262
ENSG00000151208.16	0.874308524677819	1.71425822208405	7.13834865756793	2.9554244369239e-12	2.96402203528586e-09	17.3617668583213
ENSG00000238917.1	0.939837073192359	-0.32793738476106	7.11622156968784	3.42437749478827e-12	3.14814437687535e-09	17.1333776255359
ENSG00000123689.5	2.03736367513357	4.85351696016472	7.10510664218972	3.69973041194148e-12	3.22170340390707e-09	17.0986263355805
ENSG00000200879.1	1.3430065860401	-4.50024787119368	7.15494827532506	2.64564906812555e-12	2.77969528757725e-09	17.0428139435818
ENSG00000214353.7	0.97428941520939	-2.38078361688753	7.1256034277448	3.21722364637804e-12	3.08629663189935e-09	16.9978421292214
ENSG00000100226.15	0.816644964571776	7.82457439357008	7.08762274845853	4.1401512867676e-12	3.38327029597186e-09	16.9928060265221
ENSG00000269919.1	1.35191407562352	-2.47630336108768	7.10069304316189	3.79642351801958e-12	3.22170340390707e-09	16.8463707025862
ENSG00000275713.2	0.785832029861489	0.898573113571194	7.04957479260765	5.32446815347242e-12	4.05100225304192e-09	16.7793193179829
ENSG00000259657.1	1.13323315434783	-1.66558711467032	7.06315757480005	4.86771706799987e-12	3.8357610495839e-09	16.6883407898744
ENSG00000160271.14	0.853840096527496	6.21185615760497	7.03546481599034	5.8450194591371e-12	4.20277475738137e-09	16.6490299983541
ENSG00000135245.9	2.04539948442023	4.82822308533876	7.03439005741108	5.90491377260798e-12	4.20277475738137e-09	16.6460261096139
ENSG00000260708.1	0.939945663285326	1.16905223269008	7.02649614302559	6.19898478960248e-12	4.27420001243091e-09	16.6429400056081
ENSG00000280138.1	1.09658224624447	3.88760663441474	7.02068419397788	6.44767271216475e-12	4.31095305215766e-09	16.5752437096664
ENSG00000278330.1	0.893681469361423	2.48859318277841	6.98404882707851	8.19104506540153e-12	5.16363480922913e-09	16.377523816213
ENSG00000159399.9	0.794827530640035	7.09208098564328	6.96869593368948	9.05661956000455e-12	5.55070149922057e-09	16.228615527831
ENSG00000272990.1	-0.838444110376424	-2.58317425946596	-7.00046725524415	7.35528499194646e-12	4.7731472959502e-09	16.1760482287064
ENSG00000250565.6	-0.589272385670974	1.41042392544342	-6.94386226751475	1.0650508602434e-11	6.35115734605684e-09	16.1219195816558
ENSG00000260822.1	-0.63922645891753	4.1709639713941	-6.9291502666012	1.17215242265491e-11	6.80588711933104e-09	15.9999599278806
ENSG00000275302.1	1.28015985112482	5.21731504728763	6.91293882247646	1.30525125028987e-11	7.16774860954742e-09	15.871820063524
ENSG00000231721.6	0.737639282120239	4.35248358035695	6.9107438579333	1.32113668569221e-11	7.16774860954742e-09	15.8710238596319
ENSG00000155252.13	0.472631505871602	4.39086658943989	6.9094904035107	1.33193298128827e-11	7.16774860954742e-09	15.8631591904574
ENSG00000130222.10	1.34222513659559	3.02710081360175	6.88752194490552	1.53810600510344e-11	8.08018354681009e-09	15.7563623664437
ENSG00000183513.8	-0.414378923163312	3.14575669655305	-6.88331038214487	1.57830003828185e-11	8.09851442898853e-09	15.7378418829209
ENSG00000166484.19	0.599214236002527	4.49446335163174	6.87325128308524	1.68441858941578e-11	8.33416208377699e-09	15.6333619656787
ENSG00000143614.9	0.431263371219723	6.27699947521452	6.87184786295566	1.69977018568693e-11	8.33416208377699e-09	15.6136374736107
ENSG00000205476.8	0.605532602569772	3.62097256358855	6.8547941798303	1.89765639980441e-11	8.6412059404738e-09	15.5392235318461
ENSG00000166889.13	0.387808167644207	6.3461164481715	6.85305627539196	1.91904954261791e-11	8.6412059404738e-09	15.4962261043376
ENSG00000132002.7	1.2986877817702	7.99478352588577	6.84569605153609	2.01492427943378e-11	8.89145786028538e-09	15.4622086862854
ENSG00000140403.12	1.09006039852549	4.30496819677149	6.84225890923318	2.05981914210923e-11	8.91134304931334e-09	15.4413906643458
ENSG00000239884.3	0.871427148115265	-2.38412381926612	6.86831845973401	1.73898702778692e-11	8.3410890828458e-09	15.4248498016847
ENSG00000271895.2	-0.553968379819525	0.992923282188809	-6.82448241787272	2.30669882108799e-11	9.42500051638617e-09	15.3729392522187
ENSG00000185022.11	1.05570592166456	4.03606816128642	6.8258644761773	2.28856447887406e-11	9.42500051638617e-09	15.3454186667551
ENSG00000261353.1	-0.904326026481423	-2.95007503133004	-6.85734085409236	1.86672982989172e-11	8.6412059404738e-09	15.2888934608625
ENSG00000108798.8	0.548832468200881	5.70843805698284	6.80730153016993	2.57576513665935e-11	1.03330330864094e-08	15.2103640087557
