logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000188636.3	-0.291928239278632	4.98615326623892	-8.97554801330446	1.93160605399821e-18	1.61199325392296e-14	31.1569210616098
ENSG00000205129.8	0.619984969035489	-0.635430968805619	9.04056386113343	1.12700431196195e-18	1.61199325392296e-14	30.6578868028408
ENSG00000151575.14	0.498924893070416	0.793736779217374	8.9645757766389	2.11482912571342e-18	1.61199325392296e-14	30.6188792395481
ENSG00000067646.11	-0.319677218397588	3.36968797979863	-8.65219046894698	2.68904278883587e-17	1.2298068290462e-13	28.57578965125
ENSG00000228223.2	-0.338450469452216	3.10011738440857	-8.65232900392491	2.68605530488695e-17	1.2298068290462e-13	28.5598249926802
ENSG00000188786.9	-0.26089279084065	4.05044371240764	-8.61582811374972	3.59829345586799e-17	1.37136960758889e-13	28.3093012387181
ENSG00000115339.13	0.615949716299996	0.812258819888509	8.54565270819714	6.29518938427169e-17	2.05645850928773e-13	27.4124295291586
ENSG00000150455.13	-0.271188881929866	1.89942601402651	-8.46718285282689	1.17145815170943e-16	2.97641483945994e-13	26.9975084071156
ENSG00000213085.9	0.671002346731459	0.831214529638801	8.47356359820009	1.11396134797655e-16	2.97641483945994e-13	26.8802471680435
ENSG00000171951.4	0.893893873353231	2.68683533263569	8.37364944068312	2.44336432935275e-16	5.07931019266448e-13	26.4178518208278
ENSG00000244694.7	0.578421562515932	0.429415544161342	8.42591854719719	1.62088063114119e-16	3.70646773923056e-13	26.415346542622
ENSG00000100014.19	-0.247112349659373	6.37394317353887	-8.35954077163539	2.72537861468339e-16	5.19343606516376e-13	26.3149552226605
ENSG00000185633.10	0.76629542998332	7.1639389905439	8.32847925531817	3.47481624328434e-16	5.67561593108449e-13	26.0874014081255
ENSG00000117713.18	-0.191233934398559	6.58860453478435	-8.26618978268974	5.62787809101575e-16	8.57951255381714e-13	25.6083807084962
ENSG00000080603.16	-0.206697670170585	6.98055741687638	-8.253920290523	6.1875794058061e-16	8.84321114203551e-13	25.5192716414342
ENSG00000183346.6	0.823781107396674	-0.662173997156587	8.33366396660324	3.33434654872598e-16	5.67561593108449e-13	25.3864587452156
ENSG00000143319.16	-0.188033813443608	4.53626136920511	-8.2151577888912	8.34214959829998e-16	1.05977741591292e-12	25.2410381535387
ENSG00000124641.15	-0.215804118017446	3.24755346089737	-8.20379607759221	9.10366884356595e-16	1.09565050234643e-12	25.1591582354911
ENSG00000086758.15	-0.214230271355678	7.87473882008716	-8.1862568042815	1.04159356233607e-15	1.15947201765061e-12	25.021343009366
ENSG00000172534.13	-0.17758255301342	6.22449162884438	-8.18338310865762	1.06480571875029e-15	1.15947201765061e-12	24.9839998643406
ENSG00000116128.10	-0.277520775209447	4.81639672928267	-8.17031376574326	1.17697902176711e-15	1.22336269503402e-12	24.9000555801032
ENSG00000143799.12	-0.200023941123636	5.81952066075079	-8.14096365562573	1.47314685398525e-15	1.46462822217742e-12	24.6671992596402
ENSG00000198793.12	-0.212550118277972	5.98563258949356	-8.12509979697707	1.66269679064189e-15	1.58420364631701e-12	24.5487493836674
