logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000151650.7	0.970652622952453	-0.661912087639629	12.9421678221153	9.34477943215268e-37	2.26853865494939e-32	71.303293530589
ENSG00000258227.6	1.19505574481841	-1.37094215089804	11.2659443091826	1.56597905415173e-28	1.90078537592938e-24	52.8195751409392
ENSG00000131080.14	0.641522910147433	-0.0794728062716489	9.94645221353871	9.48253488582554e-23	7.67326722961003e-19	40.4976678022882
ENSG00000124762.13	0.694497183049851	4.34376990335899	9.48875447652313	6.83593728505151e-21	4.14873033829776e-17	36.6279113610235
ENSG00000244731.7	0.553652428050144	1.91518046568806	9.32250248742275	3.09324585742709e-20	1.501832728698e-16	35.139875187996
ENSG00000196136.17	1.17855570526482	3.98495966323188	9.18546370444462	1.05456354718023e-19	4.16436720694832e-16	33.957602241502
ENSG00000268903.1	0.529647981952581	-0.925571894212714	9.17084092849502	1.20079792587898e-19	4.16436720694832e-16	33.4752440139041
ENSG00000146205.13	0.342451588803941	0.643201135757766	9.13529799694346	1.64543117868693e-19	4.9930609117255e-16	33.4196300037969
ENSG00000075131.9	0.170545362101374	1.59314499789896	8.96544942388098	7.30295962204187e-19	1.96985164205209e-15	32.0530845664032
ENSG00000110077.14	0.746367544799917	1.429464751451	8.83844022994547	2.18975610708114e-18	5.31585192555017e-15	30.9733542597106
ENSG00000137462.6	0.532956060403472	1.97498646124351	8.81735924548584	2.62396214049351e-18	5.79084590205641e-15	30.8244571765326
ENSG00000182103.4	0.309883815968159	4.90232810325553	8.791649871278	3.26992311586496e-18	6.61505446339481e-15	30.5629515501496
ENSG00000132470.13	0.496305762397095	5.26164763553808	8.77022776164726	3.92638318184623e-18	7.33206754788455e-15	30.3800988902838
ENSG00000102893.15	-0.0982096398008747	5.39046125568997	-8.72080100267068	5.97898133326434e-18	1.03675536318804e-14	29.9663094313632
ENSG00000049883.14	-0.122418380411381	3.49304786963353	-8.67989034371395	8.45495306560242e-18	1.28282775387853e-14	29.6735041796665
ENSG00000250138.4	0.659843309060705	-1.24683572938339	8.70999462364477	6.55308633647747e-18	1.06055149269551e-14	29.590000893104
ENSG00000134817.10	0.795000101240101	4.4516114067681	8.62848223991725	1.30415043210325e-17	1.86232681704345e-14	29.2216210462197
ENSG00000155659.14	0.775367401156672	1.51833045189004	8.60989901138444	1.52444052581233e-17	2.05596212247889e-14	29.097370113414
ENSG00000196735.11	0.74973896857703	0.859252752798845	8.44748038642928	5.88762776507064e-17	6.80609769642166e-14	27.7540987063391
ENSG00000169385.2	0.860519677446548	-1.87514632189389	8.48753735402316	4.22810550543085e-17	5.13207446249197e-14	27.6830624410436
ENSG00000234546.3	0.611460105583292	-3.13679457105827	8.50175643353902	3.75782657500387e-17	4.80131568077863e-14	27.5345038486259
ENSG00000228526.6	0.337532884135007	1.32295427820879	8.37227688107025	1.09201669139494e-16	1.20499078183198e-13	27.1854048057318
ENSG00000231389.7	0.527065633390777	4.34337783699421	8.34792244796261	1.33252077940038e-16	1.40644671481408e-13	26.9479855358611
ENSG00000137198.9	0.516063733123489	3.51155150844458	8.3359790741658	1.468840524489e-16	1.48573219052062e-13	26.8871027877867
ENSG00000158869.10	0.640458215163758	2.10853402117944	8.31160803703887	1.79110809299115e-16	1.67234384867128e-13	26.7236532568845
ENSG00000108405.3	0.489940439524093	-0.50551007546635	8.33082620211274	1.53175942154408e-16	1.48739966869616e-13	26.7107251718151
ENSG00000215447.7	-0.344066658411799	1.47898128046619	-8.26170358544896	2.6840954917477e-16	2.4133000799136e-13	26.3231194747461
ENSG00000125753.13	0.238497943450369	3.53837048004599	8.25068173522516	2.93408544992453e-16	2.52723171522698e-13	26.2079967165861
ENSG00000091073.19	0.17216056912135	2.15068750531562	8.24402881866642	3.09595587726184e-16	2.52723171522698e-13	26.1925868923253
ENSG00000069696.6	0.315765989044298	0.904018104883748	8.23888080600512	3.22722784528079e-16	2.52723171522698e-13	26.1189988416291
ENSG00000240583.11	0.653460394610201	6.41349904989381	8.24141448934102	3.16207027696351e-16	2.52723171522698e-13	26.0837705060925
ENSG00000131435.12	0.469889677491628	3.09577697730642	8.20814637419253	4.13338159455074e-16	3.04066580573678e-13	25.8937729536293
ENSG00000014824.13	-0.150781005782203	6.00135004311817	-8.21235850735196	3.99561081457793e-16	3.03117025420918e-13	25.8519266868921
ENSG00000149781.12	0.370580000666782	1.9621659663565	8.14728902615397	6.72977416479173e-16	4.8050587536613e-13	25.4381911083047
ENSG00000088812.17	-0.154296884651787	5.93414072667786	-8.13363506055974	7.50417896499014e-16	5.20489853011716e-13	25.2347625880889
ENSG00000110079.16	0.657548014434874	0.0955985212816784	8.09017464153933	1.06025198876954e-15	7.14963257760262e-13	24.9160710764768
ENSG00000111321.10	0.349731315864586	3.13270327111771	8.05926819686975	1.35424544419774e-15	8.88531416306605e-13	24.7348117323263
ENSG00000134802.17	0.249114391452613	2.79869230909218	8.05172929347692	1.43733551190874e-15	9.18230444397278e-13	24.6888892617772
ENSG00000067182.7	0.411008312399802	4.35287049437123	8.04513793822453	1.51417328016027e-15	9.42514629465914e-13	24.5697955717
ENSG00000129667.12	0.509915535522213	2.92797218906228	8.03506602274541	1.63938260026077e-15	9.94941300098262e-13	24.5579939055104
ENSG00000184730.10	0.451458758432308	0.321947826677843	8.02603180152214	1.76028092827131e-15	1.04225804426132e-12	24.4490195446714
ENSG00000108798.8	0.525129534141263	1.02387434744307	7.98889208605916	2.35702443286382e-15	1.36236012219529e-12	24.2039293212953
ENSG00000282608.1	0.633573361471415	1.09144632640771	7.97112946753573	2.70897064311329e-15	1.49461298482314e-12	24.0713950503076
ENSG00000126264.9	0.446629996173604	-1.01350126632851	7.98376846703208	2.45355429929113e-15	1.38517405045561e-12	23.9983405132135
ENSG00000213654.9	0.345130864457919	2.30466574944403	7.92872295856633	3.77219318957468e-15	1.94837791213011e-12	23.7634925564981
ENSG00000196126.11	0.536594747561959	4.15959419694779	7.93226710339194	3.6695693554782e-15	1.93657534073019e-12	23.7143927908624
ENSG00000142227.10	0.333582316719381	2.8061606371834	7.91843773510343	4.08667302389645e-15	2.0246545781247e-12	23.6721727917365
ENSG00000130513.6	0.544902505801453	-0.916139022392818	7.9351529393684	3.58786205129293e-15	1.93553198127082e-12	23.6473107929312
ENSG00000018280.16	0.664730127057595	2.27407200274812	7.90263452899218	4.62092482039844e-15	2.19956021450966e-12	23.5677416809827
ENSG00000187837.3	0.382852955820948	2.38843085823877	7.89976780874939	4.72486756900933e-15	2.20578625202443e-12	23.5433485456478
ENSG00000166523.7	0.770578315919656	-1.41643924081368	7.92283873914503	3.94916865070637e-15	1.99729204509475e-12	23.4789994008209
ENSG00000019582.14	0.544312581322238	6.71133705675343	7.90396920221497	4.57327166769412e-15	2.19956021450966e-12	23.4743618316378
ENSG00000166927.12	0.621112767392439	1.26966197418741	7.89027677592107	5.08603512459028e-15	2.28645534601025e-12	23.4687485340409
ENSG00000100916.13	-0.159792213924724	3.82197524250089	-7.89341871505789	4.96342165746084e-15	2.27343441804754e-12	23.4301203482282
ENSG00000105246.5	0.634792629551235	-0.550973498574734	7.88697614370027	5.21787635056323e-15	2.30307575065951e-12	23.3307917761605
ENSG00000132718.8	-0.165735418407518	8.45703305033058	-7.87965369479412	5.52232504597648e-15	2.3939279074308e-12	23.3237935908586
ENSG00000064886.13	1.02707549737789	-0.0254184528171309	7.84336440496535	7.31062792172034e-15	3.11355795487163e-12	23.0498906468585
ENSG00000166928.10	0.574997276543474	0.2194645461947	7.83898988499661	7.56144815077937e-15	3.16485716048827e-12	23.0407956121486
ENSG00000168890.13	0.155845893680018	3.23058896093526	7.80296354895927	9.97612921652949e-15	4.1047544552622e-12	22.7829544619402
ENSG00000170458.13	0.446786207140669	3.47586698009651	7.78878824748879	1.11224426258488e-14	4.50014028641842e-12	22.6667384522429
ENSG00000105281.12	0.571134566923128	0.889581049451672	7.73922918053626	1.62439744049776e-14	6.36030197831028e-12	22.3380256031763
ENSG00000221869.4	0.531303547912586	4.35388238954658	7.74402840990782	1.56604688824426e-14	6.23235315721601e-12	22.2887280416671
ENSG00000198502.5	0.655062008170431	1.96348586417753	7.71867648972349	1.8994574507914e-14	7.31924271038286e-12	22.2006686094435
ENSG00000006327.13	0.490294684111019	0.56801242341209	7.70854319862717	2.05144134362758e-14	7.78137344654736e-12	22.1017134371059
ENSG00000129226.13	0.396361359849385	3.17902019292949	7.68061749294318	2.53513654442945e-14	9.44857781070809e-12	21.8797640431211
ENSG00000146223.14	-0.101305036418378	6.02825294720584	-7.67886948435005	2.5688174967323e-14	9.44857781070809e-12	21.7813411991001
ENSG00000165886.4	0.171690223645952	3.67582415975214	7.66560009007817	2.83990213319962e-14	1.02897707739633e-11	21.7388617919523
ENSG00000177946.5	-0.184286671646132	1.15862370172714	-7.64524589446104	3.31133814657329e-14	1.16501514269874e-11	21.6606509433173
ENSG00000126246.9	0.252428964165819	1.95207773539718	7.63813694155609	3.49350561567509e-14	1.21006697671186e-11	21.6100306583756
ENSG00000167613.15	0.584231829981966	2.02829138255103	7.63641926536554	3.53908202943409e-14	1.21006697671186e-11	21.5972261535776
ENSG00000102174.8	0.381022497468432	0.815498461027059	7.63194989078761	3.66005188212286e-14	1.23404749292242e-11	21.5544245142198
ENSG00000089356.18	0.352256213506021	0.711021893444835	7.62050455026278	3.98899447949794e-14	1.30860581059854e-11	21.4684835889975
ENSG00000102265.11	0.367919637630632	4.16392117307663	7.62610258664052	3.82473333794692e-14	1.27190721249314e-11	21.4242029195104
ENSG00000260088.1	0.494803765319138	-0.708647271800194	7.6095655056025	4.33051663439337e-14	1.40170162422045e-11	21.2993981905186
ENSG00000131095.12	0.547896864435951	11.9495495069819	7.58669025013057	5.14047051639916e-14	1.599872593027e-11	21.2216143949481
ENSG00000149474.13	-0.104873529185818	4.24950697445229	-7.59225415236411	4.93060928255382e-14	1.56339920113698e-11	21.1690596156333
ENSG00000214274.9	0.390588139808249	-1.34100017541787	7.59149071688998	4.9588786656594e-14	1.56339920113698e-11	21.1013585685328
ENSG00000129450.8	0.587338842272685	-0.728490950447919	7.57232938241647	5.72316792374183e-14	1.73669530645946e-11	21.0301586379157
ENSG00000216490.3	0.529113676702317	2.00692592659196	7.55126240672486	6.69742143919162e-14	1.93555479592638e-11	20.979753385358
ENSG00000260401.1	0.607358284732652	-0.389669869149059	7.56107042413334	6.22509155206846e-14	1.82072677732547e-11	20.9794805853894
ENSG00000237484.5	0.647877960350572	-5.22738985833779	7.65676795791972	3.03574863120114e-14	1.08376226133881e-11	20.9422088964139
ENSG00000228010.5	-0.288288889135708	-1.3695711183657	-7.56767016142873	5.92570809576081e-14	1.7542986552767e-11	20.9411631808671
