logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000188536.12	1.72614194039912	2.86257552498386	8.110087131153	1.75912892529077e-15	4.15664573756956e-11	24.5227754300579
ENSG00000244734.3	1.63450318624347	4.84382394634897	7.73050567069141	3.02010075428222e-14	3.56809803614673e-10	21.7346851333972
ENSG00000215417.12	-0.836453264875837	-0.998625819073542	-7.63354594224643	6.12943492572452e-14	4.82774726199816e-10	20.4859871498379
ENSG00000206172.8	1.61442151465736	-0.850819989190326	7.45447057814524	2.22186769588846e-13	1.31251279465371e-09	19.5344803488879
ENSG00000172466.15	-0.148393015702469	6.04776638911928	-7.30240256918753	6.49772861888021e-13	3.07069659071041e-09	18.7331476609573
ENSG00000153201.15	-0.228709657189774	6.70824930607243	-7.26031293258805	8.71623071323921e-13	3.43259692538549e-09	18.4434487843989
ENSG00000102466.15	0.512473432310721	1.1151611898481	7.07226057010712	3.18142758140574e-12	1.07391360458623e-08	17.2205250359244
ENSG00000270640.1	1.17665997498619	-0.71586521067639	6.99260538476574	5.45811433496034e-12	1.61212229525972e-08	16.5432953645148
ENSG00000105939.12	-0.229637864653043	5.17306569979788	-6.74608413815531	2.80522613698267e-11	6.02588076279668e-08	15.0966948892788
ENSG00000213089.4	0.724097674668833	-2.15130720753978	6.74707613456331	2.78708902299301e-11	6.02588076279668e-08	14.7284409524978
ENSG00000115760.13	-0.171115084900054	6.35328544511576	-6.67137263538724	4.5614997240879e-11	8.29105207542099e-08	14.6015327201084
ENSG00000236047.1	0.97862204711962	-2.68350528665351	6.73271298152028	3.06128731203237e-11	6.02792982466775e-08	14.5569777087195
ENSG00000234584.1	0.889369802470737	-3.43995261948954	6.75227669196392	2.69387018920294e-11	6.02588076279668e-08	14.5300872461237
ENSG00000198393.7	0.217018291161624	3.87538116424678	6.59576418491103	7.42543218331683e-11	1.09659710662246e-07	14.2091928787057
ENSG00000149090.11	0.582738873424402	3.14531432601153	6.57205565370725	8.64330938043995e-11	1.14569320050862e-07	14.0923004290314
ENSG00000279738.1	0.467633832296886	1.46053693522667	6.57052625710374	8.72761336034329e-11	1.14569320050862e-07	14.0905017415732
ENSG00000279766.1	0.785250003725089	-2.21157994363607	6.60290637362806	7.09285198518333e-11	1.09659710662246e-07	13.8715973809321
ENSG00000155034.18	-0.298410556943053	1.91692497356934	-6.53216767568039	1.11456890894649e-10	1.31680743747483e-07	13.8625099447967
ENSG00000210194.1	-0.975628288799519	-1.64854314767103	-6.60271874460344	7.10139940944625e-11	1.09659710662246e-07	13.8461777353717
ENSG00000086758.15	-0.195101778193937	7.81010790473016	-6.53659867563797	1.0835907302988e-10	1.31680743747483e-07	13.7620149229075
ENSG00000153827.13	-0.205641005791712	7.15597535236168	-6.49724467581765	1.39103789918826e-10	1.42907976173562e-07	13.5183223376146
ENSG00000164056.10	0.534749140950867	6.26271145851181	6.48415052423261	1.51124438382474e-10	1.48715624004753e-07	13.4399855923159
ENSG00000134061.5	-0.78296757287898	-0.886906213270904	-6.47775459130979	1.57344390372798e-10	1.48715624004753e-07	13.2790501952225
ENSG00000214093.3	0.900973747991329	-3.39672030918891	6.51584014343396	1.23638473135864e-10	1.32793340078515e-07	13.1704839028596
ENSG00000119698.11	0.514708017626205	-1.27928633480814	6.44349465996713	1.95244755547551e-10	1.77439935724349e-07	13.0997041146263
ENSG00000109971.13	-0.322703772543767	9.22823232635005	-6.4227156292847	2.22442270037132e-10	1.94669940692866e-07	13.0798179867813
ENSG00000227512.1	-0.712461371790465	-4.24567270807861	-6.52263034449705	1.18421804819296e-10	1.32793340078515e-07	13.025061760463
ENSG00000274536.6	-0.683129439813235	0.40806356953935	-6.37099757371937	3.07255554566873e-10	2.50349706857264e-07	12.8236829954092
ENSG00000279030.1	1.03580183239642	-2.70754365986983	6.40267042879056	2.52176840568967e-10	2.12810234493005e-07	12.6465703380456
ENSG00000198783.5	-0.150610395498098	3.63501353409471	-6.33493555127562	3.84357494478905e-10	2.92967201194904e-07	12.6465063216291
ENSG00000088280.18	0.238229466063623	5.82964274544061	6.3364985886242	3.80654326173815e-10	2.92967201194904e-07	12.5508626036488
ENSG00000203709.11	-0.535363134612453	3.79834952710818	-6.29377553911571	4.95631304157919e-10	3.65977252685858e-07	12.4017837193747
ENSG00000230333.6	0.488316079769066	-1.01897906155946	6.28693327806575	5.16921373050396e-10	3.70131367388115e-07	12.238025725511
ENSG00000234840.1	0.545846394623614	0.338589079685605	6.25390416895364	6.33110615076544e-10	4.04318127666045e-07	12.1723503482924
ENSG00000007202.14	-0.178989079067298	6.6065877270579	-6.26496860863585	5.91598042528366e-10	4.04318127666045e-07	12.118374603781
