logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000198542.13	0.717172091227008	4.01856226869903	7.10981708696789	5.8634959572814e-12	6.82569564387128e-08	16.7239100084913
ENSG00000102452.15	0.638495561434638	1.64291184047868	7.12798194081886	5.2135410122457e-12	6.82569564387128e-08	16.6741533465204
ENSG00000171435.13	-0.873303384235705	-0.73698356057256	-6.78015577583761	4.64189498206467e-11	3.60241996574766e-07	14.0220725049012
ENSG00000131080.14	0.629529744702053	2.19674431295212	6.64135641510803	1.08582961860144e-10	6.32007129506966e-07	13.873003478823
ENSG00000137843.11	-0.925063850156632	1.5912971037218	-6.57832154919885	1.59063844577922e-10	7.40664885892634e-07	13.415895604641
ENSG00000076554.15	-0.462150096479218	4.19196424448979	-6.53155673057773	2.10695660350291e-10	7.41125138919531e-07	13.2841350236403
ENSG00000173917.10	0.411573194751213	3.9819338696334	6.50630181080941	2.45110330010965e-10	7.41125138919531e-07	13.138399251638
ENSG00000143248.12	0.768795218249215	7.1471173091906	6.50018878212353	2.54660300290192e-10	7.41125138919531e-07	13.0481517002904
ENSG00000180543.4	-0.422967769199537	3.60205743854683	-6.31416307164718	7.6368316153543e-10	1.97556348520754e-06	12.0614701549182
ENSG00000148516.21	0.346985167424042	6.4162307746317	6.29450035055646	8.56613082170661e-10	1.99436657790973e-06	11.8765771872112
ENSG00000102466.15	0.666242974828238	2.44041395828964	6.25292552752153	1.09103990286883e-09	2.30923554714473e-06	11.709219512639
ENSG00000126460.10	-0.627986789979579	1.54348672465348	-6.23783154678214	1.19082983527753e-09	2.31040835207762e-06	11.5455394979733
ENSG00000189050.15	-0.365182833112047	3.4104052124778	-6.18498707881087	1.61571331821915e-09	2.78575409235097e-06	11.3488711818967
ENSG00000168481.8	-2.03827364517153	2.26984693080919	-6.1761795654036	1.70202906576862e-09	2.78575409235097e-06	11.2388085076903
ENSG00000138769.10	-0.936649029393272	1.41811681681063	-6.16677959211328	1.79479045551347e-09	2.78575409235097e-06	11.1436879969666
ENSG00000176842.14	-0.946060739389912	1.72418262091163	-6.14781650132668	2.0014480248713e-09	2.91235705719085e-06	11.0704173236916
ENSG00000136014.11	-0.695200547803384	1.93392647809044	-6.12658882156059	2.25837137705028e-09	2.94192668193409e-06	10.9791096245088
ENSG00000197380.10	0.56490050627386	4.72226557775016	6.11457366784089	2.42073449009981e-09	2.94192668193409e-06	10.9117020320498
ENSG00000156398.12	-0.557819058049009	3.03638461038731	-6.10425131044511	2.56532009723011e-09	2.94192668193409e-06	10.9080692932776
ENSG00000124688.13	-0.336727444100784	3.32338738487578	-6.0955973141979	2.69489464322723e-09	2.94192668193409e-06	10.8630256628147
ENSG00000128311.13	-0.683508936160187	3.84628762947712	-6.09633480380024	2.68576001328659e-09	2.94192668193409e-06	10.860105284777
ENSG00000135502.17	0.465356652904498	2.54375644218222	6.09013624289157	2.77993243718538e-09	2.94192668193409e-06	10.8276012977164
ENSG00000171224.8	-0.462867982704927	1.4588174740472	-6.02865728152527	3.93805124387625e-09	3.95585096509082e-06	10.4300702622311
ENSG00000246082.2	-0.65458351734598	1.77008340005232	-6.01574203475388	4.23548792836186e-09	3.95585096509082e-06	10.3817423710234
ENSG00000164695.4	-0.645106437515648	1.9629381354852	-6.0115971956636	4.33551446644271e-09	3.95585096509082e-06	10.3725019704118
ENSG00000152078.9	-0.464915839927311	2.71804982289945	-5.98649483590964	4.99250414690946e-09	4.30501783512393e-06	10.2737313348765
ENSG00000167912.5	-0.59790734449423	-0.221309824997563	-6.00826229922562	4.41766708583289e-09	3.95585096509082e-06	10.10026616824
ENSG00000170549.3	-0.83327675731451	1.20421861421191	-5.96112586487593	5.75498800930048e-09	4.78527252973335e-06	10.0475514308737
ENSG00000119865.8	0.263899078924961	4.99562972379043	5.95138256157482	6.07710730769601e-09	4.87886939095788e-06	10.0186889751893
ENSG00000178163.7	-0.235542901020784	3.88367215974452	-5.9033281601078	7.94164785080556e-09	5.96443371814371e-06	9.82078458460836
ENSG00000164056.10	0.482428922631228	6.70143837667061	5.90421208397866	7.90732485769042e-09	5.96443371814371e-06	9.7358686507472
ENSG00000248890.1	-0.913185297587199	1.5424273694867	-5.88056405357188	9.01419215786833e-09	6.03635634600254e-06	9.65805108712748
ENSG00000213949.8	0.392143134039689	8.12049106965255	5.88309106768689	8.88446876087035e-09	6.03635634600254e-06	9.63217310377073
ENSG00000215251.3	-0.345946780597696	3.78273311977781	-5.86233446658975	9.96476736580525e-09	6.03635634600254e-06	9.60975486534775
