logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	1.18099431599066	0.86793814488736	9.21244691989082	8.79955977174142e-19	1.74486470713861e-14	31.7429415790277
ENSG00000228526.6	0.793597318891294	0.396895091595851	8.84335618099197	1.58770949922676e-17	1.57413458300837e-13	28.8764957983987
ENSG00000003137.8	0.978148639426488	2.42178153887226	8.49027983872275	2.37032267451157e-16	1.56670427709633e-12	26.4871296419879
ENSG00000168724.14	-0.292278116574438	6.09856049658641	-8.19242352057705	2.14806789798274e-15	8.51880766981995e-12	24.3484188196978
ENSG00000226005.3	1.41784994090899	-5.03402138182218	8.3470793265212	6.86081636323882e-16	3.40107819166657e-12	23.0068077800497
ENSG00000233695.2	0.842418533317952	0.988285642043482	7.94331005644688	1.30892742863944e-14	3.24434024781143e-11	22.5358953826096
ENSG00000147889.17	1.19442282388077	-3.12030447932823	8.11405458325482	3.80728531416766e-15	1.25824434157717e-11	22.4225121793836
ENSG00000174473.15	1.33335480205087	-2.30314923332193	8.04865770140064	6.12331292977701e-15	1.73455960120783e-11	22.3844814665761
ENSG00000173599.13	-0.491782016536173	4.248712313277	-7.82647175320222	3.00452916325332e-14	6.61964541979445e-11	21.7839226298467
ENSG00000139990.17	-0.258069779009964	6.63637750741708	-7.79377751803518	3.78383363474257e-14	7.50296371433105e-11	21.5595963936868
ENSG00000100139.13	-0.327151710176113	3.98970964035966	-7.73340671016494	5.78817193593479e-14	9.56447177647091e-11	21.1494547899991
ENSG00000163071.10	0.662153931006851	0.203530656693931	7.74812756940272	5.21946589364776e-14	9.40879901864921e-11	21.1247196385312
ENSG00000144674.16	-0.386352354725746	7.81805866214117	-7.70783363291618	6.92492042568355e-14	9.92631911012099e-11	20.981383179772
ENSG00000137309.19	-0.471717898093153	6.01845587793988	-7.70616309857653	7.00834472447899e-14	9.92631911012099e-11	20.9558468848578
ENSG00000101084.17	-0.594414344449278	5.91377093274017	-7.60544115891075	1.41738055734144e-13	1.79693618816892e-10	20.270473647338
ENSG00000011007.12	-0.279559259282527	5.17617986915325	-7.60175358544678	1.44994598873885e-13	1.79693618816892e-10	20.246101555437
ENSG00000147231.13	0.614502829332318	1.14799339281323	7.58705446895491	1.60529923660549e-13	1.87243991545002e-10	20.1431133271758
ENSG00000129250.11	-0.322205861112116	10.116552173309	-7.55212839044269	2.0432728326995e-13	2.13242405261044e-10	19.9442691863837
ENSG00000169193.11	-0.322757030982939	2.44108931890502	-7.53568436675941	2.28837366067089e-13	2.22242639700085e-10	19.8349539052458
ENSG00000156515.21	-0.415048791132687	7.83820006775613	-7.53159625494769	2.35367160910877e-13	2.22242639700085e-10	19.7942214090128
ENSG00000166451.13	-0.49711218489925	0.824872683546968	-7.51993533394776	2.55018251215105e-13	2.2985258651565e-10	19.6633979671699
ENSG00000105877.17	1.17962638126021	-0.402052005543328	7.50438619013463	2.84799633490565e-13	2.45534431847149e-10	19.4271945738892
ENSG00000141034.9	-0.392287287578715	5.04570341132709	-7.459809791133	3.85017567813535e-13	3.18104723007274e-10	19.2971296824228
ENSG00000139597.17	0.479840001833738	3.20005334938063	7.45026970935564	4.10928949515105e-13	3.207197939833e-10	19.2593485977127
ENSG00000144668.11	0.592368267793658	2.26838011723685	7.44645529389671	4.22016312457324e-13	3.207197939833e-10	19.2441018345734
ENSG00000171056.7	0.537599340509499	3.33463131249274	7.44152431456499	4.36705554367295e-13	3.207197939833e-10	19.1976337103926
ENSG00000022840.15	-0.260246381881616	8.32520121395718	-7.35934717512382	7.61996726193094e-13	4.93978345124167e-10	18.6602284359177
ENSG00000069696.6	0.748353989836551	-1.18672165095169	7.40446415036916	5.61296217420092e-13	3.97497953400821e-10	18.6032908101797
ENSG00000280010.1	-0.660028698366719	0.0701099284178315	-7.35736592344581	7.72269337780482e-13	4.93978345124167e-10	18.5206273635437
ENSG00000230316.6	1.42752605676834	-4.16349177397217	7.55469753792421	2.00756155474891e-13	2.13242405261044e-10	18.4800339164929
ENSG00000187595.15	0.74815721871179	0.926971041064861	7.32842152095464	9.39881416590963e-13	5.82403394049444e-10	18.4393927084242
ENSG00000213341.10	-0.328191583095085	4.28561204769313	-7.31560730921945	1.0234439701181e-12	6.14965772226416e-10	18.3546980313217
ENSG00000196652.11	-0.238396901792212	3.27517972286362	-7.29786953052374	1.15305113005055e-12	6.72466201699187e-10	18.2606251312728
ENSG00000188452.13	0.963328671939261	-1.79532770858302	7.37557597866694	6.82763495127415e-13	4.66845425685569e-10	18.2418935998628
ENSG00000154813.9	-0.379022430217809	4.95223924391795	-7.29324929886372	1.1893813444287e-12	6.73835505105051e-10	18.2017542321285
ENSG00000105520.10	-0.356837239298148	4.8891681637422	-7.28407555676391	1.26488809839189e-12	6.96707391750355e-10	18.142274326984
ENSG00000159461.14	-0.450692683328003	7.35796002904316	-7.27072078657995	1.38330978441387e-12	7.41341884193044e-10	18.0713054304453
ENSG00000133020.4	1.42078114428657	3.87916720010627	7.22409183565845	1.89781949309036e-12	9.64919557140736e-10	17.7627653499587
ENSG00000082641.15	-0.307387284413706	10.5869418240236	-7.20821480955813	2.09942081065485e-12	1.0244638009328e-09	17.6957056153036
ENSG00000108395.13	-0.271844300767909	3.9775728622378	-7.20540156984309	2.13907197885349e-12	1.0244638009328e-09	17.6452081497575
ENSG00000114853.13	-0.364577299096106	7.03283392947914	-7.1998233285059	2.21988550963357e-12	1.0244638009328e-09	17.6090231824279
ENSG00000119682.16	-0.261389383423588	4.58702946765062	-7.19970771717509	2.22159178173939e-12	1.0244638009328e-09	17.5978703847649
ENSG00000182180.13	-0.249017653521519	5.86393242881532	-7.17873867854054	2.55339108650013e-12	1.1493705781013e-09	17.4617671175927
ENSG00000105176.17	-0.204042418198666	5.74542977790004	-7.17552443443321	2.60838549672491e-12	1.1493705781013e-09	17.4403138968293
ENSG00000176407.17	-0.374901098449255	6.88759140783085	-7.13466850380222	3.41761114258584e-12	1.41182940304864e-09	17.1889263884988
ENSG00000196821.9	-0.319343896619491	8.27491307899283	-7.12823022348733	3.56588829007064e-12	1.44252616040013e-09	17.1652445032196
ENSG00000196182.10	-0.509813992808738	7.18080465430272	-7.12534168024806	3.63741530183099e-12	1.44252616040013e-09	17.1318514140166
ENSG00000187372.11	0.474467933364402	-0.411342846565386	7.13924952198042	3.31581689956312e-12	1.39892198513696e-09	17.1023706583682
ENSG00000177551.5	1.33224848580903	-3.26054129326502	7.26653748104444	1.42285840464583e-12	7.4246998172953e-10	17.0804301121735
ENSG00000138867.16	-0.314462048734786	6.95951776976392	-7.11414353244103	3.91272662600694e-12	1.52128345621748e-09	17.0587304798791
ENSG00000124217.4	-0.334578130013704	2.11864515017024	-7.10477742754691	4.1614814129771e-12	1.57873737645442e-09	17.0387989730382
ENSG00000139977.13	-0.299300899429941	5.48001856783837	-7.10266379261134	4.21973276272552e-12	1.57873737645442e-09	16.9721140752562
ENSG00000104131.12	-0.277374291756103	6.722145096687	-7.09658274065755	4.39183376784049e-12	1.61269762560202e-09	16.9440017670328
ENSG00000146005.3	0.882339550827881	-1.3971704078445	7.14307816975043	3.23303320137606e-12	1.39364815978448e-09	16.9249793969696
ENSG00000262855.1	0.963301208516853	0.260315059109716	7.08960983850245	4.60951447389814e-12	1.66185568187138e-09	16.8780800262834
ENSG00000260337.3	0.855198225947034	0.82526123917227	7.06980403377809	5.24702191221567e-12	1.84016214902595e-09	16.792174594816
ENSG00000146063.19	-0.250485761626003	5.17504228626088	-7.06823254597255	5.28968896537793e-12	1.84016214902595e-09	16.7523846799193
ENSG00000126777.17	-0.31057425431991	8.47725658304077	-7.06070768709867	5.55686491371167e-12	1.89977714437912e-09	16.7385001755555
ENSG00000169515.5	0.69981930831235	0.759023877346291	7.04031719850891	6.3523412052717e-12	2.13243423711983e-09	16.6057158564758
ENSG00000179562.2	-0.35408436000677	3.20481587653863	-7.03784948744597	6.45247134132783e-12	2.13243423711983e-09	16.5968902460132
ENSG00000188906.14	0.465023835098658	3.82136916230889	7.02901545995375	6.83991230440677e-12	2.22342001777183e-09	16.5198092752629
ENSG00000213563.6	-0.414568814261288	3.44206338032636	-7.00717767739194	7.88037034198219e-12	2.52032037921234e-09	16.39698238472
ENSG00000155506.16	-0.265254348541901	7.36593305697412	-7.00308794522638	8.0928347455711e-12	2.5252652300684e-09	16.3599288457169
ENSG00000111726.12	-0.218000921521441	4.82089221796014	-7.00199547208867	8.15053581745814e-12	2.5252652300684e-09	16.3344266323218
ENSG00000160767.20	-0.325947951765843	4.74237732360685	-6.99074692493054	8.76866792792708e-12	2.67498332835179e-09	16.2645011192626
ENSG00000114867.20	-0.316236645170848	9.35300998919285	-6.9655538530541	1.03250485768252e-11	3.05575206313233e-09	16.1497311480895
ENSG00000119986.6	0.648562313828879	2.35576364280783	6.9472404276899	1.16446312356473e-11	3.39560871723014e-09	16.0440981390103
ENSG00000162129.12	-0.337668731252059	3.10599568497686	-6.94095551261481	1.21054544757888e-11	3.41174057311664e-09	15.9914809066771
ENSG00000167992.12	0.578639012496461	0.753180660351266	6.9395462191649	1.22161269197277e-11	3.41174057311664e-09	15.98138987911
ENSG00000103343.12	-0.271571016868654	2.67060961566398	-6.92977180157695	1.3011549431603e-11	3.58341685665632e-09	15.9332001107942
ENSG00000167767.13	1.09337425916598	-0.361748305547158	6.92632748258416	1.33415323649314e-11	3.62396226389348e-09	15.8072076554012
ENSG00000154229.11	-0.398407602733596	4.15464258192902	-6.90361133608702	1.53993083389818e-11	4.07137180071561e-09	15.728815137385
ENSG00000183665.5	-0.26612837955889	2.85785682966127	-6.88386551317689	1.74818264457855e-11	4.44637928170714e-09	15.6434814259597
ENSG00000007202.14	-0.240950948157473	6.56175194689991	-6.88894271635629	1.69213358395763e-11	4.41491011003893e-09	15.6350255946714
ENSG00000107897.18	-0.282354943403071	4.84798114240887	-6.88378889878739	1.74904223094032e-11	4.44637928170714e-09	15.5941072316519
ENSG00000176371.13	-0.246368801075941	1.14382079248594	-6.86488008668312	1.9743932772515e-11	4.92151290622282e-09	15.5337444881612
ENSG00000129204.16	0.949682892923858	5.35962406859027	6.8646118904672	1.98558188762835e-11	4.92151290622282e-09	15.4725676407998
ENSG00000007168.12	-0.221165912185588	7.28029704454211	-6.86012417239704	2.03541950334896e-11	4.98275720146994e-09	15.4659187358988
ENSG00000103269.13	0.829543108457037	-1.79868154567809	6.91713637318082	1.41155627488455e-11	3.78239856414673e-09	15.4507083209466
ENSG00000010165.19	-0.238248250592586	4.21699822286709	-6.85264840228182	2.13510922760464e-11	5.16305864319175e-09	15.4100209211137
ENSG00000115216.13	-0.248182945223866	6.63386803756567	-6.85054377443929	2.16402910547892e-11	5.16994375090861e-09	15.3976696101241
ENSG00000107105.14	1.07618650903078	-3.35244629239626	6.97053413233297	9.9972528586037e-12	3.00356858989777e-09	15.2992004596646
ENSG00000187013.4	0.90778594376557	-2.93128932235563	6.9433528039374	1.19194528139209e-11	3.41174057311664e-09	15.2641846370229
ENSG00000196440.11	0.47180095848061	2.98258761371426	6.82148998736935	2.60540779706079e-11	6.15031323903791e-09	15.2511765576619
ENSG00000164252.12	-0.221180514724885	4.17164554748561	-6.81286710922882	2.75184043620766e-11	6.34491209413509e-09	15.1652387317014
ENSG00000258676.4	0.833826754522106	-0.242435326799145	6.81406065559869	2.73340570417087e-11	6.34491209413509e-09	15.1439257757264
ENSG00000110025.12	-0.391979903802516	3.99277655047108	-6.80163766628399	2.95555764110969e-11	6.73629338684644e-09	15.1016744619947
ENSG00000151092.16	-0.264851844908409	5.40586420079072	-6.79770306196519	3.03038207027778e-11	6.82061747274278e-09	15.0603519929639
