logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000154655.15	0.283372889644046	3.02056929288016	8.1209017981937	6.3561993434318e-15	1.41609765172317e-10	23.2434107604191
ENSG00000131080.14	0.462852044529687	3.08020660417813	7.79982653459352	5.89676956018087e-14	6.56870645156348e-10	21.1159407709017
ENSG00000163812.13	-0.189590357245751	6.51121496147415	-7.62890239620879	1.88160419473231e-13	1.39734199514804e-09	20.0195090812975
ENSG00000147889.17	0.712457786424782	0.883206694336746	7.24727989610396	2.34948566593353e-12	1.04688382302666e-08	17.2922021273421
ENSG00000172667.10	0.249569638103078	5.38861352036266	7.15631101511362	4.22878674549041e-12	1.57021899837968e-08	17.0046532630542
ENSG00000080224.17	0.791717595118244	-1.37991492266415	7.35783579272955	1.14134142378556e-12	6.35698639512963e-09	16.8838747350831
ENSG00000047365.11	0.295382842438278	4.49799893245675	7.09379878477979	6.31417961252584e-12	1.83706909087369e-08	16.6393912042142
ENSG00000122390.17	-0.148070915054185	5.74687287160841	-7.06734804859358	7.47562266697543e-12	1.85054885997273e-08	16.4475095347016
ENSG00000162734.12	-0.300868461236479	8.31941868509134	-7.00616007866688	1.10283296766995e-11	2.45700156867189e-08	16.0914148336713
ENSG00000008196.12	1.0557766222684	0.766459350051587	6.83770922808832	3.18224188395801e-11	5.90809724439171e-08	14.8529472711086
ENSG00000175048.16	-0.254490175951618	4.21401607758289	-6.77957510829556	4.55345796789528e-11	7.24617786190993e-08	14.7443287737558
ENSG00000171759.9	1.06742141932289	-2.28000396491293	7.0869512871531	6.59659442838076e-12	1.83706909087369e-08	14.7119840645243
ENSG00000160678.11	-0.497424640060056	1.87943132325368	-6.78325971250769	4.45089739729865e-11	7.24617786190993e-08	14.6778456893606
ENSG00000164749.11	0.759934119134945	-0.407603600103792	6.86645751256562	2.65449608707169e-11	5.37631984762456e-08	14.6567611095573
ENSG00000128710.5	0.6141263625819	2.07125080324937	6.76355414786414	5.03149413487537e-11	7.47311052205922e-08	14.6022819620653
ENSG00000055163.19	0.34488395532872	4.76379570149089	6.65216287624755	9.95705020136466e-11	1.38645700897627e-07	13.9663806754481
ENSG00000160877.5	-0.275078191449703	4.93928159244521	-6.46494660664844	3.07753397359763e-10	3.67632046860252e-07	12.8749650634359
ENSG00000066322.14	-0.192035790695677	6.46108773646738	-6.46183093076698	3.13524345363113e-10	3.67632046860252e-07	12.8276090000832
ENSG00000197535.14	0.230485706949247	6.38662729830757	6.4525939766906	3.31263859914279e-10	3.69011376751511e-07	12.7744092746991
ENSG00000005884.17	-0.246007665043592	6.67104527283999	-6.37051117674709	5.38810261512681e-10	5.21919731140914e-07	12.3061745581944
ENSG00000157087.17	0.668219044280936	3.23283521693134	6.33656005560377	6.59082237141776e-10	6.11820548386734e-07	12.2000527051742
ENSG00000128713.13	0.861283906004755	-2.4364143730545	6.61700996227675	1.23263839217166e-10	1.61540886701131e-07	12.1371235533993
ENSG00000186088.15	0.268041198428113	4.87456499524282	6.30079345339681	8.11420176281492e-10	7.23105204295014e-07	11.9387804057177
ENSG00000082781.11	-0.259724631259604	7.11318227013816	-6.27555247531951	9.40265688300952e-10	8.05699202679112e-07	11.7750651789217
ENSG00000185565.11	0.635824647433245	4.55332855987472	6.26630167481904	9.93931301960736e-10	8.20140573199379e-07	11.7569385435746
ENSG00000250120.6	0.36962306310319	1.27813758011253	6.21438032411389	1.34136480481708e-09	1.03049194781102e-06	11.4408618139537
ENSG00000012983.11	0.183020946421836	6.76494014748587	6.21555365396407	1.33228869558215e-09	1.03049194781102e-06	11.4343851273481
ENSG00000101412.12	-0.274548326096925	1.97124485623419	-6.1970663637582	1.48254107226431e-09	1.10098441829922e-06	11.3960026730754
ENSG00000183762.12	-0.237311280284912	4.95690788269953	-6.15148805993425	1.92736869932748e-09	1.38515636297796e-06	11.1060823702272
ENSG00000128872.9	0.427251903960606	8.23244035865737	6.13987979179413	2.06222995632889e-09	1.43576316240785e-06	11.0449474591239
ENSG00000077327.15	0.889877966027811	-2.43550411518325	6.37403463604791	5.27727545927368e-10	5.21919731140914e-07	10.9308444279191
ENSG00000176871.8	-0.185495426310265	5.51892565122604	-6.12117979826159	2.2928891271629e-09	1.54797808678976e-06	10.9165377282545
ENSG00000261292.2	0.949682575396784	-2.92621792677294	6.4136562457186	4.17491845802287e-10	4.42919087268055e-07	10.7979912517907
ENSG00000143797.11	0.25638707812437	6.41840943298956	6.08455078021097	2.82581710613129e-09	1.85165821492644e-06	10.7056058144249
ENSG00000005471.15	0.571793329863618	2.17575171985974	6.06054029179029	3.2414353649042e-09	1.90041943407107e-06	10.6773894478202
ENSG00000165300.7	0.419238959327403	6.07929367654741	6.07463658134477	2.99405468389084e-09	1.90041943407107e-06	10.6495732313889
ENSG00000167705.11	-0.229424025671747	3.18943364760039	-6.0517519409307	3.40451494660887e-09	1.92936661677502e-06	10.6382614373707
ENSG00000111058.7	0.155939758488904	5.71580068262125	6.06880769454897	3.09045883415409e-09	1.90041943407107e-06	10.6225484365148
ENSG00000173264.14	-0.198342900810133	4.74139799733368	-6.06110942888669	3.22853868595846e-09	1.90041943407107e-06	10.620207070302
ENSG00000230733.2	-0.242737560734745	2.47735350901658	-6.02698676706831	3.91672215053314e-09	2.07763459027923e-06	10.503492419648
ENSG00000164089.8	-1.0413015809769	1.58008882771336	-6.0368353735301	3.70978515467179e-09	2.01586106002275e-06	10.4957901461592
ENSG00000182050.13	0.898313048829771	0.543246909666523	6.04894410448608	3.46400936626422e-09	1.92936661677502e-06	10.4773374894782
ENSG00000162631.18	0.608481704839856	3.7058288774708	6.02023086042947	4.07470324825419e-09	2.11117008529896e-06	10.4457082953038
ENSG00000180828.2	0.437635066481196	2.87986388229444	5.96083147255565	5.68411552238966e-09	2.76460841058528e-06	10.1540761131696
ENSG00000160179.18	-0.411921575231578	4.16705830482548	-5.96018579644547	5.70815507369822e-09	2.76460841058528e-06	10.1083873869073
ENSG00000171408.13	-0.320211955431362	3.85963980180486	-5.95442825922878	5.89026700708003e-09	2.79211188618587e-06	10.0933002892107
ENSG00000111052.7	0.197793276451461	4.4417121198506	5.94584163752047	6.18009912019503e-09	2.80992710813929e-06	10.009261036855
ENSG00000240849.10	-0.210253911928872	5.81395505508302	-5.94197263220188	6.31520079798552e-09	2.81392717156639e-06	9.93381148479237
ENSG00000178301.3	0.293972809958149	1.83818002184413	5.92066053360841	7.11270764817011e-09	2.9898870508223e-06	9.92365650331421
ENSG00000111860.13	0.215625388244484	5.58768553256755	5.93601280586689	6.5289725846152e-09	2.85213686691455e-06	9.90482821822119
ENSG00000171159.4	-0.231508414338707	4.97142279307285	-5.92951499560268	6.77009346176434e-09	2.90059446605092e-06	9.89696758402184
ENSG00000153094.22	0.198545150289453	4.46344930430853	5.9171458897893	7.25334613529226e-09	2.99254256570697e-06	9.85439065472196
ENSG00000140092.14	-0.290614199256393	7.69130180240326	-5.91279015561885	7.43141171617543e-09	3.01026221135768e-06	9.7958040268588
ENSG00000146350.13	0.251809708766857	3.42889886755494	5.88686023712186	8.58318688355985e-09	3.32927554693163e-06	9.74878267700718
ENSG00000237187.8	0.210006589671307	4.42504253598573	5.89072777386614	8.4009545355581e-09	3.32927554693163e-06	9.71572184338898
