logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000120594.16	0.534141025969758	5.9499917058329	7.10944325428063	1.66993654537074e-11	3.20531237734308e-07	15.719167418964
ENSG00000164176.12	1.0170940452538	4.19925229002848	7.02180029502363	2.79283123768476e-11	3.20531237734308e-07	15.2577631705209
ENSG00000111058.7	0.488367380658842	4.49095547844716	6.95793926849205	4.04234787793393e-11	3.20531237734308e-07	14.8942210718644
ENSG00000077984.5	0.876521541619458	1.26774111242684	6.58995505648344	3.29877432125157e-10	1.60171878963631e-06	12.7847273694044
ENSG00000140030.5	0.781177666900009	1.21542698605283	6.58632320943806	3.36665291246913e-10	1.60171878963631e-06	12.7572666454866
ENSG00000213225.7	-1.12298131475162	-0.365019324921908	-6.55216652334422	4.07606505431067e-10	1.61602392519904e-06	12.1494164799964
ENSG00000010671.15	0.714080264114055	2.07971933423662	6.29255502446441	1.70780325674001e-09	5.80360341019018e-06	11.3064484231086
ENSG00000198075.9	0.684951900481007	2.24911966600931	6.23951230159809	2.27809358392602e-09	6.77391127180402e-06	11.0423877669511
ENSG00000104894.11	0.708604113528811	3.42768887435868	6.17213811400048	3.27949410187872e-09	7.06634117139794e-06	10.7013753365205
ENSG00000156738.17	1.84229973994611	0.251276033667195	6.19048063660755	2.97209681561116e-09	7.06634117139794e-06	10.6355527279094
ENSG00000133107.14	0.702975779738868	3.82522992436624	6.16128142410521	3.47747213006774e-09	7.06634117139794e-06	10.6301766224985
ENSG00000155307.17	0.810146816587054	2.15790379281998	6.15651518503608	3.56465840157959e-09	7.06634117139794e-06	10.617617980106
ENSG00000163633.10	0.371286554933787	1.89797693388587	6.1174708886739	4.39393613252778e-09	7.46592519432649e-06	10.4044070030792
ENSG00000135426.15	0.711619023177683	1.39388616955454	6.11932294801895	4.35062869323661e-09	7.46592519432649e-06	10.3863103313478
ENSG00000188452.13	0.636534316113904	1.3772921385939	6.0883352136544	5.13349686299936e-09	8.14104155846858e-06	10.2295873444231
ENSG00000147100.10	0.387320658225326	5.04874395576199	6.04229280172049	6.55754416007106e-09	9.17593296939825e-06	9.96214293063809
ENSG00000126264.9	0.646142669011998	-0.24532384004067	6.07213320553368	5.59616161720272e-09	8.32009328437615e-06	9.94729801338275
ENSG00000101951.16	1.26639396759607	4.94120940760006	6.01787625804387	7.46968890752273e-09	9.87160887400837e-06	9.84001044989966
ENSG00000163564.14	0.944313281079781	0.364216693784727	5.96995831484699	9.60953983447418e-09	1.18234558568478e-05	9.55719998605191
ENSG00000164483.16	0.876995531472221	-0.135674725038671	5.96351705493908	9.940689302882e-09	1.18234558568478e-05	9.45289846407726
ENSG00000137101.12	0.65059369381466	1.71712691451419	5.89414850338518	1.42955631700313e-08	1.40326333992268e-05	9.29362497947356
ENSG00000171004.18	1.08969332366334	1.87517914638678	5.89144384137937	1.45108274496709e-08	1.40326333992268e-05	9.28938907900223
ENSG00000110002.15	0.425898078987864	5.42952729306851	5.90177785930045	1.37375200262701e-08	1.40326333992268e-05	9.23596474684599
ENSG00000167112.9	-0.258775381984943	4.56945251138763	-5.88817907389458	1.47475968967828e-08	1.40326333992268e-05	9.2151995164063
ENSG00000163519.13	1.2737720484961	-1.85428499943753	5.94952328059366	1.06990733053384e-08	1.21195026565423e-05	8.98544094684355
ENSG00000167895.14	0.740438760897277	3.85197748779522	5.83365693917843	1.95943277637239e-08	1.79273026478256e-05	8.97306757395964
ENSG00000165028.11	0.433002982961562	2.47037084529973	5.77836069930883	2.60489646988473e-08	2.21304561520064e-05	8.74735811022276
ENSG00000104814.12	0.657093007740143	2.10649277142236	5.74484466670625	3.09431625919529e-08	2.37443855399154e-05	8.58202777250274
ENSG00000183918.15	1.06063120252718	-0.499885534669013	5.78623531158068	2.50137755321195e-08	2.20380626799281e-05	8.55988968121977
ENSG00000169508.6	0.761052242570041	2.53475183859571	5.73478713209871	3.25903606012089e-08	2.42268593119237e-05	8.53584935698145
ENSG00000140931.19	0.437540540404426	5.24971789996425	5.75141649883651	2.99179698169326e-08	2.37443855399154e-05	8.49297683249643
ENSG00000121966.6	0.807654665448897	4.9403083681083	5.74851996198678	3.03887937276723e-08	2.37443855399154e-05	8.48983056456075
ENSG00000267121.5	0.820254783205403	3.00836907041571	5.71728593000851	3.56576778070605e-08	2.54046126546429e-05	8.44158991079128
ENSG00000144619.14	0.646961349553869	3.08964007067545	5.71360527129917	3.63106116637741e-08	2.54046126546429e-05	8.42263962004846
ENSG00000123572.16	1.12375821435913	2.86591469444777	5.7041679146815	3.81276345401352e-08	2.59137191554496e-05	8.38067241547294
ENSG00000180096.11	0.528099150202913	2.37889450789927	5.67575583746756	4.40313659509573e-08	2.83085981957127e-05	8.25271364798558
ENSG00000235531.9	0.662182979990687	2.27438448008993	5.66060263805317	4.75546125363239e-08	2.97691874477388e-05	8.18007431980408
ENSG00000113532.12	0.557520045453311	1.98790352391587	5.64900113205524	5.04366148969135e-08	3.07637485940456e-05	8.12137469435176
ENSG00000078589.12	1.20196643591569	-1.72280604219899	5.69302031849314	4.03272885611919e-08	2.66473761192676e-05	7.863939668346
ENSG00000151892.14	0.778390418771118	4.87823837741665	5.61712993963344	5.93016006039901e-08	3.44064993943346e-05	7.85094562203284
ENSG00000140368.12	0.658550350088841	2.34548696442161	5.58892524887392	6.83107164969306e-08	3.64589643848868e-05	7.83951369740993
ENSG00000099985.3	0.910525664039911	-0.29325780457551	5.62274404972447	5.76030986734743e-08	3.42565627811152e-05	7.83697521413401
ENSG00000140678.16	0.768384740550517	3.9168769176777	5.58765201640474	6.87974573728081e-08	3.64589643848868e-05	7.76836747115174
