logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000260804.3	-0.391006229246582	2.27900284494214	-6.77792550849044	1.97844215981223e-11	4.72610263135946e-07	15.329454872004
ENSG00000166135.13	-0.16917800250759	6.1194336138241	-6.64243566431836	4.82838895564366e-11	5.76702776862078e-07	14.641812183141
ENSG00000140995.16	-0.134745261608748	5.96938893023527	-6.55891739134084	8.30250103377916e-11	6.22754114765199e-07	14.1220108168151
ENSG00000179151.11	-0.163507897910094	4.88082089064201	-6.48264990740065	1.35480997162866e-10	6.22754114765199e-07	13.6704613438571
ENSG00000107021.15	-0.1770473427419	4.97835034111915	-6.46011761145444	1.56418481605458e-10	6.22754114765199e-07	13.5310172368473
ENSG00000125650.4	-0.221990230338446	0.939852989140803	-6.49956874053504	1.21587949162048e-10	6.22754114765199e-07	13.408863466298
ENSG00000114745.13	-0.0784329519310245	5.79575424334354	-6.40947092554884	2.15708313639128e-10	7.36120028030212e-07	13.2065715565659
ENSG00000128731.15	-0.144215385030397	6.44553219793652	-6.37738273917601	2.64117125244788e-10	7.88653735980937e-07	13.0029020076023
ENSG00000176095.11	-0.159296138106075	5.90631357453969	-6.31853715098668	3.81972999045766e-10	1.01384122235614e-06	12.6561359928789
ENSG00000205356.9	-0.132813952493616	4.77414686665163	-6.23757259290816	6.31461363213696e-10	1.50843490444488e-06	12.1990446565952
ENSG00000139651.10	-0.162661511810654	4.99196280246753	-6.18368429498963	8.79565521289308e-10	1.91009647023264e-06	11.8767573032954
ENSG00000159792.9	-0.223673792052096	4.76081579416791	-6.11697606549627	1.32097173811039e-09	2.62961440666508e-06	11.4945370088913
ENSG00000174151.14	-0.296368274248872	4.71208892288115	-6.08598970540555	1.59352445472024e-09	2.92816247495055e-06	11.3172517218107
ENSG00000179886.5	-0.197828200789135	3.50215147754553	-6.02558629905096	2.29143390324357e-09	3.61178600241766e-06	10.984486254299
ENSG00000128607.13	-0.132279408138348	5.43198455947696	-6.01652075182988	2.41914668614712e-09	3.61178600241766e-06	10.8964610641053
ENSG00000002919.14	-0.103491282962645	4.1155922134691	-5.9491444557957	3.6119169426417e-09	5.07538070151911e-06	10.551603276024
ENSG00000152518.7	0.190258795629475	8.91367286466428	5.92431302240931	4.18267183755679e-09	5.55087026975314e-06	10.3333799020419
ENSG00000156959.8	0.545207464296738	-1.98056579525347	6.07099619061188	1.74439911441094e-09	2.97644328893205e-06	10.3066350872442
ENSG00000166710.17	0.156135362414945	10.2505225384371	5.91399995019985	4.44474606607481e-09	5.58821547507342e-06	10.2765474884953
ENSG00000105607.12	-0.169829048623266	3.83054030907639	-5.86114319520995	6.06004910090126e-09	6.89345013915854e-06	10.0656565707881
ENSG00000165671.19	-0.133062921725876	6.41383886182416	-5.8660392735089	5.8891238844711e-09	6.89345013915854e-06	10.0238347587213
ENSG00000274211.4	-0.157527730029889	4.74177174976577	-5.79125014856194	9.09593881689991e-09	9.4471211503524e-06	9.65393548247856
ENSG00000107815.7	-0.24545725230268	3.72270872317937	-5.73709643057756	1.24224609238745e-08	1.18699098619805e-05	9.38829566453602
ENSG00000175224.16	-0.114374378720564	6.28083048826934	-5.74870477341555	1.16221688265189e-08	1.15679320386618e-05	9.37527945313734
ENSG00000230733.2	-0.282914341690029	2.85266140833153	-5.70217468861586	1.51668884048842e-08	1.29395225077098e-05	9.18792002232553
ENSG00000125817.7	-0.151760557450992	6.7067164134674	-5.71227077933899	1.431800721106e-08	1.29395225077098e-05	9.16913739734627
ENSG00000197136.4	-0.12266771239242	6.1379582399743	-5.68927340558703	1.6323122184603e-08	1.34457497498551e-05	9.0532408551061
ENSG00000215193.12	-0.0858114875562969	5.50125158496776	-5.666363452631	1.8591071836734e-08	1.48034508011967e-05	8.9449344067911
ENSG00000280173.1	-0.282699584980473	0.269413099452782	-5.70646573347072	1.48002780507436e-08	1.29395225077098e-05	8.93680141162333
ENSG00000169217.8	-0.112494990639248	5.91400618082531	-5.66009001029694	1.92637490054264e-08	1.48442721368266e-05	8.89985630177014
ENSG00000196776.14	0.124416334225933	6.34494499590039	5.63770386109424	2.18625094652794e-08	1.5825806851715e-05	8.7690976474819
ENSG00000259882.2	0.726180378076441	-5.01529647932937	5.8461250677869	6.6150356932797e-09	7.18272602913933e-06	8.69270131429111
ENSG00000261662.1	-0.263790522299094	0.715729761791851	-5.64516602327858	2.09604945411918e-08	1.56470091749997e-05	8.69175581658233
ENSG00000130717.12	-0.105624283563694	4.83288216761344	-5.61001581174061	2.55509837548735e-08	1.74389114267548e-05	8.66645555702629
ENSG00000213380.14	-0.102109459096097	4.39361154292334	-5.58190127378896	2.99126365324874e-08	1.87596338329987e-05	8.53520106669308
ENSG00000087152.15	-0.10330431140235	6.19225153261718	-5.59190419992826	2.82837398692452e-08	1.87596338329987e-05	8.52679592419184
ENSG00000159363.17	-0.164696704368041	5.21283193653012	-5.57863625731149	3.0463781255358e-08	1.87596338329987e-05	8.48448097574274
ENSG00000124164.15	-0.167617330243745	5.3951512239742	-5.57767840592865	3.06273325304315e-08	1.87596338329987e-05	8.47281391892651
ENSG00000107185.9	-0.199886070681693	4.9484299484123	-5.55808331644535	3.41666182530099e-08	1.99066384592171e-05	8.38606649121435
ENSG00000198925.10	-0.114438906146369	6.51199659751804	-5.55848646586538	3.40899509192354e-08	1.99066384592171e-05	8.34265793266519
ENSG00000283959.1	0.349061616693947	-0.722339855949694	5.61486717574741	2.48636941717129e-08	1.74389114267548e-05	8.31626382861911
ENSG00000259956.1	-0.178658851089139	5.98801756025615	-5.51063068406338	4.44628395132665e-08	2.48636495292827e-05	8.09994466139833
ENSG00000169926.10	-0.272223065523146	7.00840103443428	-5.5094411831263	4.47562345009693e-08	2.48636495292827e-05	8.07599944969547
ENSG00000106012.17	-0.11438887057836	4.36880105398011	-5.46033353313676	5.86538710777589e-08	2.91929072181382e-05	7.89791042962231
ENSG00000102178.12	-0.121041404701025	5.30424254546481	-5.46275128874514	5.78810507933831e-08	2.91929072181382e-05	7.86936503965419
ENSG00000125741.4	-0.199365203970236	4.38556887566434	-5.45286856465404	6.11037073387018e-08	2.91929072181382e-05	7.85926848030086
ENSG00000166166.12	-0.159749429774705	4.57028497296022	-5.45448847050395	6.0563797546844e-08	2.91929072181382e-05	7.85861856213705
ENSG00000071655.17	-0.136944946470874	6.22165205206032	-5.46426791818399	5.74013224120575e-08	2.91929072181382e-05	7.85076884443978
ENSG00000180035.12	-0.171483826226628	2.91539072338176	-5.44203082691297	6.48379174830415e-08	3.03695720163705e-05	7.8342249040718
ENSG00000100897.17	-0.106821692282993	5.72539662293	-5.42734929921223	7.02513347895832e-08	3.16634695368597e-05	7.67052088011023
ENSG00000101152.10	-0.135837622335202	6.43912658480481	-5.42760544385371	7.01532355936717e-08	3.16634695368597e-05	7.65516430309108
ENSG00000088888.17	-0.147905883793855	6.88794961808016	-5.41416284883954	7.5485290177354e-08	3.2785320213757e-05	7.57822503651324
ENSG00000170835.14	-0.496437346312755	1.24949820239293	-5.39649939248156	8.30921037117642e-08	3.48228802362566e-05	7.50033691252034
ENSG00000100413.16	-0.202931265099361	4.72823341323455	-5.37301752508863	9.43636526028639e-08	3.88648091961589e-05	7.43083251261111
