logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000244414.6	1.84280461759503	-2.81962350001685	4.84152156761508	4.62007128196985e-06	0.101174941003858	1.43466021138438
ENSG00000232807.2	0.402373434328063	2.12677854167317	4.12744033815786	7.52889431020076e-05	0.415904773045473	1.16958595483813
ENSG00000170604.4	-0.304710026244652	4.7193303610712	-3.95085002854507	0.000143941081006942	0.415904773045473	0.855262030400309
ENSG00000163739.4	1.32124000276224	3.46379260252572	3.91276295501467	0.000165218470478118	0.415904773045473	0.716575248145928
ENSG00000105732.12	-0.295275695467686	4.14080467560821	-3.91016715179745	0.00016669395641288	0.415904773045473	0.710956609510665
ENSG00000196218.12	-0.411753201779443	2.55714125510315	-3.78928590178169	0.000256326101551644	0.415904773045473	0.194106456340766
ENSG00000131115.15	0.335710519298104	3.0958263642192	3.75162475477915	0.00029257557586677	0.415904773045473	0.18338564297569
ENSG00000231106.2	1.12418932999975	0.0653176839882712	3.87219974655607	0.000191071052093628	0.415904773045473	0.125081609088473
ENSG00000119574.12	-0.34514843510335	3.69836883652725	-3.71855580351506	0.000328375556948583	0.415904773045473	0.107364771461103
ENSG00000230266.1	0.762883647453926	-1.18161350615292	4.00809408296052	0.000116895239228049	0.415904773045473	0.063400668936163
ENSG00000169682.17	-0.221544975703348	5.492635636037	-3.66077381412937	0.000401117592983401	0.415904773045473	-0.0442458596337145
ENSG00000108523.15	-0.234357743999823	6.538418704765	-3.62368376941636	0.000455598149387724	0.415904773045473	-0.16084315305249
ENSG00000173011.11	-0.216035282467129	5.27611273287427	-3.60501948210773	0.000485595418449837	0.415904773045473	-0.210251664459892
ENSG00000189241.6	-0.256579956037599	6.24013844219533	-3.59935732622396	0.000495059046756508	0.415904773045473	-0.23353131023179
ENSG00000171169.8	-0.274914537879529	3.15903559508153	-3.59699440498638	0.000499059775616418	0.415904773045473	-0.277898655173328
ENSG00000166188.2	-0.276268848017411	3.54529356953054	-3.55346601082827	0.000578461017974131	0.423141710028187	-0.374671302194834
ENSG00000104142.10	-0.366867644924777	4.67953091057623	-3.5379521527181	0.000609540264999352	0.430591040749058	-0.402161391972271
ENSG00000266962.2	-0.27190620321048	1.63382907924306	-3.58657295960963	0.000517072386760904	0.415904773045473	-0.468155773376669
ENSG00000130312.6	-0.383852815125486	5.10948778337222	-3.51395428176585	0.000660738897376271	0.452172534801343	-0.476666071467997
ENSG00000111667.13	-0.293499106383856	5.92896395224731	-3.50316604654535	0.00068505396150738	0.45259004397304	-0.517589094385223
ENSG00000185019.16	-0.295003182171229	3.74293228929103	-3.46242118397275	0.000784712558435609	0.45259004397304	-0.623420657605823
ENSG00000179886.5	-0.319931533814068	3.3150253106329	-3.45351307127784	0.000808249317308139	0.45259004397304	-0.665266478127924
ENSG00000183023.18	-0.742121734179326	3.76698873512383	-3.44899372981967	0.000820679056793356	0.45259004397304	-0.667562415245284
ENSG00000160703.15	-0.399348388200499	4.23187352424154	-3.43923943861429	0.000847353386131542	0.45259004397304	-0.683276592277341
ENSG00000258384.1	0.882164211356161	-1.61573508783185	3.71819462808392	0.00032878861420601	0.415904773045473	-0.741382021995149
ENSG00000254341.2	0.670334015244683	-1.37400766853388	3.69095593542641	0.000361401980036571	0.415904773045473	-0.75060940365251
ENSG00000225889.7	0.545466965047744	2.81175354829854	3.42393121062759	0.000891266985661765	0.460410833119678	-0.751986072559478
ENSG00000271840.1	1.08835382422959	-2.05394420596391	3.75852124816676	0.00028559235537378	0.415904773045473	-0.772545229111987
ENSG00000248098.11	-0.260755686761621	4.86631456464423	-3.39797997655145	0.000970637297433322	0.470037791971163	-0.808151801305783
ENSG00000123352.17	0.186426313084668	4.51881743583651	3.37718615307516	0.00103897820441713	0.470037791971163	-0.864523493812198
ENSG00000134046.11	0.180841016156155	6.27729316736016	3.38427563269771	0.00101518570931039	0.470037791971163	-0.865013404208428
ENSG00000258469.1	1.13740043375342	-1.22281613107871	3.59180363838865	0.000508045989076399	0.415904773045473	-0.87021715100489
ENSG00000262905.1	1.18545123588977	-3.25055196996644	3.92586168779473	0.000157536823856894	0.415904773045473	-0.873724972122074
ENSG00000131043.11	-0.375067527349502	5.07758056215586	-3.37084560510077	0.00106069987116233	0.470037791971163	-0.887770363844852
ENSG00000283317.1	0.548565992381195	-1.27192115759414	3.61633075663965	0.000467200214168459	0.415904773045473	-0.896720488902957
ENSG00000213096.10	0.309541425963408	3.57472655385443	3.35112616196041	0.00113101141622738	0.470037791971163	-0.929259116765104
ENSG00000155846.16	-0.634372210937244	4.8613781166456	-3.3514072862672	0.00113027374890723	0.470037791971163	-0.936196791118853
ENSG00000185686.17	0.935906037023813	-1.65865505683635	3.62514465483899	0.000453325791094871	0.415904773045473	-0.956212788917671
ENSG00000255517.6	-0.312118654529515	0.237259859868422	-3.46090091409262	0.000788683146251126	0.45259004397304	-0.983204241222237
ENSG00000007520.3	-0.275968950430683	4.72850073972688	-3.33061064817891	0.00120878660610024	0.470037791971163	-0.995034757275897
ENSG00000185947.14	0.483159901913145	3.59751177751003	3.3005837126844	0.00133183127386486	0.470037791971163	-1.06661588498257
ENSG00000130764.9	-0.223462670460902	5.70822028927783	-3.3044355607742	0.00131530369894572	0.470037791971163	-1.08634136864029
ENSG00000120068.6	-0.82336882282837	2.77674821568082	-3.30849911669679	0.0012985341686295	0.470037791971163	-1.09922499651352
ENSG00000229502.5	1.43795834915969	-5.70816622345692	4.38664125509238	2.81816142023205e-05	0.308574584708308	-1.10157661313517
ENSG00000124217.4	-0.331326377502734	2.84115861777495	-3.29936061596308	0.00133694757298923	0.470037791971163	-1.10268932919187
ENSG00000115257.15	-0.496175827881292	1.95062244701965	-3.31139572922262	0.00128615282813379	0.470037791971163	-1.14471964798279
ENSG00000143882.10	0.47240087911685	1.7437857322537	3.27983657941911	0.00142336218381123	0.470037791971163	-1.20214019261598
ENSG00000179943.7	-0.251796200761217	4.15031782840594	-3.24591257921268	0.00158605431790794	0.470037791971163	-1.21644756316817
ENSG00000155966.13	0.781317727508644	-0.0164882562568644	3.32813422907035	0.00121856139164319	0.470037791971163	-1.25657378987145
ENSG00000198742.9	0.216126480114421	5.59152565427198	3.23237293097399	0.00165571247020249	0.470037791971163	-1.28763668664894
ENSG00000277595.1	0.964291678806344	-1.08832775653709	3.39033308793734	0.000995369916584562	0.470037791971163	-1.303025595228
ENSG00000158113.12	-0.839858715925518	-1.97567790122251	-3.63631369902944	0.000436304053658278	0.415904773045473	-1.30309927293791
ENSG00000235888.1	0.866700286246125	0.603446506369775	3.26545599613859	0.0014905752686034	0.470037791971163	-1.32319788038276
ENSG00000176681.14	0.596357785991314	0.695452650348139	3.26366006231607	0.00149889002451053	0.470037791971163	-1.32822026209814
ENSG00000239557.1	0.838461718357885	-1.88152983064493	3.47171752113179	0.000760839348206365	0.45259004397304	-1.35314005701699
ENSG00000260325.1	-0.4299564293915	-1.08053777413096	-3.44078717025095	0.000843028698303293	0.45259004397304	-1.35448554079427
ENSG00000120686.11	0.141988079764868	6.12834798763092	3.20897168654088	0.00178288206123931	0.470037791971163	-1.35620259688151
ENSG00000169429.10	1.43780316462464	0.543018238298002	3.24439645599818	0.00159408778390307	0.470037791971163	-1.35687815612719
ENSG00000175106.16	0.292898570089196	2.44690835674509	3.19548210363887	0.00186027028820309	0.470037791971163	-1.37270062826591
ENSG00000230415.1	-0.505072578822622	0.0635563378095191	-3.30154554151205	0.00132758863532431	0.470037791971163	-1.39169229784147
ENSG00000278493.1	1.18749126106686	-3.31136590422479	3.65602264060192	0.00040773455175724	0.415904773045473	-1.39327579351024
ENSG00000172046.18	-0.193461894013569	6.47861996448382	-3.1947223614969	0.00186472066707157	0.470037791971163	-1.39587856130082
ENSG00000138231.12	-0.209581389401205	3.86017884813245	-3.17030001529765	0.00201318042375732	0.470037791971163	-1.41353741557679
ENSG00000168404.12	0.383751716162609	4.84247220360324	3.1815161907251	0.00194386304156866	0.470037791971163	-1.41405872674795
ENSG00000198695.2	-1.08880975253895	10.659882486235	-3.17340962756284	0.00199411510771917	0.470037791971163	-1.42621224433489
ENSG00000187713.6	-0.178970124621538	4.87191046523991	-3.17393288956566	0.00199042080274234	0.470037791971163	-1.42900561664807
ENSG00000149792.8	-0.197523108875634	5.3744338060308	-3.17599952855411	0.00197758067263552	0.470037791971163	-1.43514950282018
ENSG00000261455.1	-0.313125674116102	2.25541270931883	-3.17949587757104	0.00195603321775351	0.470037791971163	-1.43973418183848
ENSG00000181638.17	-0.302264251164745	3.76720081676193	-3.15404573777926	0.00211801097248529	0.470037791971163	-1.45474106631913
ENSG00000247796.2	-0.489447348404815	0.608936712212864	-3.23582226770404	0.0016377002488511	0.470037791971163	-1.45887395465153
ENSG00000206834.1	0.874666307149354	-2.79683019735331	3.55284660679424	0.000579672647191453	0.423141710028187	-1.46574622838779
ENSG00000171298.12	-0.322720713800731	6.23887280090175	-3.1686071660541	0.00202386853669893	0.470037791971163	-1.46587833914295
ENSG00000258572.1	0.820031819724114	-1.51095464786208	3.36614453768961	0.00107707939842564	0.470037791971163	-1.46810620882903
ENSG00000115234.10	-0.15705412430936	6.48688969877889	-3.16778326122406	0.00202908950450175	0.470037791971163	-1.46937328743875
ENSG00000153531.13	-0.780690289142637	2.14415254787475	-3.17577465318723	0.0019792149840423	0.470037791971163	-1.47101524600672
ENSG00000203814.6	1.15514107368378	0.767211120066292	3.18687594282849	0.00191168637540728	0.470037791971163	-1.4825866225304
ENSG00000140691.16	-0.273339557206262	4.42777570226625	-3.14696553260993	0.00216524385750458	0.470037791971163	-1.4869162291766
ENSG00000123444.13	-0.309250643573108	2.32496234066591	-3.1549249165356	0.00211221325551378	0.470037791971163	-1.49506658097465
ENSG00000006744.18	-0.172953393944012	5.94748083605275	-3.15437058805939	0.00211586703457483	0.470037791971163	-1.50276207136741
ENSG00000251209.7	-1.07762871386248	-1.14134534993304	-3.41961996928061	0.000904044286229788	0.460410833119678	-1.50524568942336
ENSG00000170468.7	-0.322783888665603	2.95922705664552	-3.13239493423435	0.00226554487106783	0.470037791971163	-1.52144115266041
ENSG00000197442.9	0.34316650216279	5.19191729142001	3.14220658896649	0.00219756138777045	0.470037791971163	-1.52739697431716
ENSG00000184640.17	-0.24455787288392	8.37224914251724	-3.13368979559398	0.00225645941565687	0.470037791971163	-1.5545345721013
ENSG00000166189.7	-0.440595889293025	3.89815541120921	-3.11357737807842	0.00240158402442498	0.470037791971163	-1.56004735479161
ENSG00000147454.13	0.305800124309891	6.32432875271777	3.12999170130064	0.00228249746399023	0.470037791971163	-1.57144691839026
ENSG00000200879.1	1.49488376374016	-5.08705383989797	3.88429316508772	0.000182909214702874	0.415904773045473	-1.60323315961656
ENSG00000237248.4	0.522791388151928	0.89617743274489	3.12950288170616	0.00228596003547555	0.470037791971163	-1.62724067738067
ENSG00000179967.11	0.616521182781494	-1.49135464357578	3.29488181796827	0.00135632551581675	0.470037791971163	-1.63206727463735
