logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000180543.4	-0.258232226620564	4.42665373032913	-6.39811751822433	4.33415199918106e-10	4.54137198899979e-06	12.5828716879218
ENSG00000196411.9	-0.284663078729709	5.9630308896393	-6.29879320692285	7.79711965493233e-10	4.54137198899979e-06	11.9741665841138
ENSG00000241112.1	1.06171077285491	-2.67931015047773	6.57654022627131	1.48271351543078e-10	3.4980177256043e-06	11.7537923646286
ENSG00000130513.6	0.883589509145177	2.64146285613457	6.24488580732156	1.07110930001341e-09	4.54137198899979e-06	11.7213108618811
ENSG00000178163.7	-0.222487315150374	4.40765832242319	-6.23471897976888	1.13450737342706e-09	4.54137198899979e-06	11.6606271124779
ENSG00000212916.4	-0.440879397860969	1.63208458527876	-6.20515463186395	1.34747388619017e-09	4.54137198899979e-06	11.3993416493129
ENSG00000228223.2	-0.295585267690496	3.10508132946208	-6.16992806275134	1.65264759061215e-09	4.87365774471523e-06	11.3200929553976
ENSG00000179967.11	0.521783293204001	-0.765419265344512	6.2122627236287	1.29295251437569e-09	4.54137198899979e-06	10.9035640658087
ENSG00000103381.11	-0.226447350715708	4.23700116264821	-6.06517064187162	3.01647551653647e-09	7.90718782068092e-06	10.7315657011825
ENSG00000059804.15	0.802043176479102	6.94070242007453	5.97542382192262	5.02619823260654e-09	1.07798244276049e-05	10.1824603814294
ENSG00000133561.15	-0.465521276226885	5.01576360934895	-5.94047015544046	6.11763283972252e-09	1.20272661628945e-05	10.0215951399364
ENSG00000188536.12	1.40342444339155	5.09632878178954	5.92223849854184	6.77643697230257e-09	1.22976693115817e-05	9.91542558088764
ENSG00000270640.1	0.984841181779259	-0.666734314273154	5.98028661559438	4.88667628313726e-09	1.07798244276049e-05	9.78899032833021
ENSG00000138231.12	-0.234827820288198	3.87852345518784	-5.88392653013767	8.38063533023331e-09	1.31810632473909e-05	9.77136519398381
ENSG00000196455.7	-0.193637866066636	5.30815394063204	-5.86398630621002	9.36375314286001e-09	1.38068540091471e-05	9.5984527361092
ENSG00000225950.8	0.569316152884605	-0.00737947938316323	5.88829943895044	8.17890630260685e-09	1.31810632473909e-05	9.50292287365301
ENSG00000188636.3	-0.231079452994581	5.02632695472364	-5.80527229380984	1.29580975693092e-08	1.78204618824587e-05	9.29873820313381
ENSG00000244694.7	0.561364700042399	1.10433722613627	5.79654086572897	1.35964866854975e-08	1.78204618824587e-05	9.22500837273575
ENSG00000203814.6	1.04225057720131	1.69926472719454	5.78070903772431	1.48532706225167e-08	1.84430716066534e-05	9.20423348394968
ENSG00000134508.12	-0.274568934601637	4.78198833083908	-5.73994774251178	1.85434115295007e-08	2.1873808240199e-05	8.96803314433267
ENSG00000124217.4	-0.334334129307352	2.40341259367352	-5.68510403736818	2.49908003427993e-08	2.80753791279677e-05	8.74398867725835
ENSG00000166189.7	-0.331862856179796	3.31339184926277	-5.65270601605048	2.97760062929309e-08	3.19307063846739e-05	8.58633858990249
ENSG00000225975.6	0.239176811891271	0.674751756380636	5.60663185073797	3.81479623777848e-08	3.74994470173625e-05	8.22257434626695
ENSG00000233170.4	-0.340510439014111	-0.32923658245928	-5.63071803658907	3.352020723632e-08	3.43829882225766e-05	8.12398558303932
ENSG00000101138.11	-0.238115980559684	4.31858758532946	-5.56874915575246	4.67106947625316e-08	4.08213562984301e-05	8.11247678984338
ENSG00000261351.2	0.219457609699217	1.3380106674004	5.56871887406548	4.67182358451005e-08	4.08213562984301e-05	8.10695967937993
ENSG00000134107.4	0.732671551932281	7.70671326721081	5.57752138595205	4.46283499624486e-08	4.08213562984301e-05	8.097617533965
ENSG00000174197.16	-0.150658964689626	5.5704364340715	-5.55776926253243	4.95241238717394e-08	4.16880068809982e-05	7.99326102003681
ENSG00000170468.7	-0.268237383589555	2.56318285045621	-5.51507212579828	6.21166262840528e-08	4.58390139388165e-05	7.8970980304115
ENSG00000116819.6	0.366324622616136	-0.0341462826222108	5.55135167538738	5.12441590178428e-08	4.16880068809982e-05	7.84515333031997
ENSG00000131043.11	-0.205022062644543	4.93324140227874	-5.51489250645484	6.21756716701479e-08	4.58390139388165e-05	7.80272261532315
ENSG00000081041.8	0.764933365183301	2.1126572911271	5.47844954565214	7.54393674215206e-08	4.95038945109164e-05	7.71029766420633
ENSG00000174173.6	-0.28494150596963	3.18244044494462	-5.47555014382902	7.65134893873704e-08	4.95038945109164e-05	7.6987160183947
ENSG00000079999.13	-0.204352436632315	6.01211127393633	-5.47821965040638	7.54465988507887e-08	4.95038945109164e-05	7.58137567530189
ENSG00000266412.5	-0.191454785295247	6.84921674651608	-5.4727744762906	7.76383560912134e-08	4.95038945109164e-05	7.55317752565401
ENSG00000177981.10	-0.167000451517043	4.54636664819955	-5.45945881584906	8.32620417507508e-08	5.04314497439632e-05	7.54633492336949
ENSG00000116128.10	-0.16246001867618	5.07503517946198	-5.45921557156357	8.33683680914957e-08	5.04314497439632e-05	7.51477601710152
ENSG00000229808.1	0.57674855493269	-1.12324799309463	5.51515606906817	6.2089050723915e-08	4.58390139388165e-05	7.39547659664653
ENSG00000197037.10	-0.166435068965802	4.18258912291127	-5.40506318751613	1.10635446148546e-07	6.35636291820372e-05	7.2996342079766
ENSG00000123444.13	-0.232425673544968	2.28107218559108	-5.38828513662055	1.20717325030272e-07	6.35636291820372e-05	7.27236860032504
ENSG00000206172.8	1.36859298131059	1.30621774883458	5.39059338608121	1.19404350778962e-07	6.35636291820372e-05	7.25282876609651
ENSG00000182810.6	-0.340384929413469	2.57243128568592	-5.3746847591207	1.29539355465771e-07	6.64367929162709e-05	7.21019947957068
ENSG00000244734.3	1.29679186821787	7.104001199557	5.39722291185863	1.15361983050574e-07	6.35636291820372e-05	7.18292488768498
ENSG00000259494.1	-0.192010855359244	3.57546641598685	-5.33674946543293	1.57584165879418e-07	7.43545128285447e-05	7.00162246955389
ENSG00000179151.11	-0.16079215725115	5.15039835681224	-5.34225121306333	1.53178987824643e-07	7.39944622262167e-05	6.93024861959687
ENSG00000116679.15	0.372737655747695	7.51455424622001	5.34333081312814	1.52413019049958e-07	7.39944622262167e-05	6.91822213520954
ENSG00000182791.4	-0.525431446345325	-0.599875044279267	-5.38744820062778	1.21242934604598e-07	6.35636291820372e-05	6.90936711130559
ENSG00000214753.2	-0.113677764465231	7.21180121169419	-5.34161190941911	1.53684666373543e-07	7.39944622262167e-05	6.90417980423523
ENSG00000235631.1	0.743917649510039	-2.38502704017239	5.47651844174742	7.61248169397346e-08	4.95038945109164e-05	6.76093110498064
ENSG00000141642.8	-0.200491800882266	3.54527356510798	-5.27528918893077	2.15956972320075e-07	9.79780171341388e-05	6.70581900972331
ENSG00000203879.11	0.133817650749161	7.5511577403684	5.25570429524229	2.38620223289313e-07	0.000106217515242292	6.48986586826748
ENSG00000114491.13	-0.200539074534753	4.09604609482413	-5.23625556854678	2.63400448594702e-07	0.000107140403159417	6.48288799503454
ENSG00000232931.5	0.307277454393376	4.38065573602964	5.23877261647649	2.60084870815327e-07	0.000107140403159417	6.46763447209806
ENSG00000213923.11	0.166474793426323	7.15406434105041	5.25185952521341	2.43332493149033e-07	0.000106309262562444	6.46529859926665
ENSG00000159228.12	-0.315409066303257	5.08895307122105	-5.24056469680967	2.57784321999322e-07	0.000107140403159417	6.43905119780387
ENSG00000139567.12	-0.289209924960732	6.1698022028186	-5.24699806311595	2.49472840190319e-07	0.000107010240832182	6.43680631196837
ENSG00000189369.8	-0.255136350914725	2.95826360344758	-5.19309684872866	3.27623507888481e-07	0.000120770215595391	6.33796082936043
ENSG00000134014.16	-0.161934690017275	4.78143185797964	-5.21315847986568	2.96078791423239e-07	0.000116418180787618	6.32301140132624
ENSG00000103966.10	-0.215757968170204	6.59329389141311	-5.21487924291852	2.9351452998334e-07	0.000116418180787618	6.28056653810409
ENSG00000232934.7	0.357436183782483	0.0256718333950803	5.20956918123187	3.01497588425776e-07	0.000116605427969523	6.27034605679571
ENSG00000172890.11	0.166702353598537	6.72196481070951	5.20548474796715	3.07780836183179e-07	0.000117115572374735	6.2364304015468
ENSG00000166860.2	-0.262623778485953	3.24735514508823	-5.17237291650738	3.63621563630421e-07	0.000124326955495201	6.23009140840586
ENSG00000180884.9	-0.334208941350103	2.44258643702241	-5.16378294240511	3.7964053440777e-07	0.000126147598418987	6.20771535103499
ENSG00000128191.15	-0.209101353262901	5.55484934995159	-5.19547018068994	3.23728372516533e-07	0.000120770215595391	6.20030987719804
ENSG00000258469.1	0.525042317033059	0.424619791118793	5.17756823188011	3.54252968268726e-07	0.000123554957166099	6.17906977618953
ENSG00000182168.14	-0.222251293493648	5.48248528322764	-5.18510522537585	3.41076187797638e-07	0.000123554957166099	6.15317572528824
ENSG00000280173.1	-0.415341647631876	0.717141467751934	-5.16442928600129	3.78411797893212e-07	0.000126147598418987	6.13161390028262
ENSG00000159167.11	0.847355696656487	7.10945808923964	5.17901034165055	3.52012523296294e-07	0.000123554957166099	6.11529453757953
ENSG00000132640.14	-0.167071177084512	5.34523564333839	-5.15409213730361	3.98533227656439e-07	0.000130586054262093	6.00971855567226
ENSG00000183137.14	0.192503597546652	3.13075625006495	5.11217054325348	4.91286618936883e-07	0.000146714353341252	5.94870399500169
ENSG00000100109.16	-0.145249393006812	4.59555007910813	-5.13054015882343	4.48322786339008e-07	0.000141024415670798	5.94090533520394
ENSG00000214717.11	-0.14846908981926	5.65196466241854	-5.14124486332854	4.24988155089092e-07	0.000136888937867127	5.93731100697735
