logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	1.39267125544895	0.508140334334191	8.68910519534402	4.64674165389888e-17	1.06842530848097e-12	25.9331829296519
ENSG00000163564.14	1.31435022336163	1.20118769074818	8.45953863437993	2.67304752446527e-16	3.0730690865015e-12	24.9383583900998
ENSG00000144031.11	-1.05939251188788	2.71490465042414	-7.88665030114319	1.80937239090648e-14	1.38676331280375e-10	22.1989985197022
ENSG00000198734.10	-1.30869945544327	1.83614508125375	-7.75069863377433	4.75977145073575e-14	2.73603562416918e-10	21.1730775660751
ENSG00000176014.12	-0.907859415689295	7.31968368540898	-7.68902083283969	7.35047623508889e-14	3.38019000146798e-10	20.9274640589404
ENSG00000171551.11	-1.19666643843365	1.13154437340484	-7.65113507896162	9.5842717548198e-14	3.67285267430953e-10	20.333688850381
ENSG00000004455.16	-0.400860162877086	6.47207309799814	-7.56078357275715	1.79764290761539e-13	5.90474333925723e-10	20.065807650641
ENSG00000109519.12	-0.621759530467231	4.94387330095975	-7.52444529474399	2.31253745346894e-13	6.07922496835878e-10	19.8225056489687
ENSG00000280587.1	-1.84723591253093	0.21564677822515	-7.5203550275003	2.37955137281907e-13	6.07922496835878e-10	19.3588786095065
ENSG00000112078.13	-0.382962822352746	6.71716538108702	-7.43754846770964	4.20227526682999e-13	9.6622915210222e-10	19.2456251689099
ENSG00000113407.13	-0.502545394776621	5.62462765122123	-7.35286162451132	7.48479424013613e-13	1.56452612694046e-09	18.6873558390843
ENSG00000023330.14	-0.471262880724299	5.47733371265888	-7.32813328332659	8.85034512901519e-13	1.69579987959538e-09	18.5256204051724
ENSG00000169641.13	-0.400056087202989	5.65737625903004	-7.31481183361024	9.68475222194927e-13	1.71293467568677e-09	18.4384886162551
ENSG00000127418.14	-0.908809536557365	5.98380090566992	-7.2878790568349	1.16221698216046e-12	1.9087753622011e-09	18.2630492885885
ENSG00000175110.11	-0.245176520847731	4.25280586571948	-7.25530531113089	1.44608424530796e-12	2.13765137438508e-09	18.0524519301118
ENSG00000141030.12	-0.295761024659668	5.20660349879239	-7.25109801635416	1.48751454747798e-12	2.13765137438508e-09	18.0252104476011
