logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000138623.9	-0.853214413950486	2.35117462691483	-5.14252381021478	1.12337155109026e-06	0.012852936525624	5.27126593537265
ENSG00000183837.9	-1.31003455878347	1.97063394073548	-5.09011526430932	1.41030437582245e-06	0.012852936525624	5.06010983257439
ENSG00000186212.3	-2.0975004286334	-1.78649148477845	-5.01977365019376	1.90592702174247e-06	0.012852936525624	4.45513544505202
ENSG00000180448.10	0.644954033343097	4.51865812761703	4.85107438347554	3.88459279484014e-06	0.0163241867425453	4.07203442025079
ENSG00000149403.12	0.8318617559929	2.41926875266286	4.80599015355772	4.68868382936906e-06	0.0163241867425453	3.93162182550437
ENSG00000134242.15	1.14164464864358	0.661095047725912	4.76755290002355	5.4998586702162e-06	0.0163241867425453	3.57290851037605
ENSG00000198822.10	-1.84411526447951	0.319108597710322	-4.67332644798397	8.11680217382195e-06	0.0184967954638235	3.43252623885474
ENSG00000198223.16	1.12843040536036	1.74592210071908	4.66966782210415	8.22851856924578e-06	0.0184967954638235	3.37298346952113
ENSG00000164483.16	-0.941690650133242	1.65293682567188	-4.60275936322346	1.08056697006004e-05	0.0199827821634187	3.1837540279895
ENSG00000185811.16	1.04072645823452	1.89624734047507	4.57377486272349	1.21503042529407e-05	0.0199827821634187	3.04310618942959
ENSG00000081237.18	1.09916863436472	3.56099013083612	4.54185432758437	1.38282314412467e-05	0.0199827821634187	2.95242185041914
ENSG00000141968.7	1.13189134776454	2.49574350109804	4.54189593071385	1.38159348274953e-05	0.0199827821634187	2.9512113467478
ENSG00000181291.6	-1.46078553505524	-1.54655568474638	-4.56389661501226	1.2644490611826e-05	0.0199827821634187	2.80960499594844
ENSG00000104205.12	0.435909485001346	3.54846857790008	4.4887337571393	1.70956139322298e-05	0.0208846523369989	2.73708481207201
ENSG00000236013.5	-1.3278823020797	-0.278197457295759	-4.48748904859392	1.71857785013848e-05	0.0208846523369989	2.71036645838646
ENSG00000271646.1	-0.487471338807734	2.49261648452224	-4.46667475206737	1.86667794864419e-05	0.0209804230994559	2.67195363734556
ENSG00000145416.13	0.786777215520968	2.93970843097274	4.41150374928131	2.3230373340545e-05	0.0233162889439137	2.48521674277171
ENSG00000139117.13	0.473093037168513	4.14080541448871	4.401113818173	2.42025637794566e-05	0.0233162889439137	2.37771819635291
ENSG00000167930.15	-0.356933200227595	6.64179416552344	-4.42144791901466	2.23352183379079e-05	0.0233162889439137	2.36013999648533
ENSG00000086730.16	0.832588576952572	2.88331375663185	4.3746550948528	2.68586436170874e-05	0.0246989645007861	2.35384790811315
ENSG00000150681.9	1.46055624494205	-0.280181833714163	4.48217008936822	1.7549260527358e-05	0.0208846523369989	2.30123728782269
ENSG00000105711.11	0.826438550296253	3.83112725972181	4.32954576920395	3.2054972650223e-05	0.0278568806569687	2.15645110217617
ENSG00000244694.7	2.66927802114354	-2.25733560011977	4.76112279819609	5.64822832276293e-06	0.0163241867425453	1.83741372460657
ENSG00000138964.16	0.908244430792137	3.54208892411502	4.22675277514152	4.7735973311731e-05	0.0339830473786925	1.80839686637593
ENSG00000048740.18	0.870822975646756	3.84410120697766	4.22990204751071	4.71616530778061e-05	0.0339830473786925	1.80188349020372
ENSG00000184922.13	0.73072183040582	3.6055998311046	4.19851800934738	5.31733646895814e-05	0.0339830473786925	1.69809754985089
ENSG00000188452.13	0.894827020798706	0.153433227453794	4.21100666238407	5.0689874821561e-05	0.0339830473786925	1.63231445344296
ENSG00000166317.11	-1.41336384626938	-0.433181842260418	-4.17388205090923	5.84507460244418e-05	0.0347690150524567	1.62901129673781
ENSG00000100304.12	-0.438938013934728	6.30945506301838	-4.21922134207463	4.91174392262674e-05	0.0339830473786925	1.61224575372581
ENSG00000198286.9	1.03741446805224	1.5097575012407	4.16621324033556	6.01510319230875e-05	0.0347690150524567	1.60996473144192
ENSG00000182578.13	1.18022792289822	5.58601224094498	4.19592311729154	5.37520397468321e-05	0.0339830473786925	1.56311251630809
ENSG00000105464.3	-0.674238117536102	0.331036598524061	-4.14632474696529	6.48749906621436e-05	0.0354410393635418	1.54738427966471
ENSG00000157600.11	-0.501007196271236	5.32002358633792	-4.19695654346216	5.34919706869576e-05	0.0339830473786925	1.52376837052965
ENSG00000145569.5	1.14584570409567	1.83490893805233	4.13387560192219	6.80108004267852e-05	0.0354410393635418	1.51012935006149
ENSG00000142347.16	0.768918402107196	4.09340021036611	4.13277146208978	6.8320920131389e-05	0.0354410393635418	1.43387515838765
ENSG00000175489.9	0.771677484700081	3.71206415007189	4.11452799347445	7.31747780480734e-05	0.0370099733672643	1.40104574845236
