logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000176871.8	-0.466255723952859	4.80017029955332	-4.56901835757937	6.52430096107282e-06	0.070964821553589	3.58434365241513
ENSG00000182263.13	1.45973029970633	-3.54474944501583	4.7425694859578	2.93362217812204e-06	0.0638180168628669	3.48067722633818
ENSG00000273002.1	-0.774616330444861	1.24037747355139	-4.35182852734107	1.7134878316292e-05	0.0732753538235729	2.66529236422617
ENSG00000279259.1	-0.820703516075794	-1.00464807559885	-4.3995396500605	1.39060997534859e-05	0.0732753538235729	2.65409898374661
ENSG00000204514.9	-0.419455178494086	3.00673563429757	-4.27839662482009	2.35419690853706e-05	0.0732753538235729	2.42330542673152
ENSG00000188763.4	-0.929455037612688	-2.72032923578734	-4.38979141145585	1.45143740265142e-05	0.0732753538235729	2.4175305148699
ENSG00000163449.10	-1.02370604830957	0.595307183637847	-4.27803529826954	2.35785362124212e-05	0.0732753538235729	2.35862323480132
ENSG00000108370.16	0.862328734815666	1.68735791243562	4.2349730115239	2.83473628683628e-05	0.0770835664797957	2.18084403446534
ENSG00000103343.12	-0.423350298523594	2.69778224297935	-4.1060515406552	4.87530395329024e-05	0.0889775007950936	1.77049895358219
ENSG00000261485.1	-0.688796837236144	0.260831474300216	-4.11525566997404	4.69233384626603e-05	0.0889775007950936	1.72897212397167
ENSG00000167972.13	0.539306692638918	2.14265877198279	4.09974976599228	5.00447147423405e-05	0.0889775007950936	1.72512397380376
ENSG00000276791.1	-0.445548413829643	0.887404729521058	-4.09438935960549	5.11690010481282e-05	0.0889775007950936	1.68040800994081
ENSG00000100024.14	-0.590660088493066	2.21529275619035	-4.06715410551526	5.72623430693808e-05	0.0889775007950936	1.62572496958481
ENSG00000173614.13	-0.602735234847387	2.7891100457034	-4.01369824564609	7.12834631293284e-05	0.0924387722716471	1.43018741483252
ENSG00000226174.6	-0.548090695573725	-0.681326381652541	-4.04585357063184	6.25023059037225e-05	0.090645010841972	1.41227247794127
