logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000081803.15	0.532800531695917	4.2191626133425	10.4541235332658	1.37232957686947e-23	3.08321286035264e-19	42.6790188363671
ENSG00000244694.7	1.58595154100566	0.0169585066212163	10.3226395517737	4.40286071840607e-23	4.94595358802146e-19	38.9424272497316
ENSG00000214021.15	0.55083814481767	6.28150004684889	8.27125585511023	8.78270596352488e-16	6.57736849608378e-12	25.2060308230667
ENSG00000137558.7	-1.60145529399726	1.83552540599776	-8.17713308228454	1.77923902521426e-15	9.9935407948722e-12	24.4900108802002
ENSG00000178163.7	-0.522768498605468	3.52661910918871	-7.90100294248193	1.354611574872e-14	6.08681165052983e-11	22.5618337717671
ENSG00000136485.14	-0.28856426181172	5.93240689643213	-7.71061498509589	5.32439754844659e-14	1.99372066201583e-10	21.2089559139876
ENSG00000184226.14	1.07813973621071	2.99613553833116	7.60980262008424	1.0882367241261e-13	3.49277349727729e-10	20.4544884712402
ENSG00000164091.11	-0.278546148659922	6.78242121409473	-7.51099040746936	2.17412950065694e-13	5.42713322086394e-10	19.8479822406425
ENSG00000177595.17	0.432415523400159	4.5579751431645	7.49284096060606	2.46722071398516e-13	5.42713322086394e-10	19.7455153339412
ENSG00000101911.12	-0.408834946045874	4.06186979135908	-7.48607183677837	2.58621866643761e-13	5.42713322086394e-10	19.6960740595495
ENSG00000170185.9	-0.316662170407866	4.44187726222512	-7.48218072392297	2.6571623015758e-13	5.42713322086394e-10	19.6618064695974
ENSG00000046889.18	0.774731307726883	4.44158720525214	7.43190844121772	3.76833147204947e-13	7.05525859854462e-10	19.3434461744779
ENSG00000183475.12	-0.292319972374389	3.49257928528989	-7.40175975024731	4.63698019857465e-13	7.60106310634661e-10	19.1444169922049
ENSG00000185009.12	-0.272378872050165	5.39937581601574	-7.36918297286264	5.80226169677117e-13	8.69062756942386e-10	18.8874692049817
ENSG00000183520.11	-0.326185775039721	4.45441780426585	-7.32672316627263	7.76214678009721e-13	1.08995094817778e-09	18.6211590191945
ENSG00000151575.14	0.775252723159587	0.511546900210211	7.39867901292804	4.73649723990086e-13	7.60106310634661e-10	18.6105817240436
ENSG00000100485.11	-0.334775466198057	5.57747029790482	-7.24365566788793	1.36630199246806e-12	1.70537260359888e-09	18.0546260274728
ENSG00000103342.12	-0.271511753319277	6.53844674167003	-7.20637489437762	1.75802891516351e-12	2.02713624493561e-09	17.8153725144628
ENSG00000103194.15	-0.301108939848513	5.48645920609372	-7.20142732403681	1.81769502193636e-12	2.02713624493561e-09	17.7778767078817
ENSG00000132842.13	-0.298200439462199	5.51925956829675	-7.19526724616382	1.89477282875541e-12	2.02713624493561e-09	17.7374076887705
ENSG00000182179.12	0.474663926779221	5.82219478524634	7.17303528085735	2.20062993819639e-12	2.24734331006628e-09	17.5945824005446
ENSG00000188636.3	-0.370281819571278	5.11882601341519	-7.15828966242174	2.42975822274544e-12	2.27455741626757e-09	17.4990953927588
ENSG00000101624.10	-0.324997763234012	1.64631348040542	-7.13426467584824	2.85427787178984e-12	2.56508243782009e-09	17.3194511566101
ENSG00000142864.14	-0.247306108374935	7.59673013453088	-7.1168429848002	3.20693159887954e-12	2.57321900828666e-09	17.2483700525908
ENSG00000122126.15	-0.231244200291744	5.85141196324554	-7.11858347514481	3.16985729830676e-12	2.57321900828666e-09	17.2375636706851
ENSG00000161654.9	-0.29234338873056	2.44269759002544	-7.10490184964683	3.47303946150902e-12	2.69064750281804e-09	17.1919011164422
ENSG00000153253.16	1.1503737667299	2.11435106098773	7.12663892501507	3.0047210957734e-12	2.57321900828666e-09	17.180383469645
ENSG00000228526.6	0.81482969858552	3.81375316826818	7.08822406544714	3.88361200304429e-12	2.81461647975471e-09	17.09788093668
ENSG00000108387.14	0.454649757738587	5.6404387840045	7.08899436293791	3.86150145839599e-12	2.81461647975471e-09	17.0513004895066
ENSG00000239789.5	-0.332360359083997	3.24762628290336	-7.07708717530323	4.17992724383246e-12	2.8457704662783e-09	17.0258620405369
ENSG00000234546.3	0.98953918859536	-0.980716811727152	7.25019246015922	1.30708533670172e-12	1.70537260359888e-09	17.0048486455631
ENSG00000124813.20	0.910023241421551	2.16261859145461	7.07997617819775	4.10037535823174e-12	2.8457704662783e-09	16.9285318787512
ENSG00000011007.12	-0.252594021510776	5.06059126796013	-7.06189923477939	4.62375701519886e-12	3.05535143707273e-09	16.8770651141773
ENSG00000022840.15	-0.24264044113941	7.42848155834709	-7.02948117720306	5.73173087272766e-12	3.6792799290735e-09	16.6828211547691
ENSG00000154813.9	-0.381929147016626	4.77912054518315	-7.02084254328032	6.06857809348546e-12	3.7694319261165e-09	16.6174027629602
ENSG00000061794.12	-0.309386216102655	4.78225220621904	-7.01154029797091	6.45305989036031e-12	3.7694319261165e-09	16.5590730876455
ENSG00000153560.11	-0.263114310316313	6.6576502565615	-7.00943648995151	6.54327881419608e-12	3.7694319261165e-09	16.5420657787859
ENSG00000231365.5	0.49515464072237	1.82347752258255	7.01434668375618	6.33461207680401e-12	3.7694319261165e-09	16.5140899838368
ENSG00000166529.14	-0.269914006840993	2.07651130424937	-7.00116480161357	6.9101699664289e-12	3.78813227201087e-09	16.5131133672811
ENSG00000261143.1	0.891142119615945	-1.05884837503199	7.16332927700863	2.34892671832564e-12	2.27455741626757e-09	16.4894313831519
ENSG00000170581.13	0.334096263317429	6.82799516733133	7.00110361527917	6.91295781156566e-12	3.78813227201087e-09	16.4850667682339
ENSG00000048828.16	-0.277609192913376	7.00275991152221	-6.94636052623743	9.90595206874328e-12	5.12268945636093e-09	16.1458390751134
ENSG00000161513.11	0.740142530768748	2.61551402406373	6.93571782532798	1.0620722865098e-11	5.30257290244791e-09	16.0858312755766
ENSG00000166451.13	-0.459616361006347	0.994878191059284	-6.94442367235894	1.00324180388962e-11	5.12268945636093e-09	16.0673624079888
ENSG00000185008.17	1.77856158911761	1.27389343178927	6.97717719204545	8.09827203509567e-12	4.33199709077368e-09	15.9920015458214
ENSG00000148229.12	-0.301959736300628	5.33059146635327	-6.91271654649412	1.23429619857046e-11	5.86087474510366e-09	15.920776915207
ENSG00000101266.17	-0.191034047654484	5.98768454855202	-6.91051442535252	1.25215644173666e-11	5.86087474510366e-09	15.9053947153913
ENSG00000119446.13	-0.22677663945384	4.48535272246651	-6.90212029742392	1.32259413351277e-11	6.06422906074111e-09	15.874920760928
ENSG00000205339.9	-0.384941826267054	7.44381229203562	-6.88775462695515	1.45227389593894e-11	6.52564752401203e-09	15.7849740523398
ENSG00000184517.11	-0.326825304511848	3.33426984273503	-6.85999240826481	1.73922930301914e-11	7.66181661782962e-09	15.65115638979
ENSG00000213366.12	0.610394869934965	5.06451630521216	6.85279692080814	1.82312202504812e-11	7.72831745976529e-09	15.5669558287187
ENSG00000173698.17	-0.809919719417903	2.02294537129088	-6.82993605977312	2.11295095697473e-11	8.47708377684843e-09	15.4643253584139
ENSG00000145020.15	0.567372598297273	4.94016990774853	6.83033414311461	2.10774745645858e-11	8.47708377684843e-09	15.4301746927704
ENSG00000147533.16	-0.208525699577418	5.39924887588169	-6.83471834408184	2.04843820340889e-11	8.47708377684843e-09	15.4297542109888
ENSG00000180370.10	-0.24201239989859	6.228365958783	-6.81757973648595	2.28818865750279e-11	8.8635749255371e-09	15.3231537480373
ENSG00000171574.17	-0.323872393804609	2.88838451391874	-6.80349205009124	2.50570596288835e-11	9.22880260134634e-09	15.307826670228
ENSG00000111142.13	-0.260222400649303	6.19574346879135	-6.80681590704309	2.45262423016418e-11	9.18385142984978e-09	15.2557632878893
ENSG00000099725.14	0.597366436862181	3.88906228125613	6.78340736579303	2.85129248325908e-11	1.0332256164739e-08	15.1791962269764
ENSG00000225511.6	0.926777674482198	-1.00067051283501	6.91476897604356	1.21787538496635e-11	5.86087474510366e-09	15.0435573912671
