logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000237238.2	-2.04265996661398	-2.33356135130903	-10.1638661278302	5.72263783047681e-23	1.33806717752209e-18	40.4542109601519
ENSG00000115970.18	0.445020881107141	3.61957519947576	9.30125379523665	1.16939557103643e-19	1.15570551426249e-15	33.8807569230807
ENSG00000264204.2	-2.5118396193304	-2.45588132068442	-9.27341325483897	1.48281436266678e-19	1.15570551426249e-15	33.1200297865079
ENSG00000141574.7	-1.63528452328072	-0.429950246992924	-9.21664336555349	2.40044004317813e-19	1.40317722723978e-15	32.9130903067497
ENSG00000259207.7	-1.70429307420669	-0.823632674523672	-9.13399716904818	4.82100465598724e-19	2.25449461732587e-15	32.1958706506939
ENSG00000136286.14	-1.53342530971566	-0.00279397556530282	-8.97544888092374	1.8112858600526e-18	7.05858099662499e-15	31.0367495818399
ENSG00000130177.14	0.327813155691308	5.55506330556942	8.54281842965914	6.0983205786854e-17	2.03701331101174e-13	27.7796958055217
ENSG00000128342.4	-2.48867802625067	-1.95632902623083	-8.41873966130265	1.62926121338419e-16	3.80953856913491e-13	26.5341226788623
ENSG00000114737.15	-1.30324859480655	-0.207417193589264	-8.37313258485058	2.33062090277455e-16	4.9540525407886e-13	26.3236770682611
ENSG00000234648.1	-1.3920525320234	-3.28334703526492	-8.46250884140472	1.15337179031807e-16	2.99645991124635e-13	26.2613892583084
ENSG00000275585.2	-2.10931240226325	-5.27919485021424	-8.51264678045623	7.75262631769156e-17	2.2658988570033e-13	26.0930583404721
ENSG00000183484.11	-0.967597272961751	-0.0726396227163741	-8.31239985390467	3.74566286511566e-16	7.29842409267786e-13	25.858944635923
ENSG00000014919.12	0.343920651380028	4.67537450987352	8.26520901916122	5.4050329589122e-16	9.7215754342527e-13	25.6578576447107
ENSG00000125538.11	-2.28563704934578	-0.651651505257034	-8.23705631485785	6.72260500702867e-16	1.12277107338817e-12	25.361506209974
ENSG00000187498.14	-1.18560399869287	3.49759513291613	-8.16432118754212	1.17724504403451e-15	1.835089574641e-12	24.8975499835783
ENSG00000205464.11	0.610547417475276	2.99075746934278	8.13167049509187	1.51162041497906e-15	2.20904428394002e-12	24.6604609799352
ENSG00000115998.7	0.372495027171206	3.37138147772983	8.09191255706825	2.04766916361571e-15	2.8163882578625e-12	24.3789291182457
ENSG00000141526.16	-1.10797081200358	2.55846564962129	-7.98798017124636	4.50175982011883e-15	5.84778600633436e-12	23.6112796975649
