logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000163564.14	1.43351610791251	0.0667171878368874	5.1057634941023	8.16910422005036e-07	0.0184727953727999	4.04242119062357
ENSG00000139197.10	-0.66395978054112	6.24866234241959	-4.58267775397696	8.44338335860203e-06	0.0647751073291039	3.37400408028088
ENSG00000166189.7	-0.420815559925875	3.61081991192486	-4.21242015917325	3.94825769485796e-05	0.162871980881405	1.98118889247453
ENSG00000166126.10	-1.26971172558765	-0.645865500300167	-4.3258925338758	2.48571897040358e-05	0.14052390769434	1.96295735535906
ENSG00000067082.14	0.477469544241868	8.6590261636287	4.0158863776843	8.61195292535247e-05	0.162871980881405	1.27014683978119
ENSG00000114650.18	-0.27730339649405	6.33569454928849	-3.98700085930276	9.63537231881137e-05	0.162871980881405	1.14353452363937
ENSG00000172409.5	-0.40694472486042	2.86790696832867	-3.96560579271111	0.000104669575492051	0.162871980881405	1.1114612705437
ENSG00000100335.13	-0.413521451175935	5.39601297160675	-3.97273915068407	0.000101823886542376	0.162871980881405	1.08848869406744
ENSG00000164879.6	-1.14620073239419	2.04158154887253	-3.95498184917025	0.000109077915458713	0.162871980881405	1.07039046467699
ENSG00000054118.13	-0.188363060402782	7.08502457385339	-3.89240539575493	0.000138590421302277	0.162871980881405	0.82338228603388
ENSG00000114491.13	-0.267250179455777	4.24053825487576	-3.88604194171261	0.000141987850094737	0.162871980881405	0.812778185227627
ENSG00000214022.11	-0.324165527006209	6.21514947878441	-3.88505265313753	0.000142523078639692	0.162871980881405	0.786560105946762
ENSG00000244681.1	1.93892166657129	-3.54163965671855	4.5785266568947	8.59352239805915e-06	0.0647751073291039	0.78521092869038
ENSG00000165376.10	-1.33597253182737	-0.67092317202647	-3.93557725805552	0.00011752716071202	0.162871980881405	0.739789686641502
ENSG00000270170.1	-0.352944358133681	3.6255050347417	-3.8094117645633	0.000189626335247908	0.162871980881405	0.573008648362746
ENSG00000177606.6	1.05308144986491	8.77152235423975	3.81026924611881	0.000189062748035966	0.162871980881405	0.556811590308882
ENSG00000104853.15	-0.326505054178451	6.77791421349186	-3.79271756897435	0.000201847144825827	0.162871980881405	0.479511763856668
ENSG00000139651.10	-0.337951878723785	5.31821725696845	-3.78051674035324	0.000211246459123553	0.162871980881405	0.425755495854395
ENSG00000100823.11	-0.267116989085169	6.59742708905039	-3.77527753957091	0.000215408539611973	0.162871980881405	0.416986587304295
ENSG00000015676.17	-0.158937451069787	6.5354087397712	-3.76353408122402	0.0002250214080595	0.162871980881405	0.375226405046766
ENSG00000159792.9	-0.402585998684226	5.06815601725224	-3.76258601514626	0.000225814926598006	0.162871980881405	0.367670983615948
ENSG00000185085.2	-0.29678991493497	4.42608235042317	-3.75596602090991	0.000231430016476686	0.162871980881405	0.364560903729832
ENSG00000176974.19	-0.819895711384806	5.77156012399433	-3.72441082706523	0.000260115711419723	0.162871980881405	0.240719472428126
ENSG00000213563.6	-0.372369367468152	4.57881845241713	-3.7198165875172	0.000264496261432057	0.162871980881405	0.236770088469079
ENSG00000141431.10	0.579295438366215	1.28124840830856	3.72664434038526	0.000257927149869771	0.162871980881405	0.199627163326166
ENSG00000121966.6	0.927582556098782	4.04064738224059	3.68731012542834	0.000298061283070742	0.162871980881405	0.189299768532011
ENSG00000229598.1	0.778397915824081	-0.176689755152754	3.8270832453041	0.000177455574147965	0.162871980881405	0.18056947452225
ENSG00000155903.11	0.321154792765611	4.87804280479249	3.69417092492685	0.000290610145229328	0.162871980881405	0.15961169758219
ENSG00000166133.17	-0.315885240252105	2.51277234506759	-3.66873311741852	0.000318904155387055	0.162871980881405	0.133917822604404
ENSG00000162227.7	-0.248279980279925	3.48167249667072	-3.67102710567289	0.000316249660740546	0.162871980881405	0.125761175192224
ENSG00000140284.10	-1.296206708277	0.0660363493305474	-3.68292475514922	0.000302877115249491	0.162871980881405	0.0793809149745659
ENSG00000006747.14	1.32707329180288	0.686540601773728	3.72156041350519	0.000262827282612307	0.162871980881405	-0.0121021417960474
ENSG00000167972.13	-0.404839351717988	5.00056937639648	-3.64674448908168	0.000345437310665458	0.162871980881405	-0.0156176130249923
ENSG00000131043.11	-0.252267735789338	5.32373428791246	-3.64017774996036	0.000353756443119787	0.162871980881405	-0.04040564208284
