logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000273203.1	0.862357145718156	-0.0888809323838941	7.95758726315668	7.21227761443489e-15	1.63379724799794e-10	22.4182384144864
ENSG00000112319.17	1.43827819464009	-0.0992508452374177	7.14467345433008	2.29964466576268e-12	2.6046925306761e-08	16.9758589169108
ENSG00000176396.10	-0.311899542215615	3.35826670251562	-7.04614492999338	4.46667601527774e-12	3.37278705913622e-08	16.9577150321211
ENSG00000272144.1	0.770732881582026	-1.12011024577913	6.69671006834476	4.42338140976648e-11	2.42267029925923e-07	14.1331705262145
ENSG00000206195.10	1.14525523627766	-2.30330424226328	6.66711710030179	5.34734979750855e-11	2.42267029925923e-07	13.4995411879701
ENSG00000185164.14	-0.445985035569696	2.80621683726269	-6.37952011370649	3.25668205533573e-10	1.02840179803822e-06	12.8495071922224
ENSG00000244694.7	1.13021669399253	-1.79441180097439	6.36181439466748	3.6318431926481e-10	1.02840179803822e-06	11.9772001765553
ENSG00000004846.16	1.57870690113056	-3.64635596230058	6.47753415271427	1.77272459201578e-10	6.69292169715559e-07	11.8921259203652
ENSG00000169021.5	-0.294314048212531	5.96821994077079	-6.23240636341621	7.99519681790465e-10	1.81115193515994e-06	11.8881443639381
ENSG00000261386.2	0.593831255294271	-1.3750028114847	6.28765411247272	5.71807347748692e-10	1.43923909428346e-06	11.8003474783681
ENSG00000111142.13	-0.234838002662341	6.01847328085793	-6.19674891749926	9.91309157118098e-10	2.0414660305633e-06	11.6806326488672
ENSG00000179918.18	-0.288991506692668	5.18558448514239	-6.129628926405	1.48166255068262e-09	2.59192642492382e-06	11.3052502587491
ENSG00000159674.11	0.56686346132895	5.50229867442213	6.10776183221627	1.68774316270989e-09	2.59192642492382e-06	11.1892597963564
ENSG00000103035.10	-0.358222753641953	5.05581996032931	-6.10492309357507	1.71628024428806e-09	2.59192642492382e-06	11.1660393066132
ENSG00000204859.12	0.251041226271487	4.22156602780916	6.09363360690851	1.8352145180606e-09	2.59831965485167e-06	11.1589399926577
ENSG00000278330.1	0.833308743456493	-0.594114432511355	6.11298021979205	1.6360364753474e-09	2.59192642492382e-06	11.0014614852351
ENSG00000172409.5	-0.422687818968361	3.04772899539632	-6.0534190448666	2.3279171561099e-09	2.92968374096431e-06	10.9650220128952
ENSG00000273179.1	0.858226868587284	0.576669058786022	6.01457419519101	2.92534915491201e-09	3.1556159241058e-06	10.6451668745244
ENSG00000261997.1	0.628932642489263	-0.453710641506457	6.02910880155752	2.68608540206614e-09	3.04771128300619e-06	10.6069604025374
ENSG00000110536.13	-0.17486807636345	2.15311719134614	-5.97926388383671	3.59657031113585e-09	3.41391004450517e-06	10.5689828725357
ENSG00000181929.11	-0.173184108536817	5.53061691094699	-5.9956937891432	3.26739793245321e-09	3.36438024381194e-06	10.5374255921472
ENSG00000255337.1	0.792771130373435	-1.88843952144339	6.07496037389537	2.04982379631147e-09	2.73145049752021e-06	10.4965528010191
