logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000164089.8	-2.4584746376155	1.831297430617	-7.66187340987752	1.83003276018149e-13	3.70252228039918e-09	20.0088830063209
ENSG00000248713.1	-2.67465592237255	1.42984799784903	-6.10558825644844	2.73082563802752e-09	1.84166881028576e-05	10.8538827365621
ENSG00000106526.10	-0.862130067319562	-0.539675183221412	-6.01910189461899	4.4404171073605e-09	2.24596297290294e-05	10.0376483373843
ENSG00000244681.1	2.05141724361984	-1.47028647751658	6.11510479418075	2.58654705598762e-09	1.84166881028576e-05	8.78841079445511
ENSG00000153310.19	-0.597585617241198	3.75637715924952	-5.61990153202514	3.91404238968566e-08	0.0001319815093802	8.32796656043964
ENSG00000150893.10	-1.8411296204661	-3.0116019935404	-5.66453089339746	3.0863838708162e-08	0.000124887436948707	7.77161978758469
ENSG00000172974.11	-1.1304988846274	0.0131871335711692	-5.49297149330654	7.63096445513933e-08	0.000171544080951532	7.61078418524378
ENSG00000151136.14	-1.10408627916802	-0.539099752063855	-5.50264860915513	7.25530965545966e-08	0.000171544080951532	7.56561069677984
ENSG00000070831.15	-0.405527062085505	6.28996246512645	-5.39761560816885	1.25022034556684e-07	0.00021570899255657	7.24584710425958
ENSG00000073969.18	-0.430122337952248	3.88240608188999	-5.39312508159574	1.27941276723944e-07	0.00021570899255657	7.20793943010346
ENSG00000137497.17	0.382072638412234	6.79499555719948	5.31456562863807	1.91122960589755e-07	0.000290816285958507	6.84538043069303
ENSG00000148459.15	-0.629616771984446	0.969135400678896	-5.30440551883929	2.01237050386472e-07	0.000290816285958507	6.76886309600981
ENSG00000249353.2	-0.721201341692632	-0.0950565797912506	-5.28347033194804	2.23741638340967e-07	0.000301782721794296	6.57524461581248
ENSG00000273203.1	1.5527870807115	-1.53835405075622	5.5321563912684	6.21755567593928e-08	0.000171544080951532	6.53584844469233
ENSG00000171476.21	-1.70654710041832	3.82174627385359	-5.24804161817274	2.6756849290713e-07	0.000318437985205709	6.51582046262255
ENSG00000232472.1	-0.71198197566614	-0.465006808332775	-5.24867496976419	2.66653369202882e-07	0.000318437985205709	6.36023826092837
ENSG00000105976.14	-0.82468361151794	3.36400476436039	-5.18563313111659	3.65629644595837e-07	0.000410852416603793	6.21978150682156
ENSG00000101558.13	-0.51959968981773	6.41602272164691	-5.15554779935066	4.24546832931168e-07	0.000410852416603793	6.10155252669341
ENSG00000244694.7	1.95284923603148	-1.47151188441941	5.45859091394757	9.12480810942973e-08	0.000184613117669982	6.07624150447283
ENSG00000134574.11	0.658245224991161	3.06414034170769	5.12731789043671	4.88184893834337e-07	0.000440074154159695	5.97890265357328
ENSG00000278993.1	-1.20476681083091	-1.19323019086638	-5.16503988653395	4.05014085167664e-07	0.000410852416603793	5.94068665354595
ENSG00000187266.13	0.713666862194415	4.0168968028395	5.11372458759963	5.2203339757971e-07	0.000440074154159695	5.90051677638198
ENSG00000164934.13	-0.508481597002501	3.55528264497395	-5.10049622836199	5.57149231976708e-07	0.00045088973045411	5.82423562970694
ENSG00000183506.17	0.629237575422825	2.51687051229134	5.07621956860833	6.27634430352599e-07	0.000476236759675565	5.74071946259693
ENSG00000213553.4	-0.739375163800172	1.3439727642765	-5.06685575273566	6.57066183618758e-07	0.000476236759675565	5.69919935260438
ENSG00000187325.4	-0.408434651484692	3.77419483673799	-5.04002914984844	7.4897190647242e-07	0.000495802073171817	5.54336082296262
ENSG00000151164.18	-1.19437924503222	-0.832066531210977	-5.05704721847737	6.89326984919433e-07	0.000480912536513447	5.52604961771456
ENSG00000175606.10	-0.853017252261256	4.12391315707595	-5.03086907042715	7.83222327020011e-07	0.000495802073171817	5.49809655582594
ENSG00000127561.14	-1.01022029751023	-1.09049942141012	-5.06622809344564	6.59086065189591e-07	0.000476236759675565	5.49042185620016
ENSG00000102743.14	-0.624090514791683	0.446995482712371	-5.0305872122137	7.84186750766021e-07	0.000495802073171817	5.48920665450096
ENSG00000100100.12	0.979138777686246	4.4628330091417	5.01052812058423	8.64569906003689e-07	0.000504450393683633	5.42258400750524
ENSG00000253626.3	-1.0837846004747	-0.181207190348997	-5.00620977684113	8.826712843953e-07	0.000504450393683633	5.36139935482709
ENSG00000166558.10	-2.05770208981246	-3.71736567596362	-5.15464651391439	4.26448237874637e-07	0.000410852416603793	5.34823739506994
ENSG00000136868.10	-0.590189387806755	3.79426852316816	-4.99708419931437	9.22531858753184e-07	0.000504450393683633	5.34507239848935
ENSG00000135535.15	-0.502788771574298	6.44233204966574	-4.97147060834568	1.04393338222073e-06	0.000520232970623949	5.26063506269014
ENSG00000174977.8	-0.671577412472064	-0.567182747346753	-5.00192310260375	9.01183565593674e-07	0.000504450393683633	5.25966637824923
ENSG00000128050.8	-0.639124642811247	4.42448834476071	-4.97819287566855	1.01065485869884e-06	0.000520232970623949	5.2586801355708
ENSG00000164022.16	-0.303012445045692	4.59061603587567	-4.97751784759086	1.01394969733795e-06	0.000520232970623949	5.2543455957055
ENSG00000120992.17	-0.648982540279829	4.51271645593794	-4.96942900583202	1.05424830939017e-06	0.000520232970623949	5.21980177945703
ENSG00000214485.6	-0.773281794242876	-0.488662219675188	-4.95300255950279	1.14090290578649e-06	0.00054958922833029	5.07310420603808
ENSG00000146083.11	0.311378433718914	4.79774121913999	4.92964915989507	1.27604054486455e-06	0.000600391914039525	5.03805638828136
ENSG00000105849.5	-0.459187001614044	3.09881698228742	-4.89997187960577	1.47020967849526e-06	0.000670882596719282	4.92637148599153
ENSG00000184007.18	-0.694799514986151	7.02122392617707	-4.88719693317485	1.56231058728979e-06	0.000687144952218412	4.8963119197998
ENSG00000168395.15	0.312010367888598	4.68284194927363	4.89685616879517	1.49217659412652e-06	0.000670882596719282	4.89179304500395
ENSG00000173209.22	0.532570601812014	5.77084582453883	4.8747526196843	1.65736964663087e-06	0.000713444738098632	4.79744928404823
ENSG00000004975.11	0.308443197644729	4.05119129894725	4.85655081074698	1.80652935966702e-06	0.000761452125099649	4.72484164193872
ENSG00000057608.16	-0.386452097306535	6.12705690739721	-4.8358498453932	1.99192350283655e-06	0.000822461149171205	4.64881457689146
ENSG00000114480.12	-1.01442620834153	5.68897205983739	-4.82006240118802	2.14589471888654e-06	0.000868314839050248	4.58193893139822
ENSG00000117528.11	-0.729337519506767	5.29551869640706	-4.81013548996307	2.24787750243595e-06	0.000874597262101618	4.52419703205453
ENSG00000168763.15	0.430362005265123	3.21263187908651	4.79599307990341	2.40187672839492e-06	0.000909709140007987	4.49216695940698
ENSG00000135736.5	0.630408463677496	2.83412005500254	4.78782412177237	2.49541333815298e-06	0.000917949139227475	4.46933008648761
ENSG00000242052.1	-1.32533562381218	-1.14420297400327	-4.81406680263106	2.20678895905727e-06	0.000874597262101618	4.46681845438521
ENSG00000143155.12	-0.377707175294872	4.31026198699406	-4.79367683177714	2.42804930607114e-06	0.000909709140007987	4.43362660348048
ENSG00000174780.15	-0.392529698247978	4.8054492373974	-4.78316083724166	2.55037344359001e-06	0.000921413491262735	4.39082321831517
ENSG00000226415.1	-0.876671909740299	-0.320421909912374	-4.77092140178338	2.70023113894153e-06	0.00092531813579906	4.33597095609155
ENSG00000159131.16	-0.519036692880034	4.56039809879054	-4.77082967589609	2.7013856303347e-06	0.00092531813579906	4.3355301044709
