logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000005020.12	0.763675128006025	2.99101785146332	8.0172885464519	1.74458323631189e-14	3.35971839648944e-10	22.3186790255886
ENSG00000137766.16	2.45713909875996	1.9500350842693	7.90721107846785	3.73629808582409e-14	3.59768142684002e-10	21.2676561309151
ENSG00000159212.12	-1.52477585383574	0.49942568655365	-7.64642175138212	2.13913973406212e-13	1.20415836086397e-09	19.8547600361226
ENSG00000116329.10	-2.05744365517759	-0.982189965179277	-7.6232577638013	2.50110782192122e-13	1.20415836086397e-09	19.5543038395334
ENSG00000173253.15	-1.01647003989455	0.746062831019128	-7.40829467287773	1.01481087933043e-12	3.90864558282909e-09	18.3636516651443
ENSG00000082397.17	0.862257658572621	3.51650533849009	7.20623876586411	3.72256693374772e-12	1.19481990016856e-08	17.1677280302677
ENSG00000070882.12	-1.19545259073745	2.63261498550176	-6.98469950117807	1.51244996927496e-11	4.16096592975673e-08	15.8121352037759
ENSG00000122696.13	-0.404932896374158	2.55717393413646	-6.81840507020849	4.19777364152987e-11	1.01050905985728e-07	14.8378007903394
ENSG00000148672.8	-0.254360825351689	5.6851559196629	-6.65496395836909	1.13214646444469e-10	2.42254184580843e-07	13.8452369847456
ENSG00000148468.16	-0.633359729853337	2.60064820453589	-6.45087951209603	3.81221356744353e-10	7.34156088818275e-07	12.7148076465979
ENSG00000092020.10	-0.36804152926439	3.97437565466816	-6.38584026710705	5.58037603543847e-10	9.76971651731581e-07	12.316855805616
ENSG00000228526.6	1.0960258293061	-0.0951880630039204	6.20357660188647	1.59862163658217e-09	2.56552128977495e-06	11.1463941270059
ENSG00000150776.17	-0.296105099503415	4.43675533039965	-6.14156262101672	2.27509316487342e-09	3.37028801301018e-06	10.9555933641765
ENSG00000246985.7	-0.901669504792502	-1.05758926284976	-6.10252011057518	2.83718840595043e-09	3.82218258249371e-06	10.7009770152462
ENSG00000138381.9	-0.313036394520816	5.51755078829346	-6.07631858617336	3.28836722290487e-09	3.82218258249371e-06	10.5963414744294
ENSG00000180257.13	-0.758132214420709	-0.458054523762742	-6.06109027438054	3.58207529041789e-09	3.82218258249371e-06	10.5386051101252
ENSG00000177084.16	0.451632712866086	4.85602562638408	6.06149242479018	3.57399912104686e-09	3.82218258249371e-06	10.5234287708413
ENSG00000154144.12	-0.397704877558201	4.42860431479103	-6.05730500148727	3.65897255040872e-09	3.82218258249371e-06	10.4975488265065
ENSG00000168259.14	-0.265182843631809	5.96913934230296	-6.04795009475055	3.85600565978965e-09	3.82218258249371e-06	10.4458664700443
ENSG00000139233.6	-0.35036213222336	3.85185070333967	-6.04102174042182	4.00857942819288e-09	3.82218258249371e-06	10.4230662707681
ENSG00000003137.8	1.37619557826692	1.81312276025465	6.02193204557419	4.47350743419825e-09	3.82218258249371e-06	10.375348800836
ENSG00000147231.13	1.03192677368529	0.725954735712867	6.02210039980636	4.45595621897975e-09	3.82218258249371e-06	10.3228314416245
ENSG00000138785.14	-0.305082414083662	3.45791587438855	-6.01777569612343	4.56486651767346e-09	3.82218258249371e-06	10.3119283754324
ENSG00000124635.8	-0.974839767615957	-0.147682090981522	-5.9902059827267	5.3229026099098e-09	4.20768903803667e-06	10.1990490930043
ENSG00000281969.1	-0.961303991104668	-0.646194076281268	-5.96750642035759	6.03820585826198e-09	4.47245263147728e-06	10.0467309134617
ENSG00000131080.14	1.70296779682241	0.136100513546345	5.98590697594409	5.46226118760602e-09	4.20768903803667e-06	9.97667219200455
ENSG00000181513.14	0.453126693773953	2.1415111922242	5.85321705777026	1.13292466793198e-08	8.03262130663761e-06	9.5046018637282
ENSG00000057663.14	-0.265296995553185	4.19183503709079	-5.84765241821401	1.16789592162142e-08	8.03262130663761e-06	9.38839517548188
ENSG00000085760.14	-0.360813998870683	5.08228328001055	-5.82225555688426	1.3413448728519e-08	8.90745502116617e-06	9.24391481582395
ENSG00000197982.13	-0.500519190685212	4.2256645245875	-5.79366724210859	1.56672647256133e-08	9.35012474847316e-06	9.10218817814435
ENSG00000280323.1	-0.987957423680094	3.94176102836141	-5.79426042232882	1.56747182007975e-08	9.35012474847316e-06	9.10197671856602
ENSG00000168275.14	-0.474994436498283	4.03968553034279	-5.78953573631978	1.60221267369205e-08	9.35012474847316e-06	9.08525171438794
ENSG00000108010.11	-0.329344044849293	4.78852656132829	-5.77733904261527	1.7116076826905e-08	9.6947472803687e-06	9.01121432002757
ENSG00000173156.6	-0.956443136732235	3.10653109495042	-5.72447737937936	2.28334031357719e-08	1.25635907882484e-05	8.76586373540202
ENSG00000112031.15	-0.343036640078781	3.23951886088408	-5.6676223237148	3.08557221265209e-08	1.56373551766458e-05	8.48897423420974
ENSG00000130997.16	0.683455558430295	-0.472543208307187	5.6756260333291	2.95660978038914e-08	1.53887543650633e-05	8.46627837499361
ENSG00000137692.11	-0.346156361259984	4.01622611404661	-5.65535946205747	3.29385938270736e-08	1.62649087159431e-05	8.3971232120167
ENSG00000255310.2	-0.778551019516691	-1.03146903068283	-5.60953835177262	4.20037170355869e-08	2.02226895667833e-05	8.20914362609427
ENSG00000174473.15	2.14432906029993	-3.16759817972301	5.79985704822288	1.51499177522942e-08	9.35012474847316e-06	8.17334050663453
ENSG00000104131.12	-0.34557183707354	6.84463718780056	-5.5965435035521	4.49893399451143e-08	2.11318221625124e-05	8.09928626479723
ENSG00000183783.6	0.845961514588301	0.0762790812562973	5.58622536656446	4.75062198411534e-08	2.17827328976413e-05	8.08613084310528
ENSG00000188729.6	2.35570820506279	-2.72265691218848	5.69755229116715	2.63155673215141e-08	1.40773665410477e-05	7.79878883540261
