logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	0.986016085614862	2.72744547429261	8.40851808803016	2.61214559587014e-15	5.66940080127656e-11	23.6579638860133
ENSG00000181234.9	-1.04914145032919	4.0388017860584	-7.94523501847762	5.64121850604902e-14	6.1218503227644e-10	21.2231109747169
ENSG00000151883.17	0.528372335084732	4.70053250308846	7.58410657415243	5.70528664861372e-13	3.0956885355378e-09	18.9803748716719
ENSG00000244694.7	1.08841379187645	0.401649655718317	7.68142129903276	3.0731573380137e-13	2.22332689547498e-09	18.0396813173046
ENSG00000114270.17	0.920117123615675	5.37138828125499	7.14034028041285	9.03990450425459e-12	3.27003478933903e-08	16.3327968572719
ENSG00000176871.8	-0.377081370541187	5.62638645332058	-7.09397615912632	1.19394957458428e-11	3.70192593811104e-08	16.0588080558794
ENSG00000163564.14	1.10721539677847	1.03144755791461	7.23637646693581	5.00046315645651e-12	2.17060104695464e-08	15.9955325671941
ENSG00000128710.5	1.33582337281585	1.59775805029811	7.04287879379679	1.62897566959894e-11	4.41941099162193e-08	15.1226431314729
ENSG00000103647.12	0.504507379575107	5.24028377689094	6.87561137315361	4.43738274485382e-11	1.07009950104786e-07	14.8023318174247
ENSG00000140479.16	-0.777594235324308	2.6993217974211	-6.8466519470747	5.27060827105435e-11	1.14393281914964e-07	14.5947279990346
ENSG00000082781.11	-0.407208446644953	7.25477434185721	-6.59139933832061	2.35212758564195e-10	4.64096155625208e-07	13.1937392532567
ENSG00000197959.13	0.591716346416986	4.19610852101692	6.57320227096653	2.61298424342802e-10	4.72601750161349e-07	13.1010379749023
ENSG00000022840.15	-0.254838257456529	7.73687302854386	-6.53489075602874	3.25852675405883e-10	5.0516474764352e-07	12.8843369145789
ENSG00000197535.14	0.354221818846651	6.2191034014112	6.47670344351444	4.54904028951675e-10	6.17077315272947e-07	12.5493413440306
ENSG00000230561.4	-0.916535099389116	0.533068408667117	-6.48034039801775	4.45542285401597e-10	6.17077315272947e-07	12.2909524879691
ENSG00000161533.11	-0.270551612720424	5.74349384930336	-6.42137027333986	6.23574108690726e-10	7.96120732648442e-07	12.2457794901331
ENSG00000159261.10	-1.21162301323266	-1.27519020093316	-6.5586128667818	2.84246681097459e-10	4.74560766656865e-07	12.0998477855054
ENSG00000182667.14	0.966064785676102	5.0360393225953	6.36626073639312	8.54367068838972e-10	1.03017682567117e-06	11.9732705467166
ENSG00000171877.20	0.76845024293193	3.83191117786143	6.27937239691015	1.39010288436311e-09	1.58793647380089e-06	11.4994564471297
ENSG00000146090.15	0.833398238749447	4.29553019702406	6.17095248950548	2.54285771197674e-09	2.6281039895592e-06	10.9372630292806
ENSG00000240849.10	-0.36814236382797	5.92941074209917	-6.17616449025121	2.46628403199052e-09	2.6281039895592e-06	10.922816287082
ENSG00000178163.7	-0.389504797014591	3.71497279616879	-6.15520611777101	2.76904479234123e-09	2.731788553317e-06	10.8555533857969
ENSG00000228526.6	0.601489636955473	4.17880659129174	6.12959737192053	3.18868545971698e-09	2.92883101645897e-06	10.7226064258988
ENSG00000070759.16	-0.42868980178548	4.08369282069844	-6.12677032642792	3.2386631217755e-09	2.92883101645897e-06	10.6986724948217
ENSG00000164690.7	0.889187855661166	5.05645592087099	6.11240883970798	3.5126404221209e-09	3.02527712910877e-06	10.6211541302173
ENSG00000128709.12	0.712796264969145	3.42355292371322	6.10630301166954	3.62408797257777e-09	3.02527712910877e-06	10.578923047251
