logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000156959.8	0.8832430907842	-2.32111410915396	5.31293809433291	1.41419729209265e-07	0.00327655370604945	6.25121206313863
ENSG00000259882.2	1.07545126294759	-5.45514178581356	5.15520213221138	3.22510372288824e-07	0.00373612140777988	5.06158737511007
ENSG00000056998.19	-0.571891447366566	1.42559769768651	-4.77969921387718	2.10367669843852e-06	0.0092977230724343	4.59666700773687
ENSG00000158163.14	0.283441358273289	3.68384489529558	4.74110875352532	2.53301943826757e-06	0.0092977230724343	4.41912599592959
ENSG00000006831.9	-0.152796813946307	6.43138268587346	-4.73110516139402	2.65738592966685e-06	0.0092977230724343	4.22833929046975
ENSG00000233429.9	0.33132795356287	1.51959403923115	4.64581084984811	3.98461903305415e-06	0.0092977230724343	3.99748046421185
ENSG00000101152.10	-0.20350517824334	6.50974873867959	-4.67836348779976	3.41641391146778e-06	0.0092977230724343	3.98926858858917
ENSG00000226482.1	-0.827773233696805	-5.95103819367025	-4.82543688303627	1.68517473515243e-06	0.0092977230724343	3.9012021825402
ENSG00000152359.14	0.18260408704472	3.02033324339237	4.57040434869096	5.67028191267297e-06	0.0119431601486109	3.69590532071436
ENSG00000255442.1	1.23590062461567	-4.52766510175407	4.6878484023051	3.26607255003924e-06	0.0092977230724343	3.37351094948874
ENSG00000260047.2	1.02011616437642	-4.63882898581697	4.6443042787075	4.01300145558043e-06	0.0092977230724343	3.21973637937518
ENSG00000141540.10	-0.218714617026549	3.02375076603817	-4.418876718919	1.1347388214072e-05	0.0178635538083374	3.04603786742858
ENSG00000184675.9	-0.188061781515707	3.15896710856413	-4.40466258141983	1.20977894918705e-05	0.0178635538083374	2.98092128977637
ENSG00000128607.13	-0.154478645017933	5.49440181000527	-4.40032321292719	1.23361759650136e-05	0.0178635538083374	2.80917547647387
ENSG00000261217.2	1.08346293707604	-4.4342310570854	4.50062825526249	7.82419990052826e-06	0.0151065739579449	2.71731280644227
ENSG00000178522.14	-0.938618232232066	-6.04488524360325	-4.46020868848039	9.40996475014311e-06	0.016770728715082	2.56030937538727
ENSG00000270605.1	0.481960429652132	0.398754496990645	4.30152497537974	1.91498788441497e-05	0.0260990319376531	2.54185360758733
ENSG00000073146.15	-0.473151557097448	-0.979551385586892	-4.27607705947169	2.14165672642078e-05	0.0261158129970753	2.39557226922275
ENSG00000162039.14	-0.486121571217641	-2.03209707900054	-4.27788227575968	2.12476872893271e-05	0.0261158129970753	2.29417700717835
ENSG00000079435.9	-0.568072215803316	2.98554127098426	-4.21982924604478	2.73684871025165e-05	0.0317050238839102	2.22221357284125
ENSG00000136531.15	0.668474703492122	-0.945375762865671	4.20733891584185	2.88889900233318e-05	0.0318728099928845	2.06235720694559
ENSG00000240065.7	0.274433159371717	3.29451865930688	4.17412476262604	3.3333894418745e-05	0.0346638304797769	2.06181925988687
ENSG00000100285.9	-0.707700517798193	0.367794324064568	-4.15585162499134	3.60494702551374e-05	0.0346638304797769	2.02144144978022
ENSG00000187288.10	-0.960610923300636	1.30907822627914	-4.14617666404817	3.75717473310039e-05	0.0346638304797769	1.99206146864449
ENSG00000270885.1	-0.552822098142794	0.749833784316819	-4.110699504642	4.36907695300174e-05	0.0349059116979646	1.85612062943441
ENSG00000173698.17	-0.48766518008151	-0.00393765257657518	-4.09940512871896	4.58301085845583e-05	0.0353945928598544	1.79498956059532
ENSG00000166025.17	-0.200896939168701	6.5115925215687	-4.13827939223826	3.885844175536e-05	0.0346638304797769	1.70527592339423
ENSG00000244306.10	0.979106230592084	-2.37133516674037	4.13487311392508	3.94265049449291e-05	0.0346638304797769	1.64287197344549
ENSG00000158195.10	-0.177679763787542	7.73868596515285	-4.1206123907368	4.18916333650029e-05	0.0346638304797769	1.62218866833311
ENSG00000138207.13	-0.753138826254978	1.15644739203701	-4.03486148423528	6.00964424018414e-05	0.0421401757385759	1.57391383929479
ENSG00000221864.4	-1.63130172459332	-4.90589955497379	-4.12772686114482	4.06446883189068e-05	0.0346638304797769	1.56900117212505
ENSG00000174151.14	-0.347817094230726	4.86737185829869	-4.05669640907379	5.48544025310721e-05	0.0405721464229444	1.44142276099135
ENSG00000135917.13	-0.519626535560574	1.2438391973549	-3.99171531603121	7.18829882054626e-05	0.0438278145719043	1.41491802093417
ENSG00000166106.3	-0.562513126365717	3.78968962090088	-3.99764429374734	7.01432221298838e-05	0.0438278145719043	1.28783419020125
ENSG00000157150.4	-0.597490081484523	2.30071187635841	-3.96510795101442	8.02105344732437e-05	0.0452288990796616	1.28329375503351
ENSG00000249709.7	0.230157406167167	2.97861944851435	3.96583163910962	7.99723881112206e-05	0.0452288990796616	1.28084096695869
ENSG00000168924.14	-0.183285128980537	5.92501786794786	-4.02305626171184	6.31248148957197e-05	0.0421401757385759	1.26675596023107
ENSG00000116918.13	0.203611770084982	5.04354132227622	4.00593466642745	6.7775518505274e-05	0.0436191941180193	1.26052549213424
ENSG00000166710.17	0.180930227408868	10.1534556621253	4.02103143275441	6.36586020480019e-05	0.0421401757385759	1.23775292078059
ENSG00000111684.10	-0.223472875987973	3.63603821971284	-3.95625128565786	8.31795336869333e-05	0.0452288990796616	1.1670265277969
ENSG00000225210.9	0.90738644998854	-4.88443878087131	4.05160473902216	5.60364575740956e-05	0.0405721464229444	1.16211631377257
ENSG00000052850.5	-0.663387546390812	1.002574637196	-3.90150567869294	0.000103971644231422	0.0481783805039561	1.08798444283396
ENSG00000166860.2	-0.22166752303068	3.3878691484299	-3.92672408717873	9.38476143996167e-05	0.0462628803835047	1.07929501159958
ENSG00000260196.1	-0.316297417594369	1.41090963328027	-3.89307866409467	0.000107578960315499	0.0482129797313275	1.05570092175673
ENSG00000215454.6	-1.53502023354876	-4.9304999323586	-3.97517555205674	7.69583728610826e-05	0.0452288990796616	1.05370696790784
ENSG00000112852.6	0.334838582751283	0.59637420158008	3.89144958077085	0.000108289826546787	0.0482129797313275	1.04528584772827
ENSG00000143033.17	0.186857470942385	4.25737813990573	3.92915079669493	9.29242153658645e-05	0.0462628803835047	1.034725499925
ENSG00000136011.14	0.68882380992462	-0.996425886050427	3.91138620499151	9.98878189973709e-05	0.0472306301704099	1.02039869028685
ENSG00000278540.4	-0.165576008238578	6.05193356722307	-3.95402636509603	8.39415883475959e-05	0.0452288990796616	0.99830390374685
ENSG00000163564.14	0.768169123882291	-2.0198833252419	3.91765220780696	9.73770756663042e-05	0.0470026972106792	0.95267163207238
ENSG00000272804.3	-1.62376871076154	-4.61111764362008	-3.92877096105827	9.30694643195636e-05	0.0462628803835047	0.929864671747764
ENSG00000144031.11	-0.347814950306898	0.056151255497299	-3.85270095655065	0.000126566395991404	0.0534820187878969	0.908853705654154
ENSG00000148358.19	-0.17806158358136	6.79247240706093	-3.93416132463509	9.10447671698165e-05	0.0462628803835047	0.907342424144648
ENSG00000107185.9	-0.230379403401994	5.04820519247299	-3.88692151274066	0.000110289089980593	0.0482129797313275	0.787272315081652
ENSG00000104343.19	0.147086476954146	4.54150470103491	3.85192822320295	0.000126958912052066	0.0534820187878969	0.718423471411868
ENSG00000173226.16	0.142114591349912	4.41665535787313	3.84097971790142	0.000132645295644512	0.0548796224069231	0.689002639468154
ENSG00000163312.10	0.140375403110698	3.56096304983738	3.78790328400262	0.000163787282800492	0.0590021983175077	0.578913346907526
ENSG00000169067.3	-1.14366134513549	-4.42882814412511	-3.81096228826798	0.000149494334700522	0.0590021983175077	0.541558722589676
