logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000275385.1	-2.27919766107	2.96593267903606	-6.02387283604213	3.25692758419084e-08	0.000700890816117868	8.60455512187434
ENSG00000012223.12	-1.59247236089927	2.38732589075728	-5.29809439456177	7.63369247859701e-07	0.00334940222322574	5.63779016143413
ENSG00000177807.8	-1.31567021715615	0.754980087334923	-5.29331194570115	7.78206836251334e-07	0.00334940222322574	5.6142827829449
ENSG00000145850.8	-2.38464085082187	-0.966085204919671	-5.31432958136224	7.12806243614341e-07	0.00334940222322574	5.60702698227267
ENSG00000237604.1	-2.14311295910546	-2.66960983710198	-5.33682476351297	6.47518092683091e-07	0.00334940222322574	5.37044563816254
ENSG00000186818.12	-0.984908102569365	2.99160279873731	-5.07949071643906	1.9001630861123e-06	0.00681525160218945	4.76135041193455
ENSG00000110665.11	-1.75809328977312	2.32782172579085	-5.00276501244763	2.60764348293039e-06	0.00714829777273273	4.47957751079819
ENSG00000100721.10	-3.40515601726068	0.644704981243399	-4.94354132297245	3.32169970851893e-06	0.00714829777273273	4.28309298338442
ENSG00000265206.5	-1.91200654728864	2.94799666368094	-4.95590057547023	3.15848172577774e-06	0.00714829777273273	4.25469353920582
ENSG00000211745.3	-2.19801068040719	-2.25891631519555	-4.94582133687482	3.29098386932364e-06	0.00714829777273273	4.07084347058874
ENSG00000213171.2	-1.59200732331029	-1.42679382610037	-4.91630108769657	3.70830395909935e-06	0.00725479101816528	4.05245906412737
ENSG00000087237.10	-1.76269211173356	0.253194958374109	-4.83365959627109	5.18370984788298e-06	0.00771383441955072	3.86805454125369
ENSG00000272711.1	-1.20568704970862	-1.06482915610156	-4.83850869746569	5.0777331631953e-06	0.00771383441955072	3.79671002768938
ENSG00000198796.6	-2.42233652744592	0.449945788232555	-4.80532536818872	5.80905909085262e-06	0.00771383441955072	3.77042783799333
ENSG00000273669.1	-1.372232225211	-1.16513210770293	-4.82957387302129	5.26404830200839e-06	0.00771383441955072	3.76143729943857
ENSG00000112303.13	-1.41741514713713	2.43204985699716	-4.8070781961883	5.76833229042983e-06	0.00771383441955072	3.73556463755927
ENSG00000112195.8	-2.23755353126438	0.191073524076911	-4.79336325717314	6.0945570335247e-06	0.00771383441955072	3.72336715902827
ENSG00000203710.10	-1.63328197907133	3.45154543066345	-4.77474958070794	6.56612379992293e-06	0.00771383441955072	3.53123641448419
ENSG00000112137.17	-1.01650972583307	2.97872302867606	-4.75412831226468	7.12929342511597e-06	0.00771383441955072	3.51398249445373
ENSG00000117215.14	-2.87291090521837	0.729689301980268	-4.72302192568155	8.0704771635103e-06	0.00805867079373796	3.46274846138458
ENSG00000188404.8	-2.12422443589787	3.565371925514	-4.75276037582899	7.16899109623673e-06	0.00771383441955072	3.43006081688924
ENSG00000279748.1	-0.769789542766832	-1.05076968958996	-4.68180298112984	9.49442274660578e-06	0.00817279910027826	3.22329517647101
ENSG00000174125.7	-0.863507017051161	2.65001366908977	-4.66818906476273	1.00220833314112e-05	0.00829520128046035	3.22296068613487
ENSG00000257275.6	-2.80940078341844	-3.00176206604665	-4.71784060199675	8.2384180976875e-06	0.00805867079373796	3.19862040846182
ENSG00000164485.14	-2.47215664679683	-2.83345334852976	-4.70315255743925	8.7331506338576e-06	0.00814865459543588	3.15996173783978
ENSG00000064201.15	-1.31026183885787	1.12572199146454	-4.62038541152017	1.21072775961638e-05	0.00948155056574884	3.09478820263113
ENSG00000226979.8	-1.92006093468573	0.100884133245776	-4.61562543992954	1.23365899554353e-05	0.00948155056574884	3.07737889687358
ENSG00000103522.15	-1.80560433822325	1.0122756143657	-4.58115262350127	1.41205976110486e-05	0.0104784572617161	2.95093615887669
ENSG00000078081.7	-2.0507378136675	1.08003290913275	-4.55442787451282	1.56732034054144e-05	0.0105402292901412	2.84912853277734
ENSG00000167208.14	-1.51483052852717	2.93978359558134	-4.57086697386141	1.46996582882314e-05	0.0105402292901412	2.81712365403793
ENSG00000167618.9	-1.7657373357891	-3.88614156825601	-4.69285741717083	9.08771887966827e-06	0.00814865459543588	2.80363069683144
ENSG00000116455.13	-0.350186902739033	4.32661015913016	-4.55629534002533	1.55451784187904e-05	0.0105402292901412	2.6879890374589
ENSG00000281106.2	-1.67904447526	-1.39580608293501	-4.51741934197389	1.80964829260793e-05	0.0118011003808856	2.66632518522196
ENSG00000233392.5	-1.76956077963809	-2.68775216165659	-4.49322850704007	1.98646675236058e-05	0.0125731660325881	2.4256102410195
ENSG00000283063.1	-2.03640068337449	-2.32820215803563	-4.43933648730523	2.44650808776623e-05	0.0146246816802026	2.32517953975044
ENSG00000170054.14	-2.84211176724931	-3.10910239750576	-4.41562418570187	2.67940861141296e-05	0.0155840198155695	2.19018979127633
ENSG00000128578.9	-0.720314214923046	1.6639962604581	-4.34857503209724	3.45702515558152e-05	0.0176128532648518	2.1243974362256
ENSG00000163154.5	-1.09902421255463	2.36462221161987	-4.35390351184456	3.39046893871914e-05	0.0176128532648518	2.09683035720573
ENSG00000227039.6	-1.49094212462951	2.91393334366929	-4.33675740954135	3.61833239981389e-05	0.0176128532648518	1.97352623706809
ENSG00000140749.8	-1.07569115279198	2.21260707017984	-4.30750033233415	4.04149956804761e-05	0.0176128532648518	1.94462739014508
ENSG00000157193.15	-0.875556840904731	2.81064138609793	-4.31886776125864	3.87009000161223e-05	0.0176128532648518	1.94456361604042
ENSG00000160505.15	-1.97840491580332	-4.69439155260359	-4.46910026273434	2.17985911918647e-05	0.0134030194985408	1.93713145858762
ENSG00000146232.15	-0.847505251745388	3.84743992584624	-4.33815691705967	3.59919326691638e-05	0.0176128532648518	1.91653897403318
ENSG00000226822.2	-1.34607549963283	-2.88085907539214	-4.35339645742143	3.39431233766236e-05	0.0176128532648518	1.91511320136283
ENSG00000256582.1	-2.04716758199876	-2.13738984560729	-4.30770458857104	4.03854665892306e-05	0.0176128532648518	1.91445625870199
ENSG00000240487.1	-2.06442335585541	-3.58269174795648	-4.373806631774	3.14178299986682e-05	0.0176128532648518	1.91012088328998
ENSG00000232810.3	-1.5864739941081	0.606634010424861	-4.27522612625301	4.5639947770933e-05	0.0176128532648518	1.88664450207899
ENSG00000188263.10	-2.22543212946721	-0.401564828571495	-4.27272857210369	4.60702115987513e-05	0.0176128532648518	1.88314552493125
ENSG00000235568.6	-0.927958336823819	3.1812310655894	-4.31171532902871	3.97785540773131e-05	0.0176128532648518	1.88278168906698
ENSG00000253522.5	-1.37964972184514	1.18891489630218	-4.2694053208438	4.6648783773544e-05	0.0176128532648518	1.85461424577859
ENSG00000237254.2	-2.10993783318168	-2.6769081213604	-4.29667964766199	4.21001246738539e-05	0.0176128532648518	1.82463254006803
ENSG00000173578.7	-1.63264474103654	0.500811423604997	-4.25504336247096	4.92306531723256e-05	0.0176128532648518	1.81893128961148
ENSG00000227145.1	-2.14947220762999	-3.35349935849249	-4.31999689583148	3.854857492252e-05	0.0176128532648518	1.79439184291352
ENSG00000159339.13	-1.44483344040241	-1.58389248484866	-4.25991101769712	4.83189531208275e-05	0.0176128532648518	1.78946926435466
ENSG00000120659.14	-2.3764146710483	-0.255244537743861	-4.24365452409871	5.13753262501566e-05	0.0176128532648518	1.78511116300496
ENSG00000117322.17	-2.73455861642486	3.2842981339349	-4.29939548487366	4.16713435575922e-05	0.0176128532648518	1.77504705453154
ENSG00000266088.5	-2.2494254865404	-2.11796103552398	-4.25491396944164	4.92545282905636e-05	0.0176128532648518	1.75634357900033
ENSG00000172780.16	-0.430055498718734	3.41664647863861	-4.27090730846694	4.63519634254985e-05	0.0176128532648518	1.74210834071912
ENSG00000276953.1	-1.96400596869531	-2.52630741616243	-4.26569910368635	4.73022844106869e-05	0.0176128532648518	1.73611665011914
ENSG00000163518.10	-2.75912382839288	-0.0547818802933828	-4.22975104296675	5.41156266282667e-05	0.0178884051512929	1.73461788212089
ENSG00000197465.13	-0.99356054190368	0.050330970595065	-4.22192665788862	5.56792536762685e-05	0.0178884051512929	1.71268264959526
ENSG00000204482.10	-0.938096488350192	2.49775489987067	-4.23839363177274	5.23802327579235e-05	0.0176128532648518	1.68803033695578
ENSG00000138795.9	-1.41158848175999	3.28417206612284	-4.24576059889283	5.09720606527563e-05	0.0176128532648518	1.62003948924318
ENSG00000276557.1	-2.04267832817125	-2.20911037468433	-4.21587879951767	5.69896848744126e-05	0.0178884051512929	1.61387359311109
ENSG00000237702.2	-1.87935992399062	-1.879032668623	-4.20682277681513	5.89445512067952e-05	0.0178884051512929	1.60726206409684
ENSG00000126259.19	-1.30634957339281	-2.81147274674245	-4.2422239833754	5.16134773443157e-05	0.0176128532648518	1.58239548238504
ENSG00000211752.3	-1.83979761608089	-1.50056589419474	-4.19023126147747	6.26946425499947e-05	0.0184820370914505	1.57707963437971
ENSG00000229769.2	-1.77305940956152	-4.10986990854438	-4.30354755861486	4.09926596857507e-05	0.0176128532648518	1.56995696265813
ENSG00000213420.7	-0.747623229603543	1.27704769195679	-4.18172378826996	6.46607151763397e-05	0.0186545412996505	1.56396152280793
ENSG00000248996.1	-1.25529339937701	0.0847657556905695	-4.17421919094156	6.65237305620976e-05	0.0186545412996505	1.55305330192618
ENSG00000161911.11	-1.58085056269283	-2.40149182741439	-4.20610451443628	5.90736222609848e-05	0.0178884051512929	1.53952302491144
ENSG00000115956.9	-1.04368953113444	4.53853820266839	-4.24623910160898	5.08808639938902e-05	0.0176128532648518	1.5304425183714
ENSG00000279369.1	-1.27447152039143	1.1439852370828	-4.16504974704511	6.88279273316939e-05	0.0186545412996505	1.50279346333704
ENSG00000278869.1	-1.13405585197345	-1.87251674377798	-4.17668433409852	6.5880285788942e-05	0.0186545412996505	1.48318992666737
ENSG00000211782.2	-1.76060293742168	-2.89949047947126	-4.20261242621665	5.98496826623181e-05	0.0178884051512929	1.47414584477092
ENSG00000211810.3	-1.78069926342554	-2.01102598942012	-4.16679324501093	6.83853266603451e-05	0.0186545412996505	1.46565024063134
ENSG00000276819.1	-1.80728791372881	-3.39797260509705	-4.21924357791463	5.62505650202267e-05	0.0178884051512929	1.45145394146627
ENSG00000117009.11	-1.53859848796501	0.525153384762594	-4.14302258787732	7.46622811441949e-05	0.0196153089831455	1.4417710780081
ENSG00000188322.4	-1.01335564624717	0.995820069955	-4.13808167459083	7.60039638962694e-05	0.0197060879885267	1.42028604431504
ENSG00000181617.5	-2.82211857096918	0.783699284458015	-4.131545425586	7.78876444785083e-05	0.0199540727283036	1.36956304427442
ENSG00000232869.2	-1.79335837399265	-1.0150344471641	-4.11700109804024	8.21675339768196e-05	0.0205457806080842	1.35726081189457
ENSG00000105851.10	-1.03918595470374	2.64027805182384	-4.14273195765183	7.47423483558517e-05	0.0196153089831455	1.34292009229692
ENSG00000169896.16	-0.80700535913921	3.942410416853	-4.16342796595239	6.92420998248803e-05	0.0186545412996505	1.29213190708579
