logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	1.24473529151865	0.392876141374161	5.77738236304165	3.31017183066554e-08	0.000704139751819174	5.92087629252905
ENSG00000102878.16	0.579041120883363	4.77359718013581	4.78645088241093	3.54558215641209e-06	0.0251405412103994	4.11450907959749
ENSG00000187024.13	-0.339861746369468	2.64497721665979	-4.84409525108119	2.7463615776718e-06	0.0251405412103994	4.10884861914597
ENSG00000198824.5	-0.327561870264896	4.28169971182219	-4.32069135003672	2.57708763727271e-05	0.137049520550163	2.35367255168226
ENSG00000273604.1	-0.698720703200063	1.57021135426408	-4.22607050701282	3.78735079697468e-05	0.161129052306491	1.72426363454304
ENSG00000132467.3	-0.354535810599791	4.5665516237196	-3.94879937794055	0.000112872861662714	0.29823103021957	1.04672907086072
ENSG00000156928.4	-0.28841038178313	3.64058326610559	-3.91969660843	0.000126178980442654	0.29823103021957	0.936791942812549
ENSG00000214110.3	-0.962689453326921	-0.632377284662774	-4.04270448069818	7.84558021735917e-05	0.275846269471819	0.659104964702674
ENSG00000169564.6	-0.291802340397504	6.19758352754703	-3.82811236753181	0.000178464724918037	0.34511832985968	0.635296419351154
ENSG00000179909.15	-0.742093647409549	2.20926451972999	-3.84215188113729	0.000169294612493001	0.34511832985968	0.600114688121915
ENSG00000171551.11	-1.53064229686885	-0.99299810608713	-4.00530556218296	9.07730296306286e-05	0.275846269471819	0.54353797987765
ENSG00000176396.10	-0.296089134949411	3.14604809528552	-3.73793210948038	0.00024958157561172	0.353939951760834	0.329954718153862
ENSG00000175606.10	-0.489571192711142	4.67921300784633	-3.70780985986743	0.000278796829853105	0.365384946401836	0.24609613469429
ENSG00000114013.15	-0.70623553175719	0.758019941090753	-3.78439007295382	0.000210134084036953	0.348853555047671	0.220507840827478
ENSG00000120833.13	-0.512695935900321	5.01528060321654	-3.66463514837131	0.000326359250734998	0.365384946401836	0.103529862773832
ENSG00000162385.10	-0.217052943968726	3.81722872282778	-3.60822804496868	0.000400077016292842	0.37005226352967	-0.0611867445618808
ENSG00000141469.16	1.22170777099748	1.21887757556298	3.6840777585113	0.000304073484175948	0.365384946401836	-0.217435518722207
ENSG00000038945.14	-0.75385803333328	2.06106493285566	-3.54821582450589	0.000495588594973717	0.420695200520279	-0.295655565715795
ENSG00000126353.3	-0.857638747050548	0.135137105489523	-3.60820304642763	0.000400112921266567	0.37005226352967	-0.362145162399862
ENSG00000101098.12	0.654940970162404	2.24532227765751	3.53476896287146	0.000519749299233285	0.420695200520279	-0.405820609678467
ENSG00000273203.1	0.925680958283287	0.760119445751455	3.61703510755666	0.00038761476597187	0.37005226352967	-0.447019706348281
ENSG00000121390.18	-0.216800354650266	4.56340868545617	-3.46790825328177	0.000657210855832066	0.420695200520279	-0.502682311238944
ENSG00000172673.10	1.19797646138643	-0.5764419842841	3.78050058081596	0.00021319557237776	0.348853555047671	-0.502802720445805
