logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	1.81696168071762	0.805126483809409	12.2782075091514	3.69773683342132e-29	8.27701412793028e-25	53.834229440043
ENSG00000144031.11	-1.46103610699784	2.47370704143615	-11.7257177298116	4.33607491053189e-27	3.23529002657819e-23	50.6926736998761
ENSG00000198734.10	-1.84427122848707	1.49401810206927	-11.7321525114352	4.10929181788309e-27	3.23529002657819e-23	50.6294025676975
ENSG00000178821.12	-1.48667061580433	-0.45768234506177	-11.0870578456929	9.38337582693342e-25	5.25093711275194e-21	44.7406633426446
ENSG00000186951.16	-0.751639644023047	4.83231228947494	-10.8324560359285	7.70957195329075e-24	2.876184310041e-20	43.4032961664758
ENSG00000163564.14	1.8376643050668	1.5815739593627	10.9051573598465	4.23539400909906e-24	1.89610118999347e-20	43.2480381176692
ENSG00000127418.14	-1.30776343847811	5.7388799002369	-10.5636839500192	6.97322811340962e-23	2.12092667042563e-19	41.2331411835584
ENSG00000139197.10	-0.741329016954538	5.92451937565753	-10.5527844696759	7.5801525033082e-23	2.12092667042563e-19	41.1497182425317
ENSG00000160785.13	-0.986008197401462	5.08488375057858	-10.5265609233666	9.41696163988437e-23	2.34210299274635e-19	40.9370973544073
ENSG00000062485.18	-0.758379791963375	7.4464743278453	-10.4203419780624	2.21394109297882e-22	4.95568574252378e-19	40.1027182519652
ENSG00000125741.4	-0.668423968455529	4.07665169415729	-10.3635004531307	3.4995564662536e-22	7.12127926732914e-19	39.6572006843719
ENSG00000172667.10	0.781504597424468	4.73584496791572	10.3331440026502	4.4665905254909e-22	8.33168019354902e-19	39.4192167255079
ENSG00000182890.4	-0.842150053548594	0.933868858378367	-10.2855495569363	6.54309469886727e-22	1.12662024414958e-18	38.7714480141657
ENSG00000105607.12	-0.830872863524094	4.06552281818721	-10.1485837147953	1.95289403477906e-21	3.12239857674961e-18	37.9668714739718
ENSG00000130707.17	-1.08445642574071	7.46545866643013	-10.1282357892204	2.30434602472341e-21	3.43869876116059e-18	37.800732517552
ENSG00000179604.9	-1.08105153019612	7.21718949709228	-10.0917785716321	3.07770572651288e-21	4.30571031139152e-18	37.5143123994931
ENSG00000189077.10	-0.798060329190369	5.6464432470084	-10.0770344829744	3.44846073155231e-21	4.51838361738282e-18	37.3912830465716
