logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000273002.1	-1.55080842324753	0.532038992053099	-8.85654239319745	1.11462891777086e-16	1.71627839389128e-12	27.1507090547557
ENSG00000163155.11	-1.30257662880055	1.37501182898907	-8.74699644420574	2.38098555427076e-16	1.71627839389128e-12	26.486558514394
ENSG00000261485.1	-1.59306613345736	-0.561687279258643	-8.74014008039646	2.49640493656913e-16	1.71627839389128e-12	26.2273934124089
ENSG00000147872.9	2.4478839263788	8.14473282686544	8.16339333527841	1.25197770729125e-14	6.45551005322053e-11	22.6950582710813
ENSG00000168612.4	-0.920519693770673	2.44549344193772	-8.0285321547622	3.03366234673776e-14	1.13687037346466e-10	21.8339256117561
ENSG00000108590.10	-1.2224038612667	0.409227363661632	-8.00121076978293	3.6306072814089e-14	1.13687037346466e-10	21.5759014560826
ENSG00000204514.9	-0.777221134661724	2.65113844506436	-7.95684678663942	4.85646061934647e-14	1.13687037346466e-10	21.3793390512276
ENSG00000168209.4	2.26765954430391	7.06384237890175	7.95272004116097	5.02483012413366e-14	1.13687037346466e-10	21.3423914185409
ENSG00000103343.12	-0.772516566429436	2.3379552165977	-7.948649501349	5.12411425219482e-14	1.13687037346466e-10	21.3244887388125
ENSG00000131779.10	-0.815163331972954	3.79167676793529	-7.9374890512538	5.51209878043473e-14	1.13687037346466e-10	21.2540953958249
ENSG00000165527.6	0.517410309841087	6.7696876206095	7.91962298489669	6.19449084629433e-14	1.16146703368019e-10	21.1404026554005
ENSG00000173614.13	-1.19970478986001	2.23334000867702	-7.89921181139541	7.07671903690611e-14	1.21631108446824e-10	21.0134526674288
ENSG00000271895.2	-0.915710257052136	0.799119694723318	-7.85765728069444	9.27435599898212e-14	1.47141224983851e-10	20.6958554101187
ENSG00000223969.5	-1.82899807121358	-3.33151145932801	-7.82809144783521	1.12363233770497e-13	1.6553512117975e-10	19.9920507195271
ENSG00000130772.13	-1.38239276854854	2.83655049519659	-7.72676698911004	2.16172357895422e-13	2.63353894263593e-10	19.932280259311
ENSG00000135211.5	-0.92732274900176	2.603802122033	-7.72325601972379	2.21109219184494e-13	2.63353894263593e-10	19.9120386256629
ENSG00000177606.6	2.83889293207657	6.03933854424269	7.70889849467904	2.4534787025772e-13	2.63353894263593e-10	19.80581352536
ENSG00000163449.10	-1.73195201090824	-0.0658784608151634	-7.71120962043562	2.38909672755561e-13	2.63353894263593e-10	19.7600905115701
ENSG00000108798.8	1.05783176377971	5.77094532247507	7.69503283951015	2.65057475833359e-13	2.63353894263593e-10	19.7245893285748
ENSG00000166343.9	-0.795952548719915	1.20937897247826	-7.68599743893423	2.80872135301486e-13	2.63353894263593e-10	19.6530099028703
ENSG00000272455.1	-1.37254395442369	-0.276025348042927	-7.68597595886755	2.80910820547833e-13	2.63353894263593e-10	19.5686738582965
ENSG00000204947.8	-1.33430560229862	-0.993156053168632	-7.69497529144781	2.65155364605355e-13	2.63353894263593e-10	19.5426613337691
ENSG00000260942.1	-0.876030347041488	1.2154402890159	-7.66635027936427	3.18547734949445e-13	2.85654218840535e-10	19.5343581700635
ENSG00000160271.14	1.53841647329572	6.35660253357724	7.65189759961059	3.49580132642449e-13	3.00136746532857e-10	19.456305714399
ENSG00000114383.9	-0.825664696727745	4.02274887223348	-7.64558250750502	3.63802117009524e-13	3.00136746532857e-10	19.4201622539147
ENSG00000169612.3	-1.01141078625341	1.34611382308703	-7.63887182015733	3.79739956580758e-13	3.01236023249159e-10	19.3729980431926
ENSG00000100246.12	-0.631293750110757	2.00965029786471	-7.62214885480982	4.22518886270585e-13	3.22757482567808e-10	19.2815051623759
ENSG00000159792.9	-0.864502896383687	3.62042220915744	-7.60061097687158	4.84687546817122e-13	3.57024309039398e-10	19.1446585313528
