logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000081803.15	0.692066978300359	4.31820402608843	13.7942209820021	4.62718387068789e-35	9.96510318391343e-31	68.7652259764107
ENSG00000244694.7	2.16541261080825	0.377446711797322	13.2863328959397	4.53278014249946e-33	4.88089765744342e-29	61.5332183784902
ENSG00000178163.7	-0.830674135785244	3.32664795514619	-12.7143979624625	7.38309911674929e-31	5.30008075261042e-27	59.2542438053959
ENSG00000136485.14	-0.455261447402993	5.82914341949572	-12.0487032543248	2.49138981825612e-28	1.34136427814909e-24	53.5890257251169
ENSG00000185633.10	1.80407127287041	7.30157665726605	11.9427984406305	6.29256595889567e-28	2.71033400981554e-24	52.6751787870245
ENSG00000067646.11	-0.693537328570428	3.28825869521376	-11.2559254558072	2.14839671221493e-25	7.71131193237679e-22	46.9005332843612
ENSG00000188786.9	-0.557969244082431	3.98436417948804	-11.1073930760327	7.44763845696489e-25	1.90594686972412e-21	45.7023380215799
ENSG00000188636.3	-0.65963132794892	4.92158738411491	-11.0993416034247	7.96504542511008e-25	1.90594686972412e-21	45.6383464643295
ENSG00000183475.12	-0.448193601765391	3.39510939310883	-11.099360144087	7.96381380395996e-25	1.90594686972412e-21	45.6140209535328
ENSG00000124813.20	1.4110996645404	2.50260388813634	11.0455559339	1.24677906427578e-24	2.68506339282431e-21	44.836764222286
ENSG00000143319.16	-0.440433095081649	4.4954636053657	-10.9583954508634	2.57145552129063e-24	5.03444237331955e-21	44.4860926847725
ENSG00000214021.15	0.768642509224658	6.42394292962186	10.7900893748612	1.03233701163155e-23	1.85270082354142e-20	43.1146348038459
ENSG00000082805.19	-0.591221069611637	6.33691049521452	-10.7182317248155	1.8626699813138e-23	3.08572774750569e-20	42.5355180705626
ENSG00000166529.14	-0.465335584071614	1.9437210013821	-10.7058540948775	2.06158015901055e-23	3.17129930746079e-20	42.2593550359122
ENSG00000048828.16	-0.435651720002421	6.90556001199224	-10.5928521932567	5.19157282142662e-23	7.45371415214958e-20	41.5291608675026
ENSG00000170100.13	-0.520267661670639	3.30467893827164	-10.4818107602097	1.2803381795211e-22	1.62196253142155e-19	40.6338580851074
ENSG00000151575.14	1.27610287122684	0.857333944191453	10.5016378150623	1.09013902428161e-22	1.46732712668305e-19	40.0081966499249
ENSG00000170185.9	-0.443659233778588	4.37297184124648	-10.35662736469	3.52138421769613e-22	3.99139634275284e-19	39.648819949928
ENSG00000164168.7	-0.39161190952993	4.36045349979367	-10.281109914532	6.46306728910396e-22	6.95943085690714e-19	39.052405369668
ENSG00000152229.18	0.69614058824407	2.93259722637008	10.1832858059615	1.4143010881383e-21	1.45039943972125e-18	38.1959346816752
ENSG00000166847.9	-0.457404874383122	5.6331227331603	-10.1383262263539	2.02427074550851e-21	1.98157703523961e-18	37.9188818400126
ENSG00000196652.11	-0.365101307342617	3.48153348734483	-10.1003034194539	2.73954706040007e-21	2.56516893446852e-18	37.6358123801976
ENSG00000237512.6	1.96432249532645	-1.05956522360606	10.3838355975253	2.82779261436148e-22	3.38329676349382e-19	37.5503844915426
ENSG00000169016.16	-0.580452467889818	2.81545222981788	-10.0687265623676	3.52053082917466e-21	3.03272607748422e-18	37.3698677874739
ENSG00000067596.10	-0.410935162470376	5.31007018856293	-10.0577604436515	3.84055718040893e-21	3.18116305528026e-18	37.2897337116544
ENSG00000103194.15	-0.416187103905465	5.42524429995718	-10.0033626813034	5.90883130371522e-21	4.71305892432633e-18	36.8654017949854
ENSG00000101407.12	-0.362902973458164	4.06617661118517	-9.96640344956229	7.91243975602843e-21	6.08579652092244e-18	36.5959129436386
ENSG00000228223.2	-0.645239906265605	3.00087962808876	-9.95969202983602	8.3427642024151e-21	6.19550930562799e-18	36.537516402191
ENSG00000161533.11	-0.338902884197047	5.1567993913369	-9.9553730165937	8.63190024304499e-21	6.19655345447389e-18	36.4945711308767
ENSG00000100014.19	-0.533592011011561	6.31415521125043	-9.92368932260897	1.10800831630072e-20	7.45689596870386e-18	36.2503758209082
ENSG00000184226.14	1.34358985031011	3.13717906107784	9.92429446266443	1.10590824112316e-20	7.45689596870386e-18	36.1669221891101
ENSG00000101266.17	-0.27902534095288	5.94052227398312	-9.89338326642127	1.4063261104592e-20	9.17776942874222e-18	36.0123293738486
ENSG00000198863.7	-0.440959646838518	3.97375886564173	-9.86721651070283	1.72721189461114e-20	1.06277815320987e-17	35.8304536932104
ENSG00000234546.3	1.29139382894825	-0.801346444156432	10.0738615735332	3.37992218227971e-21	3.03272607748422e-18	35.8057529527663
ENSG00000011007.12	-0.361227276146342	5.00217976507975	-9.84840148763785	2.00191624835338e-20	1.19759078679273e-17	35.6689496688567
ENSG00000185009.12	-0.406136531199988	5.32082204583881	-9.84076656835818	2.12538510287746e-20	1.23708901555592e-17	35.6069564673361
ENSG00000184378.2	-1.02011310368705	-0.0332439753356789	-9.88572159278348	1.49360232866875e-20	9.46065286770891e-18	35.5151365888372
ENSG00000046889.18	1.02545984193513	4.59417024595964	9.82227365757864	2.46802670326969e-20	1.39872166004253e-17	35.4835912544299
ENSG00000164091.11	-0.421511070371379	6.69763621689865	-9.80801827554301	2.74660212055476e-20	1.51340539559867e-17	35.3610409373973
ENSG00000145391.13	-0.489178416919003	7.16774468260095	-9.80190099835133	2.88120455142764e-20	1.51340539559867e-17	35.3198940432352
ENSG00000179277.9	-0.81844350244668	1.68874132557292	-9.79719084211458	2.98928944965911e-20	1.53279375209187e-17	35.1904885572048
ENSG00000181894.14	-0.37490276074104	3.32695277857366	-9.78330663672442	3.33187206578598e-20	1.66872550718062e-17	35.1875499209253
ENSG00000158691.14	-0.545462463835765	2.4136863254344	-9.76188111567982	3.93848176912403e-20	1.92770780408762e-17	34.9854112596437
ENSG00000153560.11	-0.364120344635812	6.60611758819172	-9.74852866285216	4.37072358416476e-20	2.09173118019049e-17	34.9029977884921
ENSG00000205339.9	-0.540658713378487	7.35774659432385	-9.73171531161056	4.98253348232211e-20	2.2830604484104e-17	34.7844551218692
ENSG00000009335.17	-0.484813506988748	6.19758023828731	-9.7318855128514	4.97593315152256e-20	2.2830604484104e-17	34.7722913618898
ENSG00000185008.17	2.65409126310444	1.86326883579432	9.80319149010954	2.87027650778981e-20	1.51340539559867e-17	34.752351194637
ENSG00000132313.14	-0.456409822346607	4.60831697127396	-9.67898516881637	7.50810476019177e-20	3.36863633573938e-17	34.3753187642961
ENSG00000124486.12	-0.375261083299983	6.97219033474602	-9.65945051133643	8.73702084424641e-20	3.69947935746779e-17	34.2268763369076
ENSG00000085978.21	-0.32866052937482	4.97629046839342	-9.66013712785615	8.69061903299285e-20	3.69947935746779e-17	34.2263961579252
ENSG00000141027.20	-0.342736053530743	6.83764193414402	-9.6590994611029	8.76083986027383e-20	3.69947935746779e-17	34.2222545053272
ENSG00000165671.19	-0.360846084644198	5.8806758107115	-9.64859061331875	9.50449836726523e-20	3.92250639415292e-17	34.1334960629432
ENSG00000135763.9	-0.741855160514512	2.75859366551717	-9.64417432193537	9.8354079348188e-20	3.92250639415292e-17	34.1203397328933
ENSG00000159921.14	-0.44719157500983	4.7438479344812	-9.64519341462598	9.75804756884252e-20	3.92250639415292e-17	34.1153464003113
