logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000234648.1	-1.73450971774228	-3.69198798118389	-10.2778189991271	9.6873492806092e-24	2.29648302046122e-19	41.5717465686595
ENSG00000130177.14	0.384846322052171	5.55401385825312	9.95939578511713	1.9075642366716e-22	2.26103588972685e-18	40.1675574329469
ENSG00000115970.18	0.487010952190095	3.60501764622622	9.8893734028854	3.63606321504103e-22	2.87321715252542e-18	39.5132845158539
ENSG00000176783.14	0.388275958207213	4.71921544291519	9.62540843440402	4.00038934221565e-21	2.3708307436641e-17	37.1863975443928
ENSG00000233830.2	-1.31500164317529	-2.39033998973203	-9.57837441613918	6.09863370017836e-21	2.89148420992856e-17	35.9564997282704
ENSG00000226415.1	-1.0897002092902	-0.774096041250879	-9.23851423436148	1.21988777957203e-19	4.81977661708909e-16	33.5010119951702
ENSG00000230202.1	-1.48917596666096	-0.499220591509423	-9.09054546760788	4.37031703390845e-19	1.43208809995844e-15	32.3825550820866
ENSG00000237238.2	-1.7978126772977	-2.18252960894208	-9.07879468848256	4.83282915703515e-19	1.43208809995844e-15	32.0087109333224
ENSG00000205464.11	0.675833413403937	3.00527997212095	8.76795530839019	6.64600523350291e-18	1.75055777850467e-14	29.9200303517487
ENSG00000218283.2	-0.588738142563512	3.05683162590717	-8.60497056637013	2.54692880571525e-17	6.03774942682858e-14	28.6309747784964
ENSG00000264204.2	-2.30659198411718	-2.31635527727258	-8.48499509561339	6.75475382984938e-17	1.45571085718554e-13	27.3905938727359
ENSG00000130023.15	0.479475563937331	3.90420213540277	8.42032169934575	1.13698965819979e-16	2.24612306977369e-13	27.1743849942636
ENSG00000186076.5	-1.23761855778148	-2.73692565685998	-8.37288641493286	1.66236895467069e-16	3.0313937261095e-13	26.2138131591824
ENSG00000274031.1	1.14681436026669	0.0230547290073202	8.35008581590943	1.99406739436464e-16	3.37652583220058e-13	26.1931011569334
ENSG00000171865.9	-0.544656586342959	2.81165588526293	-8.2803494877393	3.46941411508224e-16	5.48306206747598e-13	26.0905025100103
ENSG00000118495.18	-0.748969928187649	2.7442139281221	-8.17542551541102	7.9227033856666e-16	1.17384754037883e-12	25.2848245136458
ENSG00000143179.14	-0.587206258538614	1.6647715944555	-8.15368209696638	9.3906290806295e-16	1.30949560579649e-12	25.1158414864911
ENSG00000118777.10	1.60776165639485	4.65755411847369	7.99994353633669	3.08949393021382e-15	3.85471279524468e-12	23.9642211534228
ENSG00000187049.9	0.57852804895498	3.21192669911227	7.98587489245911	3.44145407679699e-15	4.07915551722747e-12	23.8664765702549
ENSG00000266050.2	-0.983419403381665	0.993011578751433	-7.91286664457806	6.01152856179712e-15	6.47769527663466e-12	23.3120571341622
ENSG00000155034.18	-0.857387293744314	2.50478518563091	-7.89636437917947	6.8151078221947e-15	7.0243020014325e-12	23.1945982146261
ENSG00000131370.15	-0.9406984020772	2.95923028474106	-7.86027628195704	8.96007342218593e-15	8.85031252276415e-12	22.9117178910864
ENSG00000229178.1	1.42713989020778	-0.686413872495924	7.93001771247746	5.2753425467614e-15	5.9551081149298e-12	22.8708535984552
ENSG00000227706.3	-1.52901270737972	-6.1917551204446	-8.03791711396292	2.30618848802282e-15	3.03725023872605e-12	22.8292497292794
ENSG00000247746.4	0.590153695953479	2.01360385746212	7.79915450211026	1.42050535602878e-14	1.29517307576994e-11	22.4646976739565
ENSG00000169087.10	0.562771468857823	2.85687454173694	7.74531110566747	2.1263968077952e-14	1.86697639724419e-11	22.1017529821356
ENSG00000172878.13	0.401911547619968	2.78713041872391	7.71047729574469	2.75695247485143e-14	2.25366604720097e-11	21.8511112283951
ENSG00000196236.12	0.472906888803043	3.57714989651598	7.70205871964915	2.93508542615668e-14	2.31930450374901e-11	21.7805489522211
ENSG00000174028.6	-0.912173393648233	-0.863031153534328	-7.7141735396637	2.68214653089674e-14	2.25366604720097e-11	21.729797326344
ENSG00000268182.5	-1.19843004423606	0.625955858326562	-7.69378356377662	3.12129417172722e-14	2.38688385919243e-11	21.7188929985367
ENSG00000196214.10	0.352925420906081	3.10093684755071	7.68270736527777	3.38864907620609e-14	2.51035359376693e-11	21.6491830730289
ENSG00000075131.9	0.510598800011779	1.62824719286672	7.63673391514576	4.76144259365031e-14	3.31984582720807e-11	21.2842001373349
ENSG00000279931.1	-0.951325743007924	-6.78033450937901	-7.84706089469751	9.90093234780118e-15	9.38846008947899e-12	21.1901203070052
ENSG00000100802.14	0.554218260436084	1.97917135185718	7.60034610022501	6.22451393317502e-14	4.21595220856705e-11	21.0427446077019
ENSG00000282826.1	-0.576409145431688	1.97918170514716	-7.59061809361018	6.68549150115608e-14	4.33856013229027e-11	20.9941687083768
ENSG00000266962.2	-0.432309371730303	1.31703642174887	-7.58344227428604	7.04691066188064e-14	4.33856013229027e-11	20.9329928214559
ENSG00000176222.8	0.69004433856449	3.05930390281225	7.58169932164908	7.13759576306929e-14	4.33856013229027e-11	20.9313273110417
ENSG00000183484.11	-0.890279201500552	-0.0581918684124486	-7.57253428506031	7.63344570513014e-14	4.52396159714538e-11	20.8053464218932
ENSG00000157017.15	1.06142103837898	-1.61443817351518	7.64746039632319	4.39889356110507e-14	3.16000517453202e-11	20.748845479492
ENSG00000164463.12	0.425017772046935	4.72901555962685	7.56148054782199	8.27678835387068e-14	4.78559865163069e-11	20.7315744935643
ENSG00000243547.1	-0.770980178973795	-1.72634816365211	-7.5886754794072	6.78149196012997e-14	4.33856013229027e-11	20.7115497110326
ENSG00000154309.8	0.63401827696633	2.38023985456769	7.54519381164973	9.32305251785048e-14	5.13982053460846e-11	20.6665599984821
ENSG00000278768.1	0.580990765241131	1.69087078960738	7.54769495678442	9.15430693478714e-14	5.13982053460846e-11	20.6570954984895
ENSG00000174059.16	1.46629138000697	4.37837141582078	7.53623897766224	9.95352642677528e-14	5.36268857893488e-11	20.5970137120051
ENSG00000014919.12	0.342442790601666	4.61715938196241	7.5192447201305	1.12647984544772e-13	5.93429582581859e-11	20.4322668488542
ENSG00000053900.10	0.409640187492598	4.40699835826379	7.4998268161475	1.29731963698325e-13	6.54345942857976e-11	20.3040082985667
ENSG00000112305.14	-0.581393177649831	2.17497634242497	-7.492672556358	1.36648848035472e-13	6.74874498235188e-11	20.2999712488676
ENSG00000166411.13	-0.534474290106668	4.29509894562554	-7.48895844551815	1.40382211695482e-13	6.79163410296552e-11	20.2080663684001
ENSG00000256894.1	-0.981119665596542	-1.92401430718057	-7.50577491279306	1.24244457876534e-13	6.4029111270024e-11	20.1359634009315
ENSG00000259207.7	-1.37876073555769	-0.593298772597792	-7.45610585534223	1.78086603654205e-13	8.27788436515016e-11	19.9873904838747
ENSG00000188013.6	-0.975158745350933	-1.06986067752241	-7.46459211729441	1.67482113477391e-13	7.94066196419004e-11	19.9724328907712
ENSG00000197951.8	-0.340791375278857	2.80939844803356	-7.40849965747467	2.50963875477389e-13	1.14410569847442e-10	19.6997253920004
ENSG00000125454.11	-0.448948394014032	1.73408604177588	-7.37008020504625	3.30557292825152e-13	1.47852663843643e-10	19.4514904771363
ENSG00000162885.12	-0.534788428376385	1.77379959095167	-7.30552720414085	5.23643744320031e-13	2.25034544151336e-10	19.0076528131103
ENSG00000262165.2	1.27659593070587	-0.280722488173656	7.34614721076887	3.92192807130999e-13	1.72172642330509e-10	18.9766251342911
ENSG00000076555.15	0.807094580525466	4.95836365967542	7.30341140502725	5.31592612523192e-13	2.25034544151336e-10	18.925441531873
ENSG00000196275.13	0.689571196119043	1.60566177592353	7.26705831581229	6.87645346744556e-13	2.81057251550456e-10	18.7172256133921
ENSG00000183199.6	-0.914393622671052	-1.04971022866641	-7.27140967289901	6.66818053900186e-13	2.77326119048383e-10	18.6611055216468
ENSG00000272779.1	-0.489617312601554	2.80346374956084	-7.25774384651394	7.34400861162304e-13	2.95079776520569e-10	18.6531317397128
ENSG00000186479.4	-1.3323859913091	2.88555214422879	-7.24947793066638	7.78556809586058e-13	3.07607795467452e-10	18.5584225260866
ENSG00000164344.15	1.08412490181224	1.99999693296613	7.21872381403525	9.66641976397014e-13	3.69600236975284e-10	18.3948699380334
ENSG00000160213.6	0.547421055562297	5.83106042202345	7.22086025520878	9.52240370746463e-13	3.69600236975284e-10	18.3408094657322
ENSG00000166278.14	-0.816106776407272	1.49031112471987	-7.16767609787754	1.38206353762862e-12	4.90948871565585e-10	18.0722054275199
ENSG00000176978.13	0.346328512812677	6.64366085047306	7.17665738183363	1.29801449727993e-12	4.73395871884894e-10	18.0464936907756
ENSG00000007202.14	-0.388164615794789	6.17051343425149	-7.16710664826021	1.3875632495948e-12	4.90948871565585e-10	17.9843594267779
