logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000177606.6	1.86273468586287	9.36827780551557	7.42293551858874	1.15294795908544e-11	2.55262678141516e-07	16.1610616086888
ENSG00000059804.15	1.99747281757643	7.64769554691485	6.81613468248517	2.82809264544516e-10	3.13069855850779e-06	13.0951644255243
ENSG00000142871.16	1.41830901553163	8.83154475254178	6.63437504388543	7.20406591656424e-10	3.44412073906755e-06	12.2026288520386
ENSG00000128311.13	-1.15563058514393	4.47520086700491	-6.53570009027727	1.19092740827878e-09	3.44412073906755e-06	11.7132871640405
ENSG00000176974.19	-1.24464735684361	5.48001877997014	-6.53130293916793	1.21780372411497e-09	3.44412073906755e-06	11.689667676388
ENSG00000067082.14	0.792551746947095	8.89300270182106	6.52635147285794	1.24448807193046e-09	3.44412073906755e-06	11.6798987766
ENSG00000124217.4	-0.581823975950559	2.21286444918979	-6.54089672259994	1.15589812895916e-09	3.44412073906755e-06	11.6674121412909
ENSG00000163564.14	2.03069313256362	0.47251810130951	6.60465599196636	8.35477143457023e-10	3.44412073906755e-06	10.8888310032099
ENSG00000166821.8	-1.06708170930057	4.37730035156723	-6.34310517349907	3.14352068870976e-09	7.08176112779977e-06	10.7827790491459
ENSG00000166189.7	-0.634071468529892	3.45988642042545	-6.33900434864198	3.19862742899719e-09	7.08176112779977e-06	10.7791342515505
ENSG00000213563.6	-0.586315639388632	4.42588008352184	-6.29238248587094	4.03708086082626e-09	8.04024230111042e-06	10.5450490722872
ENSG00000159792.9	-0.622287300101792	4.91545536626584	-6.27703273578398	4.3578549057509e-09	8.04024230111042e-06	10.4641016452788
ENSG00000162772.16	2.01996351401583	6.57679880779634	6.17327775009349	7.309465512037e-09	1.24485820335769e-05	9.97300226307117
ENSG00000087074.7	1.0083680029591	7.38038898842652	6.15277832531561	8.0793831387845e-09	1.2776967335192e-05	9.87673388765817
ENSG00000104853.15	-0.455673880989287	6.69845474331083	-6.08054527459983	1.14987125644962e-08	1.63299055779549e-05	9.54072465927312
ENSG00000128016.5	1.5062529555852	9.59568335265997	6.07579840576361	1.18011964429665e-08	1.63299055779549e-05	9.53569260869502
ENSG00000183048.11	-1.04497121089176	4.19324068559407	-6.03222244718332	1.46004336998129e-08	1.89258092216041e-05	9.31442818072508
ENSG00000197858.10	-0.43977499582752	6.37074620410405	-6.02091419241552	1.53868367655318e-08	1.89258092216041e-05	9.2570064154745
ENSG00000139197.10	-0.844761510505724	6.14525815468776	-6.00023335932479	1.70283464172221e-08	1.9101664739695e-05	9.16063822801031
ENSG00000164949.7	1.42544835787404	5.69365630035281	5.99790216239182	1.72553430349548e-08	1.9101664739695e-05	9.15697142260376
ENSG00000160216.18	-0.541336082360661	5.81831697759374	-5.97365930326236	1.93609063691409e-08	2.04119270006085e-05	9.0314848128181
ENSG00000125648.14	-0.562045957147587	5.20348032336876	-5.92204553908133	2.48556429667961e-08	2.50138152402212e-05	8.79130935644832
ENSG00000105135.15	-0.519516773461477	5.55283723692276	-5.84922484566963	3.52889130815213e-08	3.27649298856141e-05	8.4546510748712
ENSG00000173456.4	-0.428211047194414	4.27814156654315	-5.8427617942551	3.63997286451425e-08	3.27649298856141e-05	8.44668921029987
ENSG00000127418.14	-1.00695486413063	5.56402798945144	-5.839861841998	3.69974366368723e-08	3.27649298856141e-05	8.4125261164947
ENSG00000124164.15	-0.433535745842988	5.63661363490274	-5.81939207070064	4.07098655761854e-08	3.30566753505422e-05	8.31767493662242
ENSG00000166123.13	-1.43464282797444	5.31611722517921	-5.80883905161394	4.29170600482602e-08	3.30566753505422e-05	8.27259384697725
ENSG00000189077.10	-0.841837718596933	5.67379189638224	-5.80679439379775	4.32991682550011e-08	3.30566753505422e-05	8.26140777185436
ENSG00000112559.13	-1.14997759386034	4.29125616994622	-5.77902762324028	4.94758839154498e-08	3.65132023296019e-05	8.14416769092095
ENSG00000160972.9	-0.599328874542468	4.99014108136023	-5.761598109445	5.36329919630052e-08	3.83043368406753e-05	8.05662484665451
ENSG00000269837.1	-0.616658996603947	2.55903940063093	-5.73410472269694	6.11164435528767e-08	4.22849393831466e-05	7.97750790404398
ENSG00000230733.2	-0.70062846142582	2.00698096369109	-5.72635960463579	6.34031790672499e-08	4.2537769228755e-05	7.9219768503007
ENSG00000128309.16	-0.880753482804116	5.38549910770208	-5.70184277375681	7.1344379717495e-08	4.62298568474216e-05	7.78201135406632
ENSG00000157184.6	-0.625752209084467	2.99990600599934	-5.68458576150203	7.72585683538663e-08	4.62298568474216e-05	7.76119643759428
ENSG00000122971.8	-0.790818072333647	5.78889136271057	-5.68788182237311	7.61360214174324e-08	4.62298568474216e-05	7.72192704852367
ENSG00000131771.13	-1.29442850890184	5.22398406743665	-5.68774424172491	7.62812687601123e-08	4.62298568474216e-05	7.72049148307435
ENSG00000160685.13	-0.792197114450204	6.03836056805978	-5.67342595296111	8.14857804633631e-08	4.74761889331279e-05	7.66031516856365
ENSG00000188997.7	-0.59286071563316	3.00895786303118	-5.64729307107654	9.21035241472517e-08	4.91474206208403e-05	7.59554226629445
ENSG00000172057.9	-1.0425038317601	6.47038379365354	-5.65195514550888	9.02980754184597e-08	4.91474206208403e-05	7.57279575525785
ENSG00000172667.10	0.403203984168509	4.43864573832006	5.64470035943162	9.32335892536267e-08	4.91474206208403e-05	7.5631449940311
ENSG00000170153.10	-0.878923991935376	4.34170214692309	-5.64662491370792	9.25401548971454e-08	4.91474206208403e-05	7.54701304781984
ENSG00000174151.14	-0.821634504110879	3.11629394757845	-5.63122171752655	9.93306312485619e-08	5.04117386134645e-05	7.52076148423164
ENSG00000176410.7	-0.466009258171559	3.05814802318274	-5.62939600352113	1.00185930397129e-07	5.04117386134645e-05	7.51637813618751
ENSG00000147889.17	1.45488685925715	-0.17168877097586	5.8081699633462	4.29536510245593e-08	3.30566753505422e-05	7.45239210774379
ENSG00000130997.16	-0.774569184962078	1.80634227417727	-5.60977097010185	1.09847131085115e-07	5.28699017874879e-05	7.40198212694274
ENSG00000172409.5	-0.588018769814386	2.74428982659152	-5.59622254172107	1.17042765634681e-07	5.51346134287626e-05	7.37051190714923
ENSG00000119711.12	-0.748186188296527	5.22501499325122	-5.59127794792309	1.19841155684279e-07	5.52767330593736e-05	7.28534183413635
ENSG00000103034.14	-1.47265192798369	4.48810840483813	-5.56886524406263	1.3327659801317e-07	6.02192628573794e-05	7.19205897435867
ENSG00000136247.14	-0.414480584229146	4.20727020735198	-5.5543423560553	1.42325681417812e-07	6.17860899331442e-05	7.14901719961125
ENSG00000167972.13	-0.611579662964717	4.85400402401663	-5.55455598587168	1.42184065453903e-07	6.17860899331442e-05	7.12644753892655
ENSG00000084090.13	-0.44816414427075	6.28856746017968	-5.54584760509294	1.48070048317359e-07	6.1968833429513e-05	7.08961625966293
ENSG00000163635.17	0.492501441990475	5.49031551239775	5.54544979532113	1.48344542536775e-07	6.1968833429513e-05	7.08638846744091
ENSG00000115041.12	-0.644590278145997	3.40850032783437	-5.5080224397928	1.7652232875546e-07	6.81236216537948e-05	6.97118846945117
ENSG00000197714.8	1.06389891647439	1.67941235534175	5.53579759005267	1.55159293067678e-07	6.36153101577481e-05	6.95817683500614
ENSG00000078070.12	-0.714467715763444	5.05791516923382	-5.51302363445877	1.72482378081221e-07	6.81236216537948e-05	6.93844969799818
ENSG00000132313.14	-0.431229957974331	4.56420797995764	-5.50898210135598	1.75738430089046e-07	6.81236216537948e-05	6.93417827550421
ENSG00000259494.1	-0.58685227966468	3.9055988811566	-5.49920830117144	1.83883846023289e-07	6.81236216537948e-05	6.91366388707012
ENSG00000103148.15	-0.330735666352438	5.34405106169005	-5.50407926736554	1.79779331847534e-07	6.81236216537948e-05	6.89712447068477
ENSG00000114650.18	-0.395749148530532	6.26079960045748	-5.49834960408119	1.84616860850392e-07	6.81236216537948e-05	6.87792788289057
ENSG00000185650.9	0.587891427919473	9.58294663005629	5.47975773499255	2.01206373389154e-07	7.30280181448504e-05	6.8489374369593
ENSG00000185404.16	0.46369801618669	4.33357298527881	5.46113380760787	2.19281958950149e-07	7.80393634350953e-05	6.75591563362349
ENSG00000182782.7	-1.24100639448043	2.45753801569835	-5.42970027698033	2.53924342392937e-07	7.80393634350953e-05	6.64303491411434
ENSG00000168918.13	0.79866665266509	5.25583698151944	5.43740937870055	2.4484257147099e-07	7.80393634350953e-05	6.62227437132184
ENSG00000142949.16	-1.15737609772474	7.71862871121791	-5.42967009401341	2.53959584275901e-07	7.80393634350953e-05	6.61485022875576
ENSG00000156521.13	-0.576208040493124	4.66919806732389	-5.43633563207563	2.45830168202897e-07	7.80393634350953e-05	6.60866626386181
ENSG00000235106.9	-0.441339763273808	4.02558710607515	-5.42768639000932	2.55808625431671e-07	7.80393634350953e-05	6.59810895770312
ENSG00000107021.15	-0.389513821228472	5.28920185375077	-5.43151573322776	2.51342923071949e-07	7.80393634350953e-05	6.57735259612475
ENSG00000047365.11	0.714194000799175	3.49512161080939	5.41158449950353	2.75449306994059e-07	7.920061892011e-05	6.56781283147163
ENSG00000128917.6	1.06465536580494	5.89741820036912	5.42793248470634	2.55996504510025e-07	7.80393634350953e-05	6.5671856708938
ENSG00000198736.11	-0.746567057476387	4.14866463705099	-5.42274822186612	2.61681943902333e-07	7.80393634350953e-05	6.56428148520169
ENSG00000180155.19	-0.696996937667858	4.4872127246947	-5.42053157772841	2.64360987246258e-07	7.80393634350953e-05	6.54316226889722
ENSG00000105429.12	-0.531995627640603	5.87684360978766	-5.42116617984089	2.6359128080985e-07	7.80393634350953e-05	6.5337777707058
ENSG00000196642.18	-0.378200737383313	6.37449510838695	-5.41653935756741	2.69253712695242e-07	7.8437857882535e-05	6.51956891347106
ENSG00000270885.1	-2.04690932539427	3.27881350152408	-5.40005970134313	2.90936276189524e-07	7.97286602361664e-05	6.47914320696137
ENSG00000134243.11	-0.908283820006483	6.92215894313943	-5.39074948336995	3.03471292207988e-07	7.97286602361664e-05	6.42499948569688
ENSG00000075234.16	-0.708871195312419	5.52871909761033	-5.39637254738245	2.95411088191175e-07	7.97286602361664e-05	6.42345040880013
ENSG00000144043.11	-0.46777269113163	6.38849568973409	-5.39316765954575	2.99721809459541e-07	7.97286602361664e-05	6.41871305363309
ENSG00000157600.11	-0.834785009246233	5.01112906011129	-5.39234964015595	3.01329073709918e-07	7.97286602361664e-05	6.40624087388917
ENSG00000166224.16	-0.479225323927095	5.28599894700874	-5.39130130378159	3.02295058041629e-07	7.97286602361664e-05	6.40096134880727
ENSG00000059728.10	0.848220471655083	4.94068086922209	5.37402721390294	3.27540799848082e-07	8.43227128911225e-05	6.36029767748902
ENSG00000166126.10	-1.61769529644309	-0.882930737024704	-5.42624645567533	2.57507815756264e-07	7.80393634350953e-05	6.33652556008798
ENSG00000151502.10	-0.320136890012372	5.46965795832029	-5.34972112001582	3.65551979812237e-07	9.30266762418727e-05	6.21878375202885
ENSG00000229598.1	1.22061193113917	0.153527362866461	5.44675686248801	2.34311527932941e-07	7.80393634350953e-05	6.21289508687103
ENSG00000103150.5	-0.591404248709426	4.4067976805427	-5.32552217293035	4.08130671295383e-07	0.000100400145138664	6.13393841607827
ENSG00000134107.4	1.35420709979712	8.96675271551607	5.31733955199797	4.24331892914919e-07	0.000102414505228705	6.12260682628
ENSG00000275183.1	-0.530481502347877	1.73007516398425	-5.30614802635002	4.45672739387666e-07	0.000103865204737294	6.09699669169234
ENSG00000167930.15	-0.524721472927591	6.30821326510635	-5.31631482655049	4.2557066310031e-07	0.000102414505228705	6.08371947620731
ENSG00000232043.1	1.60829520518382	0.699489364483187	5.38857363806261	3.06094675703439e-07	7.97286602361664e-05	6.07110510489157
ENSG00000248098.11	-0.407302270059705	5.30500375016958	-5.31092347734354	4.36117844511965e-07	0.000103824183628977	6.05128680340047
ENSG00000111011.17	0.295212905752802	6.51197012060039	5.30792980906055	4.42084044376763e-07	0.000103865204737294	6.04198993901986
ENSG00000105607.12	-0.671826817285437	4.41522575792392	-5.3002168235041	4.5782468143464e-07	0.00010506731421498	6.02276429869474
ENSG00000132623.15	-0.723003481251577	2.39075173351849	-5.28037147148032	5.00879653634391e-07	0.000113157913586382	6.00891990733064
ENSG00000100335.13	-0.591357245028512	5.2795059275378	-5.29901694331475	4.60322018015045e-07	0.00010506731421498	5.99978914953482
ENSG00000250906.1	1.33738246333882	-1.8298450391047	5.62025034453834	1.04580085653968e-07	5.14534021417524e-05	5.98854774174753
ENSG00000165376.10	-1.84988526151978	-1.03463334927992	-5.33752181168106	3.86834105551961e-07	9.62304168193305e-05	5.97382969224781
ENSG00000006007.11	-0.490081640773681	5.20375378726508	-5.26695367734425	5.32200773866214e-07	0.000119019445791899	5.862184717535
ENSG00000150991.14	0.820118700323451	9.52374636268087	5.24421340767954	5.89695693196425e-07	0.000127998653405577	5.82902134292494
ENSG00000087111.20	-0.343517656587205	5.55781075983348	-5.25543214281354	5.60612527867872e-07	0.000124119613669947	5.81078691158453
ENSG00000163348.3	-0.349161948843408	5.16150111466153	-5.2461357086751	5.84610059825326e-07	0.000127998653405577	5.77390990732286
ENSG00000100417.11	-0.772392342965589	4.92073948132999	-5.23814849402914	6.06702821356505e-07	0.000130411654998379	5.74021625556461
ENSG00000100412.15	-0.624447449575097	5.78511008617382	-5.23090248356077	6.26113131347037e-07	0.000132390464614167	5.70848354607149
ENSG00000166135.13	-0.422815145307386	5.43368338913631	-5.2302802551113	6.27868057113258e-07	0.000132390464614167	5.70311539341209
ENSG00000189134.3	-0.786692738449275	0.70982658179185	-5.22190778951734	6.51952938487827e-07	0.00013617205715208	5.68736249754896
ENSG00000103932.11	-0.307159357087467	4.8597287129121	-5.20606168604475	7.00025229790138e-07	0.000143505172106978	5.60975799330931
ENSG00000280138.1	1.12856900227626	4.32771578438992	5.18802182712022	7.60176157463644e-07	0.000148940709081815	5.60205257649485
ENSG00000163050.16	-0.875880978642074	6.83428446332159	-5.1953992094826	7.35253832516932e-07	0.000146653331999323	5.58097659310256
ENSG00000104812.14	-0.822381930323004	5.72763912859639	-5.19929935865934	7.22673245952356e-07	0.000146653331999323	5.57342631820112
ENSG00000259956.1	-0.411867935226724	5.67790547762077	-5.19551796103723	7.33906762899554e-07	0.000146653331999323	5.55465097758713
ENSG00000101138.11	-0.313857603025674	4.18060783204986	-5.1835042540998	7.74460445704829e-07	0.000150408370771096	5.54284573687534
ENSG00000010256.10	-0.352408179653083	6.42385885056061	-5.18976645174216	7.53056710469158e-07	0.000148863174730242	5.54028592110306
ENSG00000188785.11	0.619612287483695	4.68464443237086	5.18032326152932	7.85558598915058e-07	0.000151237107651995	5.53444920248054
ENSG00000124688.13	-0.33866462125696	3.47074031659002	-5.17135412159688	8.17691539430079e-07	0.000152673670116313	5.52774607517637
ENSG00000101474.11	-0.955263540269516	6.92167690671808	-5.17438839398221	8.07960098634275e-07	0.000152673670116313	5.49495609392352
ENSG00000130821.15	-0.976824317237312	5.5074756961126	-5.1749518146996	8.05928670366938e-07	0.000152673670116313	5.46888798235668
ENSG00000179886.5	-0.495322365751641	2.75639682649137	-5.15118807647946	8.94682466266624e-07	0.000161042843927992	5.46502952500798
ENSG00000111412.5	-0.405958878659378	4.19749354155904	-5.16535850794259	8.39881451942768e-07	0.000153677482198454	5.46254372870615
ENSG00000179195.15	-0.446814197908724	6.96640030517567	-5.14874188211766	9.0448849089599e-07	0.000161494961197074	5.38062079373718
ENSG00000279029.1	2.12999792391161	-1.45886302088317	5.45666000576528	2.23854954872606e-07	7.80393634350953e-05	5.36090512199691
ENSG00000163485.16	-1.33976979697894	1.70201189411895	-5.11877623326176	1.03501754332555e-06	0.000174006718694314	5.33264729550431
ENSG00000117228.9	1.0807685139817	5.40638534437953	5.13653962908275	9.56464863594902e-07	0.00016806454031739	5.32899777774887
ENSG00000134508.12	-0.810339124082943	4.72840152337927	-5.13968822969702	9.43058762139306e-07	0.000167034567950114	5.32392322638138
ENSG00000178952.10	-0.36258573289643	6.7794700845103	-5.12855412071798	9.89509707683397e-07	0.000172118783084317	5.28912528313243
ENSG00000132274.15	0.551366501568297	6.16089184199596	5.12728087821512	9.95125206458971e-07	0.000172118783084317	5.26471186266168
ENSG00000210194.1	-1.29154679469031	-1.70489658502676	-5.2169425826337	6.66658966263998e-07	0.00013794233189799	5.24927093222822
ENSG00000120889.12	0.667042750343715	6.32223369382892	5.11972686761351	1.02908473558923e-06	0.000174006718694314	5.23339405933089
ENSG00000134463.14	-1.29995042069351	5.28379336568083	-5.11824987801918	1.03743843123981e-06	0.000174006718694314	5.2303595053651
ENSG00000185813.10	-0.810739287602367	5.04532049690225	-5.11638444890577	1.04606262659563e-06	0.000174134034231783	5.21984941362525
ENSG00000167291.15	-0.796762454462427	6.65405084373833	-5.10150865188109	1.1167172131648e-06	0.000181794993378447	5.1781873286215
ENSG00000138166.5	1.10893485971479	5.6329514751525	5.10232521486693	1.11334329244157e-06	0.000181794993378447	5.17638175078778
ENSG00000265194.1	0.834285408008813	0.63880469231886	5.12553848766542	1.00286011824195e-06	0.000172118783084317	5.15305376656798
ENSG00000143443.9	-0.437528731613234	2.40398785844087	-5.05897674600174	1.34639466048174e-06	0.000207008179049067	5.08886490348691
ENSG00000135976.17	0.572993560149945	3.56115072878102	5.05898649065163	1.34633683087618e-06	0.000207008179049067	5.07970219226758
ENSG00000151366.12	-0.54273328280702	5.78875129315781	-5.08174488409711	1.21766400622998e-06	0.000194098255394827	5.07451690401712
ENSG00000262905.1	1.61084539993664	-2.04678806861809	5.40269545195547	2.86914933365426e-07	7.97286602361664e-05	5.04280204815008
ENSG00000168936.10	-0.397010972065379	5.47481470216402	-5.07058543737189	1.27918810787177e-06	0.000201197989822508	5.02534828825418
ENSG00000112146.16	-0.374298762886399	6.09101849785798	-5.06885631966977	1.28898764324579e-06	0.000201197989822508	5.02288055154806
ENSG00000166816.13	-0.949321930579622	3.76336195765129	-5.05715933955091	1.35921313656198e-06	0.000207537785127464	5.01359634050068
ENSG00000101945.16	-0.597359149717626	2.51142277342925	-5.04110805218553	1.45660144904674e-06	0.00021512739271178	5.01322320872728
ENSG00000185947.14	0.634269383369005	3.5212988600278	5.04011986484437	1.46294554776932e-06	0.00021512739271178	5.00458471218685
ENSG00000251562.7	0.855366306446172	9.93049206193391	5.04465354963393	1.43405895503721e-06	0.00021512739271178	4.9990082320723
ENSG00000127081.13	0.479274096222207	2.41892610309527	5.03426257176212	1.50110410242137e-06	0.000215808083296163	4.98151326263845
