logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000263826.1	-1.72026194398119	-0.552828349099576	-11.971821973453	1.60660435054032e-25	3.48890200763335e-21	46.6624002821538
ENSG00000112319.17	2.19104295358234	0.00822312989902491	10.8908602208004	3.45005779910253e-22	3.74607275826553e-18	38.7487253462161
ENSG00000278970.1	0.526015393321421	4.6176041141499	10.6827864243853	1.48042436251949e-21	1.07162984854911e-17	38.3183249444751
ENSG00000198824.5	-0.741932633942382	4.05475846438057	-10.1069328583106	7.98571876655512e-20	3.07643636739423e-16	34.388253550603
ENSG00000172409.5	-0.968235199727179	2.65252767168574	-10.0978402868129	8.50000838292751e-20	3.07643636739423e-16	34.3470355688596
ENSG00000244694.7	2.73068308993798	-0.958116893920768	10.2483211644015	3.01868144395791e-20	1.63884215592475e-16	33.8538403990211
ENSG00000215251.3	-0.722803932532422	3.59781821668856	-9.86359090646636	4.21600284321624e-19	1.30792453918977e-15	32.7678476872403
ENSG00000247626.4	-1.30194026653859	1.95204392587623	-9.5988061269921	2.53673853330498e-18	5.75785024943118e-15	31.0134182554435
ENSG00000132467.3	-0.640333103955845	4.27329557904219	-9.59219878679087	2.65143223864025e-18	5.75785024943118e-15	30.9316546717946
ENSG00000174173.6	-0.70829046890495	3.48840451779654	-9.57265507102195	3.02464896665844e-18	5.97120699635952e-15	30.835759269793
ENSG00000265206.5	-2.44311777947623	-1.1439385461672	-9.53137365293602	4.01501093775513e-18	7.26583146035754e-15	30.2775755662021
ENSG00000210144.1	-2.87328875204278	-3.46927690956295	-9.60812046592449	2.38441922362296e-18	5.75785024943118e-15	30.0291171454952
ENSG00000182810.6	-1.05283719623735	2.35698654037573	-9.41710687446301	8.59638907898991e-18	1.33342275170961e-14	29.8274599051095
ENSG00000147889.17	1.3875938410134	0.277903785356109	9.43691014508456	7.52868176191956e-18	1.25763733186035e-14	29.6031979605442
ENSG00000131080.14	1.22074114897039	2.25670949619777	9.28044984818267	2.14039019819031e-17	2.69610328644584e-14	28.8891070848824
ENSG00000181092.9	-3.55553891954257	-0.824387788212284	-9.28146755642588	2.13720435385969e-17	2.69610328644584e-14	28.7816808486214
ENSG00000134962.6	-1.88737608738168	-1.58516444491264	-9.30208547990009	1.85319646764798e-17	2.68293429942956e-14	28.6790151910662
ENSG00000198492.15	-0.529049290676388	5.55381222172037	-9.24252523086776	2.75444029905076e-17	3.14818029127296e-14	28.5853817410354
ENSG00000269688.1	-1.93808617906834	-2.49832794607467	-9.13772204930019	5.51828715104693e-17	5.99175618860676e-14	27.3654227535428
ENSG00000210140.1	-2.33382922736742	-4.49813298105359	-9.27396744249959	2.23475129655669e-17	2.69610328644584e-14	27.2824838382109
ENSG00000062282.14	-1.65177052293246	0.808644073872791	-8.99556042222988	1.41330123027671e-16	1.33440215289953e-13	27.0596759889531
ENSG00000210194.1	-2.13742203587262	-2.07158399303045	-9.0266120083527	1.14897166224445e-16	1.18814612463336e-13	26.8499503186865
