logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	2.1397000281123	0.221544778216814	10.6617011830495	2.72306733831396e-23	6.23473497780364e-19	41.3981714781001
ENSG00000215417.12	-1.48298182016907	-1.16493196113157	-10.0018419041524	5.58995300008542e-21	6.39937819449779e-17	36.4359915082353
ENSG00000273203.1	1.20857370225963	0.0471904473126899	9.80787011369533	2.58143738629312e-20	1.97015301321891e-16	34.9879551591093
ENSG00000172409.5	-0.7403875278922	2.87901341537885	-9.49111836101072	3.02660708179571e-19	1.73242989361986e-15	33.0279209795656
ENSG00000176396.10	-0.452389603730285	3.30012373132812	-9.39638089190403	6.26251211149826e-19	2.86772954609728e-15	32.3148625426776
ENSG00000100764.13	-0.668898601142575	3.95135209339626	-9.1836217313081	3.1556192693375e-18	9.9354331887267e-15	30.7086048704907
ENSG00000177946.5	-0.76289424203646	0.8083667043283	-9.17097852484514	3.47150006594224e-18	9.9354331887267e-15	30.5530173810425
ENSG00000155034.18	-0.576619836219903	1.87072101301265	-9.15017644092626	4.06080249213274e-18	1.03306815399857e-14	30.4675645484632
ENSG00000244694.7	1.68297032352721	-1.56295851462736	9.24846663590319	1.93216587635219e-18	7.37314498415997e-15	30.3699537266016
ENSG00000166860.2	-0.564017470366206	3.21089433453389	-9.10392496258132	5.75013721923539e-18	1.31655141771614e-14	30.1455499534796
ENSG00000115760.13	-0.327564784922046	6.32301916125072	-9.05054871046223	8.57899303349208e-18	1.7856784044985e-14	29.6754311038067
ENSG00000123444.13	-0.549747763407036	2.1170738315994	-9.02438216517882	1.04325241843094e-17	1.8917513995009e-14	29.5590505623596
ENSG00000204574.12	-0.375747032521272	6.16740775265286	-9.00920876880524	1.16837636529399e-17	1.8917513995009e-14	29.3720970293507
ENSG00000124486.12	-0.503700098170458	6.84165196120558	-9.00490377930025	1.2065091889961e-17	1.8917513995009e-14	29.3411676239398
ENSG00000153827.13	-0.414193931386164	7.12618332185051	-8.97040432286172	1.56012165793268e-17	2.10120855764863e-14	29.0895938837286
ENSG00000004961.14	-0.487033567569788	3.9859778448357	-8.9419715256881	1.92733970911577e-17	2.45157610999526e-14	28.9349644938225
ENSG00000132467.3	-0.600938886867913	4.30688770807839	-8.89459632744543	2.73852134222208e-17	3.30006235007983e-14	28.5747606487526
ENSG00000185164.14	-0.702142562397303	2.67824195530341	-8.88041670373018	3.04144301191962e-17	3.48184396004559e-14	28.524294737359
ENSG00000214093.3	2.05105165920188	-3.35233925370482	9.00130240160076	1.23935495250321e-17	1.8917513995009e-14	28.1959364776121
ENSG00000004846.16	2.15140731301081	-3.42948014578541	8.98003120227922	1.45223153083907e-17	2.07814332063071e-14	28.0232812139383
ENSG00000166411.13	-0.630567284572198	4.26130124777654	-8.81527671378702	4.91827408059648e-17	5.11858197042441e-14	28.0017073552049
ENSG00000169564.6	-0.550196712159899	6.24038519563237	-8.82075173194157	4.72395372654205e-17	5.11858197042441e-14	27.9988371543132
ENSG00000263001.5	-0.719277213675071	4.43654675961799	-8.76819287419567	6.95165661534074e-17	6.9202230376018e-14	27.6537112548609
ENSG00000047315.15	-0.456117592876255	6.0643405258168	-8.68694409989233	1.25954759898541e-16	1.20160840943208e-13	27.0358181045125
ENSG00000124659.6	-0.499363792769448	3.87825676566903	-8.64851167227369	1.66641804441613e-16	1.42762460717925e-13	26.8256768818576
ENSG00000169021.5	-0.46165584582594	5.89019522093794	-8.65046502363444	1.64290849960593e-16	1.42762460717925e-13	26.775859311922
ENSG00000170468.7	-0.570258606887873	2.73319649610108	-8.6271052502956	1.94692032021556e-16	1.55224241612036e-13	26.7131036434419
ENSG00000198841.3	-0.591746156079038	2.29439167567267	-8.60991606914674	2.2055885250214e-16	1.61417818856858e-13	26.5935004624878
ENSG00000134001.12	-0.460098684717989	5.77231398023976	-8.6169768967806	2.09545690946803e-16	1.599252713306e-13	26.5379400167297
ENSG00000086758.15	-0.365159120952314	7.77412690814269	-8.60679885950551	2.25601423978837e-16	1.61417818856858e-13	26.4697913660951
ENSG00000122692.8	-0.260303635486667	5.75782195685292	-8.57963540883495	2.74659317606475e-16	1.90563628361147e-13	26.2730194735552
ENSG00000103035.10	-0.532740865015043	4.97763188289246	-8.56712717113588	3.00666786157273e-16	2.02472551054615e-13	26.1988913834815
ENSG00000272402.1	0.837778123532729	-1.71278299150027	8.62575766911211	1.96606525452002e-16	1.55224241612036e-13	26.0956704298355
ENSG00000141367.11	-0.451934835742277	7.66830733511274	-8.55285933386806	3.33318204643088e-16	2.18047246100232e-13	26.0859208277747
ENSG00000227253.3	1.59800146609943	-2.26713863793119	8.6471078106954	1.68351958393779e-16	1.42762460717925e-13	26.0637594133366
ENSG00000213762.11	-0.399260119340371	4.20122317426408	-8.53680023482027	3.74279872589307e-16	2.24433899597255e-13	26.0187221913905
ENSG00000102466.15	0.993745890387539	1.1888218252253	8.53801528006609	3.71013764623028e-16	2.24433899597255e-13	26.012556338309
ENSG00000210194.1	-1.69452022467924	-1.85131040600353	-8.54121156518651	3.62556046749468e-16	2.24433899597255e-13	25.7603294129149
ENSG00000153201.15	-0.383523196676273	6.65400331739747	-8.48243109418238	5.53560778589806e-16	3.0819906571187e-13	25.581352062033
ENSG00000126581.12	-0.63006778403502	5.19369824602779	-8.47621927008534	5.78815506010238e-16	3.0819906571187e-13	25.5493395486353
ENSG00000143799.12	-0.445943479784817	6.41566392956534	-8.47744003059192	5.73764000219465e-16	3.0819906571187e-13	25.5459486481339
ENSG00000166189.7	-0.672090506666734	3.70294277468119	-8.45376013855717	6.80008365297531e-16	3.53851625723915e-13	25.4540577486307
ENSG00000206195.10	1.56713148508478	-2.1660412516223	8.53386403932607	3.8229044742719e-16	2.24433899597255e-13	25.3269465879746
ENSG00000230333.6	1.16538919333715	-1.00835321574334	8.48820611400423	5.31061301067621e-16	3.03979488731106e-13	25.3028649830342
ENSG00000278318.4	-0.53612235165361	2.13247342778099	-8.42201267217895	8.53536658482709e-16	4.34279451836002e-13	25.2762473823607
ENSG00000156709.13	-0.371079341370789	4.69885415328612	-8.41420943931597	9.02499125790964e-16	4.49209130089346e-13	25.1327679884465
ENSG00000146676.8	-0.270805514383053	6.12776248632692	-8.40285057645545	9.78776529673307e-16	4.76809945178724e-13	25.0222810948588
ENSG00000198824.5	-0.495640227389627	3.81170838882568	-8.38275749840102	1.12963781245459e-15	5.38837236540839e-13	24.9550406175123
ENSG00000131236.16	-0.454597175418309	8.31731694432487	-8.363106717967	1.29936326629461e-15	5.95004426901627e-13	24.7583655143092
ENSG00000164056.10	1.03805052863209	6.33877722881662	8.3566466579903	1.36158255940921e-15	6.11270476083006e-13	24.7038279324558
ENSG00000124688.13	-0.453606810589799	3.45786044122875	-8.33660428312821	1.56881096805815e-15	6.7772633820112e-13	24.6530331220144
ENSG00000204859.12	0.390295652131795	4.29620664212414	8.33798342813345	1.55351688210862e-15	6.7772633820112e-13	24.638131047214
ENSG00000171421.12	-0.368657132516899	3.77458872791637	-8.31953028095308	1.77094670940332e-15	7.50881404787008e-13	24.5196622135617
ENSG00000170881.4	-0.361220854141494	4.69375142390268	-8.30775131970633	1.925200141251e-15	8.01443316983325e-13	24.3903612355852
ENSG00000091140.13	-0.534242488218003	6.30295881685343	-8.29916216906367	2.04598669093599e-15	8.3651627277983e-13	24.2981249273574
ENSG00000268707.1	1.64578319931732	-2.45146511525564	8.37903740274577	1.15999144865576e-15	5.42023759355557e-13	24.2364422333323
ENSG00000131845.14	-0.370347355235018	3.7114757236744	-8.22867077203286	3.3659661971353e-15	1.30622308558661e-12	23.8953726853187
ENSG00000177613.8	-0.560426253438977	4.60046039988594	-8.23408697859349	3.23996702412288e-15	1.27900491352271e-12	23.8811209631566
ENSG00000111642.14	-0.31385979497068	7.44006651442276	-8.20721804141911	3.91441426923282e-15	1.49374048513924e-12	23.6658184751233
ENSG00000007202.14	-0.344707761862906	6.57585998184826	-8.19736296144976	4.19512415528585e-15	1.57461578130205e-12	23.5934698640439
ENSG00000177688.6	1.51468420064667	-2.06400302498641	8.2627321435985	2.64722176077342e-15	1.06334718306436e-12	23.5508331893683
ENSG00000079785.14	-0.389120194942622	6.37033994786006	-8.17935099623353	4.76053854205477e-15	1.758020813853e-12	23.4693983429103
ENSG00000115816.14	-0.475091035154816	4.39741665681978	-8.16788020971343	5.15922152672864e-15	1.84571150118717e-12	23.4364148490338
