logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000164089.8	-3.02496219798064	1.33687944785881	-10.5725121770583	5.17465069928062e-22	1.0343609282792e-17	38.9922894928238
ENSG00000151136.14	-1.43263629015327	-0.833598915471884	-7.84820952527309	1.05721152963912e-13	7.04420042198548e-10	19.8885957564838
ENSG00000150893.10	-2.29653070759217	-3.45522949963857	-7.88738269080953	8.20447094756703e-14	7.04420042198548e-10	18.9097958840494
ENSG00000131080.14	1.92753406996384	1.55776932351069	7.69181652899467	2.88740100131197e-13	1.44290646538063e-09	18.7742612517057
ENSG00000248713.1	-2.94048243013527	1.25946384644367	-7.27485550367603	3.96402433541607e-12	1.32061470734386e-08	17.112628758848
ENSG00000074211.13	-1.55037406816677	1.07576194126015	-7.09624019306615	1.1825135330604e-11	3.37675185890632e-08	16.0045660536964
ENSG00000244694.7	2.65249359501151	-0.888281430720289	7.5996758650632	5.18926056323155e-13	2.07456258796871e-09	15.9393413246149
ENSG00000172974.11	-1.31441522447405	-0.171588371067407	-6.9466608167838	2.91153960720955e-11	7.12279035530494e-08	14.9305730580866
ENSG00000183506.17	0.785725909982196	2.62297209894278	6.75178968747946	9.25361303006465e-11	1.84970470857962e-07	14.0173219926285
ENSG00000175606.10	-0.998583134107135	3.97555478399868	-6.63293604123632	1.85418250203337e-10	3.36938673028592e-07	13.431854325054
ENSG00000117528.11	-0.862863491452787	5.16281696507576	-6.50575684811122	3.86059783740423e-10	5.93611462860562e-07	12.732266994453
ENSG00000023909.9	-0.831244442972847	2.82966767762305	-6.48106433877767	4.44683736223619e-10	6.11507887884281e-07	12.598206386347
ENSG00000244681.1	2.37817308765763	-1.22278162986484	6.93050963416388	3.20701952062357e-11	7.12279035530494e-08	12.5940373016944
ENSG00000106526.10	-1.01590639611066	-0.694373177334325	-6.54514941257422	3.07877543934742e-10	5.12847018809297e-07	12.5707879798555
ENSG00000171476.21	-1.99782906426256	3.5443562959477	-6.47573703484191	4.58883301729162e-10	6.11507887884281e-07	12.5655964597817
ENSG00000137040.9	-1.00453815744342	3.91333741366941	-6.43802795100781	5.68852130307218e-10	7.10674077044436e-07	12.3572969060028
ENSG00000148459.15	-0.700042939811096	0.892358470187953	-6.42194666171075	6.22866729586102e-10	7.32381356335093e-07	12.1760583183117
ENSG00000104643.9	-0.528033490449285	3.8315269100552	-6.320143971771	1.10723390304708e-09	1.22827251009958e-06	11.7202972194683
ENSG00000170185.9	-0.745700625971142	3.75091684519112	-6.31070803501717	1.16750101015018e-09	1.22827251009958e-06	11.6691910202016
ENSG00000101558.13	-0.581948422703084	6.35010110065111	-6.23872748357797	1.74605792814639e-09	1.74509759628591e-06	11.2948146596022
ENSG00000173209.22	0.728042748811355	5.92162317442541	6.18776676356011	2.31722438860521e-09	2.20566658589665e-06	11.0142842645578
ENSG00000164654.15	-0.567954232406045	3.5725308420924	-6.16433365041038	2.63783829380022e-09	2.29251085455533e-06	10.8919456416165
