logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000164161.9	-3.04787031254941	2.55520174353967	-8.28717823493685	4.17938168010516e-14	9.28031702067351e-10	21.5866127623811
ENSG00000171124.12	-3.25250882319494	0.461169564810057	-8.12093352583942	1.11053431619103e-13	1.23297072455109e-09	20.6151094645848
ENSG00000156398.12	-1.22002339848207	2.84180869005525	-7.86649956086519	4.84079106270154e-13	2.68724413868219e-09	19.2140815069504
ENSG00000155622.6	-2.81823207102506	-1.99365449233215	-7.94105464228762	3.14499821208242e-13	2.32782284330967e-09	19.212097880787
ENSG00000159387.7	-3.29326808573856	-0.340737087492075	-7.74305078112841	9.93826085187574e-13	3.78795849541666e-09	18.4494778891664
ENSG00000153093.18	-2.10094587450281	1.64352804560238	-7.72647174140402	1.09132169107971e-12	3.78795849541666e-09	18.425573846914
ENSG00000058335.15	-2.70759292986525	1.94311381299079	-7.71104305950948	1.1941323786497e-12	3.78795849541666e-09	18.3375021889173
ENSG00000137843.11	-1.79791310260456	1.23433661616779	-7.68376759013632	1.38554364565891e-12	3.84574958148201e-09	18.175205565496
ENSG00000248890.1	-1.86823060114054	1.20403571456345	-7.62576226509502	1.9318933161031e-12	4.76641012045215e-09	17.8566331782447
ENSG00000119457.7	-2.70089186358341	0.509607123922857	-7.56671445767302	2.7216305119538e-12	6.04338055179341e-09	17.522440366087
ENSG00000174567.7	-2.55894690714583	0.0961915273529084	-7.53175553319796	3.31445402221674e-12	6.69067741484751e-09	17.2993798040712
ENSG00000085831.15	-2.06254735986183	2.29474600034168	-7.43320943933802	5.79536232529273e-12	1.07238350360938e-08	16.8069989725459
ENSG00000047936.10	-3.34121781171922	3.44133123213016	-7.39326989735352	7.25708555531576e-12	1.23956603658297e-08	16.5460966569327
ENSG00000001626.14	-2.23938589708371	1.88579318908105	-7.37967165109914	7.83365692432345e-12	1.24247394289002e-08	16.5212430481846
ENSG00000117399.13	-1.8857472717081	0.809816308893962	-7.35691783065154	8.84864403556854e-12	1.30989427206533e-08	16.3789383555637
ENSG00000163900.10	-0.786247369853459	4.26277343386309	-7.32681354800232	1.0470073880985e-11	1.45304994079545e-08	16.190897261222
ENSG00000134057.14	-1.56522601521193	1.55018608236817	-7.28034325695332	1.35792506409071e-11	1.72058800441398e-08	15.9885705424871
ENSG00000168481.8	-3.20957399454219	1.41569470197781	-7.27256485837524	1.42719682109222e-11	1.72058800441398e-08	15.937821208887
ENSG00000088926.13	-3.10206310146588	-1.38055917219635	-7.26681965199512	1.47224373266677e-11	1.72058800441398e-08	15.7631970889124
ENSG00000158467.16	-1.34724735132667	5.61163276763165	-7.18904193393884	2.26906959476236e-11	2.51923451758491e-08	15.4111849646503
ENSG00000175707.8	-1.42948275665879	1.66831514205644	-7.16575927301644	2.56955580585444e-11	2.71699936519037e-08	15.3763792862348
ENSG00000144285.17	-3.4761372192435	0.735906901759265	-7.15664309087583	2.71896000843286e-11	2.7442957721478e-08	15.3237298519126
ENSG00000186472.19	-1.39135101517147	1.52868538519428	-7.12135674762105	3.28564752967467e-11	3.17207840854026e-08	15.1366109971851
ENSG00000095713.13	-2.7685367867402	3.01111251002002	-7.11254673567664	3.46986641073808e-11	3.20181231805533e-08	15.033798393544
ENSG00000146477.5	-2.03797816395748	3.20906857835039	-7.1056346759541	3.60483260307963e-11	3.20181231805533e-08	15.0006153884296
ENSG00000152128.13	-2.24191272495029	2.26886533984154	-7.06755887334524	4.4466603774616e-11	3.79761898775134e-08	14.8304897210988
ENSG00000156510.12	-2.93598306733311	-0.140054972212059	-7.05121025053933	4.86515423866286e-11	3.85824106676818e-08	14.7399826944925
ENSG00000268104.2	-3.08870809808988	2.65573253942362	-7.0519019971927	4.84668383137294e-11	3.85824106676818e-08	14.716450951513
ENSG00000120053.10	-0.901335757531734	4.32877012705011	-7.03061934727313	5.41726154711215e-11	4.14794112598708e-08	14.585646398938
ENSG00000014257.15	-1.68049482881578	1.22400750009554	-6.98378771572063	7.00357231720325e-11	4.98967710457527e-08	14.4103163618568
ENSG00000181031.15	-1.05271187866974	3.73555355000606	-6.99068950840547	6.7438030087711e-11	4.98967710457527e-08	14.394321752694
ENSG00000150893.10	-2.5242973164971	1.48265177304123	-6.97305635795051	7.46814729967649e-11	4.98967710457527e-08	14.3471331195388
ENSG00000188959.9	-2.06159137489168	1.80698386740526	-6.96963129095722	7.6027834077352e-11	4.98967710457527e-08	14.3300884126771
ENSG00000128311.13	-1.3193687346161	3.58704893045594	-6.96838478113298	7.64012706847824e-11	4.98967710457527e-08	14.2723934760175
ENSG00000177191.2	-1.41485075918412	2.63293333585755	-6.94978800809315	8.44091732832363e-11	5.20640470209517e-08	14.2172594231851
ENSG00000087586.17	-1.30449202367393	1.11648728956553	-6.93172487346349	9.30849477066435e-11	5.58635476709735e-08	14.1272295978227
ENSG00000121211.7	-2.12176051452397	-2.05858393182542	-6.9569238671551	8.11209891122664e-11	5.14654732353679e-08	13.9619629623984
ENSG00000173930.8	-2.29478070604896	2.03255621068313	-6.89744180375682	1.12795000655516e-10	6.59108681462037e-08	13.9375136843486
ENSG00000174669.11	-1.22002545178814	3.00322500837365	-6.84298470768767	1.5080020686971e-10	8.43283397197411e-08	13.6455968423395
ENSG00000261634.3	-2.41391922031446	-0.99769113395297	-6.8331586474525	1.59504177808112e-10	8.43283397197411e-08	13.5226215724123
ENSG00000167912.5	-1.21185816134809	-0.446157941088717	-6.83442984294864	1.57952894868939e-10	8.43283397197411e-08	13.5051152693413
ENSG00000228278.3	-2.24262700762726	-0.585328023459206	-6.80128743882833	1.89434935060966e-10	9.78233193727619e-08	13.3882698201026
ENSG00000081479.12	-2.65811603330843	2.12215075356228	-6.78318428839356	2.09406907482382e-10	9.9874683242727e-08	13.32586194109
ENSG00000167105.7	-2.10675697092632	0.0900127447408247	-6.77891795000887	2.13751759897125e-10	9.9874683242727e-08	13.3151730909427
ENSG00000170549.3	-1.6279947720707	0.89037567759635	-6.76885921022872	2.2508816864388e-10	1.02001689484436e-07	13.2857150390574
ENSG00000243989.8	-0.844869402870392	3.66205526956687	-6.77659460578505	2.15896635696955e-10	9.9874683242727e-08	13.276705037295
ENSG00000146476.10	-0.897861231538207	3.94838605147324	-6.77836168203993	2.1384940404158e-10	9.9874683242727e-08	13.2682494210083
ENSG00000181577.15	-2.4199527948524	1.29449231428371	-6.76417255876379	2.31993686681469e-10	1.0302839625524e-07	13.2612505033808
ENSG00000181392.14	-1.13318126640049	1.55696195614484	-6.72343345754563	2.87386253873146e-10	1.22433315457705e-07	13.05873408933
ENSG00000143839.14	-2.66544941493401	-3.56414013573456	-6.83362493229472	1.58642851289252e-10	8.43283397197411e-08	13.0414373534355
ENSG00000155897.9	-2.83249810994974	-2.81558179903167	-6.77797123208423	2.14516057898258e-10	9.9874683242727e-08	13.0080575381356
ENSG00000160446.18	-1.03597738997489	3.74253792731276	-6.7270385229075	2.81876143246934e-10	1.22433315457705e-07	13.006125745904
ENSG00000136014.11	-1.28990511117576	1.66195555830829	-6.68487700243789	3.53377055549741e-10	1.45309954045963e-07	12.8619615316699
ENSG00000065621.14	-1.0733328830086	2.05610671174439	-6.66538690618138	3.92205858765956e-10	1.55516626676751e-07	12.7599654232637
ENSG00000103876.11	-0.995946356246569	4.31609332607961	-6.6723187405208	3.77936953591839e-10	1.52583455536487e-07	12.6955032357212
ENSG00000179627.9	-1.22174880104452	2.73697944498008	-6.6563156089327	4.11682988173879e-10	1.60375802673702e-07	12.6860865044581
ENSG00000168032.8	-1.55850793225062	0.450357713888626	-6.64736534723842	4.31833171834992e-10	1.60614624799109e-07	12.6489701152038
ENSG00000182134.15	-0.891644254711504	2.36293902439452	-6.6363561455789	4.57954993682743e-10	1.64014365076214e-07	12.607969309834
ENSG00000215915.9	-1.19944542140559	1.79140873863805	-6.62118053718637	4.96530176989694e-10	1.71740911056521e-07	12.5358162569186
ENSG00000184454.6	-2.37327397004982	0.262308826649751	-6.61456350445631	5.16392211085202e-10	1.71890687142666e-07	12.4921988585908
ENSG00000186193.8	-1.74202025239092	-0.582582606892947	-6.61884972559073	5.02731781971352e-10	1.71740911056521e-07	12.4447519677543
ENSG00000124134.8	-2.46656491406764	-2.17797963650089	-6.64607624275581	4.34881746290178e-10	1.60614624799109e-07	12.4379486107097
ENSG00000159166.13	-2.05892092364246	2.79000209030312	-6.6138598350749	5.18652377327567e-10	1.71890687142666e-07	12.4329638422092
ENSG00000143248.12	1.60461321788837	7.42236918718301	6.62267282426666	4.94886395098387e-10	1.71740911056521e-07	12.4088990506775
ENSG00000180543.4	-0.844162780541484	3.44094594112452	-6.60179338760007	5.50494887985231e-10	1.79760867466354e-07	12.3824327831156
ENSG00000129354.11	-1.37745633129989	3.40551438421637	-6.59892471132173	5.60995911935052e-10	1.80534988761128e-07	12.3454284543303
ENSG00000222713.1	-2.55862345220953	-3.97860958578878	-6.72032023043064	2.92229935566691e-10	1.22433315457705e-07	12.3220444203904
ENSG00000171224.8	-0.938397807325053	1.28470001266904	-6.57887490495865	6.21772756532273e-10	1.89129644641084e-07	12.3151990317536
ENSG00000180772.6	-3.23726341791488	-1.06229247177241	-6.58671045258846	5.99155909751235e-10	1.87383901070791e-07	12.3116161284351
ENSG00000138769.10	-1.70011361750931	1.04022153403085	-6.56580073441716	6.66904440391894e-10	1.94850172353974e-07	12.2535962451592
ENSG00000174099.10	0.71745720887316	6.71157199622462	6.59127790299352	5.82139771195906e-10	1.84663051705787e-07	12.249274569688
ENSG00000100285.9	-1.27592070401572	-0.52541057089219	-6.58221097725436	6.10858635008247e-10	1.88390499866085e-07	12.2367447907364
ENSG00000124688.13	-0.661109796290679	3.19764491987009	-6.56623067060913	6.64909629045212e-10	1.94850172353974e-07	12.2217462467313
ENSG00000104413.15	-1.38157174226941	4.01418070527094	-6.5621634056935	6.81835754286561e-10	1.96625492518611e-07	12.1261313727173
ENSG00000134690.10	-1.33254110200662	0.991870872538808	-6.52462552272678	8.28709994003441e-10	2.28056087716189e-07	12.0419849211771
ENSG00000206043.6	-2.98938063561182	-4.16524220766418	-6.64333164359502	4.41229097624213e-10	1.60614624799109e-07	11.9905147963291
ENSG00000103089.8	-1.66750318367314	0.188478561488807	-6.51508810669514	8.71525928952881e-10	2.36002844541448e-07	11.9752696725213
ENSG00000271736.1	-2.33989810974105	-2.74125127354999	-6.57438151110081	6.36777093378541e-10	1.91076153492844e-07	11.9586981097288
ENSG00000262558.1	-1.98213894280998	-3.63892429282606	-6.64418464289058	4.39225517305774e-10	1.60614624799109e-07	11.9543767950248
ENSG00000163251.3	-1.22700302578258	4.44480662531545	-6.52858990239092	8.14385914385246e-10	2.28056087716189e-07	11.9406555715673
ENSG00000105707.13	-1.51822115316362	3.3261691551559	-6.51025570160724	8.9721425821532e-10	2.38720642534194e-07	11.8909640352923
ENSG00000170899.10	-1.10718101758053	4.57736146432072	-6.50775470095849	9.07879615971037e-10	2.38720642534194e-07	11.832584121558
ENSG00000100304.12	-0.797636121953725	4.58546348099407	-6.50611045267141	9.13814664057937e-10	2.38720642534194e-07	11.8319936830023
ENSG00000131771.13	-1.78560505253146	2.35867329479128	-6.4881880441659	1.00803686388353e-09	2.57281132902686e-07	11.8228767592825
