logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000116329.10	-2.87805773599143	-1.51894152464029	-12.7802341336663	3.49621898379227e-29	6.61834253631877e-25	54.5201358873231
ENSG00000159212.12	-2.01194291039797	0.207495413282423	-11.8531827527888	4.56255869594055e-26	4.31846180570773e-22	48.1517470140366
ENSG00000124635.8	-1.63786952002838	-0.583220011050131	-11.1130277335838	1.25267842291946e-23	7.90440084862182e-20	42.4545690244333
ENSG00000082397.17	1.26222279960037	3.84298948644088	10.9459552256831	4.39200953893101e-23	2.0785185142991e-19	41.6996163183055
ENSG00000154144.12	-0.633775741497145	4.30127034988249	-10.1426925737471	1.66000002067905e-20	6.28476007829087e-17	35.92015562357
ENSG00000005020.12	0.946200959788339	3.15264465818222	10.0302820188348	3.75573148223997e-20	1.18493328264671e-16	35.0826648786455
ENSG00000213341.10	-0.728004476589842	4.23852531147082	-9.88160834284158	1.09938718250912e-19	2.60142492061221e-16	34.0659518294
ENSG00000280010.1	-1.32595065953286	-0.0476890225609471	-9.90267848276395	9.445436766911e-20	2.55431597139464e-16	33.9821698374208
ENSG00000122696.13	-0.658974273090862	2.42564711367749	-9.77359730139056	2.38878109290267e-19	4.52196260886475e-16	33.2919612062778
ENSG00000147231.13	1.6533655189682	1.21635325451363	9.79546537390783	2.04206691625714e-19	4.29514741386084e-16	33.0997139920743
ENSG00000070882.12	-1.49381820242292	2.5064459928272	-9.59436435478516	8.745909378687e-19	1.50509149580495e-15	32.0346874562397
ENSG00000280323.1	-1.62262337005255	3.53228430613431	-9.52773742495254	1.42283730856156e-18	2.24452585425586e-15	31.5579466582765
ENSG00000150776.17	-0.453626538065703	4.36995876639864	-9.39479986051356	3.52506597550946e-18	5.13303837818416e-15	30.6663976259632
ENSG00000173253.15	-1.18256617222148	0.698446505251345	-9.36423385533025	4.3709923824067e-18	5.91020612849706e-15	30.3804179623294
ENSG00000108010.11	-0.507478781273245	4.70522885652226	-9.3502255487081	4.82329335570278e-18	6.0869962148969e-15	30.3581692544592
ENSG00000092020.10	-0.53817240364115	3.90003786993599	-9.30504002218836	6.62337924407289e-18	7.83628556814374e-15	30.0508150061171
ENSG00000181915.4	-0.692930194124473	3.71272705982017	-9.27796342537762	8.00692189415715e-18	8.91594302684676e-15	29.865764483036
ENSG00000183665.5	-0.587991106703605	2.82425668966546	-9.25041219726129	9.70911547845491e-18	9.82592383406382e-15	29.6808992258346
ENSG00000154813.9	-0.822697491125584	4.89306269485941	-9.24674697469828	9.96110551804962e-18	9.82592383406382e-15	29.6477753472315
ENSG00000281969.1	-1.51512919568617	-1.03694157875082	-9.24083484867448	1.03813247058255e-17	9.82592383406382e-15	29.2901662767595
ENSG00000242689.2	-1.30876405649586	0.755796648596602	-9.16358150247571	1.77926172737302e-17	1.60387735710339e-14	29.0311135872091
ENSG00000235560.3	-1.10969111780484	-0.39807773914651	-9.01597667637335	4.95075853782814e-17	4.25990268732212e-14	27.8841922299801
ENSG00000011007.12	-0.588189853256184	5.13229478981739	-8.89056093758637	1.17355348777151e-16	9.25351345786737e-14	27.2316679530536
ENSG00000139233.6	-0.53979277609482	3.76031500870891	-8.88465281769086	1.22206992312036e-16	9.25351345786737e-14	27.1984269777231
ENSG00000000457.13	-0.471975760051933	3.02083030093299	-8.86905761740347	1.35990070590948e-16	9.90112321648712e-14	27.1028459282957
ENSG00000228526.6	1.89249748613567	0.530633244455819	8.90528712900451	1.06095017656773e-16	8.73208123583791e-14	26.9179414499921
ENSG00000106636.7	-0.491796546924056	5.62040033597941	-8.8335277711148	1.73416532181779e-16	1.21584257563003e-13	26.8512976367151
ENSG00000141034.9	-0.810123383211138	4.97568460446747	-8.81612443181583	1.95312304923297e-16	1.32045069007072e-13	26.7330532470392
ENSG00000155729.12	-0.500184264166648	3.2402298316948	-8.81021904675648	2.03348198747966e-16	1.32737289734448e-13	26.7074360534922
ENSG00000100139.13	-0.606077406782124	3.92411245946354	-8.7448053149867	3.17546090670542e-16	1.87848359262293e-13	26.2616414339603
ENSG00000179562.2	-0.746467417459082	3.14586550467794	-8.73838816295233	3.31708175751053e-16	1.90279871726286e-13	26.2286198568489
ENSG00000163071.10	1.55106469815167	0.325827829565143	8.79238708265838	2.29657059295042e-16	1.40238972014682e-13	26.196088776928
ENSG00000129204.16	2.01988193197095	5.57897984761498	8.7337812150823	3.51508460542815e-16	1.95707504649279e-13	26.1665907005641
ENSG00000111726.12	-0.462064442042774	4.79107359276247	-8.70566560897124	4.14259656333337e-16	2.18694894092019e-13	25.9961436509756
ENSG00000148468.16	-0.937176060405468	2.43671181198268	-8.68824971891623	4.66192782090296e-16	2.32237614867613e-13	25.9027469849357
ENSG00000003137.8	2.35926470933077	2.59703651281664	8.70043846785649	4.40454730147263e-16	2.25346163288856e-13	25.8889684880432
ENSG00000164077.13	-0.789231274782568	3.32047468452173	-8.67197802351483	5.20523928819601e-16	2.52654306988591e-13	25.785465997851
ENSG00000136643.11	-0.500138153715028	3.97868336438835	-8.66692976000736	5.38622447415938e-16	2.54903073239593e-13	25.7447072331186
ENSG00000131080.14	2.88410044387601	1.05376271072674	8.70808703918547	4.15901541854869e-16	2.18694894092019e-13	25.5621348298835
ENSG00000100522.8	-0.733817199781098	2.43063820829237	-8.60258354478892	8.3194101281768e-16	3.7496769934854e-13	25.3388946196497
ENSG00000164989.16	1.07980015390084	0.742571952236264	8.62511221071546	7.14613135520403e-16	3.29942113546371e-13	25.2937038226011
ENSG00000137692.11	-0.54608236445153	3.91935345886162	-8.58024087042485	9.67118934012757e-16	4.25757242345616e-13	25.1726376817837
ENSG00000274750.2	-1.62444791761292	-0.0026289721380531	-8.57022027932739	1.04077291543434e-15	4.47768892935728e-13	25.0536747186949
ENSG00000133226.16	0.437040080134441	6.5681420252771	8.56023369164973	1.10651319164219e-15	4.59963979358917e-13	25.0404586653573
ENSG00000124356.15	-0.53452814599827	4.83789027864689	-8.55873603564562	1.11771489965717e-15	4.59963979358917e-13	25.0246839844968
ENSG00000146122.16	-1.40451924651718	5.78429232856749	-8.55526630585339	1.16689280676999e-15	4.6998469855651e-13	24.9931817765435
