logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000131080.14	1.44464010386578	3.07453825057879	11.7766111656402	1.45641080076732e-24	3.14133245617502e-20	44.9009444086421
ENSG00000163812.13	-0.453131495550768	6.48325299599498	-10.7596532746268	1.61074519074371e-21	1.06519027672965e-17	38.230221979132
ENSG00000181234.9	-1.48682419970266	3.76479800974654	-10.7446870526112	1.82114764323607e-21	1.06519027672965e-17	38.1332327199166
ENSG00000151883.17	0.73233843751037	4.8669726570196	10.7297385155867	1.97540966522259e-21	1.06519027672965e-17	38.0553265423135
ENSG00000162734.12	-0.768316422068743	8.28656639861583	-10.6217033569672	4.12318065782699e-21	1.77865767217341e-17	37.3255237316126
ENSG00000176871.8	-0.567179442979389	5.51519075663877	-10.5818775842604	5.4054801235744e-21	1.9431800130896e-17	37.0348021182394
ENSG00000160179.18	-0.991106306165489	4.10854056412476	-10.3648035931306	2.36347626007311e-20	7.28254563621669e-17	35.605838650602
ENSG00000175048.16	-0.647092189316212	4.1839768266072	-10.0882292477384	1.51542732135084e-19	4.08578148677704e-16	33.7793657516311
ENSG00000128710.5	1.94414404401967	2.06975254545812	9.97440868875168	3.26233176310325e-19	7.81835931093043e-16	32.7064193923762
ENSG00000186088.15	0.695533447580082	4.89880094032499	9.90766295956211	5.070145336364e-19	1.09357964760035e-15	32.5954498741086
ENSG00000134575.9	-0.429408450425607	5.10828234685063	-9.60325560030091	3.82252783663404e-18	7.00079111691888e-15	30.5726447678883
ENSG00000066322.14	-0.473056579516308	6.43592882372102	-9.60041370161531	3.89491832736922e-18	7.00079111691888e-15	30.5441526158244
ENSG00000163235.15	-1.53628378731249	3.29711001026148	-9.55970000918977	5.16942152688805e-18	8.57686560872679e-15	30.3237088031071
ENSG00000160678.11	-1.14643649842257	1.80594904142444	-9.51876476296417	6.67162314610887e-18	1.02785885456016e-14	30.058047393895
ENSG00000160877.5	-0.665455013509167	4.89907568646613	-9.452205309722	1.03336723865283e-17	1.48591319803352e-14	29.5956004628263
ENSG00000178163.7	-0.626171562094574	3.56798343643158	-9.38795198691664	1.57487550790911e-17	2.12303061438073e-14	29.2370025440534
ENSG00000070759.16	-0.672880659379178	3.93788077668157	-9.3612478501179	1.87571681361044e-17	2.37984329133903e-14	29.0496160063191
ENSG00000128872.9	1.07618286879629	8.27416597841356	9.33272444992876	2.28619160436168e-17	2.73949259524872e-14	28.8160159389131
ENSG00000181856.14	-1.26175045336838	2.70538309561267	-9.31886427540292	2.49881720148132e-17	2.78041253947185e-14	28.7956733579864
ENSG00000158856.17	-0.917298113322973	3.83551166497945	-9.3129948808774	2.57815618663067e-17	2.78041253947185e-14	28.7359142017483
ENSG00000022840.15	-0.354356705466624	7.69298949432466	-9.27596356050182	3.27421780768592e-17	3.36293351876084e-14	28.4674571299751
ENSG00000228526.6	0.862572554174057	4.38684007789558	9.25217756791475	3.82331625189272e-17	3.7484140107761e-14	28.3709469340496
ENSG00000147852.15	-1.0236316517587	4.12400572057234	-9.09287608307961	1.08708348170856e-16	9.67489297703511e-14	27.3048507050359
ENSG00000240849.10	-0.583127176004763	5.79862880985081	-9.09132094783441	1.08662955099264e-16	9.67489297703511e-14	27.2615714329062
ENSG00000182667.14	1.30372352072603	5.28594594244153	9.04474592287325	1.48652326892635e-16	1.23318539951817e-13	27.0137577105706
ENSG00000197535.14	0.580508563131837	6.40893170619436	9.02788824257699	1.6373213244447e-16	1.30797717210918e-13	26.858650355602
ENSG00000147889.17	1.97925447149495	0.92109821616782	9.08645531055689	1.12138868017005e-16	9.67489297703511e-14	26.765947017352
ENSG00000167930.15	-0.620443881493364	7.18390019720775	-8.99740899312408	1.99303445165145e-16	1.53527714598822e-13	26.6822238770706
ENSG00000170439.6	-1.54546325507927	2.4660689925451	-8.91321940994644	3.46601137053735e-16	2.57787583624552e-13	26.2254399834013
ENSG00000114270.17	1.15366445179345	5.54212113608844	8.83104917175904	5.86719955006916e-16	4.21832090318139e-13	25.6461122375976
ENSG00000012983.11	0.428909800705803	6.7879847988041	8.7746384069149	8.31850884959973e-16	5.78780378635538e-13	25.2581373021048
ENSG00000103647.12	0.708304164575697	5.40672035646189	8.74836245695553	9.83601661715475e-16	6.62978257548159e-13	25.1274855703979
ENSG00000230561.4	-1.29805170604427	0.291571796716888	-8.73254353104285	1.08789672339815e-15	7.11055891726509e-13	24.9927079142736
ENSG00000006007.11	-0.530433988601133	5.36504085756821	-8.71560266631639	1.2117799235003e-15	7.68731799117001e-13	24.8929035822621
ENSG00000146350.13	0.643963974550214	3.45374721100853	8.66339608937444	1.68856832917873e-15	1.04059229405874e-12	24.6836257141573
ENSG00000167705.11	-0.547480945806562	3.15400215851519	-8.63396726319382	2.03509152828231e-15	1.18634835604111e-12	24.4914128802558
ENSG00000146090.15	1.19576844705507	4.57711308164352	8.63065699690516	2.09964934366674e-15	1.19177201825126e-12	24.4488995797888
ENSG00000140479.16	-1.01083372997344	2.58375072175442	-8.59605024162629	2.58736748882801e-15	1.43094690683414e-12	24.2653547477106
ENSG00000062282.14	-1.67150454472628	3.48536593917224	-8.5138069470091	4.39273556131239e-15	2.35476018151923e-12	23.6897969547968
ENSG00000166451.13	-0.69270653605251	0.914449091791002	-8.50665415523011	4.54905602947691e-15	2.35476018151923e-12	23.653443484632
ENSG00000055163.19	0.857659168976486	4.80121467927554	8.48609339294859	5.1908017615897e-15	2.48800895990507e-12	23.5362680038262
ENSG00000173599.13	-0.656606983446319	5.98166132889804	-8.49559054313747	4.87722614254267e-15	2.44643931787216e-12	23.5171606837547
ENSG00000154655.15	0.532125544480974	3.08362304875529	8.45538610634491	6.28000692224235e-15	2.88198870863501e-12	23.4055826944571
ENSG00000008196.12	3.59721657564011	0.705102733448126	8.63704087785887	2.01701906436005e-15	1.18634835604111e-12	23.358363832898
ENSG00000116871.15	-0.4580962284583	7.39786670237583	-8.46509107971008	5.90852982751749e-15	2.77045825760271e-12	23.3511045600974
ENSG00000128709.12	0.953307852516353	3.61835003739651	8.43618617758476	7.08449720693233e-15	3.11848000523109e-12	23.2865773168728
ENSG00000244694.7	1.51004585855598	0.718375412266496	8.4888423102689	5.08881164006874e-15	2.48800895990507e-12	23.2379819544823
ENSG00000157087.17	1.78863258800038	3.29688928964573	8.43068849075562	7.40515181810747e-15	3.1944343912952e-12	23.2350874166904
ENSG00000164690.7	1.18609582288852	5.28156824663262	8.39980187044488	8.98591181093013e-15	3.73098358950502e-12	22.9818869593507
ENSG00000136950.13	-0.53684329995198	4.97554089227658	-8.39809964654845	8.99490688739677e-15	3.73098358950502e-12	22.9340443938882
ENSG00000106617.13	-0.650315191609161	4.88750995202669	-8.37577769443878	1.03435458547653e-14	4.20943284040438e-12	22.7982730218047
ENSG00000132359.14	1.0329081555894	4.73302190983684	8.35773724479168	1.16725911938156e-14	4.66233554554462e-12	22.7541485385948
ENSG00000183760.10	-1.13417815862929	0.899634941376077	-8.34913879949959	1.22174745869401e-14	4.79124926119475e-12	22.7199849610227
ENSG00000265107.2	-1.22854288931831	2.46957432742195	-8.31856741906675	1.48970678026674e-14	5.69064965487304e-12	22.5569005826264
ENSG00000082781.11	-0.671598652703724	7.08569006994521	-8.31584720866262	1.50385752852595e-14	5.69064965487304e-12	22.4285376653239
ENSG00000007944.14	-0.533930367022283	5.25512280910414	-8.30027451117717	1.65712450806489e-14	6.16250319214683e-12	22.3232909132133
ENSG00000181690.7	0.851937163932051	4.91208142840743	8.25534090905185	2.20028396875124e-14	7.77998769213041e-12	22.1124929618098
ENSG00000172667.10	0.525236178546941	5.43374752443091	8.256629710166	2.17415740807767e-14	7.77998769213041e-12	22.0767007709413
ENSG00000257542.4	-1.37436320573633	3.54654559027274	-8.24061577558415	2.42346034507434e-14	8.16744002857944e-12	22.0201170206449
ENSG00000129003.15	0.473248315583151	7.60822642971375	8.24467253395608	2.34181080829282e-14	8.14685763291416e-12	21.9889314901054
ENSG00000161533.11	-0.346984080619998	5.7190285913309	-8.2293175617857	2.57601591375532e-14	8.54801342212132e-12	21.8814549632386
ENSG00000175806.14	-0.500160675370971	3.27467453811597	-8.19215900999372	3.24324862358522e-14	1.03566205200307e-11	21.7813056815019
ENSG00000157890.17	-1.8203713252564	1.25344026761568	-8.18082670603732	3.50991890611531e-14	1.06627381529579e-11	21.7310548277218
ENSG00000097021.19	-0.551047761251684	4.41747551693223	-8.19357759735154	3.21488328241226e-14	1.03566205200307e-11	21.713267938246
ENSG00000159261.10	-1.59931578546121	-1.49219802156383	-8.24067311208593	2.40069831113977e-14	8.16744002857944e-12	21.6929707459213
ENSG00000160685.13	-0.574356821800303	5.71237716068023	-8.18801863686028	3.32746328851497e-14	1.03566205200307e-11	21.6291488428888
ENSG00000183765.20	-0.773620755386871	3.97999406155013	-8.16522270376024	3.83317292270485e-14	1.14830148291418e-11	21.5616832365059
ENSG00000168481.8	-1.72737365129025	2.4808649327414	-8.14196626573384	4.46230676446593e-14	1.26641440266797e-11	21.4761465503324
ENSG00000250120.6	1.0329574118929	1.29405158561007	8.15590068872535	4.05869407899507e-14	1.19920510397048e-11	21.4725922822928
ENSG00000122585.7	-1.80660657168317	-1.41195908722876	-8.19049402834167	3.27685720889047e-14	1.03566205200307e-11	21.4523194526977
ENSG00000180616.8	-1.13296386900547	2.50558027954085	-8.1310396519707	4.7598130855546e-14	1.33330400574451e-11	21.4250707663486
