logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000105929.15	1.88512886613773	3.79236821611217	6.31216012492246	1.05540413914288e-07	0.00158137874766316	7.59608059780498
ENSG00000134508.12	-0.658491177127892	4.01308309814626	-6.13328186741309	1.93146136771773e-07	0.00158137874766316	7.08038192294573
ENSG00000164626.8	1.81312149457794	5.99036039812505	6.08479612647233	2.35534517078219e-07	0.00158137874766316	6.88930379684742
ENSG00000166340.15	-0.6828505976715	6.6010876262847	-5.95864135691372	3.51576168425961e-07	0.00159808950752612	6.50073934415542
ENSG00000177628.15	-0.688246190176922	4.75503953958303	-5.91100639049825	4.13890632422869e-07	0.00159808950752612	6.34484777313591
ENSG00000006377.10	1.19376177802879	0.754657822054556	5.87013733264296	4.76046919131997e-07	0.00159808950752612	5.77473309536184
ENSG00000188227.12	0.760574202090233	3.0697739954579	5.72368937273721	7.85357551960097e-07	0.00225981025879718	5.72846742093628
ENSG00000119686.9	-1.10633481357474	3.38161915394089	-5.60028002553484	1.19623561269985e-06	0.00301182221387505	5.35332925944415
ENSG00000103043.14	-0.423853403600864	5.27673652302976	-5.46317929670146	1.9064796827784e-06	0.00384003137705225	4.87844651864158
ENSG00000223749.9	-1.40668451452388	0.209226383089548	-5.46899714504401	1.86920636304827e-06	0.00384003137705225	4.75121405371649
ENSG00000162066.14	-0.660700254093905	4.1310636743122	-5.4075902738802	2.30194322083763e-06	0.00398307336291529	4.71876874886847
ENSG00000111412.5	-0.958235913576719	4.82905730885976	-5.39861683510191	2.37299574793881e-06	0.00398307336291529	4.67327596829269
ENSG00000198715.11	-0.628925551844517	4.65462308609027	-5.32029794233494	3.09294653197048e-06	0.00460315791379583	4.42432874936957
ENSG00000197081.12	-0.568764335801842	7.01220652469325	-5.28016966774585	3.5417860012192e-06	0.00460315791379583	4.29586838815711
ENSG00000154222.14	-0.376883174721718	5.4275333076622	-5.27448921818546	3.61032732866036e-06	0.00460315791379583	4.2668871824767
ENSG00000260852.1	-1.23162594820749	1.28295314907619	-5.24723872999409	3.95783363456901e-06	0.00462164046990545	4.19506444591616
ENSG00000100290.2	-0.978554359363682	3.13582497273145	-5.2345926438036	4.13015234129173e-06	0.00462164046990545	4.18918428975946
ENSG00000105717.13	0.987663763140343	0.376701001033001	5.27071721919446	3.65656472151391e-06	0.00460315791379583	3.96086789189106
ENSG00000186462.8	0.743621907663158	1.81978175898209	5.10365899032986	6.41342131919784e-06	0.00679890169533068	3.73072487547184
ENSG00000151117.8	-0.906756429461879	2.67740113188794	-5.08000388398747	6.9424828457329e-06	0.00683533682486071	3.71054243130612
ENSG00000188603.18	-0.516158488977698	5.53368633968632	-5.07219157149068	7.12650547721551e-06	0.00683533682486071	3.61708430840591
ENSG00000099290.15	-0.47068779605456	5.3725541962627	-5.04552174411327	7.79176257762242e-06	0.00692036119263663	3.5325261968372
ENSG00000166736.11	-3.96414502639893	-0.000137920231411177	-5.04397836705387	8.12291131263929e-06	0.00692036119263663	3.49977138006218
ENSG00000138246.15	-0.429918733649312	5.74553962414901	-5.02857773627764	8.24588762899807e-06	0.00692036119263663	3.47759811892241
ENSG00000132357.13	-0.71026375360918	4.19805266234817	-4.96237896654163	1.02843723826774e-05	0.00800576232883669	3.29313576815593
ENSG00000122705.16	-0.492757891930666	6.67525309202542	-4.9609307464405	1.03341187841204e-05	0.00800576232883669	3.27065491609765
ENSG00000234771.3	0.834950188592842	4.8954649157608	4.93007391851889	1.14522637574095e-05	0.00823826773577648	3.19335946024231
ENSG00000103249.17	-0.444984697186762	5.68009378130335	-4.93393690222745	1.13060044750061e-05	0.00823826773577648	3.17652119274761
ENSG00000140538.16	1.02257483824063	4.93196343282439	4.89487200280094	1.29099717620657e-05	0.00846720551050498	3.08356370038213
ENSG00000164099.3	1.55606097118036	3.03505830852756	4.87786641852499	1.36698193773629e-05	0.00846720551050498	3.08135220648755
ENSG00000164649.19	-0.807842333642913	3.47298469518223	-4.87275504846603	1.3854707052237e-05	0.00846720551050498	3.03978842274631
ENSG00000065361.14	-0.825381312645235	7.49208476498318	-4.87237048588135	1.3872395087214e-05	0.00846720551050498	3.0043785135388
ENSG00000165699.13	-0.357990248425648	6.09748701744328	-4.84748147868385	1.50657320741626e-05	0.00892511692464065	2.90448501924483
ENSG00000214290.8	1.04669303041562	1.96356990367504	4.80034121390784	1.76093732030814e-05	0.00988054105064565	2.82303527910165
ENSG00000205325.1	-1.82397540838091	-0.974531746220046	-4.87576018289901	1.37172481669184e-05	0.00846720551050498	2.82180213741358
ENSG00000124659.6	-0.468558282978083	3.5554256651386	-4.75155589537948	2.06863116461613e-05	0.00988054105064565	2.66589104035288
ENSG00000158050.4	1.5723327824831	2.03258193372772	4.74661841282044	2.1025730006055e-05	0.00988054105064565	2.65202263813383
ENSG00000153933.9	0.518525604875325	4.02335121467866	4.74429204760658	2.11875435832861e-05	0.00988054105064565	2.64392402562126
ENSG00000136802.11	-0.662224051244983	6.19147992139041	-4.7620830248751	1.99805296545692e-05	0.00988054105064565	2.63860075817718
ENSG00000119139.17	-0.578629729987123	6.3221767020148	-4.75773972056738	2.02688062753182e-05	0.00988054105064565	2.6257923511402
ENSG00000231764.8	1.30820198718136	1.90747777205868	4.73343093394844	2.19593486802716e-05	0.00988054105064565	2.61532135296665
ENSG00000103174.11	-0.562715214288641	3.33562856904544	-4.73184289326596	2.20744884956337e-05	0.00988054105064565	2.61280996314559
ENSG00000104081.13	-0.903355705052845	4.71472596071253	-4.73425392421353	2.19247687017071e-05	0.00988054105064565	2.55622186075545
ENSG00000276334.1	0.983182225950135	0.135396963981568	4.7909224778698	1.81660742360283e-05	0.00988054105064565	2.55398782604162
ENSG00000257702.3	-0.937351057179002	1.48400687067978	-4.69855478637538	2.46292792061907e-05	0.0100604756452399	2.53754772354593
ENSG00000099365.10	1.04222824271735	1.74955755431197	4.69582055704125	2.48515939709627e-05	0.0100604756452399	2.50362306377859
ENSG00000172661.17	-0.498200602894461	5.29708934235285	-4.71094333246934	2.36462290319132e-05	0.0100604756452399	2.47545141540272
ENSG00000174151.14	-0.700477787312325	3.83326272910531	-4.6943268636461	2.49738746034155e-05	0.0100604756452399	2.4691015957109
ENSG00000072121.15	-0.413778835246819	5.09310683692375	-4.70069683011967	2.44564797835933e-05	0.0100604756452399	2.44643858828627
ENSG00000235831.6	1.27486406698176	1.4485933035671	4.67611655031247	2.65130241947724e-05	0.010096251717364	2.41727169208963
ENSG00000134243.11	-0.574874867691277	6.90970575045258	-4.67550331092565	2.65664452894595e-05	0.010096251717364	2.37667170483758
ENSG00000114544.16	-0.456507028954811	5.57132390807736	-4.67706839486944	2.64303150843214e-05	0.010096251717364	2.36799541229836
ENSG00000140451.12	-1.03741958798862	0.228788779786228	-4.65439222024783	2.84713573258609e-05	0.010240537129598	2.34497337072118
ENSG00000117632.22	-1.05237397456651	4.68901260691659	-4.66634496044131	2.75037658070893e-05	0.010240537129598	2.34164664238832
ENSG00000260588.1	-1.24000473177018	-1.47617466726974	-4.73991962549847	2.14949930779781e-05	0.00988054105064565	2.2521921671768
ENSG00000196542.8	1.14183730127378	3.00998827952588	4.59031676060652	3.51118912974007e-05	0.0118637404349698	2.21672383099747
ENSG00000090674.15	-0.522134097329311	4.40670316101124	-4.61565742749423	3.23213979653667e-05	0.0114213613652354	2.20124780426446
ENSG00000049323.15	-0.797783129688283	5.82538038239177	-4.60306173736344	3.36800987402957e-05	0.0116962853246041	2.14003715367941
ENSG00000075218.18	-1.30335303483232	-0.0324278956439739	-4.57828444709894	3.65183153097076e-05	0.0118637404349698	2.11135250757069
ENSG00000106714.17	1.03661690420305	3.11086529360602	4.55099391645929	3.99161002307287e-05	0.0123690783207283	2.09682023768492
ENSG00000114315.3	0.853854261670807	6.5009430598115	4.58004142342847	3.6309985119004e-05	0.0118637404349698	2.06670722604221
ENSG00000033867.16	0.77965770835211	5.05437228636812	4.56907337709829	3.76321603122663e-05	0.0120230436929193	2.05742740126023
ENSG00000010292.12	-0.512027852800034	5.1920313393457	-4.5644598364136	3.82025020527672e-05	0.0120230436929193	2.02082066590397
ENSG00000120049.18	1.23410562960693	2.56342684350662	4.50877340936633	4.57917954242967e-05	0.0125053539191491	1.97477604096044
ENSG00000128487.16	-0.646298550292595	4.33877952765478	-4.54035317142625	4.13232597590452e-05	0.0124580785935647	1.96955280707344
ENSG00000178163.7	-0.425138643529655	4.10463535798741	-4.53493124084298	4.20588493874691e-05	0.0124580785935647	1.96850058391646
ENSG00000180287.16	-1.2929931778601	1.0856840581616	-4.50775434073275	4.59436098707691e-05	0.0125053539191491	1.96841881795772
ENSG00000009694.13	1.17244952136444	3.85683114950079	4.51336533805027	4.52171615695848e-05	0.0125053539191491	1.95994237923589
ENSG00000151276.23	-0.406323959090399	5.65083176550698	-4.53577004633869	4.19442160859535e-05	0.0124580785935647	1.92895364449623
ENSG00000135596.17	-0.642324477415542	5.52924324299869	-4.52597634447405	4.33019399538644e-05	0.0125053539191491	1.89962310205394
ENSG00000180198.15	-0.947424873176092	4.86157261871502	-4.52414254876247	4.37014771683181e-05	0.0125053539191491	1.89853680021787
ENSG00000151892.14	1.19584861224754	5.3333079983231	4.51544162605435	4.51209215198532e-05	0.0125053539191491	1.88722810360193
ENSG00000184635.14	-0.567281841578221	1.47086637002839	-4.46114950559344	5.343886101661e-05	0.0137995581871354	1.83312469795773
ENSG00000167291.15	-0.789115439292073	6.27150280485141	-4.49314852120255	4.81744162717358e-05	0.0129377212339374	1.80474750792055
ENSG00000067601.7	0.603673100389216	0.567180826555173	4.46372458166442	5.29951685752353e-05	0.0137995581871354	1.76045859814802
ENSG00000177963.14	-0.336223789233546	5.98843846684907	-4.47036985158047	5.18667597268932e-05	0.0137460562423564	1.72835078679791
ENSG00000120332.15	3.3334892092225	3.06440869398546	4.42388507023499	6.17975015256598e-05	0.0144409877910292	1.69222125828017
ENSG00000261011.1	1.22618607161423	3.15256388750162	4.40946241086742	6.32116237532369e-05	0.0144409877910292	1.67589344529488
ENSG00000236333.3	1.36341648209669	2.17707842608435	4.40518070784724	6.40316998013454e-05	0.0144409877910292	1.66638692285346
ENSG00000197279.3	-0.954877777735322	1.50468813939078	-4.39113922156002	6.69960563044033e-05	0.0145100490976698	1.62955670465942
ENSG00000129682.15	-0.929717549883424	3.04843940427598	-4.40640255084333	6.37799007315536e-05	0.0144409877910292	1.62692664217452
ENSG00000164733.20	-0.884530797930457	9.3646170917219	-4.41465549735342	6.21042933606424e-05	0.0144409877910292	1.62096068344689
ENSG00000230910.2	1.19110432918284	2.52300576916611	4.38078275802759	6.92679772517093e-05	0.0146999537747596	1.59935439923561
ENSG00000020633.18	1.05828954437085	3.79638287886869	4.39365296424792	6.65161346512148e-05	0.0145100490976698	1.59922497648339
ENSG00000076043.9	-0.67405323723087	5.63139045853558	-4.42425867223175	6.02086826452677e-05	0.0144409877910292	1.58718698528109
ENSG00000265778.2	-0.860020304452176	-0.617813373198271	-4.41572479502353	6.18903667835049e-05	0.0144409877910292	1.55853973357412
ENSG00000176915.14	-0.402677919176127	6.26021355368121	-4.41078600113691	6.28844938147597e-05	0.0144409877910292	1.54887581628624
ENSG00000070778.12	-0.332158867304468	4.98323501214991	-4.4073992732128	6.35752119248996e-05	0.0144409877910292	1.54302225940076
ENSG00000123643.12	-0.624405704048372	4.15892514690692	-4.39683584398258	6.57775906823304e-05	0.0145100490976698	1.53959914596378
ENSG00000110318.13	0.585134801461065	3.63060873270541	4.37318185225581	7.09831323103838e-05	0.0148931484478724	1.53481629732038
ENSG00000229689.3	-0.766080761027719	1.73183208294165	-4.34019954893655	7.8918696162029e-05	0.0158958037809559	1.47996580504815
ENSG00000101098.12	1.48450624717639	0.53588922931484	4.38049341772369	6.93325195413646e-05	0.0146999537747596	1.45376212841914
ENSG00000080493.15	1.29584101417326	1.88810559825514	4.32778784986973	8.2123977066391e-05	0.0161269806200844	1.43786061259676
ENSG00000137691.12	0.755530928755697	-0.418740804160436	4.41401051972942	6.22336786977194e-05	0.0144409877910292	1.42750961271668
ENSG00000141622.13	0.808520354965655	2.66611098198841	4.32229423008612	8.35829320621656e-05	0.0161877636307321	1.42545037098231
ENSG00000161013.16	-0.55954547880706	6.54956989708981	-4.3673778835311	7.23206755518095e-05	0.0150173509996345	1.42180496065608
ENSG00000117174.10	0.534371186038088	4.48211056019502	4.34445555258406	7.7847977097244e-05	0.0158385247948756	1.39325249048471
ENSG00000180098.9	-0.512346829278348	3.97907851402324	-4.33044091135488	8.14283269580418e-05	0.0161269806200844	1.35075099176097
ENSG00000125965.8	-1.79278339147647	1.41478343183815	-4.29288592977167	9.25920135207924e-05	0.0171126748819341	1.33350730546569
ENSG00000257127.6	-2.33145319183969	-3.50185265914209	-4.65455483509979	2.84561837464404e-05	0.010240537129598	1.32366839614452
ENSG00000107185.9	-0.376102175178527	5.05217041425769	-4.31629358842787	8.52054473876267e-05	0.0163448392503007	1.26386022082907
ENSG00000233930.3	-1.11527100858498	0.460266386902008	-4.26732907379627	9.96447704197269e-05	0.0177684404400291	1.25800785764807
ENSG00000100650.15	0.400395910700421	9.04809679388137	4.28740701223183	9.34561730221798e-05	0.0171126748819341	1.21759287516927
ENSG00000141232.4	1.1705586996134	7.15407842116242	4.29889169948475	9.07500180395365e-05	0.0171126748819341	1.20477254289538
ENSG00000101236.16	-0.601151231318886	4.90882328067974	-4.29449572609034	9.1362072567748e-05	0.0171126748819341	1.19979583748065
ENSG00000237264.4	-1.32250305352094	-1.7876164767975	-4.35017276960349	7.64319475269038e-05	0.0157091049702745	1.15444380916092
ENSG00000082701.14	-0.361526522627631	5.86102238833668	-4.28193027596054	9.51060603521983e-05	0.0172578943028286	1.153416784014
ENSG00000219607.3	0.921704268178948	1.03272889478693	4.22277209131141	0.000114839478336081	0.0191804178933379	1.11521254800006
ENSG00000151348.13	-0.306573763177856	5.83099674370502	-4.26720593122156	9.96839325649535e-05	0.0177684404400291	1.10854632764733
ENSG00000184226.14	1.32808473772193	1.66455795824568	4.21299122430131	0.000118465330127373	0.0193881904759881	1.10523387200957
ENSG00000267361.1	1.36841789955172	0.160344169420178	4.2566189143665	0.000103107540917548	0.0180790967461774	1.07316288972111
ENSG00000136531.15	0.900231452883048	-0.0845258343724483	4.25355510577399	0.000104119512588451	0.0180790967461774	1.06784139182364
ENSG00000149948.13	-1.68590773040578	-2.58540968684038	-4.40279425789789	6.45263082709078e-05	0.0144409877910292	1.06612789875215
ENSG00000100345.20	-0.569069572717429	9.84514713429121	-4.22472954104788	0.000114126928101778	0.0191804178933379	1.05648025734282
ENSG00000109511.11	-2.67211044755414	-3.83887904478835	-4.57871364352909	3.64672107458781e-05	0.0118637404349698	1.04671965414596
ENSG00000183837.9	1.04981640742919	0.772660193476141	4.20278175796021	0.000122368944503476	0.0195615498427699	1.03630725010276
ENSG00000157985.18	-0.466330500351508	5.0445294017724	-4.24046096841457	0.000108554665463454	0.0186881031774777	1.03447675483091
ENSG00000107021.15	-0.381041034334383	5.33557020943481	-4.23545217915513	0.000110299437026618	0.0188275530558486	1.01477290628718
ENSG00000066697.14	-0.564569317217667	3.50849450723193	-4.20365668814529	0.000122029564493998	0.0195615498427699	1.00172953578892
ENSG00000132003.9	-1.13758159175002	5.06136405122089	-4.21621756242287	0.000118287607375108	0.0193881904759881	0.954592000987269
ENSG00000188338.14	1.2464349259029	1.80308396873249	4.14395431374344	0.000147422661379854	0.0219573149267934	0.91608265395998
ENSG00000100095.18	2.16991002799694	-1.32004556596847	4.45337327871572	5.48009024976401e-05	0.0139721490899679	0.893371384801636
ENSG00000139292.12	2.11256438573763	2.40131624993159	4.13227766960384	0.000154474564471553	0.0225465701274349	0.877317951583208
ENSG00000131149.18	-0.346086888227795	6.48750480276096	-4.18702678425346	0.000128639815990968	0.0204020722337801	0.874712105114625
ENSG00000145681.10	2.78672112059673	0.493853411670499	4.22295806498724	0.000115223441817788	0.0191804178933379	0.854915376289876
ENSG00000145147.19	0.632480452285797	4.84396766560104	4.16516701369531	0.000137861101486805	0.0211969336347117	0.838271152594683
ENSG00000188389.10	1.33100031225907	0.567616135938584	4.14216701746201	0.000148257115978746	0.0219573149267934	0.83692772735949
ENSG00000170837.2	0.631257708525017	0.853361584546465	4.12172699951623	0.000158132836695914	0.0226751196142085	0.834956602576813
ENSG00000242802.6	-0.402265774331077	5.27682171803653	-4.16742349534777	0.000136880231720516	0.0211969336347117	0.811584721843723
ENSG00000072682.18	-0.609057399305916	5.26876820809013	-4.16567678345069	0.00013763891355299	0.0211969336347117	0.806265720518033
ENSG00000204052.4	0.891046771408684	0.0266979704388117	4.14421669924166	0.000147300543693272	0.0219573149267934	0.797629284760118
ENSG00000198547.8	1.80866142278583	-1.07686187590526	4.32648231047078	8.24684243803341e-05	0.0161269806200844	0.796639176732272
ENSG00000167524.14	0.495536492848312	1.64250523221931	4.09833377827363	0.000170220932418823	0.0229282740759382	0.789889463351185
ENSG00000048540.14	1.58827632346803	2.41588804435232	4.09834290114047	0.000170749732469007	0.0229282740759382	0.787085803031125
ENSG00000198885.9	0.909461826475518	2.46943949151191	4.09833771850073	0.000170218822672391	0.0229282740759382	0.783938793986646
