logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000174151.14	-0.643627440579161	4.6554149469603	-8.54357908495633	1.32109590454039e-16	1.52811163278186e-12	27.0636565427867
ENSG00000156959.8	1.42968897530493	-1.92117056969393	8.61537799606223	7.6254027295937e-17	1.52811163278186e-12	25.3219389684751
ENSG00000101152.10	-0.338676221551002	6.42460539283461	-7.80782737208934	3.0204776893516e-14	1.7468932716365e-10	21.7647894064797
ENSG00000259882.2	1.80464529689196	-4.91457738901505	7.89366892866299	1.63355085810878e-14	1.25968551838295e-10	19.7663544611611
ENSG00000006831.9	-0.239491615932105	6.3835340045797	-7.49494472849676	2.71609483958558e-13	1.25668276037946e-09	19.6290456826836
ENSG00000176095.11	-0.32629678263211	5.87450942570329	-7.40715128180334	4.96751397130181e-13	1.91530780353494e-09	19.0470907883633
ENSG00000179886.5	-0.387016734307588	3.45717908486225	-7.34096958764754	7.80171281076934e-13	2.46815504663497e-09	18.6455154464953
ENSG00000166710.17	0.338245690178521	10.2848839780436	7.32774094358841	8.53516053128719e-13	2.46815504663497e-09	18.5126790702902
ENSG00000169926.10	-0.591774679723511	6.9593165098181	-7.15079246179781	2.80435075780237e-12	6.4875850431e-09	17.3558287424545
ENSG00000128607.13	-0.285857282063427	5.40980789623403	-7.10781645152652	3.73075698025718e-12	7.84612108920632e-09	17.0987206774434
ENSG00000166860.2	-0.390732922322085	3.27500715843038	-7.08573339495905	4.31782491901852e-12	8.32404680638121e-09	16.9981224878482
ENSG00000184675.9	-0.315174618008839	3.07435565472821	-7.03674098879226	5.96364240893873e-12	1.06125310375683e-08	16.6830948988442
ENSG00000107185.9	-0.429063553198716	4.91097393243022	-6.94200320676036	1.10792071968583e-11	1.83075985208657e-08	16.0551984772626
ENSG00000255442.1	2.07086544528523	-3.90367192214063	7.22105929035205	1.75337062664504e-12	4.50694178631182e-09	16.0005691821161
ENSG00000107021.15	-0.325200722003469	4.93543676597768	-6.89694098939676	1.48400315968848e-11	2.03206762015155e-08	15.7733992070183
ENSG00000260804.3	-0.655730521177654	2.16819276261561	-6.89597931676207	1.4932631426721e-11	2.03206762015155e-08	15.7720294380273
ENSG00000139651.10	-0.319814417680487	4.95693198783589	-6.86842015077196	1.78413201045065e-11	2.20435105251544e-08	15.5946513926161
ENSG00000135917.13	-0.85324127628167	1.00814526676923	-6.8620438331453	1.85897800109376e-11	2.20435105251544e-08	15.4660920498321
ENSG00000274211.4	-0.314143167386092	4.70826557706063	-6.84185445265825	2.11688111992557e-11	2.33199656325515e-08	15.4375567027131
ENSG00000259956.1	-0.382849036116943	5.95566174772339	-6.79740926962547	2.81471613125752e-11	2.95980195365961e-08	15.1290946294419
ENSG00000180035.12	-0.347480715230243	2.87918042943903	-6.78613371490256	3.02498589902609e-11	3.04260972991606e-08	15.1255754997945
ENSG00000136531.15	1.04610574017173	-0.661162241010603	6.85818808076859	1.90572408793588e-11	2.20435105251544e-08	14.8457476224148
ENSG00000166135.13	-0.307691978730611	6.07864434029044	-6.74154564084665	4.0182968640175e-11	3.87330331884086e-08	14.783095523262
ENSG00000168924.14	-0.313026093102234	5.84305190259352	-6.69257902602742	5.479177529458e-11	5.07021171865925e-08	14.4866119594109
ENSG00000158195.10	-0.289520289077159	7.67136490450269	-6.66091483488491	6.68928398999111e-11	5.95191907017132e-08	14.2773634407119
ENSG00000260047.2	1.63945165289481	-4.18252706064229	6.90664961401254	1.39362065467724e-11	2.03206762015155e-08	14.2435615697253
ENSG00000230733.2	-0.537702721841356	2.78494846898138	-6.60998583413762	9.20606129754006e-11	7.3438973123204e-08	14.0636172452752
ENSG00000165671.19	-0.26583807709602	6.38709744027774	-6.62399412973442	8.43356415427228e-11	6.96793118374768e-08	14.061659981563
