logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000112319.17	1.58994653848926	0.331920875814188	6.14840476193277	3.16625695358447e-08	0.00065050749111393	7.08035526854878
ENSG00000132467.3	-0.590164937680627	4.4757107559316	-5.60633883237863	3.04241482124298e-07	0.00312532062512185	6.52502524636219
ENSG00000177613.8	-0.440185766733931	4.86315801684294	-5.15506369913612	1.88502662708824e-06	0.0122571646321628	4.83493464559799
ENSG00000273604.1	-0.954745046658141	1.53865143282293	-5.09553713981433	2.38640343288641e-06	0.0122571646321628	4.32472796349719
ENSG00000143368.9	-0.346468881424803	5.41081721356318	-4.92634466279698	4.63445349593596e-06	0.0173839441348493	3.9968890587481
ENSG00000198824.5	-0.487936309292087	4.22736191647576	-4.90290092449484	5.07683936768536e-06	0.0173839441348493	3.91626225581409
ENSG00000169564.6	-0.4036025035834	6.1670007782123	-4.84572547288843	6.33568965527409e-06	0.0185952491382294	3.70476200572978
ENSG00000163491.16	0.732314595582806	0.475539435871357	4.63271333641391	1.43043994048796e-05	0.0367354857216565	2.49410251061013
ENSG00000187474.4	-0.945206973708755	1.11703095462018	-4.52618086584326	2.13513278164627e-05	0.0438663029989225	2.38989082767744
ENSG00000278867.1	0.775405635162387	0.51913569800508	4.53499372562344	2.06590940341982e-05	0.0438663029989225	2.20575966418999
ENSG00000149480.6	-0.281726130714929	6.03142834433105	-4.41029499575741	3.28338927702332e-05	0.0534233195781937	2.17746487208414
ENSG00000102878.16	0.663456306029936	4.6916402755776	4.40305368906037	3.37223796100457e-05	0.0534233195781937	2.17253344013418
ENSG00000101361.16	-0.362864021851356	6.13221939807716	-4.37829731943418	3.69391589265239e-05	0.0534233195781937	2.06862939955534
ENSG00000182481.8	-0.7514128862913	4.45269091401752	-4.36357563357704	3.90046139534147e-05	0.0534233195781937	2.03712320139029
ENSG00000187024.13	-0.396323036564021	2.66334699051331	-4.32754374699226	4.44880159931613e-05	0.0547503160240115	1.9111128366044
ENSG00000179950.13	-0.263721433329901	6.34336695798247	-4.28021664781734	5.28566086365145e-05	0.0547503160240115	1.73778230202168
ENSG00000188636.3	-0.419115868180262	5.15453666013111	-4.22440406088436	6.46863047318198e-05	0.057781744813706	1.55769367152811
ENSG00000114013.15	-0.819561879638891	0.840135283254387	-4.25600521857077	5.77064961497459e-05	0.0564561887331681	1.51183569558839
ENSG00000176396.10	-0.367562736632175	3.14899310780754	-4.18341723050104	7.49601981396645e-05	0.0616022908311763	1.4620792711472
ENSG00000260924.2	-0.628440197154772	0.0631507943574517	-4.27792650749413	5.32979469691034e-05	0.0547503160240115	1.42904831314204
ENSG00000163823.3	-0.977425009216517	1.16650644270622	-4.19643075801351	7.1538713714414e-05	0.0612401197192765	1.38097427630174
ENSG00000149658.17	-0.247787255243748	5.66549465346522	-4.17238499860948	7.79838129127265e-05	0.0616222090881525	1.37947712413268
ENSG00000141431.10	0.781792647845121	2.56386538232285	4.15041972628336	8.43575567734554e-05	0.0618973572825229	1.32606019258502
ENSG00000147889.17	1.49791792027584	0.0115471081051625	4.30133914216934	4.89490352147772e-05	0.0547503160240115	1.31409591840471
ENSG00000112242.14	-0.555253323595405	3.07920795762218	-4.12169873355685	9.34520431789832e-05	0.0645873817346204	1.26502392932451
ENSG00000176406.22	0.834342252405883	0.238314946852443	4.22674766260378	6.41418737788261e-05	0.057781744813706	1.23338492045382
ENSG00000204789.4	0.403855944356501	3.85176962559475	4.11081046494416	9.71407186765112e-05	0.0645873817346204	1.225259960903
ENSG00000171551.11	-2.07237837880946	-1.03557209272041	-4.29394285017373	5.03240500904463e-05	0.0547503160240115	1.21669999558879
ENSG00000132341.11	-0.35936781168446	6.83841040520624	-4.10990182775455	9.74547984314058e-05	0.0645873817346204	1.17697197320376
ENSG00000181450.17	0.480547439811093	2.73540254320938	4.06321211255999	0.000114976494514015	0.0706816980966834	1.06880063166169
ENSG00000169403.11	-0.692661562670335	2.14197743746384	-4.06321547826808	0.00011497512848436	0.0706816980966834	1.05498368735
ENSG00000121390.18	-0.278451223143474	4.54666686130766	-4.05606935460704	0.00011791092537568	0.0706816980966834	1.02207107163991
ENSG00000123444.13	-0.39331656959541	2.12910895847459	-4.05011562638026	0.000120411751442391	0.0706816980966834	1.01015400748886
ENSG00000256771.3	0.510315317398704	2.54336831725534	4.01567718633241	0.000135908143367897	0.0754657514998226	0.914478943624117
ENSG00000172409.5	-0.520902383999434	2.92409386029633	-3.97471301271795	0.000156839841866538	0.0788754463690495	0.803966930886202
ENSG00000132773.11	-0.369245186065806	3.32134051028927	-3.97317750530425	0.000157681712618027	0.0788754463690495	0.796316514016546
ENSG00000130810.19	-0.359187215986808	4.36230295839083	-3.97927236765497	0.000154365423000068	0.0788754463690495	0.782093016417095
ENSG00000250899.3	-0.975781089461674	1.19623191167458	-3.98214117851604	0.000152827726766999	0.0788754463690495	0.74544880368771
ENSG00000177733.6	-0.242453866327554	6.85816644416266	-3.96676508488239	0.000161244524093457	0.0788754463690495	0.714110249518085
ENSG00000132109.9	-0.388921640870365	3.9181720820574	-3.94624266514051	0.000173173337674226	0.0808601414208402	0.694433162889382
ENSG00000075856.11	-0.169861428874628	5.38186502183491	-3.95062941874923	0.000170554486183994	0.0808601414208402	0.663079682718955
ENSG00000234817.2	1.33903224957328	-2.42769019872715	4.39696559882663	3.44873411013236e-05	0.0534233195781937	0.565556109655454
ENSG00000162385.10	-0.263491585787798	3.8145291990169	-3.90111243240818	0.000202451724781838	0.0865276716630436	0.558360503160814
ENSG00000226479.3	-0.416731275540417	3.44069542195844	-3.88743965914588	0.000212220119376186	0.0865276716630436	0.527544341660819
ENSG00000163877.10	-0.295794104821426	3.83970420120927	-3.88725240843634	0.000212356980250607	0.0865276716630436	0.51405978096452
ENSG00000198055.10	-0.277722336313463	4.7817900002068	-3.8906608872839	0.000209878912497593	0.0865276716630436	0.487402279073711
ENSG00000160991.15	-0.428571937859477	3.5165415971984	-3.86504781750253	0.000229199147437212	0.088847103473538	0.455951040906104
ENSG00000038945.14	-0.816200342054953	2.17893746617218	-3.84460577463287	0.000245828168901382	0.0905128857233171	0.398715578839799
ENSG00000166401.14	-0.753658695794851	2.69122899755824	-3.83101270134677	0.000257517727837321	0.0905128857233171	0.366031004442301
ENSG00000188916.8	1.00334559351911	-0.909639326778192	4.0344988740432	0.000127216014245471	0.0726014725742554	0.360243127616951
ENSG00000161956.12	-0.209370905086034	5.44117487197881	-3.85212103160536	0.000239584893342296	0.0905128857233171	0.350698730192569
ENSG00000166133.17	-0.335638891265862	2.59889510076339	-3.81835234920599	0.000268881546367427	0.0905128857233171	0.327280944727632
ENSG00000172315.5	-0.287565474787331	3.76877357020326	-3.82433817128351	0.000263450266373651	0.0905128857233171	0.322622459588477
ENSG00000048162.20	-0.445775156836743	3.33774682791706	-3.81484869835852	0.000272110072273917	0.0905128857233171	0.30815096380189
ENSG00000126353.3	-1.10374761740554	0.13689074355418	-3.87019921731708	0.000225181568710509	0.088847103473538	0.306005242219764
ENSG00000107864.14	0.450415152291959	3.41139192215312	3.81117228266471	0.000275537600375772	0.0905128857233171	0.301195395046371
ENSG00000272338.2	0.465133616542783	0.110533659195709	3.88393939137826	0.000214792467988086	0.0865276716630436	0.28247785385983
ENSG00000085872.14	-0.241931857196102	4.97044414025638	-3.82201509182689	0.000265545564079136	0.0905128857233171	0.266887304537749
ENSG00000174840.8	-0.300042785445649	4.58219923735348	-3.81637585502818	0.000270698308702251	0.0905128857233171	0.262518186226375
ENSG00000272301.1	1.18446090942623	-1.96420623464914	4.15090658140365	8.42109964147243e-05	0.0618973572825229	0.228248778460042
ENSG00000161057.11	-0.264636187820832	5.65973839958666	-3.80903163100536	0.000277552290122608	0.0905128857233171	0.213449792817248
ENSG00000167721.10	-0.339548970725965	4.75552880740821	-3.80033083779119	0.000285886859332402	0.091774148827878	0.206096970864507
ENSG00000174173.6	-0.402985072934522	3.68545524801219	-3.78394166973311	0.000302239565371105	0.0940835131901418	0.20160697545679
ENSG00000156076.9	-1.82004713516389	-0.76599686590652	-3.88844941820997	0.000211607112357381	0.0865276716630436	0.197979082447593
ENSG00000225484.6	0.412116294506699	3.48991873948961	3.77275162654324	0.000313913565413085	0.0946602824468661	0.18282349354671
ENSG00000131043.11	-0.330200872903682	5.17367470242228	-3.79493297510208	0.000291177083138323	0.0920343565088747	0.177175773555155
ENSG00000196268.11	0.372472612289142	3.91067038262717	3.77140545545242	0.000315346610342051	0.0946602824468661	0.161780340629324
ENSG00000141551.14	-0.265740886093076	7.12322095720873	-3.76900749612465	0.000317914796244038	0.0946602824468661	0.0955199048299882
ENSG00000184378.2	-0.765218566129051	0.407804628478568	-3.76209735526763	0.000325427555747827	0.0955129876119872	0.0375819618550262
ENSG00000162702.7	-0.420917097206685	3.68804363541079	-3.71456495666126	0.000381884385922445	0.100504224885709	-0.00835888206188873
ENSG00000143319.16	-0.292265491220312	4.74490031426443	-3.72471619848495	0.000369094521424158	0.100504224885709	-0.0257828843548209
