logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000178163.7	-0.563579722411634	4.36228616763237	-8.07503246346887	6.76024637565126e-14	1.02613061126106e-09	21.0595413137285
ENSG00000172409.5	-0.870961115611688	2.40371303194505	-7.87861605637602	2.24472361655495e-13	1.72290019982648e-09	19.6718093863804
ENSG00000166189.7	-0.720445452748616	3.23173258227525	-7.75783163724094	4.66181451254433e-13	2.68357352414614e-09	19.1178347299528
ENSG00000244694.7	1.87691956162854	1.14917565864256	8.02999487635041	8.91279954191833e-14	1.02613061126106e-09	18.988342929688
ENSG00000119927.13	-0.91927990638528	5.05465948375768	-7.3393234831791	5.64077851494592e-12	2.27906348881496e-08	16.8167441093779
ENSG00000059804.15	1.77664335039033	7.14335051692738	7.32865112537874	6.02589872404981e-12	2.27906348881496e-08	16.7533027242562
ENSG00000108448.20	-1.14650489990078	3.51868989806864	-7.30415769650982	6.92844802471325e-12	2.27906348881496e-08	16.5951437551966
ENSG00000133561.15	-1.01605568510182	4.89581814960006	-7.07470469137379	2.62287400147208e-11	6.71047741754402e-08	15.3370225113421
ENSG00000180884.9	-0.759423633437916	2.36200931731394	-7.02610971172096	3.43773654569829e-11	7.47266072409837e-08	14.9266303928364
ENSG00000259494.1	-0.458344642285912	3.53459651979836	-6.99451514140276	4.11760182246035e-11	7.47266072409837e-08	14.8706132955672
ENSG00000134107.4	1.57812447615961	7.89938550997354	6.97863673301091	4.54344003028651e-11	7.47266072409837e-08	14.8076781457512
ENSG00000182810.6	-0.710178474710705	2.48652567441235	-6.99106945346278	4.19932528677045e-11	7.47266072409837e-08	14.7546627282851
ENSG00000149968.11	-3.16887384704192	-2.31755134378133	-7.17186176370529	1.49950193194076e-11	4.31594143560849e-08	14.4989658375732
ENSG00000198841.3	-0.640234328120429	2.05953442687481	-6.91407115463662	6.5056039130946e-11	9.36237723143227e-08	14.2640892048279
ENSG00000174173.6	-0.6067683525716	3.1095153876017	-6.85738407022651	8.96355609043191e-11	1.21408730904874e-07	14.107157481224
ENSG00000101138.11	-0.49465708317384	4.25333716407253	-6.80136397153646	1.22853582289175e-10	1.57157032543919e-07	13.853281421379
ENSG00000131043.11	-0.459039423969699	4.88270461975293	-6.75636023523503	1.5808883925576e-10	1.91587032247533e-07	13.6109925122329
ENSG00000124688.13	-0.441277845623959	3.5269929614343	-6.73421752429005	1.78907499797876e-10	2.05976204517295e-07	13.4737121049962
ENSG00000119913.4	-2.14768725993289	-2.36258547071221	-6.98846231342222	4.26317470579562e-11	7.47266072409837e-08	13.1930365701223
ENSG00000138231.12	-0.435624959505954	3.80859706156531	-6.6520425414976	2.8256226221631e-10	2.82881680425772e-07	13.0500292380654
ENSG00000163071.10	1.03547607329676	2.390851739429	6.67875875129116	2.43635714530829e-10	2.67140760132708e-07	12.8687241912938
ENSG00000177096.8	-0.610057629875302	3.37485085345953	-6.52443071839132	5.70793718867108e-10	5.25723846825362e-07	12.3707947017124
ENSG00000170468.7	-0.545191407641449	2.48986215909588	-6.52467065835539	5.70043959123723e-10	5.25723846825362e-07	12.2965427684364
ENSG00000130772.13	-0.657456546310338	2.4704196722125	-6.51551853417169	5.99339768042172e-10	5.30784519189964e-07	12.2559398641173
ENSG00000196411.9	-0.554823409065757	5.8800220527035	-6.49969840484188	6.53509230705188e-10	5.57322353563617e-07	12.2421377799153
ENSG00000168806.7	-0.62850631862355	3.05586803087867	-6.48223317957836	7.1890928086611e-10	5.91200182186538e-07	12.1364040573951
ENSG00000146109.4	-0.408676023294997	4.13468049053864	-6.43551614524931	9.27131782591784e-10	7.36142635377876e-07	11.9211774557056
ENSG00000120333.4	-0.280573070090384	4.80078364929379	-6.41038005574181	1.06261885108897e-09	8.15595388839157e-07	11.7857388163624
ENSG00000147697.8	-1.89568113394393	-1.98592890206221	-6.65352873270455	2.80244535009724e-10	2.82881680425772e-07	11.7585280386633
ENSG00000155876.5	-0.438411920387241	6.00428596321076	-6.39639486794837	1.14623591160861e-09	8.51394454861284e-07	11.7023241995186
ENSG00000175283.7	-0.65043457167148	3.38155642425936	-6.35767350673192	1.41294913023775e-09	1.0167052085267e-06	11.5127669025505
ENSG00000167447.12	-0.668688172042957	3.05916586707833	-6.35000611478685	1.47257194469328e-09	1.0274982302578e-06	11.4610465647181
ENSG00000179144.4	-0.821313873503163	4.49923722947394	-6.34476683710437	1.52004504774999e-09	1.02942815498504e-06	11.4427762012331
ENSG00000124217.4	-0.61874406393211	2.30260890062063	-6.31764793894602	1.75260022252777e-09	1.15301064925498e-06	11.2314354489361
ENSG00000102878.16	0.842714757042664	5.96872071301296	6.26685970550921	2.30849542419718e-09	1.43663285506931e-06	11.0377503404106
ENSG00000212916.4	-0.792457135653618	1.49519459864415	-6.29602359938242	1.96823196738229e-09	1.2589030355818e-06	11.0280623719681
ENSG00000241635.7	-2.20211248140909	-4.89649611760461	-6.95831633865222	5.06048745406245e-11	7.76818560781613e-08	10.9724386713127
ENSG00000189369.8	-0.532455732339436	2.89157258590852	-6.22189106466281	2.92429258314323e-09	1.77196739524884e-06	10.7995124207681
ENSG00000099194.5	-1.58009645025122	3.43272566240323	-6.21614452235684	3.03112953361633e-09	1.78960996515512e-06	10.792158785996
ENSG00000119929.12	-0.368690047252536	3.92607514437206	-6.20924388667788	3.12772273824721e-09	1.80047359427201e-06	10.7630664537164
