NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	63	0.6268907	2.2413228	0.0	0.0	0.0	1382	tags=29%, list=7%, signal=30%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	53	0.64811045	2.2003124	0.0	0.0	0.0	1152	tags=28%, list=5%, signal=30%	
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Details ...	41	0.6744403	2.198091	0.0	0.0	0.0	1152	tags=34%, list=5%, signal=36%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	72	0.6052385	2.1698716	0.0	0.0	0.0	1291	tags=25%, list=6%, signal=27%	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	43	0.65804106	2.1552863	0.0	1.5247981E-4	0.001	1152	tags=35%, list=5%, signal=37%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	48	0.6282886	2.1194813	0.0	2.521138E-4	0.002	1152	tags=31%, list=5%, signal=33%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	48	0.6392235	2.117966	0.0	2.1609754E-4	0.002	1152	tags=29%, list=5%, signal=31%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	52	0.6183507	2.1139777	0.0	3.8101064E-4	0.004	1152	tags=29%, list=5%, signal=30%	
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Details ...	23	0.736108	2.105661	0.0	4.2138383E-4	0.005	2864	tags=61%, list=14%, signal=70%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	55	0.6184859	2.1022844	0.0	4.544445E-4	0.006	1152	tags=27%, list=5%, signal=29%	
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	Details ...	13	0.8470589	2.094339	0.0	5.4863E-4	0.008	263	tags=38%, list=1%, signal=39%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	52	0.6133082	2.0923934	0.0	5.029109E-4	0.008	1152	tags=29%, list=5%, signal=30%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	59	0.59164625	2.070415	0.0	9.205216E-4	0.016	1152	tags=24%, list=5%, signal=25%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	47	0.6159933	2.0627112	0.0	9.6425344E-4	0.018	1152	tags=32%, list=5%, signal=34%	
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	Details ...	57	0.592062	2.0470848	0.0	0.001200125	0.024	532	tags=18%, list=3%, signal=18%	
REACTOME_HCMV_LATE_EVENTS	REACTOME_HCMV_LATE_EVENTS	Details ...	94	0.5389608	2.0434566	0.0	0.0012197105	0.026	1291	tags=19%, list=6%, signal=20%	
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Details ...	34	0.65254474	2.0372553	0.0	0.0012339393	0.028	2227	tags=44%, list=11%, signal=49%	
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH	Details ...	83	0.555671	2.0337718	0.0	0.001248002	0.03	1152	tags=22%, list=5%, signal=23%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	46	0.61804545	2.0285115	0.0	0.0012979815	0.033	1152	tags=33%, list=5%, signal=34%	
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Details ...	70	0.5683539	2.0278516	0.0	0.0013064527	0.035	1152	tags=23%, list=5%, signal=24%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS		86	0.5391289	2.0130494	0.0	0.0016662035	0.047	1152	tags=19%, list=5%, signal=20%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR		76	0.5429425	2.0107777	0.0	0.001590467	0.047	1152	tags=18%, list=5%, signal=19%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION		62	0.56570286	1.9951524	0.0	0.0019737522	0.06	1152	tags=24%, list=5%, signal=26%	
REACTOME_MEIOTIC_SYNAPSIS	REACTOME_MEIOTIC_SYNAPSIS		60	0.56948733	1.9837116	0.0	0.0024856091	0.078	1152	tags=23%, list=5%, signal=25%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION		76	0.54510933	1.9821167	0.0	0.0024785963	0.081	1152	tags=21%, list=5%, signal=22%	
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX		69	0.5481293	1.9654317	0.0	0.0030394467	0.103	1152	tags=22%, list=5%, signal=23%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION		90	0.522421	1.9620775	0.0	0.0030108315	0.106	1152	tags=18%, list=5%, signal=19%	
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE		67	0.55010605	1.9521372	0.0	0.0034940683	0.128	2301	tags=24%, list=11%, signal=27%	
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		88	0.52016354	1.9509788	0.0	0.0034513068	0.13	1152	tags=18%, list=5%, signal=19%	
